ds,symbol,close,volume
1990-01-02,HL,14.125,76900
1990-01-03,HL,14.0,89700
1990-01-04,HL,14.25,152400
1990-01-05,HL,14.5,104400
1990-01-08,HL,14.25,34900
1990-01-09,HL,14.5,64900
1990-01-10,HL,15.0,124100
1990-01-11,HL,15.625,523600
1990-01-12,HL,15.375,455700
1990-01-15,HL,14.625,194500
1990-01-16,HL,14.75,55000
1990-01-17,HL,14.75,73200
1990-01-18,HL,14.5,85900
1990-01-19,HL,14.5,59400
1990-01-22,HL,14.5,117800
1990-01-23,HL,14.75,116100
1990-01-24,HL,14.5,162700
1990-01-25,HL,14.625,50600
1990-01-26,HL,14.75,36400
1990-01-29,HL,14.75,30900
1990-01-30,HL,14.875,60400
1990-01-31,HL,14.0,113500
1990-02-01,HL,14.875,93400
1990-02-02,HL,14.875,53100
1990-02-05,HL,15.625,245800
1990-02-06,HL,15.25,113900
1990-02-07,HL,15.0,308200
1990-02-08,HL,15.25,120200
1990-02-09,HL,15.0,98300
1990-02-12,HL,15.625,150800
1990-02-13,HL,16.0,670600
1990-02-14,HL,16.125,258600
1990-02-15,HL,15.875,444400
1990-02-16,HL,16.0,312800
1990-02-20,HL,15.875,126800
1990-02-21,HL,15.625,85300
1990-02-22,HL,15.25,95700
1990-02-23,HL,15.0,196800
1990-02-26,HL,14.375,142400
1990-02-27,HL,14.75,78500
1990-02-28,HL,14.875,86900
1990-03-01,HL,14.75,57700
1990-03-02,HL,14.75,41500
1990-03-05,HL,14.5,51000
1990-03-06,HL,14.5,53800
1990-03-07,HL,14.375,99700
1990-03-08,HL,14.375,43200
1990-03-09,HL,14.375,94000
1990-03-12,HL,14.25,51600
1990-03-13,HL,14.75,101500
1990-03-14,HL,14.625,69600
1990-03-15,HL,15.0,53700
1990-03-16,HL,14.75,73400
1990-03-19,HL,15.0,94700
1990-03-20,HL,14.625,131000
1990-03-21,HL,14.5,86100
1990-03-22,HL,14.25,95500
1990-03-23,HL,14.125,75000
1990-03-26,HL,13.5,291800
1990-03-27,HL,13.625,85100
1990-03-28,HL,13.75,68400
1990-03-29,HL,13.875,138500
1990-03-30,HL,13.875,66800
1990-04-02,HL,13.875,20200
1990-04-03,HL,13.875,72900
1990-04-04,HL,14.0,80900
1990-04-05,HL,13.875,60000
1990-04-06,HL,14.125,46300
1990-04-09,HL,13.75,36900
1990-04-10,HL,13.75,68600
1990-04-11,HL,13.75,24700
1990-04-12,HL,13.5,26300
1990-04-16,HL,13.25,40700
1990-04-17,HL,13.375,77800
1990-04-18,HL,13.625,78800
1990-04-19,HL,13.375,39100
1990-04-20,HL,13.0,56100
1990-04-23,HL,12.75,74200
1990-04-24,HL,12.5,83300
1990-04-25,HL,12.0,213400
1990-04-26,HL,12.0,87100
1990-04-27,HL,11.75,55700
1990-04-30,HL,11.625,68000
1990-05-01,HL,11.625,136500
1990-05-02,HL,11.75,113200
1990-05-03,HL,12.0,269100
1990-05-04,HL,11.875,28300
1990-05-07,HL,11.875,96000
1990-05-08,HL,11.875,53800
1990-05-09,HL,12.5,292000
1990-05-10,HL,12.75,285300
1990-05-11,HL,12.375,118700
1990-05-14,HL,12.625,115500
1990-05-15,HL,12.25,118800
1990-05-16,HL,12.125,52800
1990-05-17,HL,12.125,50600
1990-05-18,HL,12.625,141000
1990-05-21,HL,12.625,56700
1990-05-22,HL,13.5,286400
1990-05-23,HL,13.0,280700
1990-05-24,HL,12.875,62000
1990-05-25,HL,12.875,26700
1990-05-29,HL,12.875,35000
1990-05-30,HL,12.875,59000
1990-05-31,HL,13.125,87400
1990-06-01,HL,12.375,83700
1990-06-04,HL,12.375,127400
1990-06-05,HL,12.125,205100
1990-06-06,HL,12.0,130500
1990-06-07,HL,11.5,202200
1990-06-08,HL,11.875,59500
1990-06-11,HL,11.875,29900
1990-06-12,HL,11.875,67500
1990-06-13,HL,11.75,145500
1990-06-14,HL,11.125,238100
1990-06-15,HL,11.5,194700
1990-06-18,HL,11.625,51900
1990-06-19,HL,11.75,35200
1990-06-20,HL,11.875,137100
1990-06-21,HL,11.625,39100
1990-06-22,HL,11.5,76900
1990-06-25,HL,11.875,42400
1990-06-26,HL,11.75,33500
1990-06-27,HL,11.625,30200
1990-06-28,HL,11.625,27200
1990-06-29,HL,11.625,139800
1990-07-02,HL,11.875,57400
1990-07-03,HL,11.75,175900
1990-07-05,HL,11.5,177200
1990-07-06,HL,11.75,25100
1990-07-09,HL,11.5,46300
1990-07-10,HL,11.5,71000
1990-07-11,HL,11.25,48900
1990-07-12,HL,11.875,153800
1990-07-13,HL,12.125,117400
1990-07-16,HL,11.875,45900
1990-07-17,HL,11.75,48400
1990-07-18,HL,12.0,69100
1990-07-19,HL,12.0,30400
1990-07-20,HL,11.875,23500
1990-07-23,HL,11.875,64300
1990-07-24,HL,11.75,30500
1990-07-25,HL,11.875,90500
1990-07-26,HL,11.875,43500
1990-07-27,HL,11.75,14900
1990-07-30,HL,11.625,48100
1990-07-31,HL,11.875,107100
1990-08-01,HL,11.875,203400
1990-08-02,HL,12.125,290900
1990-08-03,HL,11.625,329200
1990-08-06,HL,12.0,171100
1990-08-07,HL,12.0,190400
1990-08-08,HL,11.75,138400
1990-08-09,HL,11.75,54300
1990-08-10,HL,12.25,402300
1990-08-13,HL,12.75,490600
1990-08-14,HL,12.875,334700
1990-08-15,HL,12.625,102200
1990-08-16,HL,13.0,315100
1990-08-17,HL,13.0,151100
1990-08-20,HL,12.75,146100
1990-08-21,HL,12.625,133700
1990-08-22,HL,12.75,77600
1990-08-23,HL,11.875,215000
1990-08-24,HL,11.875,98500
1990-08-27,HL,11.5,179000
1990-08-28,HL,11.25,172100
1990-08-29,HL,11.0,86700
1990-08-30,HL,11.125,160600
1990-08-31,HL,11.125,82900
1990-09-04,HL,10.875,53000
1990-09-05,HL,10.875,48000
1990-09-06,HL,10.875,38400
1990-09-07,HL,10.75,76300
1990-09-10,HL,10.125,164700
1990-09-11,HL,10.125,69400
1990-09-12,HL,10.25,55700
1990-09-13,HL,10.25,33000
1990-09-14,HL,10.375,50800
1990-09-17,HL,10.5,105700
1990-09-18,HL,10.375,28900
1990-09-19,HL,10.0,98400
1990-09-20,HL,10.125,27300
1990-09-21,HL,10.125,42400
1990-09-24,HL,10.75,111800
1990-09-25,HL,10.625,75500
1990-09-26,HL,10.625,105600
1990-09-27,HL,10.375,37700
1990-09-28,HL,10.25,48100
1990-10-01,HL,9.5,162300
1990-10-02,HL,9.125,211600
1990-10-03,HL,9.375,104600
1990-10-04,HL,9.625,92200
1990-10-05,HL,9.5,60400
1990-10-08,HL,9.0,127200
1990-10-09,HL,8.375,329600
1990-10-10,HL,8.0,234400
1990-10-11,HL,7.5,199900
1990-10-12,HL,7.875,81100
1990-10-15,HL,7.375,122400
1990-10-16,HL,7.25,131000
1990-10-17,HL,7.375,108300
1990-10-18,HL,7.5,70700
1990-10-19,HL,7.5,65700
1990-10-22,HL,7.375,70600
1990-10-23,HL,7.375,47700
1990-10-24,HL,7.25,99400
1990-10-25,HL,7.25,62100
1990-10-26,HL,6.875,75300
1990-10-29,HL,7.0,55700
1990-10-30,HL,6.875,117900
1990-10-31,HL,7.0,89900
1990-11-01,HL,7.125,165600
1990-11-02,HL,7.125,73900
1990-11-05,HL,7.125,122500
1990-11-06,HL,7.25,74400
1990-11-07,HL,7.375,67900
1990-11-08,HL,7.25,36300
1990-11-09,HL,7.125,48000
1990-11-12,HL,7.125,48200
1990-11-13,HL,7.125,91600
1990-11-14,HL,7.125,77100
1990-11-15,HL,7.125,61800
1990-11-16,HL,7.0,63900
1990-11-19,HL,7.0,61700
1990-11-20,HL,7.125,65800
1990-11-21,HL,7.0,67600
1990-11-23,HL,7.0,15100
1990-11-26,HL,7.125,70500
1990-11-27,HL,7.125,57200
1990-11-28,HL,7.375,49300
1990-11-29,HL,7.5,46300
1990-11-30,HL,7.375,42500
1990-12-03,HL,7.125,58400
1990-12-04,HL,7.125,32300
1990-12-05,HL,7.125,42700
1990-12-06,HL,7.25,122100
1990-12-07,HL,7.375,88600
1990-12-10,HL,7.375,74900
1990-12-11,HL,7.25,50300
1990-12-12,HL,7.125,73000
1990-12-13,HL,7.25,59200
1990-12-14,HL,7.125,81300
1990-12-17,HL,7.25,92100
1990-12-18,HL,7.125,50300
1990-12-19,HL,7.875,181000
1990-12-20,HL,7.75,144700
1990-12-21,HL,7.625,90300
1990-12-24,HL,7.625,43900
1990-12-26,HL,7.875,67200
1990-12-27,HL,7.625,57600
1990-12-28,HL,8.125,201800
1990-12-31,HL,8.5,175300
1991-01-02,HL,8.375,62500
1991-01-03,HL,8.5,56800
1991-01-04,HL,8.125,36700
