ds,symbol,close,volume
2019-04-18,HOOK,14.0,1594199
2019-04-22,HOOK,14.0,110145
2019-04-23,HOOK,13.75,86230
2019-04-24,HOOK,14.0,82879
2019-04-25,HOOK,14.15,79609
2019-04-26,HOOK,14.0,114717
2019-04-29,HOOK,14.0,45454
2019-04-30,HOOK,14.02,95471
2019-05-01,HOOK,14.0,75848
2019-05-02,HOOK,13.79,91332
2019-05-03,HOOK,13.9,70223
2019-05-06,HOOK,13.75,68821
2019-05-07,HOOK,13.95,60666
2019-05-08,HOOK,13.77,78027
2019-05-09,HOOK,13.84,84135
2019-05-10,HOOK,13.85,83275
2019-05-13,HOOK,13.79,116358
2019-05-14,HOOK,13.81,110531
2019-05-15,HOOK,13.25,134339
2019-05-16,HOOK,12.83,45770
2019-05-17,HOOK,11.67,30737
2019-05-20,HOOK,11.82,53562
2019-05-21,HOOK,10.29,19357
2019-05-22,HOOK,9.56,53077
2019-05-23,HOOK,9.26,60304
2019-05-24,HOOK,9.15,15487
2019-05-28,HOOK,9.45,50291
2019-05-29,HOOK,8.52,59814
2019-05-30,HOOK,8.3,39454
2019-05-31,HOOK,8.58,30934
2019-06-03,HOOK,8.03,48925
2019-06-04,HOOK,9.77,24186
2019-06-05,HOOK,8.05,70148
2019-06-06,HOOK,7.76,18680
2019-06-07,HOOK,7.56,88720
2019-06-10,HOOK,8.11,99273
2019-06-11,HOOK,8.8,31973
2019-06-12,HOOK,9.26,69194
2019-06-13,HOOK,9.67,13159
2019-06-14,HOOK,8.85,20941
2019-06-17,HOOK,8.19,29284
2019-06-18,HOOK,8.2,42994
2019-06-19,HOOK,7.8,30226
2019-06-20,HOOK,7.66,40083
2019-06-21,HOOK,7.35,186731
2019-06-24,HOOK,6.51,86464
2019-06-25,HOOK,6.4,23529
2019-06-26,HOOK,6.16,82257
2019-06-27,HOOK,6.5,25042
2019-06-28,HOOK,6.73,354923
2019-07-01,HOOK,6.73,30997
2019-07-02,HOOK,6.76,10449
2019-07-03,HOOK,6.71,19476
2019-07-05,HOOK,6.72,14963
2019-07-08,HOOK,6.56,39688
2019-07-09,HOOK,6.67,10855
2019-07-10,HOOK,6.84,9452
2019-07-11,HOOK,6.68,360666
2019-07-12,HOOK,8.21,2913103
2019-07-15,HOOK,7.45,331727
2019-07-16,HOOK,6.78,178286
2019-07-17,HOOK,7.51,179648
2019-07-18,HOOK,7.16,47546
2019-07-19,HOOK,7.54,100706
2019-07-22,HOOK,6.91,58049
2019-07-23,HOOK,6.78,85846
2019-07-24,HOOK,7.18,39794
2019-07-25,HOOK,6.45,57326
2019-07-26,HOOK,6.61,92209
2019-07-29,HOOK,6.48,36309
2019-07-30,HOOK,7.25,319709
2019-07-31,HOOK,7.29,272216
2019-08-01,HOOK,7.31,110397
2019-08-02,HOOK,7.15,122530
2019-08-05,HOOK,6.78,57629
2019-08-06,HOOK,6.64,50128
2019-08-07,HOOK,6.7,34189
2019-08-08,HOOK,6.75,26251
2019-08-09,HOOK,7.01,59307
2019-08-12,HOOK,7.04,97363
2019-08-13,HOOK,7.0,57026
2019-08-14,HOOK,7.0,34422
2019-08-15,HOOK,6.99,19364
2019-08-16,HOOK,7.28,28763
2019-08-19,HOOK,7.3,43068
2019-08-20,HOOK,7.7,59354
2019-08-21,HOOK,7.9,67920
2019-08-22,HOOK,8.17,54373
2019-08-23,HOOK,8.1,26751
2019-08-26,HOOK,7.82,25240
2019-08-27,HOOK,7.29,23437
2019-08-28,HOOK,7.31,10591
2019-08-29,HOOK,8.0,22078
2019-08-30,HOOK,8.44,37044
2019-09-03,HOOK,8.42,28235
2019-09-04,HOOK,8.42,9783
2019-09-05,HOOK,8.29,17909
2019-09-06,HOOK,8.14,38574
2019-09-09,HOOK,7.82,29876
2019-09-10,HOOK,7.42,22711
2019-09-11,HOOK,7.88,24468
2019-09-12,HOOK,7.6,7117
2019-09-13,HOOK,7.58,7678
2019-09-16,HOOK,7.64,6458
2019-09-17,HOOK,7.7,12155
2019-09-18,HOOK,8.0,28221
2019-09-19,HOOK,8.02,9479
2019-09-20,HOOK,7.92,26932
2019-09-23,HOOK,7.89,8491
2019-09-24,HOOK,7.89,29414
2019-09-25,HOOK,7.87,14858
2019-09-26,HOOK,7.76,24932
2019-09-27,HOOK,7.53,21463
2019-09-30,HOOK,7.5,7459
2019-10-01,HOOK,7.46,21687
2019-10-02,HOOK,7.11,10789
2019-10-03,HOOK,6.93,15334
2019-10-04,HOOK,7.06,31541
2019-10-07,HOOK,7.05,11872
2019-10-08,HOOK,6.76,9065
2019-10-09,HOOK,6.79,13262
2019-10-10,HOOK,6.51,29725
2019-10-11,HOOK,6.62,22239
2019-10-14,HOOK,6.54,1990
2019-10-15,HOOK,7.13,20742
2019-10-16,HOOK,7.72,16343
2019-10-17,HOOK,8.38,49160
2019-10-18,HOOK,8.27,15209
2019-10-21,HOOK,8.21,11210
2019-10-22,HOOK,8.22,10855
2019-10-23,HOOK,8.21,24316
2019-10-24,HOOK,8.41,14583
2019-10-25,HOOK,8.4,17148
2019-10-28,HOOK,8.45,13019
2019-10-29,HOOK,8.22,26255
2019-10-30,HOOK,8.22,13922
2019-10-31,HOOK,8.18,14954
2019-11-01,HOOK,8.34,12723
2019-11-04,HOOK,7.88,100032
2019-11-05,HOOK,7.47,69692
2019-11-06,HOOK,7.89,13544
2019-11-07,HOOK,8.36,14383
2019-11-08,HOOK,7.97,18455
2019-11-11,HOOK,8.2,75140
2019-11-12,HOOK,8.13,38503
2019-11-13,HOOK,8.38,33067
2019-11-14,HOOK,7.8,31509
2019-11-15,HOOK,7.37,97502
2019-11-18,HOOK,7.81,44580
2019-11-19,HOOK,8.02,35959
2019-11-20,HOOK,8.36,48863
2019-11-21,HOOK,8.45,12592
2019-11-22,HOOK,8.45,19003
2019-11-25,HOOK,8.86,188025
2019-11-26,HOOK,9.02,135879
2019-11-27,HOOK,9.21,99530
2019-11-29,HOOK,10.11,139387
2019-12-02,HOOK,9.72,137291
2019-12-03,HOOK,9.1,146386
2019-12-04,HOOK,9.46,100908
2019-12-05,HOOK,9.5,91867
2019-12-06,HOOK,8.21,44312
2019-12-09,HOOK,7.34,60277
2019-12-10,HOOK,7.5,53759
2019-12-11,HOOK,7.52,59798
2019-12-12,HOOK,7.73,35529
2019-12-13,HOOK,7.67,43612
2019-12-16,HOOK,7.7,256364
2019-12-17,HOOK,8.01,68489
2019-12-18,HOOK,9.96,775600
