ds,symbol,close,volume
1990-01-02,HRL,2.171875,374400
1990-01-03,HRL,2.1875,899200
1990-01-04,HRL,2.140625,361600
1990-01-05,HRL,2.140625,131200
1990-01-08,HRL,2.109375,222400
1990-01-09,HRL,2.109375,489600
1990-01-10,HRL,2.09375,598400
1990-01-11,HRL,2.09375,582400
1990-01-12,HRL,2.03125,128000
1990-01-15,HRL,1.960938,432000
1990-01-16,HRL,2.015625,744000
1990-01-17,HRL,1.992188,976000
1990-01-18,HRL,2.007813,324800
1990-01-19,HRL,2.039063,387200
1990-01-22,HRL,2.007813,296000
1990-01-23,HRL,2.023438,211200
1990-01-24,HRL,2.0,272000
1990-01-25,HRL,1.976563,220800
1990-01-26,HRL,1.984375,126400
1990-01-29,HRL,1.953125,172800
1990-01-30,HRL,1.890625,638400
1990-01-31,HRL,1.90625,848000
1990-02-01,HRL,1.898438,188800
1990-02-02,HRL,1.898438,126400
1990-02-05,HRL,1.890625,97600
1990-02-06,HRL,1.882813,779200
1990-02-07,HRL,1.859375,444800
1990-02-08,HRL,1.867188,502400
1990-02-09,HRL,1.859375,384000
1990-02-12,HRL,1.867188,110400
1990-02-13,HRL,1.867188,99200
1990-02-14,HRL,1.859375,62400
1990-02-15,HRL,1.859375,627200
1990-02-16,HRL,1.851563,1393600
1990-02-20,HRL,1.851563,328000
1990-02-21,HRL,1.8125,124000
1990-02-22,HRL,1.8125,576800
1990-02-23,HRL,1.8125,178400
1990-02-26,HRL,1.8125,336000
1990-02-27,HRL,1.90625,1697600
1990-02-28,HRL,1.90625,376000
1990-03-01,HRL,1.921875,245600
1990-03-02,HRL,1.921875,228800
1990-03-05,HRL,1.9375,642400
1990-03-06,HRL,2.078125,949600
1990-03-07,HRL,2.09375,312800
1990-03-08,HRL,2.125,276000
1990-03-09,HRL,2.15625,550400
1990-03-12,HRL,2.15625,179200
1990-03-13,HRL,2.109375,215200
1990-03-14,HRL,2.109375,179200
1990-03-15,HRL,2.140625,2087200
1990-03-16,HRL,2.109375,302400
1990-03-19,HRL,2.09375,424000
1990-03-20,HRL,2.09375,116000
1990-03-21,HRL,2.109375,200000
1990-03-22,HRL,2.0625,134400
1990-03-23,HRL,2.046875,30400
1990-03-26,HRL,2.015625,44000
1990-03-27,HRL,1.96875,161600
1990-03-28,HRL,1.9375,308000
1990-03-29,HRL,1.9375,223200
1990-03-30,HRL,1.953125,239200
1990-04-02,HRL,1.890625,140800
1990-04-03,HRL,1.90625,329600
1990-04-04,HRL,1.890625,1576000
1990-04-05,HRL,1.890625,297600
1990-04-06,HRL,1.875,143200
1990-04-09,HRL,1.84375,208000
1990-04-10,HRL,1.828125,207200
1990-04-11,HRL,1.875,1217600
1990-04-12,HRL,1.953125,194400
1990-04-16,HRL,1.984375,212000
1990-04-17,HRL,1.96875,67200
1990-04-18,HRL,1.953125,106400
1990-04-19,HRL,1.96875,114400
1990-04-20,HRL,1.953125,43200
1990-04-23,HRL,1.953125,104000
1990-04-24,HRL,1.921875,52000
1990-04-25,HRL,1.9375,124000
1990-04-26,HRL,1.90625,367200
1990-04-27,HRL,1.9375,55200
1990-04-30,HRL,1.921875,148800
1990-05-01,HRL,1.90625,87200
1990-05-02,HRL,1.890625,408000
1990-05-03,HRL,1.90625,19200
1990-05-04,HRL,1.875,38400
1990-05-07,HRL,1.859375,58400
1990-05-08,HRL,1.875,68000
1990-05-09,HRL,1.84375,304000
1990-05-10,HRL,1.9375,240000
1990-05-11,HRL,1.953125,106400
1990-05-14,HRL,1.984375,69600
1990-05-15,HRL,1.953125,172800
1990-05-16,HRL,1.96875,114400
1990-05-17,HRL,2.015625,136000
1990-05-18,HRL,2.109375,848800
1990-05-21,HRL,2.078125,367200
1990-05-22,HRL,2.09375,204000
1990-05-23,HRL,2.09375,541600
1990-05-24,HRL,2.09375,328000
1990-05-25,HRL,2.125,366400
1990-05-29,HRL,2.125,284000
1990-05-30,HRL,2.15625,413600
1990-05-31,HRL,2.1875,195200
1990-06-01,HRL,2.1875,692800
1990-06-04,HRL,2.25,390400
1990-06-05,HRL,2.21875,217600
1990-06-06,HRL,2.234375,258400
1990-06-07,HRL,2.203125,172000
1990-06-08,HRL,2.125,182400
1990-06-11,HRL,2.15625,310400
