ds,symbol,close,volume
1990-01-02,HVT,3.416667,0
1990-01-03,HVT,3.416667,0
1990-01-04,HVT,3.583333,122400
1990-01-05,HVT,3.583333,0
1990-01-08,HVT,3.5,5700
1990-01-09,HVT,3.625,9000
1990-01-10,HVT,3.5,300
1990-01-11,HVT,3.5,0
1990-01-12,HVT,3.541667,84600
1990-01-15,HVT,3.666667,57300
1990-01-16,HVT,3.666667,0
1990-01-17,HVT,3.666667,0
1990-01-18,HVT,3.458333,7200
1990-01-19,HVT,3.458333,2100
1990-01-22,HVT,3.458333,0
1990-01-23,HVT,3.458333,15000
1990-01-24,HVT,3.458333,3000
1990-01-25,HVT,3.458333,0
1990-01-26,HVT,3.458333,9900
1990-01-29,HVT,3.375,9600
1990-01-30,HVT,3.375,2100
1990-01-31,HVT,3.5,7800
1990-02-01,HVT,3.25,600
1990-02-02,HVT,3.5,4500
1990-02-05,HVT,3.458333,9000
1990-02-06,HVT,3.5,600
1990-02-07,HVT,3.458333,3300
1990-02-08,HVT,3.458333,4800
1990-02-09,HVT,3.5,13500
1990-02-12,HVT,3.5,0
1990-02-13,HVT,3.666667,35700
1990-02-14,HVT,3.75,3900
1990-02-15,HVT,3.75,0
1990-02-16,HVT,3.708333,11400
1990-02-20,HVT,3.583333,6000
1990-02-21,HVT,3.791667,29700
1990-02-22,HVT,3.958333,63300
1990-02-23,HVT,3.916667,39300
1990-02-26,HVT,3.75,3600
1990-02-27,HVT,3.833333,3600
1990-02-28,HVT,3.833333,3000
1990-03-01,HVT,3.958333,9600
1990-03-02,HVT,3.958333,0
1990-03-05,HVT,3.833333,1800
1990-03-06,HVT,3.916667,2100
1990-03-07,HVT,3.833333,9000
1990-03-08,HVT,3.75,9000
1990-03-09,HVT,3.875,216900
1990-03-12,HVT,4.0,600
1990-03-13,HVT,4.0,0
1990-03-14,HVT,4.0,600
1990-03-15,HVT,3.916667,9300
1990-03-16,HVT,3.916667,2700
1990-03-19,HVT,3.833333,5100
1990-03-20,HVT,3.833333,0
1990-03-21,HVT,4.0,2100
1990-03-22,HVT,3.916667,2400
1990-03-23,HVT,3.75,14700
1990-03-26,HVT,3.666667,1200
1990-03-27,HVT,3.916667,10500
1990-03-28,HVT,3.666667,300
1990-03-29,HVT,3.75,5100
1990-03-30,HVT,3.75,0
1990-04-02,HVT,3.75,26100
1990-04-03,HVT,3.916667,1500
1990-04-04,HVT,3.666667,61200
1990-04-05,HVT,3.666667,300
1990-04-06,HVT,3.666667,600
1990-04-09,HVT,3.666667,300
1990-04-10,HVT,3.75,86100
1990-04-11,HVT,3.791667,5100
1990-04-12,HVT,3.916667,900
1990-04-16,HVT,3.666667,2400
1990-04-17,HVT,3.666667,0
1990-04-18,HVT,3.666667,3000
1990-04-19,HVT,3.666667,0
1990-04-20,HVT,3.666667,0
1990-04-23,HVT,3.708333,45600
1990-04-24,HVT,3.75,13500
1990-04-25,HVT,3.75,4500
1990-04-26,HVT,3.625,7200
1990-04-27,HVT,3.708333,17100
1990-04-30,HVT,3.708333,0
1990-05-01,HVT,3.625,309300
1990-05-02,HVT,3.625,300
1990-05-03,HVT,3.625,900
1990-05-04,HVT,3.625,1200
1990-05-07,HVT,3.625,300
1990-05-08,HVT,3.833333,900
1990-05-09,HVT,3.625,600
1990-05-10,HVT,3.625,0
1990-05-11,HVT,3.625,0
1990-05-14,HVT,3.625,7500
1990-05-15,HVT,3.708333,13800
1990-05-16,HVT,3.708333,0
1990-05-17,HVT,3.625,2100
1990-05-18,HVT,3.625,0
1990-05-21,HVT,3.75,3000
1990-05-22,HVT,3.75,0
1990-05-23,HVT,3.708333,11700
1990-05-24,HVT,3.625,600
1990-05-25,HVT,3.625,300
1990-05-29,HVT,3.625,0
1990-05-30,HVT,3.625,0
1990-05-31,HVT,3.625,2100
1990-06-01,HVT,3.75,14400
1990-06-04,HVT,3.625,300
