ds,symbol,close,volume
1990-01-02,HWM,12.6191904309,1346399
1990-01-03,HWM,12.8094294826,2443999
1990-01-04,HWM,12.829454646,2175733
1990-01-05,HWM,12.7026286115,2182133
1990-01-08,HWM,12.7026286115,1331733
1990-01-09,HWM,12.5791401042,1218133
1990-01-10,HWM,12.5991652676,1064266
1990-01-11,HWM,12.6425531215,4354666
1990-01-12,HWM,12.3488507258,1174133
1990-01-15,HWM,12.1185613474,1039733
1990-01-16,HWM,12.141924038,1815466
1990-01-17,HWM,11.1606910344,4382399
1990-01-18,HWM,11.0972780171,4709599
1990-01-19,HWM,10.9737895099,2607733
1990-01-22,HWM,10.6400367875,1881066
1990-01-23,HWM,10.556598607,2123999
1990-01-24,HWM,10.5966489336,1927999
1990-01-25,HWM,10.4097474091,1371999
1990-01-26,HWM,10.4297725725,1925333
1990-01-29,HWM,10.3129591197,1462133
1990-01-30,HWM,10.3129591197,1267999
1990-01-31,HWM,10.5501571794,1194399
1990-02-01,HWM,10.5501571794,728533
1990-02-02,HWM,10.6567244237,1034399
1990-02-05,HWM,10.7220398314,597599
1990-02-06,HWM,10.5914090159,735199
1990-02-07,HWM,10.6567244237,1197599
1990-02-08,HWM,10.6567244237,925866
1990-02-09,HWM,10.7014139132,527466
1990-02-12,HWM,10.5054676899,712533
1990-02-13,HWM,10.3989004457,1675466
1990-02-14,HWM,10.4642158534,862933
1990-02-15,HWM,10.5707830977,1534666
1990-02-16,HWM,10.7873552392,2357599
1990-02-20,HWM,10.6567244237,897599
1990-02-21,HWM,10.6154725872,834399
1990-02-22,HWM,10.7014139132,1911199
1990-02-23,HWM,10.7220398314,469866
1990-02-26,HWM,10.8492329939,494399
1990-02-27,HWM,10.9145484016,755999
1990-02-28,HWM,11.0451792172,1280533
1990-03-01,HWM,11.1311205432,1891999
1990-03-02,HWM,11.4508222759,1575733
1990-03-05,HWM,11.4095704394,549066
1990-03-06,HWM,11.4301963576,717066
1990-03-07,HWM,11.3442550316,1064266
1990-03-08,HWM,11.3030031952,747733
1990-03-09,HWM,11.2789396239,891199
1990-03-12,HWM,11.3030031952,678133
1990-03-13,HWM,11.1929982979,755199
1990-03-14,HWM,11.1723723796,1414933
1990-03-15,HWM,11.3442550316,1935733
1990-03-16,HWM,11.5161376836,3026933
1990-03-19,HWM,11.7086462539,1557066
1990-03-20,HWM,11.5608271731,1727733
1990-03-21,HWM,11.4508222759,781333
1990-03-22,HWM,11.3030031952,1070399
1990-03-23,HWM,11.2789396239,436533
1990-03-26,HWM,11.2583137056,861333
1990-03-27,HWM,11.3236291134,708266
1990-03-28,HWM,11.4508222759,929599
1990-03-29,HWM,11.3442550316,764799
1990-03-30,HWM,11.1311205432,639466
1990-04-02,HWM,10.9592378912,1909866
1990-04-03,HWM,10.9351743199,2024266
1990-04-04,HWM,10.8492329939,1173599
1990-04-05,HWM,10.8939224834,1089866
1990-04-06,HWM,10.6567244237,3738666
1990-04-09,HWM,10.7014139132,722666
1990-04-10,HWM,10.8079811574,717866
1990-04-11,HWM,11.0004897276,1818666
1990-04-12,HWM,11.1070569719,908266
1990-04-16,HWM,11.1517464614,1630666
1990-04-17,HWM,11.1311205432,870133
1990-04-18,HWM,11.0211156459,785866
1990-04-19,HWM,10.8939224834,1206133
1990-04-20,HWM,10.7873552392,1369066
1990-04-23,HWM,10.6567244237,572533
1990-04-24,HWM,10.7220398314,864799
1990-04-25,HWM,10.7873552392,692533
1990-04-26,HWM,10.8286070756,670399
1990-04-27,HWM,10.8732965652,641066
1990-04-30,HWM,10.7254774845,896266
1990-05-01,HWM,10.7254774845,946133
1990-05-02,HWM,10.7704552933,787466
1990-05-03,HWM,10.8119732706,1121866
1990-05-04,HWM,10.8119732706,852266
1990-05-07,HWM,10.9849648429,985333
1990-05-08,HWM,11.0714606291,1026133
1990-05-09,HWM,10.9849648429,1270399
1990-05-10,HWM,10.9849648429,775999
1990-05-11,HWM,11.1164384379,1490399
1990-05-14,HWM,11.1579564153,1516266
1990-05-15,HWM,11.2444522014,1365333
1990-05-16,HWM,11.178715404,675733
1990-05-17,HWM,11.3309479876,1323466
1990-05-18,HWM,11.3759257964,1070399
1990-05-21,HWM,11.5039395599,1045333
1990-05-22,HWM,11.6561721436,1034666
1990-05-23,HWM,11.5039395599,943199
1990-05-24,HWM,11.2652111901,1882133
1990-05-25,HWM,11.2444522014,348799
1990-05-29,HWM,11.3309479876,689066
1990-05-30,HWM,11.3309479876,3041066
1990-05-31,HWM,11.4174437738,486399
1990-06-01,HWM,11.5489173687,2012533
1990-06-04,HWM,11.8084047272,1365066
1990-06-05,HWM,11.7841859071,1542133
1990-06-06,HWM,11.7426679298,747199
1990-06-07,HWM,11.6354131549,1342133
1990-06-08,HWM,11.5904353461,1979466
1990-06-11,HWM,11.6354131549,781333
1990-06-12,HWM,11.6561721436,963733
1990-06-13,HWM,11.6111943348,785866
1990-06-14,HWM,11.5489173687,355199
1990-06-15,HWM,11.4174437738,1513066
1990-06-18,HWM,11.2894300102,559466
1990-06-19,HWM,11.2444522014,779733
1990-06-20,HWM,11.4174437738,1222666
1990-06-21,HWM,11.4174437738,508799
1990-06-22,HWM,11.2652111901,1398133
1990-06-25,HWM,11.2029342241,717333
1990-06-26,HWM,11.0507016404,1410133
1990-06-27,HWM,11.0507016404,2349066
1990-06-28,HWM,11.0299426518,1591466
1990-06-29,HWM,11.0299426518,805866
1990-07-02,HWM,11.0714606291,729066
1990-07-03,HWM,11.2029342241,959733
1990-07-05,HWM,11.0922196178,1070133
1990-07-06,HWM,11.5039395599,1250666
1990-07-09,HWM,11.5696763574,714933
1990-07-10,HWM,11.4174437738,450933
1990-07-11,HWM,11.6976901209,958933
1990-07-12,HWM,11.8084047272,1959733
1990-07-13,HWM,11.8949005134,1164266
1990-07-16,HWM,11.9813962996,1597066
1990-07-17,HWM,11.7426679298,1240799
1990-07-18,HWM,11.6561721436,747733
1990-07-19,HWM,11.7219089411,753866
1990-07-20,HWM,11.4624215826,694933
1990-07-23,HWM,11.4174437738,1254933
1990-07-24,HWM,11.6976901209,790666
1990-07-25,HWM,11.9571774794,1555999
1990-07-26,HWM,11.9364184908,1223733
1990-07-27,HWM,11.8291637159,1694933
1990-07-30,HWM,12.1215194732,799466
1990-07-31,HWM,12.1006263054,1367199
1990-08-01,HWM,11.884730239,918666
1990-08-02,HWM,11.710620508,729599
1990-08-03,HWM,11.4041873814,1627999
1990-08-06,HWM,10.8609650206,1817599
1990-08-07,HWM,10.9689130538,1307199
1990-08-08,HWM,11.1012364494,964266
1990-08-09,HWM,11.1882913149,484533
1990-08-10,HWM,11.0141815839,857866
