ds,symbol,close,volume
2019-04-22,HYLN,9.7,1000
2019-04-23,HYLN,9.7,1032
2019-04-24,HYLN,9.7,0
2019-04-25,HYLN,9.7,0
2019-04-29,HYLN,9.7,102
2019-04-30,HYLN,9.7,0
2019-05-01,HYLN,9.7417,100
2019-05-02,HYLN,9.742,0
2019-05-03,HYLN,9.742,0
2019-05-06,HYLN,9.73,16000
2019-05-07,HYLN,9.68,51401
2019-05-08,HYLN,9.68,31000
2019-05-09,HYLN,9.68,0
2019-05-10,HYLN,9.68,0
2019-05-13,HYLN,9.68,0
2019-05-14,HYLN,9.68,0
2019-05-15,HYLN,9.68,0
2019-05-16,HYLN,9.68,12
2019-05-17,HYLN,9.68,200000
2019-05-20,HYLN,9.68,0
2019-05-21,HYLN,9.68,150000
2019-05-22,HYLN,9.69,100
2019-05-23,HYLN,9.69,0
2019-05-24,HYLN,9.69,0
2019-05-28,HYLN,9.69,0
2019-05-29,HYLN,9.69,0
2019-05-30,HYLN,9.73,100
2019-05-31,HYLN,9.7,2520
2019-06-03,HYLN,9.7,2
2019-06-04,HYLN,9.7,1
2019-06-05,HYLN,9.69,1901
2019-06-06,HYLN,9.69,0
2019-06-10,HYLN,9.69,100
2019-06-11,HYLN,9.71,446480
2019-06-12,HYLN,9.71,100
2019-06-13,HYLN,9.71,125300
2019-06-14,HYLN,9.71,391563
2019-06-17,HYLN,9.71,454600
2019-06-18,HYLN,9.7246,1870300
2019-06-19,HYLN,9.71,106600
2019-06-20,HYLN,9.71,199700
2019-06-21,HYLN,9.71,0
2019-06-24,HYLN,9.74,972869
2019-06-25,HYLN,9.74,0
2019-06-26,HYLN,9.82,3364
2019-06-27,HYLN,9.85,601
2019-06-28,HYLN,9.85,1
2019-07-01,HYLN,9.85,0
2019-07-02,HYLN,9.8,910
2019-07-03,HYLN,9.75,200
2019-07-05,HYLN,9.75,0
2019-07-08,HYLN,9.75,50
2019-07-09,HYLN,9.75,0
2019-07-10,HYLN,9.75,0
2019-07-11,HYLN,9.75,0
2019-07-12,HYLN,9.75,100
2019-07-15,HYLN,9.75,0
2019-07-16,HYLN,9.8,75933
2019-07-17,HYLN,9.8,0
2019-07-18,HYLN,9.8,500
2019-07-19,HYLN,9.8,0
2019-07-22,HYLN,9.78,700
2019-07-23,HYLN,9.78,0
2019-07-24,HYLN,9.79,400
2019-07-25,HYLN,9.79,28
2019-07-26,HYLN,9.77,405387
2019-07-29,HYLN,9.77,13
2019-07-30,HYLN,9.77,60
2019-07-31,HYLN,9.77,41
2019-08-01,HYLN,9.77,58
2019-08-02,HYLN,9.77,647
2019-08-05,HYLN,9.77,56
2019-08-06,HYLN,9.77,89
2019-08-07,HYLN,9.77,42
2019-08-08,HYLN,9.77,70
2019-08-09,HYLN,9.77,100
2019-08-12,HYLN,9.8,121
2019-08-13,HYLN,9.8,291759
2019-08-14,HYLN,9.84,354
2019-08-15,HYLN,9.8,5244
2019-08-16,HYLN,9.85,102
2019-08-19,HYLN,9.79,12724
2019-08-20,HYLN,9.83,1116
2019-08-21,HYLN,9.82,3027
2019-08-22,HYLN,9.84,117
2019-08-23,HYLN,9.84,5
2019-08-26,HYLN,9.85,202
2019-08-27,HYLN,9.85,113
2019-08-28,HYLN,9.85,16
2019-08-29,HYLN,9.85,13
2019-08-30,HYLN,9.85,1804
2019-09-03,HYLN,9.85,2
2019-09-04,HYLN,9.84,291117
2019-09-05,HYLN,9.83,470827
2019-09-06,HYLN,9.84,100
2019-09-09,HYLN,9.86,105
2019-09-10,HYLN,9.86,1
2019-09-11,HYLN,9.86,216489
2019-09-12,HYLN,9.86,0
2019-09-13,HYLN,9.85,308
2019-09-16,HYLN,9.845,300226
2019-09-17,HYLN,9.85,599
2019-09-18,HYLN,9.85,5
2019-09-19,HYLN,9.85,0
2019-09-20,HYLN,9.87,1102
2019-09-23,HYLN,9.87,1100
2019-09-24,HYLN,9.87,1431
2019-09-25,HYLN,9.88,29217
2019-09-26,HYLN,9.88,0
2019-09-27,HYLN,9.88,0
2019-09-30,HYLN,9.88,1
2019-10-01,HYLN,9.88,100
2019-10-02,HYLN,9.88,0
2019-10-03,HYLN,9.88,2
2019-10-04,HYLN,9.88,100
2019-10-07,HYLN,9.85,402001
2019-10-08,HYLN,9.87,201
2019-10-09,HYLN,9.87,8
2019-10-10,HYLN,9.86,600
2019-10-11,HYLN,9.86,0
2019-10-14,HYLN,9.88,1069
2019-10-15,HYLN,9.88,12618
2019-10-16,HYLN,9.88,7
2019-10-17,HYLN,9.88,1316
2019-10-18,HYLN,9.88,16
2019-10-21,HYLN,9.86,1076000
2019-10-22,HYLN,9.86,81000
2019-10-23,HYLN,9.83,267317
2019-10-24,HYLN,9.85,502301
2019-10-25,HYLN,9.9,507800
2019-10-28,HYLN,9.86,2800
2019-10-29,HYLN,9.86,1605
2019-10-30,HYLN,9.85,1903
2019-10-31,HYLN,9.86,1001
2019-11-01,HYLN,9.86,0
2019-11-04,HYLN,9.84,202
2019-11-05,HYLN,9.86,5400
2019-11-06,HYLN,9.85,1990
2019-11-07,HYLN,9.85,200
2019-11-08,HYLN,9.9,418
2019-11-11,HYLN,9.86,65500
2019-11-12,HYLN,9.86,1225
2019-11-13,HYLN,9.86,50100
2019-11-14,HYLN,9.86,2328
2019-11-15,HYLN,9.86,1
2019-11-18,HYLN,9.9,233
2019-11-19,HYLN,9.9,100
2019-11-20,HYLN,9.85,50004
2019-11-21,HYLN,9.85,0
2019-11-22,HYLN,9.92,70542
2019-11-25,HYLN,9.91,3045
2019-11-26,HYLN,9.91,0
2019-11-27,HYLN,9.91,0
2019-11-29,HYLN,9.91,2500
2019-12-02,HYLN,9.93,10022
2019-12-03,HYLN,9.94,48338
2019-12-04,HYLN,9.94,0
2019-12-05,HYLN,9.93,4800
2019-12-06,HYLN,9.94,605191
2019-12-09,HYLN,9.95,100
2019-12-10,HYLN,9.94,105
2019-12-11,HYLN,9.94,0
2019-12-12,HYLN,9.93,471501
2019-12-13,HYLN,9.94,15288
2019-12-16,HYLN,9.93,5991
2019-12-17,HYLN,9.93,2
2019-12-18,HYLN,9.95,102
2019-12-19,HYLN,9.95,0
2019-12-20,HYLN,9.97,3800
2019-12-23,HYLN,9.97,1300
2019-12-24,HYLN,9.97,15
2019-12-26,HYLN,9.97,0
2019-12-27,HYLN,9.97,1139
2019-12-30,HYLN,9.99,102
2019-12-31,HYLN,9.99,0
2020-01-02,HYLN,9.95,19110
2020-01-03,HYLN,9.95,3
2020-01-06,HYLN,9.99,20793
2020-01-07,HYLN,10.02,220225
2020-01-08,HYLN,10.03,107896
2020-01-09,HYLN,10.03,0
2020-01-10,HYLN,10.03,352123
2020-01-13,HYLN,10.03,11
2020-01-14,HYLN,10.03,1
2020-01-15,HYLN,10.03,0
2020-01-16,HYLN,10.05,200397
2020-01-17,HYLN,10.04,9700
2020-01-21,HYLN,10.03,39870
2020-01-22,HYLN,10.03,49911
2020-01-23,HYLN,10.07,169165
2020-01-24,HYLN,10.03,753848
2020-01-27,HYLN,10.02,116900
2020-01-28,HYLN,10.03,5500
2020-01-29,HYLN,10.035,107979
2020-01-30,HYLN,10.03,25183
2020-01-31,HYLN,10.03,50000
2020-02-03,HYLN,10.03,122356
2020-02-04,HYLN,10.07,27718
2020-02-05,HYLN,10.07,1
2020-02-06,HYLN,10.03,150
2020-02-07,HYLN,10.03,0
2020-02-10,HYLN,10.03,271798
2020-02-11,HYLN,10.03,0
2020-02-12,HYLN,10.05,400100
2020-02-13,HYLN,10.05,651114
2020-02-14,HYLN,10.05,126602
2020-02-18,HYLN,10.04,25646
2020-02-19,HYLN,10.04,500
2020-02-20,HYLN,10.04,0
2020-02-21,HYLN,10.05,99200
2020-02-24,HYLN,10.05,261908
2020-02-25,HYLN,10.047,110282
2020-02-26,HYLN,10.04,252633
2020-02-27,HYLN,10.03,93889
2020-02-28,HYLN,10.03,18000
2020-03-02,HYLN,10.07,100
2020-03-03,HYLN,10.02,1002
2020-03-04,HYLN,10.02,1087
2020-03-05,HYLN,10.05,100100
2020-03-06,HYLN,10.07,27585
2020-03-09,HYLN,10.07,0
2020-03-10,HYLN,10.05,201
2020-03-11,HYLN,10.05,1
2020-03-12,HYLN,9.95,10636
2020-03-13,HYLN,9.85,453702
2020-03-16,HYLN,9.701,19336
2020-03-17,HYLN,9.676,210
2020-03-18,HYLN,9.55,1389371
2020-03-19,HYLN,9.62,341
2020-03-20,HYLN,9.62,54386
2020-03-23,HYLN,9.62,501805
2020-03-24,HYLN,9.65,2300
2020-03-25,HYLN,9.7,101
2020-03-26,HYLN,9.8,2634
2020-03-27,HYLN,9.83,2563
2020-03-30,HYLN,9.83,300
2020-03-31,HYLN,9.83,3
2020-04-01,HYLN,9.9,3839
2020-04-02,HYLN,9.9,0
2020-04-03,HYLN,9.9,100
2020-04-06,HYLN,9.84,1473
2020-04-07,HYLN,9.9,14593
2020-04-08,HYLN,9.91,52314
2020-04-09,HYLN,9.91,0
2020-04-13,HYLN,9.91,0
2020-04-14,HYLN,9.94,3245
2020-04-15,HYLN,9.94,1
2020-04-16,HYLN,9.94,1
2020-04-17,HYLN,9.93,67103
2020-04-20,HYLN,9.93,100
2020-04-21,HYLN,9.93,20
2020-04-22,HYLN,9.93,2
2020-04-23,HYLN,9.93,1
2020-04-24,HYLN,9.93,1
2020-04-27,HYLN,9.94,500109
2020-04-28,HYLN,9.94,100000
2020-04-29,HYLN,9.94,0
2020-04-30,HYLN,9.94,1400
2020-05-01,HYLN,9.94,1904
2020-05-04,HYLN,9.94,3
2020-05-05,HYLN,9.94,212400
2020-05-06,HYLN,9.89,128140
2020-05-07,HYLN,9.94,25719
2020-05-08,HYLN,9.94,0
