ds,symbol,close,volume
2020-12-14,HYZN,10.25,73938
2020-12-15,HYZN,10.125,27545
2020-12-16,HYZN,10.29,133460
2020-12-17,HYZN,10.28,110694
2020-12-18,HYZN,10.3499,176242
2020-12-21,HYZN,10.41,409543
2020-12-22,HYZN,10.48,117698
2020-12-23,HYZN,10.52,139582
2020-12-24,HYZN,10.6,343792
2020-12-28,HYZN,10.7,207476
2020-12-29,HYZN,10.6,82889
2020-12-30,HYZN,10.65,54514
2020-12-31,HYZN,10.6,58188
2021-01-04,HYZN,10.56,27907
2021-01-05,HYZN,10.49,94349
2021-01-06,HYZN,10.51,15078
2021-01-07,HYZN,10.61,132399
2021-01-08,HYZN,10.7,188349
2021-01-11,HYZN,10.8,747892
2021-01-12,HYZN,11.51,909938
2021-01-13,HYZN,12.07,1453250
2021-01-14,HYZN,12.29,578152
2021-01-15,HYZN,12.0,196717
2021-01-19,HYZN,12.47,423320
2021-01-20,HYZN,12.26,288652
2021-01-21,HYZN,12.35,560839
2021-01-22,HYZN,13.68,655333
2021-01-25,HYZN,13.88,463024
2021-01-26,HYZN,13.92,247055
2021-01-27,HYZN,12.83,800580
2021-01-28,HYZN,12.59,440531
2021-01-29,HYZN,12.6,284738
2021-02-01,HYZN,13.1,602037
2021-02-02,HYZN,13.58,496129
2021-02-03,HYZN,14.0,648490
2021-02-04,HYZN,13.74,427489
2021-02-05,HYZN,16.5,5290414
2021-02-08,HYZN,17.76,3557668
2021-02-09,HYZN,16.04,9595761
2021-02-10,HYZN,15.72,4335567
2021-02-11,HYZN,15.09,2322529
2021-02-12,HYZN,15.58,2023474
2021-02-16,HYZN,15.75,1614093
2021-02-17,HYZN,15.1,1722628
2021-02-18,HYZN,14.87,1282003
2021-02-19,HYZN,14.9,1325563
2021-02-22,HYZN,14.06,1049416
2021-02-23,HYZN,12.8,1815777
2021-02-24,HYZN,12.54,859334
2021-02-25,HYZN,11.79,1200572
2021-02-26,HYZN,11.77,1311032
2021-03-01,HYZN,12.89,1163999
2021-03-02,HYZN,12.34,911595
2021-03-03,HYZN,11.39,1078340
2021-03-04,HYZN,10.97,1175808
2021-03-05,HYZN,11.35,912966
2021-03-08,HYZN,10.8,2016590
2021-03-09,HYZN,11.39,431643
2021-03-10,HYZN,11.79,628585
2021-03-11,HYZN,12.03,727194
2021-03-12,HYZN,12.38,347766
2021-03-15,HYZN,12.33,285734
2021-03-16,HYZN,11.6,375594
2021-03-17,HYZN,11.16,630160
2021-03-18,HYZN,10.98,945078
2021-03-19,HYZN,11.12,204976
2021-03-22,HYZN,11.15,173468
2021-03-23,HYZN,10.75,444920
2021-03-24,HYZN,10.3,806543
2021-03-25,HYZN,10.29,637313
2021-03-26,HYZN,10.65,605692
2021-03-29,HYZN,10.35,396651
2021-03-30,HYZN,10.31,1824490
2021-03-31,HYZN,10.49,777213
2021-04-01,HYZN,10.87,1102675
2021-04-05,HYZN,10.63,761641
2021-04-06,HYZN,10.41,448198
2021-04-07,HYZN,10.42,211282
2021-04-08,HYZN,10.6,280763
2021-04-09,HYZN,10.64,221909
2021-04-12,HYZN,10.32,489685
2021-04-13,HYZN,10.34,518965
2021-04-14,HYZN,10.32,493366
2021-04-15,HYZN,10.07,769237
2021-04-16,HYZN,10.12,411097
2021-04-19,HYZN,10.06,575498
2021-04-20,HYZN,10.03,356738
