ds,symbol,close,volume
2003-07-15,IAG,4.1480976718,234100
2003-07-16,IAG,4.183551498,135000
2003-07-17,IAG,4.2367322374,84200
2003-07-18,IAG,4.2101418677,73700
2003-07-21,IAG,4.3253668031,237200
2003-07-22,IAG,4.3253668031,122500
2003-07-23,IAG,4.6267243262,555500
2003-07-24,IAG,4.6887685222,348700
2003-07-25,IAG,4.6621781525,774200
2003-07-28,IAG,4.5735435868,175700
2003-07-29,IAG,4.4760455646,145400
2003-07-30,IAG,4.3696840859,196000
2003-07-31,IAG,4.3962744556,205700
2003-08-01,IAG,4.387410999,95200
2003-08-04,IAG,4.6178608697,75700
2003-08-05,IAG,4.529226304,97000
2003-08-06,IAG,4.5469532172,189500
2003-08-07,IAG,4.4760455646,120500
2003-08-08,IAG,4.6267243262,479500
2003-08-11,IAG,4.733085805,492900
2003-08-12,IAG,4.6355877828,229800
2003-08-13,IAG,4.7419492616,312900
2003-08-14,IAG,4.7508127181,620000
2003-08-15,IAG,4.9723991322,53800
2003-08-18,IAG,4.7685396313,362700
2003-08-19,IAG,4.87490111,272000
2003-08-20,IAG,5.0698971544,706500
2003-08-21,IAG,5.0964875241,590400
2003-08-22,IAG,5.0876240675,326100
2003-08-25,IAG,5.1851220897,685300
2003-08-26,IAG,5.1142144372,422400
2003-08-27,IAG,5.2648931988,1008200
2003-08-28,IAG,5.2117124594,349200
2003-08-29,IAG,5.1762586332,385000
2003-09-02,IAG,5.0521702413,316500
2003-09-03,IAG,5.2648931988,407400
2003-09-04,IAG,5.362391221,404900
2003-09-05,IAG,5.4421623301,681800
2003-09-08,IAG,5.424435417,237400
2003-09-09,IAG,5.5573872654,566300
2003-09-10,IAG,6.2,386800
2003-09-11,IAG,6.12,496900
2003-09-12,IAG,5.4155719604,593200
2003-09-15,IAG,5.2914835685,320100
2003-09-16,IAG,5.2294393726,208200
2003-09-17,IAG,5.2294393726,219400
2003-09-18,IAG,5.0521702413,504800
2003-09-19,IAG,5.4776161563,518200
2003-09-22,IAG,5.566250722,637100
2003-09-23,IAG,5.4687526998,284000
2003-09-24,IAG,5.7169294836,783000
