ds,symbol,close,volume
2006-09-28,ICFI,12.25,1598489
2006-09-29,ICFI,12.65,206083
2006-10-02,ICFI,12.65,114790
2006-10-03,ICFI,12.17,375127
2006-10-04,ICFI,12.1,198168
2006-10-05,ICFI,12.08,66864
2006-10-06,ICFI,12.01,39856
2006-10-09,ICFI,12.03,52286
2006-10-10,ICFI,12.01,58586
2006-10-11,ICFI,12.05,24349
2006-10-12,ICFI,12.58,163193
2006-10-13,ICFI,12.22,48416
2006-10-16,ICFI,13.0,112804
2006-10-17,ICFI,13.19,103026
2006-10-18,ICFI,14.44,193215
2006-10-19,ICFI,15.17,236861
2006-10-20,ICFI,15.25,35017
2006-10-23,ICFI,15.0,67020
2006-10-24,ICFI,14.75,11140
2006-10-25,ICFI,14.6,18557
2006-10-26,ICFI,14.78,8857
2006-10-27,ICFI,14.62,79534
2006-10-30,ICFI,14.69,81933
2006-10-31,ICFI,14.6,19324
2006-11-01,ICFI,14.9,83881
2006-11-02,ICFI,14.73,14301
2006-11-03,ICFI,15.48,75331
2006-11-06,ICFI,15.91,98634
2006-11-07,ICFI,16.97,529683
2006-11-08,ICFI,16.44,177509
2006-11-09,ICFI,16.33,88967
2006-11-10,ICFI,16.16,42730
2006-11-13,ICFI,17.2,106026
2006-11-14,ICFI,16.7,77539
2006-11-15,ICFI,16.85,68580
2006-11-16,ICFI,16.942,48370
2006-11-17,ICFI,17.0,27030
2006-11-20,ICFI,17.55,107506
2006-11-21,ICFI,17.2,53627
2006-11-22,ICFI,17.1,32912
2006-11-24,ICFI,17.0,18734
2006-11-27,ICFI,16.78,63809
2006-11-28,ICFI,16.7399,49404
2006-11-29,ICFI,16.95,52186
2006-11-30,ICFI,17.39,96813
2006-12-01,ICFI,17.19,27515
2006-12-04,ICFI,17.47,91074
2006-12-05,ICFI,17.69,59684
2006-12-06,ICFI,17.3,27399
2006-12-07,ICFI,16.95,52676
2006-12-08,ICFI,16.79,86330
2006-12-11,ICFI,16.78,37508
2006-12-12,ICFI,16.47,60469
2006-12-13,ICFI,16.45,23270
2006-12-14,ICFI,16.63,85316
2006-12-15,ICFI,16.86,45125
2006-12-18,ICFI,13.96,2161047
2006-12-19,ICFI,14.61,470336
2006-12-20,ICFI,14.5,159702
2006-12-21,ICFI,14.67,104133
2006-12-22,ICFI,15.0,73900
2006-12-26,ICFI,14.89,20070
2006-12-27,ICFI,14.68,22429
2006-12-28,ICFI,14.69,22265
2006-12-29,ICFI,14.52,11196
2007-01-03,ICFI,14.55,129511
2007-01-04,ICFI,15.2099,133424
2007-01-05,ICFI,15.0,42414
2007-01-08,ICFI,14.67,37240
2007-01-09,ICFI,14.65,32274
2007-01-10,ICFI,14.75,134618
2007-01-11,ICFI,14.75,88753
2007-01-12,ICFI,14.87,20806
2007-01-16,ICFI,14.99,145978
2007-01-17,ICFI,14.89,101740
2007-01-18,ICFI,14.69,171917
2007-01-19,ICFI,14.65,69636
2007-01-22,ICFI,14.33,83021
2007-01-23,ICFI,14.5,114078
2007-01-24,ICFI,14.3,100113
2007-01-25,ICFI,14.26,49796
2007-01-26,ICFI,14.13,44931
2007-01-29,ICFI,13.87,139400
2007-01-30,ICFI,13.78,157520
2007-01-31,ICFI,13.69,61432
2007-02-01,ICFI,13.73,57971
2007-02-02,ICFI,13.75,28448
2007-02-05,ICFI,13.84,77303
2007-02-06,ICFI,13.69,33367
2007-02-07,ICFI,13.68,29713
2007-02-08,ICFI,13.63,28863
2007-02-09,ICFI,13.36,29605
2007-02-12,ICFI,13.78,20722
2007-02-13,ICFI,13.7,10900
2007-02-14,ICFI,13.85,79150
2007-02-15,ICFI,13.96,95376
2007-02-16,ICFI,13.95,25000
2007-02-20,ICFI,13.99,60731
2007-02-21,ICFI,14.19,81773
2007-02-22,ICFI,14.09,41438
2007-02-23,ICFI,14.26,79872
2007-02-26,ICFI,14.14,22451
2007-02-27,ICFI,13.98,39164
2007-02-28,ICFI,14.77,277622
2007-03-01,ICFI,15.23,241397
2007-03-02,ICFI,15.43,45577
2007-03-05,ICFI,15.49,20228
2007-03-06,ICFI,15.33,61252
2007-03-07,ICFI,15.14,6600
2007-03-08,ICFI,15.0,42706
2007-03-09,ICFI,14.75,42278
2007-03-12,ICFI,14.85,5092
2007-03-13,ICFI,14.69,28859
2007-03-14,ICFI,14.87,31396
2007-03-15,ICFI,14.85,6231
2007-03-16,ICFI,15.17,50235
2007-03-19,ICFI,15.25,60506
2007-03-20,ICFI,16.21,1115719
2007-03-21,ICFI,18.69,2743978
2007-03-22,ICFI,19.0,634917
2007-03-23,ICFI,18.31,376971
2007-03-26,ICFI,18.9,470287
2007-03-27,ICFI,18.64,182604
2007-03-28,ICFI,18.38,283750
2007-03-29,ICFI,18.91,208483
2007-03-30,ICFI,18.9,122121
2007-04-02,ICFI,19.39,334244
2007-04-03,ICFI,19.46,178089
2007-04-04,ICFI,19.13,165169
2007-04-05,ICFI,19.19,38675
2007-04-09,ICFI,18.98,95730
2007-04-10,ICFI,18.91,75831
2007-04-11,ICFI,19.4,572395
2007-04-12,ICFI,20.29,580219
2007-04-13,ICFI,21.43,385781
2007-04-16,ICFI,22.25,523659
2007-04-17,ICFI,22.18,246550
2007-04-18,ICFI,21.55,134501
2007-04-19,ICFI,21.31,276438
2007-04-20,ICFI,21.43,226058
2007-04-23,ICFI,21.38,120190
2007-04-24,ICFI,20.98,142413
2007-04-25,ICFI,20.77,117094
2007-04-26,ICFI,20.79,106178
2007-04-27,ICFI,20.73,182197
2007-04-30,ICFI,21.43,439676
2007-05-01,ICFI,21.7,212553
2007-05-02,ICFI,22.12,192854
2007-05-03,ICFI,21.95,166789
2007-05-04,ICFI,21.99,90821
2007-05-07,ICFI,21.85,139243
2007-05-08,ICFI,22.14,192060
2007-05-09,ICFI,23.42,358283
2007-05-10,ICFI,22.66,228350
2007-05-11,ICFI,22.9,235792
2007-05-14,ICFI,23.72,663095
2007-05-15,ICFI,20.22,2340661
2007-05-16,ICFI,20.33,459394
2007-05-17,ICFI,20.1,192954
2007-05-18,ICFI,19.88,159241
2007-05-21,ICFI,19.33,360148
2007-05-22,ICFI,19.61,211134
2007-05-23,ICFI,19.43,134203
2007-05-24,ICFI,19.11,137436
2007-05-25,ICFI,18.68,149779
2007-05-29,ICFI,18.18,274261
2007-05-30,ICFI,18.29,272074
2007-05-31,ICFI,18.42,189307
2007-06-01,ICFI,18.45,116391
2007-06-04,ICFI,18.81,161180
2007-06-05,ICFI,18.48,130281
2007-06-06,ICFI,18.25,131849
2007-06-07,ICFI,18.36,281324
2007-06-08,ICFI,19.1,148474
2007-06-11,ICFI,18.84,108115
2007-06-12,ICFI,18.71,173271
2007-06-13,ICFI,18.86,110825
2007-06-14,ICFI,19.04,117571
2007-06-15,ICFI,19.56,194875
2007-06-18,ICFI,19.35,97398
2007-06-19,ICFI,19.73,84329
2007-06-20,ICFI,19.36,80113
2007-06-21,ICFI,18.68,122412
2007-06-22,ICFI,18.24,54834
2007-06-25,ICFI,19.068,65460
2007-06-26,ICFI,19.25,78392
2007-06-27,ICFI,19.58,38778
2007-06-28,ICFI,19.22,60663
2007-06-29,ICFI,20.14,131762
2007-07-02,ICFI,20.36,102366
2007-07-03,ICFI,20.71,63909
2007-07-05,ICFI,21.3,74999
2007-07-06,ICFI,21.2,65930
2007-07-09,ICFI,21.35,51889
2007-07-10,ICFI,20.49,71480
2007-07-11,ICFI,20.99,128066
2007-07-12,ICFI,22.22,118716
2007-07-13,ICFI,22.11,140532
2007-07-16,ICFI,21.5,54096
2007-07-17,ICFI,21.78,41179
2007-07-18,ICFI,22.49,85875
2007-07-19,ICFI,22.1,50511
2007-07-20,ICFI,21.26,100776
2007-07-23,ICFI,21.45,108032
2007-07-24,ICFI,20.89,132521
2007-07-25,ICFI,21.22,102696
2007-07-26,ICFI,20.65,101433
2007-07-27,ICFI,20.33,96173
2007-07-30,ICFI,20.79,63217
2007-07-31,ICFI,20.67,38418
2007-08-01,ICFI,20.07,76545
2007-08-02,ICFI,19.76,96424
2007-08-03,ICFI,19.25,67059
2007-08-06,ICFI,19.05,85300
2007-08-07,ICFI,18.61,48860
2007-08-08,ICFI,18.65,167738
2007-08-09,ICFI,19.75,276681
2007-08-10,ICFI,22.01,354968
2007-08-13,ICFI,22.62,257308
2007-08-14,ICFI,21.25,137793
2007-08-15,ICFI,20.9,142455
2007-08-16,ICFI,20.38,160146
2007-08-17,ICFI,20.78,60811
2007-08-20,ICFI,20.79,47929
2007-08-21,ICFI,21.16,51115
2007-08-22,ICFI,21.96,152283
2007-08-23,ICFI,21.55,115612
2007-08-24,ICFI,21.61,62425
2007-08-27,ICFI,21.47,171236
2007-08-28,ICFI,21.06,66260
2007-08-29,ICFI,21.69,195493
2007-08-30,ICFI,22.88,172293
2007-08-31,ICFI,24.63,320258
2007-09-04,ICFI,26.12,550530
2007-09-05,ICFI,26.33,259949
2007-09-06,ICFI,25.07,256073
2007-09-07,ICFI,24.7399,305533
2007-09-10,ICFI,24.43,184181
2007-09-11,ICFI,25.53,193326
2007-09-12,ICFI,25.97,104367
2007-09-13,ICFI,26.07,75995
2007-09-14,ICFI,25.59,105777
2007-09-17,ICFI,26.0,63033
2007-09-18,ICFI,26.86,128263
2007-09-19,ICFI,27.14,112663
2007-09-20,ICFI,26.41,198756
2007-09-21,ICFI,27.16,90475
2007-09-24,ICFI,26.26,91395
2007-09-25,ICFI,27.37,81239
2007-09-26,ICFI,28.25,157319
2007-09-27,ICFI,27.7,160445
2007-09-28,ICFI,27.58,78655
2007-10-01,ICFI,27.75,148624
2007-10-02,ICFI,27.85,123891
2007-10-03,ICFI,27.52,112864
2007-10-04,ICFI,27.9,150776
2007-10-05,ICFI,28.1,72744
2007-10-08,ICFI,28.42,95459
2007-10-09,ICFI,29.19,94192
2007-10-10,ICFI,29.6,140450
2007-10-11,ICFI,29.85,133859
2007-10-12,ICFI,29.87,136554
2007-10-15,ICFI,29.57,123962
2007-10-16,ICFI,30.0,145608
2007-10-17,ICFI,31.13,206983
2007-10-18,ICFI,30.57,215892
2007-10-19,ICFI,28.43,184910
2007-10-22,ICFI,29.43,332494
2007-10-23,ICFI,30.46,290176
2007-10-24,ICFI,31.18,112203
2007-10-25,ICFI,31.48,160711
2007-10-26,ICFI,32.7,169062
2007-10-29,ICFI,33.59,216460
2007-10-30,ICFI,29.62,318229
2007-10-31,ICFI,31.05,149390
2007-11-01,ICFI,30.11,173351
2007-11-02,ICFI,28.12,162141
2007-11-05,ICFI,28.49,87409
2007-11-06,ICFI,29.5101,117159
2007-11-07,ICFI,29.19,295082
2007-11-08,ICFI,26.58,457780
2007-11-09,ICFI,26.49,187080
2007-11-12,ICFI,25.3,153100
2007-11-13,ICFI,25.02,237353
2007-11-14,ICFI,25.68,188503
2007-11-15,ICFI,24.81,102834
2007-11-16,ICFI,25.49,79989
2007-11-19,ICFI,24.49,146252
2007-11-20,ICFI,24.96,79394
2007-11-21,ICFI,23.93,83424
2007-11-23,ICFI,24.4,40479
2007-11-26,ICFI,24.21,100711
2007-11-27,ICFI,25.23,95471
2007-11-28,ICFI,25.47,160077
2007-11-29,ICFI,26.45,110354
2007-11-30,ICFI,25.85,84417
2007-12-03,ICFI,26.81,135700
2007-12-04,ICFI,26.53,143832
2007-12-05,ICFI,26.84,92463
2007-12-06,ICFI,26.69,102650
2007-12-07,ICFI,25.73,195242
2007-12-10,ICFI,26.65,184662
2007-12-11,ICFI,25.73,102446
2007-12-12,ICFI,25.79,103406
2007-12-13,ICFI,25.05,70770
2007-12-14,ICFI,24.72,45707
2007-12-17,ICFI,24.37,48765
2007-12-18,ICFI,24.95,76761
2007-12-19,ICFI,25.43,68822
2007-12-20,ICFI,25.12,53112
2007-12-21,ICFI,25.62,68402
2007-12-24,ICFI,24.97,26264
