ds,symbol,close,volume
2000-07-28,ILMN,19.585938,18615200
2000-07-31,ILMN,17.5,2481800
2000-08-01,ILMN,17.75,1216200
2000-08-02,ILMN,19.0625,856400
2000-08-03,ILMN,22.125,1368000
2000-08-04,ILMN,20.46875,1284200
2000-08-07,ILMN,21.125,565600
2000-08-08,ILMN,20.492188,329600
2000-08-09,ILMN,21.40625,326800
2000-08-10,ILMN,22.5,657800
2000-08-11,ILMN,20.9375,394800
2000-08-14,ILMN,20.0,473400
2000-08-15,ILMN,20.0,307000
2000-08-16,ILMN,21.3125,554200
2000-08-17,ILMN,20.9375,487200
2000-08-18,ILMN,22.0,164800
2000-08-21,ILMN,22.59375,314400
2000-08-22,ILMN,21.0625,362600
2000-08-23,ILMN,20.5625,332400
2000-08-24,ILMN,20.007813,214000
2000-08-25,ILMN,20.875,558400
2000-08-28,ILMN,20.8125,319200
2000-08-29,ILMN,21.25,172400
2000-08-30,ILMN,20.0,842800
2000-08-31,ILMN,22.375,890600
2000-09-01,ILMN,23.3125,376200
2000-09-05,ILMN,22.875,192000
2000-09-06,ILMN,21.0,443000
2000-09-07,ILMN,22.5,324800
2000-09-08,ILMN,21.46875,353000
2000-09-11,ILMN,20.5625,601600
2000-09-12,ILMN,20.375,247800
2000-09-13,ILMN,18.25,617400
2000-09-14,ILMN,18.5,275800
2000-09-15,ILMN,18.875,232200
2000-09-18,ILMN,17.0,342000
2000-09-19,ILMN,16.65625,567200
2000-09-20,ILMN,17.0,483200
2000-09-21,ILMN,17.6875,72400
2000-09-22,ILMN,19.625,174400
2000-09-25,ILMN,19.9375,534800
2000-09-26,ILMN,19.90625,599200
2000-09-27,ILMN,20.8125,148200
2000-09-28,ILMN,21.875,109800
2000-09-29,ILMN,22.6875,470000
2000-10-02,ILMN,22.875,91600
2000-10-03,ILMN,20.0,161800
2000-10-04,ILMN,18.0625,388000
2000-10-05,ILMN,17.8125,286200
2000-10-06,ILMN,15.03125,543200
2000-10-09,ILMN,15.375,1147400
2000-10-10,ILMN,16.25,689000
2000-10-11,ILMN,16.0,149000
2000-10-12,ILMN,16.125,310600
2000-10-13,ILMN,17.5625,56600
2000-10-16,ILMN,17.75,255600
2000-10-17,ILMN,18.09375,228400
2000-10-18,ILMN,17.375,92200
2000-10-19,ILMN,17.3125,64400
2000-10-20,ILMN,16.5,108000
2000-10-23,ILMN,17.0,132200
2000-10-24,ILMN,17.0625,415200
2000-10-25,ILMN,18.0,124200
2000-10-26,ILMN,19.375,502400
2000-10-27,ILMN,18.25,463600
2000-10-30,ILMN,16.25,160200
2000-10-31,ILMN,16.25,117000
2000-11-01,ILMN,16.78125,512400
2000-11-02,ILMN,17.8125,337000
2000-11-03,ILMN,18.25,119600
2000-11-06,ILMN,20.3125,512200
2000-11-07,ILMN,20.5,181200
2000-11-08,ILMN,20.3125,46000
2000-11-09,ILMN,19.4375,347000
2000-11-10,ILMN,19.0,159200
2000-11-13,ILMN,18.5,170800
2000-11-14,ILMN,16.96875,81800
2000-11-15,ILMN,15.875,226800
2000-11-16,ILMN,12.6875,524200
2000-11-17,ILMN,11.4375,397400
2000-11-20,ILMN,10.6875,415400
2000-11-21,ILMN,10.65625,2234000
2000-11-22,ILMN,8.0,474600
2000-11-24,ILMN,9.75,561400
2000-11-27,ILMN,9.59375,646200
2000-11-28,ILMN,8.875,408400
2000-11-29,ILMN,9.03125,384000
2000-11-30,ILMN,9.15625,208800
2000-12-01,ILMN,9.625,883000
2000-12-04,ILMN,9.8125,146200
2000-12-05,ILMN,12.0625,412800
2000-12-06,ILMN,11.6875,199600
2000-12-07,ILMN,11.625,463000
2000-12-08,ILMN,11.375,153400
2000-12-11,ILMN,10.5,120200
2000-12-12,ILMN,10.9375,793800
2000-12-13,ILMN,11.28125,736800
2000-12-14,ILMN,10.8125,110800
2000-12-15,ILMN,11.5,96800
2000-12-18,ILMN,11.8125,407800
2000-12-19,ILMN,10.875,459200
2000-12-20,ILMN,8.9375,157400
2000-12-21,ILMN,9.0,539400
2000-12-22,ILMN,9.5,122400
2000-12-26,ILMN,8.9375,46400
2000-12-27,ILMN,8.75,154600
2000-12-28,ILMN,8.5,183200
2000-12-29,ILMN,8.03125,470000
2001-01-02,ILMN,7.625,145200
2001-01-03,ILMN,6.90625,177800
2001-01-04,ILMN,7.0625,632800
2001-01-05,ILMN,5.96875,699000
2001-01-08,ILMN,4.4375,507600
2001-01-09,ILMN,4.3125,397200
2001-01-10,ILMN,5.25,181600
2001-01-11,ILMN,6.6875,293600
2001-01-12,ILMN,6.5,21400
2001-01-16,ILMN,6.75,191800
2001-01-17,ILMN,7.53125,171200
