ds,symbol,close,volume
2021-02-05,IMCR,43.2,3308038
2021-02-08,IMCR,56.34,699682
2021-02-09,IMCR,51.08,459750
2021-02-10,IMCR,52.94,175489
2021-02-11,IMCR,48.94,206736
2021-02-12,IMCR,47.66,85001
2021-02-16,IMCR,47.24,38676
2021-02-17,IMCR,47.73,109924
2021-02-18,IMCR,48.0,67553
2021-02-19,IMCR,49.22,149079
2021-02-22,IMCR,50.78,132934
2021-02-23,IMCR,47.61,126855
2021-02-24,IMCR,49.18,55694
2021-02-25,IMCR,49.0,69528
2021-02-26,IMCR,48.36,63515
2021-03-01,IMCR,49.05,57507
2021-03-02,IMCR,51.13,44756
2021-03-03,IMCR,49.31,63848
2021-03-04,IMCR,41.25,112035
2021-03-05,IMCR,41.0,68658
2021-03-08,IMCR,37.11,80608
2021-03-09,IMCR,37.78,44515
2021-03-10,IMCR,36.38,150121
2021-03-11,IMCR,37.73,114702
2021-03-12,IMCR,37.63,41185
2021-03-15,IMCR,36.94,54466
2021-03-16,IMCR,36.3,41481
2021-03-17,IMCR,37.2,62086
2021-03-18,IMCR,42.27,177684
2021-03-19,IMCR,43.43,175243
2021-03-22,IMCR,45.26,149382
2021-03-23,IMCR,46.2,99989
2021-03-24,IMCR,40.45,110146
2021-03-25,IMCR,42.87,63936
2021-03-26,IMCR,40.51,71633
2021-03-29,IMCR,38.88,74007
2021-03-30,IMCR,43.2,70182
2021-03-31,IMCR,42.57,265131
2021-04-01,IMCR,40.55,57272
2021-04-05,IMCR,41.5,16181
2021-04-06,IMCR,38.72,68115
2021-04-07,IMCR,36.06,105737
2021-04-08,IMCR,36.29,73053
2021-04-09,IMCR,35.47,37563
2021-04-12,IMCR,32.22,198254
2021-04-13,IMCR,33.0,148971
2021-04-14,IMCR,39.5,187730
2021-04-15,IMCR,39.39,119469
2021-04-16,IMCR,38.25,163483
2021-04-19,IMCR,39.19,75508
2021-04-20,IMCR,37.3,54434
2021-04-21,IMCR,36.41,57932
2021-04-22,IMCR,37.55,21172
2021-04-23,IMCR,37.56,105040
2021-04-26,IMCR,39.65,30602
2021-04-27,IMCR,40.62,107879
2021-04-28,IMCR,40.43,41092
2021-04-29,IMCR,40.0,65751
2021-04-30,IMCR,40.36,38116
2021-05-03,IMCR,41.23,70613
2021-05-04,IMCR,39.75,59716
2021-05-05,IMCR,39.91,41157
2021-05-06,IMCR,39.68,59788
2021-05-07,IMCR,40.31,25320
2021-05-10,IMCR,40.17,44768
2021-05-11,IMCR,41.38,38154
2021-05-12,IMCR,40.9,42231
2021-05-13,IMCR,40.75,52513
2021-05-14,IMCR,40.29,28721
2021-05-17,IMCR,37.5,54750
2021-05-18,IMCR,36.4,32837
2021-05-19,IMCR,34.58,89475
2021-05-20,IMCR,36.39,39177
2021-05-21,IMCR,37.27,44634
2021-05-24,IMCR,37.55,40451
2021-05-25,IMCR,37.72,51546
2021-05-26,IMCR,38.8,13552
2021-05-27,IMCR,39.56,6866
2021-05-28,IMCR,41.0,35952
2021-06-01,IMCR,39.9,39538
2021-06-02,IMCR,40.81,52567
2021-06-03,IMCR,40.46,50716
2021-06-04,IMCR,39.05,42063
2021-06-07,IMCR,40.08,35262
2021-06-08,IMCR,39.6,20347
2021-06-09,IMCR,39.1,20275
2021-06-10,IMCR,39.74,35159
2021-06-11,IMCR,39.2,23884
2021-06-14,IMCR,39.7,99301
2021-06-15,IMCR,38.98,34547
2021-06-16,IMCR,38.44,45199
2021-06-17,IMCR,37.7,54866
2021-06-18,IMCR,40.97,152963
2021-06-21,IMCR,39.24,15077
2021-06-22,IMCR,37.49,42772
2021-06-23,IMCR,36.5,18873
2021-06-24,IMCR,36.68,45834
2021-06-25,IMCR,37.09,77675
2021-06-28,IMCR,35.85,47833
2021-06-29,IMCR,35.28,46416
2021-06-30,IMCR,39.05,87764
2021-07-01,IMCR,39.39,67169
2021-07-02,IMCR,40.0,24682
2021-07-06,IMCR,38.96,20726
2021-07-07,IMCR,39.64,76469
2021-07-08,IMCR,39.37,60556
2021-07-09,IMCR,39.63,84611
2021-07-12,IMCR,39.01,41075
2021-07-13,IMCR,36.4,42698
2021-07-14,IMCR,34.91,64859
2021-07-15,IMCR,33.3,58181
2021-07-16,IMCR,35.55,80030
2021-07-19,IMCR,36.12,37153
2021-07-20,IMCR,35.67,113385
2021-07-21,IMCR,35.7,128704
2021-07-22,IMCR,34.7,32475
2021-07-23,IMCR,34.55,36252
2021-07-26,IMCR,34.25,46768
2021-07-27,IMCR,33.03,68455
2021-07-28,IMCR,32.94,39209
2021-07-29,IMCR,33.2,82171
2021-07-30,IMCR,32.72,72878
2021-08-02,IMCR,32.71,25046
2021-08-03,IMCR,31.1,33716
2021-08-04,IMCR,30.5,50987
2021-08-05,IMCR,31.95,50709
2021-08-06,IMCR,32.0,104414
2021-08-09,IMCR,32.75,50080
2021-08-10,IMCR,32.48,65826
2021-08-11,IMCR,31.34,70900
2021-08-12,IMCR,30.9,69966
2021-08-13,IMCR,30.72,94373
2021-08-16,IMCR,29.4,287583
2021-08-17,IMCR,30.07,100666
2021-08-18,IMCR,29.9,113031
2021-08-19,IMCR,28.0,65288
2021-08-20,IMCR,27.98,38523
2021-08-23,IMCR,29.05,144743
2021-08-24,IMCR,31.49,176565
2021-08-25,IMCR,30.5,264453
2021-08-26,IMCR,29.81,121968
2021-08-27,IMCR,31.51,60351
