ds,symbol,close,volume
2017-05-11,IR,88.43,1604241
2017-05-12,IR,88.01,1659812
2017-05-15,IR,88.53,1296128
2017-05-16,IR,88.81,1325343
2017-05-17,IR,87.71,1762836
2017-05-18,IR,88.17,1555748
2017-05-19,IR,89.24,1422938
2017-05-22,IR,89.23,1167764
2017-05-23,IR,89.03,1141439
2017-05-24,IR,88.52,2114182
2017-05-25,IR,89.31,988640
2017-05-26,IR,89.35,658160
2017-05-30,IR,89.19,885741
2017-05-31,IR,89.6,1550481
2017-06-01,IR,89.6,1370766
2017-06-02,IR,89.48,1134079
2017-06-05,IR,89.35,1888838
2017-06-06,IR,88.91,1361643
2017-06-07,IR,88.13,2033052
2017-06-08,IR,87.97,1693512
2017-06-09,IR,88.11,1735961
2017-06-12,IR,87.84,1647612
2017-06-13,IR,89.67,1822920
2017-06-14,IR,88.69,1728316
2017-06-15,IR,89.86,1136107
2017-06-16,IR,92.34,4128403
2017-06-19,IR,92.59,1953563
2017-06-20,IR,91.25,1642244
2017-06-21,IR,90.48,1972572
2017-06-22,IR,90.72,1281302
2017-06-23,IR,91.08,1825426
2017-06-26,IR,90.93,2307993
2017-06-27,IR,90.51,1588134
2017-06-28,IR,91.63,1345193
2017-06-29,IR,90.37,1529124
2017-06-30,IR,91.39,1170876
2017-07-03,IR,91.44,754927
2017-07-05,IR,92.16,1101815
2017-07-06,IR,92.12,1696350
2017-07-07,IR,93.25,1853984
2017-07-10,IR,93.73,1301764
2017-07-11,IR,92.91,1345436
2017-07-12,IR,93.51,1236469
2017-07-13,IR,92.85,1199679
2017-07-14,IR,92.83,1273627
2017-07-17,IR,93.07,1435820
2017-07-18,IR,92.46,1210322
2017-07-19,IR,93.2,1252011
2017-07-20,IR,92.18,1394596
2017-07-21,IR,91.67,1199473
2017-07-24,IR,91.05,1466161
2017-07-25,IR,90.47,1588849
2017-07-26,IR,86.94,4795863
2017-07-27,IR,87.78,2199302
2017-07-28,IR,88.54,1608939
2017-07-31,IR,87.88,1444727
2017-08-01,IR,86.49,2267417
2017-08-02,IR,87.15,2451894
2017-08-03,IR,86.73,1988484
2017-08-04,IR,88.18,1542663
