ds,symbol,close,volume
2016-10-20,IRTC,26.05,6006352
2016-10-21,IRTC,25.79,473623
2016-10-24,IRTC,26.7,244829
2016-10-25,IRTC,26.68,292900
2016-10-26,IRTC,25.74,134759
2016-10-27,IRTC,25.02,316208
2016-10-28,IRTC,24.25,256229
2016-10-31,IRTC,24.95,161742
2016-11-01,IRTC,25.74,127463
2016-11-02,IRTC,24.9,137568
2016-11-03,IRTC,23.36,249929
2016-11-04,IRTC,23.08,187995
2016-11-07,IRTC,23.52,185879
2016-11-08,IRTC,23.31,80389
2016-11-09,IRTC,23.75,159595
2016-11-10,IRTC,23.7,103040
2016-11-11,IRTC,24.23,291420
2016-11-14,IRTC,24.82,178612
2016-11-15,IRTC,25.68,107746
2016-11-16,IRTC,25.9,61489
2016-11-17,IRTC,27.45,85088
2016-11-18,IRTC,30.49,225560
2016-11-21,IRTC,29.97,116244
2016-11-22,IRTC,29.16,135790
2016-11-23,IRTC,29.21,84443
2016-11-25,IRTC,29.33,21427
2016-11-28,IRTC,29.77,82901
2016-11-29,IRTC,30.94,157293
2016-11-30,IRTC,30.5,79589
2016-12-01,IRTC,29.8,75005
2016-12-02,IRTC,28.98,198368
2016-12-05,IRTC,29.15,126855
2016-12-06,IRTC,27.5,411373
2016-12-07,IRTC,27.56,89059
2016-12-08,IRTC,27.0,131895
2016-12-09,IRTC,26.74,128012
2016-12-12,IRTC,26.0,158067
2016-12-13,IRTC,25.76,186814
2016-12-14,IRTC,25.12,263085
2016-12-15,IRTC,26.63,261707
2016-12-16,IRTC,27.6,968325
2016-12-19,IRTC,27.88,75183
2016-12-20,IRTC,27.85,99624
2016-12-21,IRTC,27.53,32587
2016-12-22,IRTC,27.5,68173
2016-12-23,IRTC,28.32,70765
2016-12-27,IRTC,28.43,99466
2016-12-28,IRTC,28.75,173681
2016-12-29,IRTC,28.96,117597
2016-12-30,IRTC,30.0,158615
2017-01-03,IRTC,29.99,225225
2017-01-04,IRTC,29.7,113514
2017-01-05,IRTC,29.61,90282
2017-01-06,IRTC,30.0,238073
2017-01-09,IRTC,31.5,132443
2017-01-10,IRTC,31.6,101704
2017-01-11,IRTC,31.17,139851
2017-01-12,IRTC,30.77,83264
2017-01-13,IRTC,30.56,175378
2017-01-17,IRTC,29.66,209260
2017-01-18,IRTC,29.41,65723
2017-01-19,IRTC,29.58,62938
2017-01-20,IRTC,29.99,66012
2017-01-23,IRTC,29.8,116051
2017-01-24,IRTC,30.48,94320
2017-01-25,IRTC,30.88,93596
2017-01-26,IRTC,30.96,75249
2017-01-27,IRTC,31.39,59114
2017-01-30,IRTC,31.45,63284
2017-01-31,IRTC,32.63,182839
2017-02-01,IRTC,32.71,246059
2017-02-02,IRTC,32.66,66999
2017-02-03,IRTC,32.71,70490
2017-02-06,IRTC,32.9,53079
2017-02-07,IRTC,34.5,327999
2017-02-08,IRTC,36.22,219928
2017-02-09,IRTC,35.61,157424
2017-02-10,IRTC,35.86,107124
2017-02-13,IRTC,36.69,191497
2017-02-14,IRTC,36.09,110990
2017-02-15,IRTC,35.99,174444
2017-02-16,IRTC,35.25,660516
2017-02-17,IRTC,37.85,296807
2017-02-21,IRTC,38.25,125603
2017-02-22,IRTC,39.09,100660
2017-02-23,IRTC,39.84,113354
2017-02-24,IRTC,39.72,71398
2017-02-27,IRTC,39.72,104580
2017-02-28,IRTC,38.52,166368
2017-03-01,IRTC,39.4,143364
2017-03-02,IRTC,38.5,48932
2017-03-03,IRTC,37.46,69588
2017-03-06,IRTC,36.43,127022
2017-03-07,IRTC,36.13,68936
2017-03-08,IRTC,35.66,90325
2017-03-09,IRTC,35.12,55375
2017-03-10,IRTC,35.27,79164
2017-03-13,IRTC,35.31,62961
2017-03-14,IRTC,35.31,89685
2017-03-15,IRTC,35.38,67385
2017-03-16,IRTC,35.55,124574
2017-03-17,IRTC,37.49,313150
2017-03-20,IRTC,35.86,201179
2017-03-21,IRTC,35.02,249142
2017-03-22,IRTC,34.71,84239
2017-03-23,IRTC,34.94,81784
2017-03-24,IRTC,35.36,120890
2017-03-27,IRTC,36.27,124034
2017-03-28,IRTC,36.14,85490
2017-03-29,IRTC,36.58,140251
2017-03-30,IRTC,36.39,166879
2017-03-31,IRTC,37.6,208457
2017-04-03,IRTC,37.13,155555
2017-04-04,IRTC,37.21,145554
2017-04-05,IRTC,37.08,156756
2017-04-06,IRTC,36.58,167576
2017-04-07,IRTC,36.45,97270
2017-04-10,IRTC,37.17,121612
2017-04-11,IRTC,36.89,148063
2017-04-12,IRTC,35.63,130067
2017-04-13,IRTC,34.93,217763
2017-04-17,IRTC,34.95,236678
2017-04-18,IRTC,33.79,430870
2017-04-19,IRTC,33.34,334798
2017-04-20,IRTC,33.56,776714
2017-04-21,IRTC,33.63,590908
2017-04-24,IRTC,33.5,965395
2017-04-25,IRTC,33.41,481752
2017-04-26,IRTC,34.61,731815
2017-04-27,IRTC,35.24,612139
2017-04-28,IRTC,35.29,518676
2017-05-01,IRTC,35.25,274121
2017-05-02,IRTC,36.97,951919
2017-05-03,IRTC,36.59,251881
2017-05-04,IRTC,34.96,991586
2017-05-05,IRTC,34.83,635306
2017-05-08,IRTC,32.74,490378
2017-05-09,IRTC,33.33,287013
2017-05-10,IRTC,33.78,308287
2017-05-11,IRTC,35.29,386920
2017-05-12,IRTC,34.98,413890
2017-05-15,IRTC,35.11,190527
2017-05-16,IRTC,36.21,428298
2017-05-17,IRTC,35.26,290065
2017-05-18,IRTC,35.21,331129
2017-05-19,IRTC,35.5,186853
2017-05-22,IRTC,35.03,225930
2017-05-23,IRTC,34.86,177551
2017-05-24,IRTC,35.05,167042
2017-05-25,IRTC,34.92,215128
2017-05-26,IRTC,34.01,286741
2017-05-30,IRTC,34.75,368836
2017-05-31,IRTC,34.68,427802
2017-06-01,IRTC,35.49,730223
2017-06-02,IRTC,35.83,1131748
2017-06-05,IRTC,35.67,408733
2017-06-06,IRTC,36.48,792905
2017-06-07,IRTC,37.15,876410
2017-06-08,IRTC,38.0,977826
2017-06-09,IRTC,37.89,357611
2017-06-12,IRTC,36.77,444901
2017-06-13,IRTC,38.03,383735
2017-06-14,IRTC,39.03,533800
2017-06-15,IRTC,38.14,175009
2017-06-16,IRTC,38.74,290299
2017-06-19,IRTC,39.96,488189
2017-06-20,IRTC,39.33,206986
2017-06-21,IRTC,39.64,243154
2017-06-22,IRTC,39.35,305898
2017-06-23,IRTC,40.38,1212204
2017-06-26,IRTC,40.61,287722
2017-06-27,IRTC,40.31,312449
2017-06-28,IRTC,42.92,1374594
2017-06-29,IRTC,42.32,378720
2017-06-30,IRTC,42.49,202436
2017-07-03,IRTC,42.45,145939
2017-07-05,IRTC,42.89,144453
2017-07-06,IRTC,41.86,247825
2017-07-07,IRTC,42.55,148443
2017-07-10,IRTC,41.93,276100
2017-07-11,IRTC,42.46,159234
2017-07-12,IRTC,42.17,295701
2017-07-13,IRTC,41.83,164921
2017-07-14,IRTC,42.04,200028
2017-07-17,IRTC,41.04,222931
2017-07-18,IRTC,41.03,179827
2017-07-19,IRTC,41.56,140137
2017-07-20,IRTC,42.2,88101
2017-07-21,IRTC,42.8,277458
2017-07-24,IRTC,42.8,170067
2017-07-25,IRTC,42.48,157156
2017-07-26,IRTC,42.35,112299
2017-07-27,IRTC,41.3,220156
2017-07-28,IRTC,40.87,202824
2017-07-31,IRTC,41.36,494718
2017-08-01,IRTC,40.91,253328
2017-08-02,IRTC,40.56,354677
2017-08-03,IRTC,44.23,1310356
2017-08-04,IRTC,43.88,316522
2017-08-07,IRTC,43.25,325321
