ds,symbol,close,volume
1993-10-05,IT,3.21875,25536800
1993-10-06,IT,3.1875,4008000
1993-10-07,IT,3.1875,1502400
1993-10-08,IT,3.1875,1222400
1993-10-11,IT,3.125,1073600
1993-10-12,IT,3.09375,765600
1993-10-13,IT,3.125,960000
1993-10-14,IT,3.125,1547200
1993-10-15,IT,3.15625,524800
1993-10-18,IT,3.28125,1245600
1993-10-19,IT,3.390625,1716800
1993-10-20,IT,3.28125,1695200
1993-10-21,IT,3.28125,719200
1993-10-22,IT,3.28125,396000
1993-10-25,IT,3.3125,292000
1993-10-26,IT,3.28125,436000
1993-10-27,IT,3.34375,317600
1993-10-28,IT,3.34375,440800
1993-10-29,IT,3.28125,1345600
1993-11-01,IT,3.4375,1580800
1993-11-02,IT,3.390625,1986400
1993-11-03,IT,3.53125,2524000
1993-11-04,IT,3.5625,1926400
1993-11-05,IT,3.5625,652800
1993-11-08,IT,3.59375,293600
1993-11-09,IT,3.5,534400
1993-11-10,IT,3.578125,264800
1993-11-11,IT,3.84375,1232800
1993-11-12,IT,3.953125,1564800
1993-11-15,IT,3.9375,452800
1993-11-16,IT,4.078125,1070400
1993-11-17,IT,4.125,164000
1993-11-18,IT,3.96875,1188000
1993-11-19,IT,3.8125,419200
1993-11-22,IT,3.71875,602400
1993-11-23,IT,3.734375,466400
1993-11-24,IT,3.71875,36000
1993-11-26,IT,3.78125,10400
1993-11-29,IT,3.78125,70400
1993-11-30,IT,3.84375,734400
1993-12-01,IT,3.875,154400
1993-12-02,IT,3.84375,114400
1993-12-03,IT,3.921875,173600
1993-12-06,IT,3.90625,34400
1993-12-07,IT,3.96875,46400
1993-12-08,IT,3.90625,188800
1993-12-09,IT,3.90625,284800
1993-12-10,IT,3.90625,188000
1993-12-13,IT,3.84375,476800
1993-12-14,IT,3.90625,564000
1993-12-15,IT,3.9375,373600
1993-12-16,IT,4.09375,436000
1993-12-17,IT,4.0625,64800
1993-12-20,IT,4.21875,316800
1993-12-21,IT,4.34375,231200
1993-12-22,IT,4.375,162400
1993-12-23,IT,4.40625,879200
1993-12-27,IT,4.40625,433600
1993-12-28,IT,4.40625,90400
1993-12-29,IT,4.40625,144800
1993-12-30,IT,4.28125,517600
1993-12-31,IT,4.3125,452000
1994-01-03,IT,4.34375,88000
1994-01-04,IT,4.5625,604000
1994-01-05,IT,4.6875,886400
1994-01-06,IT,4.78125,180000
1994-01-07,IT,4.78125,708000
1994-01-10,IT,4.8125,356000
1994-01-11,IT,4.828125,135200
1994-01-12,IT,4.6875,319200
1994-01-13,IT,4.75,108800
1994-01-14,IT,4.5625,361600
1994-01-17,IT,4.625,99200
1994-01-18,IT,4.53125,92000
1994-01-19,IT,4.59375,160000
1994-01-20,IT,4.46875,246400
1994-01-21,IT,4.625,417600
1994-01-24,IT,4.78125,367200
1994-01-25,IT,4.671875,772800
1994-01-26,IT,4.71875,213600
1994-01-27,IT,5.0,812800
1994-01-28,IT,4.96875,2252000
1994-01-31,IT,5.1875,454400
1994-02-01,IT,5.25,332000
1994-02-02,IT,5.125,125600
1994-02-03,IT,5.0625,476800
1994-02-04,IT,4.78125,294400
1994-02-07,IT,4.9375,566400
1994-02-08,IT,5.03125,152800
1994-02-09,IT,5.0625,137600
1994-02-10,IT,5.03125,454400
1994-02-11,IT,4.90625,180800
1994-02-14,IT,5.0,212000
1994-02-15,IT,5.0625,241600
1994-02-16,IT,5.21875,443200
1994-02-17,IT,5.15625,414400
1994-02-18,IT,5.1875,224800
1994-02-22,IT,5.0,272000
1994-02-23,IT,5.0,146400
1994-02-24,IT,4.890625,715200
1994-02-25,IT,5.03125,370400
1994-02-28,IT,5.25,470400
1994-03-01,IT,5.1875,129600
1994-03-02,IT,4.96875,92800
1994-03-03,IT,5.109375,192800
1994-03-04,IT,5.125,261600
1994-03-07,IT,5.15625,39200
1994-03-08,IT,5.1875,205600
1994-03-09,IT,5.15625,188800
1994-03-10,IT,5.03125,336800
1994-03-11,IT,4.9375,152800
1994-03-14,IT,4.9375,49600
1994-03-15,IT,5.03125,105600
1994-03-16,IT,4.9375,3200
1994-03-17,IT,4.96875,729600
1994-03-18,IT,4.9375,956800
1994-03-21,IT,5.0,134400
1994-03-22,IT,4.90625,215200
1994-03-23,IT,4.90625,23200
1994-03-24,IT,4.71875,102400
1994-03-25,IT,4.71875,59200
1994-03-28,IT,4.625,171200
1994-03-29,IT,4.5625,692800
1994-03-30,IT,4.21875,1658400
1994-03-31,IT,4.25,495200
1994-04-04,IT,4.15625,2156000
1994-04-05,IT,4.34375,252000
1994-04-06,IT,4.46875,900800
1994-04-07,IT,4.46875,335200
