ds,symbol,close,volume
1999-06-25,JNPR,16.479168,44833800
1999-06-28,JNPR,16.520832,9166200
1999-06-29,JNPR,19.25,14730000
1999-06-30,JNPR,24.833332,16852800
1999-07-01,JNPR,24.333332,9501000
1999-07-02,JNPR,23.791668,3912600
1999-07-06,JNPR,23.25,3632400
1999-07-07,JNPR,22.510418,4234800
1999-07-08,JNPR,21.333332,2370000
1999-07-09,JNPR,22.125,2935200
1999-07-12,JNPR,21.333332,1416000
1999-07-13,JNPR,20.833332,1843800
1999-07-14,JNPR,22.010418,3486000
1999-07-15,JNPR,24.916668,5128200
1999-07-16,JNPR,23.8125,5008800
1999-07-19,JNPR,22.5,2044800
1999-07-20,JNPR,23.0,3841800
1999-07-21,JNPR,23.958332,12091200
1999-07-22,JNPR,24.75,7816800
1999-07-23,JNPR,24.3125,3629400
1999-07-26,JNPR,24.041668,4404000
1999-07-27,JNPR,24.354168,2255400
1999-07-28,JNPR,23.958332,2297400
1999-07-29,JNPR,24.166668,1638000
1999-07-30,JNPR,27.072918,9073800
1999-08-02,JNPR,26.875,6874200
1999-08-03,JNPR,25.895832,6499800
1999-08-04,JNPR,25.979168,4508400
1999-08-05,JNPR,26.276043,5100000
1999-08-06,JNPR,26.666668,3399000
1999-08-09,JNPR,27.072918,2832600
1999-08-10,JNPR,28.489582,3091800
1999-08-11,JNPR,30.895832,4552200
1999-08-12,JNPR,32.833332,4590600
1999-08-13,JNPR,35.625,6362400
1999-08-16,JNPR,34.0,4176000
1999-08-17,JNPR,36.432293,4975800
1999-08-18,JNPR,34.46875,3699600
1999-08-19,JNPR,34.5,2773800
1999-08-20,JNPR,34.104168,1428000
1999-08-23,JNPR,37.833332,4897800
1999-08-24,JNPR,36.885418,7678800
1999-08-25,JNPR,36.083332,3115200
1999-08-26,JNPR,35.885418,3348000
1999-08-27,JNPR,36.333332,2197200
1999-08-30,JNPR,35.010418,2007600
1999-08-31,JNPR,34.166668,2745600
1999-09-01,JNPR,30.041668,12541200
1999-09-02,JNPR,33.104168,13288800
1999-09-03,JNPR,32.208332,7052400
1999-09-07,JNPR,32.25,1929600
1999-09-08,JNPR,32.25,3897600
1999-09-09,JNPR,32.03125,1240800
1999-09-10,JNPR,31.916668,1700400
1999-09-13,JNPR,30.0,1663200
1999-09-14,JNPR,30.520832,2368800
1999-09-15,JNPR,30.744793,4597800
1999-09-16,JNPR,30.5625,2417400
1999-09-17,JNPR,30.416668,1386000
1999-09-20,JNPR,30.5,1418400
1999-09-21,JNPR,31.166668,3106800
1999-09-22,JNPR,31.625,1777800
1999-09-23,JNPR,30.489582,3078000
1999-09-24,JNPR,33.15625,3400800
1999-09-27,JNPR,34.479168,7338000
1999-09-28,JNPR,32.875,4234200
1999-09-29,JNPR,31.90625,3924000
1999-09-30,JNPR,30.34375,25374000
1999-10-01,JNPR,30.838543,8881800
1999-10-04,JNPR,30.354168,2006400
1999-10-05,JNPR,30.666668,6773400
1999-10-06,JNPR,31.8125,5298600
1999-10-07,JNPR,32.979168,6293400
1999-10-08,JNPR,35.5,4926000
1999-10-11,JNPR,40.666668,7929600
1999-10-12,JNPR,37.083332,11836800
1999-10-13,JNPR,36.5,8487000
1999-10-14,JNPR,36.791668,4494000
1999-10-15,JNPR,36.104168,3349200
1999-10-18,JNPR,38.125,7405800
1999-10-19,JNPR,39.322918,5288400
1999-10-20,JNPR,41.25,7446000
1999-10-21,JNPR,43.125,7382400
1999-10-22,JNPR,43.625,12225000
1999-10-25,JNPR,42.958332,3238200
1999-10-26,JNPR,42.041668,2779800
1999-10-27,JNPR,41.65625,2317200
