ds,symbol,close,volume
2020-11-09,JOBY,10.5,3148
2020-11-10,JOBY,10.79,10960
2020-11-11,JOBY,10.99,29173
2020-11-12,JOBY,10.62,13403
2020-11-13,JOBY,10.71,3246
2020-11-16,JOBY,10.7,26534
2020-11-17,JOBY,10.6,198245
2020-11-18,JOBY,10.62,47725
2020-11-19,JOBY,10.65,456714
2020-11-20,JOBY,10.75,295021
2020-11-23,JOBY,10.75,176468
2020-11-24,JOBY,10.89,130980
2020-11-25,JOBY,10.93,95207
2020-11-27,JOBY,11.25,87511
2020-11-30,JOBY,11.25,216173
2020-12-01,JOBY,11.0,103840
2020-12-02,JOBY,11.02,75619
2020-12-03,JOBY,11.0,128683
2020-12-04,JOBY,11.0885,191169
2020-12-07,JOBY,11.07,204887
2020-12-08,JOBY,11.11,260914
2020-12-09,JOBY,11.29,1011545
2020-12-10,JOBY,11.21,596705
2020-12-11,JOBY,11.22,830510
2020-12-14,JOBY,11.15,654443
2020-12-15,JOBY,11.18,335118
2020-12-16,JOBY,11.11,244835
2020-12-17,JOBY,11.12,283068
2020-12-18,JOBY,11.3,152680
2020-12-21,JOBY,11.3,807141
2020-12-22,JOBY,11.56,444048
2020-12-23,JOBY,11.7,398693
2020-12-24,JOBY,11.75,295640
2020-12-28,JOBY,11.84,677020
2020-12-29,JOBY,11.53,625193
2020-12-30,JOBY,11.36,361234
2020-12-31,JOBY,11.56,319816
2021-01-04,JOBY,11.59,361133
2021-01-05,JOBY,11.47,216267
2021-01-06,JOBY,11.17,597096
2021-01-07,JOBY,11.47,900636
2021-01-08,JOBY,11.75,731684
2021-01-11,JOBY,11.79,391598
2021-01-12,JOBY,11.97,906745
2021-01-13,JOBY,12.17,965698
2021-01-14,JOBY,12.22,882705
2021-01-15,JOBY,11.9,668051
2021-01-19,JOBY,12.1,1080005
2021-01-20,JOBY,13.52,1514754
2021-01-21,JOBY,13.71,1281958
2021-01-22,JOBY,13.95,1062500
2021-01-25,JOBY,13.45,1026369
2021-01-26,JOBY,12.74,1200643
2021-01-27,JOBY,12.12,1380475
2021-01-28,JOBY,12.19,799201
2021-01-29,JOBY,12.26,483884
2021-02-01,JOBY,12.78,1499177
2021-02-02,JOBY,12.81,1009625
2021-02-03,JOBY,13.02,561438
2021-02-04,JOBY,12.73,814117
2021-02-05,JOBY,13.02,2500357
2021-02-08,JOBY,13.94,6329922
2021-02-09,JOBY,13.69,1776209
2021-02-10,JOBY,13.43,966325
2021-02-11,JOBY,13.64,2440516
2021-02-12,JOBY,14.49,5636191
2021-02-16,JOBY,15.7,4004581
2021-02-17,JOBY,15.33,1870770
2021-02-18,JOBY,14.93,1863769
2021-02-19,JOBY,15.12,1554311
2021-02-22,JOBY,14.63,1506609
2021-02-23,JOBY,12.94,3276395
2021-02-24,JOBY,13.46,25003862
2021-02-25,JOBY,12.0,9086568
2021-02-26,JOBY,11.74,6924226
2021-03-01,JOBY,11.9,4919790
2021-03-02,JOBY,11.29,3686959
2021-03-03,JOBY,10.71,5735550
2021-03-04,JOBY,10.65,4705103
2021-03-05,JOBY,11.02,4121685
2021-03-08,JOBY,10.69,2313444
2021-03-09,JOBY,10.85,2745023
2021-03-10,JOBY,10.98,2205030
2021-03-11,JOBY,11.28,1626096
2021-03-12,JOBY,11.01,829163
2021-03-15,JOBY,10.89,1080931
2021-03-16,JOBY,10.73,1098954
2021-03-17,JOBY,10.93,928374
2021-03-18,JOBY,10.67,1006214
2021-03-19,JOBY,10.55,1427603
2021-03-22,JOBY,10.59,976947
2021-03-23,JOBY,10.35,1215841
2021-03-24,JOBY,10.18,4226314
2021-03-25,JOBY,10.1,3540199
2021-03-26,JOBY,10.18,1639354
2021-03-29,JOBY,10.29,1170469
2021-03-30,JOBY,10.19,1122558
2021-03-31,JOBY,10.15,1301244
2021-04-01,JOBY,10.17,1174198
2021-04-05,JOBY,10.12,1189592
2021-04-06,JOBY,10.15,756837
2021-04-07,JOBY,10.11,1204851
2021-04-08,JOBY,10.29,952512
2021-04-09,JOBY,10.17,852160
2021-04-12,JOBY,10.12,1164002
2021-04-13,JOBY,10.12,952997
2021-04-14,JOBY,10.11,916712
2021-04-15,JOBY,10.1,1426953
2021-04-16,JOBY,10.07,920400
2021-04-19,JOBY,9.99,1249301
2021-04-20,JOBY,9.95,914593
2021-04-21,JOBY,10.01,1066825
2021-04-22,JOBY,10.03,678280
2021-04-23,JOBY,9.98,558882
2021-04-26,JOBY,10.04,627039
2021-04-27,JOBY,10.07,378913
2021-04-28,JOBY,9.98,671879
2021-04-29,JOBY,9.94,731574
2021-04-30,JOBY,9.9,1152981
2021-05-03,JOBY,9.95,929885
2021-05-04,JOBY,9.91,840711
2021-05-05,JOBY,9.91,297712
2021-05-06,JOBY,9.9,1474158
2021-05-07,JOBY,9.9,1394917
2021-05-10,JOBY,9.89,1931062
2021-05-11,JOBY,9.87,1256114
2021-05-12,JOBY,9.85,1309060
2021-05-13,JOBY,9.84,1079316
2021-05-14,JOBY,9.88,1147477
2021-05-17,JOBY,9.92,530177
2021-05-18,JOBY,9.91,214808
2021-05-19,JOBY,9.91,1510714
2021-05-20,JOBY,9.91,982578
2021-05-21,JOBY,9.91,536022
2021-05-24,JOBY,9.91,359844
2021-05-25,JOBY,9.91,270520
2021-05-26,JOBY,9.92,279790
2021-05-27,JOBY,9.95,469216
2021-05-28,JOBY,9.95,639105
