ds,symbol,close,volume
1992-11-03,KAI,19.166668,29070
1992-11-04,KAI,19.166668,9180
1992-11-05,KAI,18.888889,16470
1992-11-06,KAI,18.888889,7380
1992-11-09,KAI,19.166668,33390
1992-11-10,KAI,18.888889,17775
1992-11-11,KAI,19.444445,39375
1992-11-12,KAI,18.611111,11385
1992-11-13,KAI,18.888889,765
1992-11-16,KAI,18.611111,4545
1992-11-17,KAI,18.333332,9270
1992-11-18,KAI,18.055555,70920
1992-11-19,KAI,18.055555,1845
1992-11-20,KAI,18.888889,18090
1992-11-23,KAI,19.722221,12780
1992-11-24,KAI,20.277779,52920
1992-11-25,KAI,20.0,5850
1992-11-27,KAI,20.277779,2475
1992-11-30,KAI,20.555555,7560
1992-12-01,KAI,21.388889,22590
1992-12-02,KAI,20.833332,7065
1992-12-03,KAI,21.111111,52425
1992-12-04,KAI,21.111111,4275
1992-12-07,KAI,20.833332,4545
1992-12-08,KAI,20.277779,4050
1992-12-09,KAI,20.833332,4275
1992-12-10,KAI,21.111111,3960
1992-12-11,KAI,20.833332,24795
1992-12-14,KAI,22.222221,9180
1992-12-15,KAI,22.222221,4275
1992-12-16,KAI,22.222221,1665
1992-12-17,KAI,22.222221,3375
1992-12-18,KAI,22.222221,3375
1992-12-21,KAI,21.666668,1440
1992-12-22,KAI,21.388889,16650
1992-12-23,KAI,21.388889,2745
1992-12-24,KAI,21.388889,45
1992-12-28,KAI,21.111111,675
1992-12-29,KAI,20.833332,1350
1992-12-30,KAI,21.111111,3375
1992-12-31,KAI,21.111111,3645
1993-01-04,KAI,20.833332,1665
1993-01-05,KAI,21.944445,17595
1993-01-06,KAI,22.777779,20385
1993-01-07,KAI,24.166668,42300
1993-01-08,KAI,24.166668,15750
1993-01-11,KAI,23.333332,10170
1993-01-12,KAI,22.777779,6165
1993-01-13,KAI,22.5,11160
1993-01-14,KAI,23.333332,4545
1993-01-15,KAI,23.611111,2565
1993-01-18,KAI,23.055555,3465
1993-01-19,KAI,23.333332,4860
1993-01-20,KAI,23.333332,6165
1993-01-21,KAI,23.888889,1350
1993-01-22,KAI,23.888889,3645
1993-01-25,KAI,23.611111,6480
1993-01-26,KAI,24.166668,4050
1993-01-27,KAI,24.166668,11160
1993-01-28,KAI,24.166668,3240
1993-01-29,KAI,24.166668,2655
1993-02-01,KAI,23.888889,4275
1993-02-02,KAI,24.166668,7965
1993-02-03,KAI,25.0,16875
1993-02-04,KAI,25.833332,26190
1993-02-05,KAI,26.111111,3240
1993-02-08,KAI,26.111111,4455
1993-02-09,KAI,26.111111,855
1993-02-10,KAI,25.833332,1575
1993-02-11,KAI,25.833332,675
1993-02-12,KAI,25.0,3780
1993-02-16,KAI,23.888889,14985
1993-02-17,KAI,24.166668,1260
1993-02-18,KAI,23.611111,12960
1993-02-19,KAI,24.166668,5355
1993-02-22,KAI,24.722221,1575
1993-02-23,KAI,25.0,3060
1993-02-24,KAI,24.444445,9450
1993-02-25,KAI,24.444445,2475
1993-02-26,KAI,25.0,12960
1993-03-01,KAI,25.0,9360
1993-03-02,KAI,25.0,14265
1993-03-03,KAI,25.277779,7560
1993-03-04,KAI,25.277779,5850
1993-03-05,KAI,25.277779,8280
1993-03-08,KAI,26.111111,9045
1993-03-09,KAI,25.833332,12690
1993-03-10,KAI,26.388889,1350
1993-03-11,KAI,26.111111,8865
1993-03-12,KAI,25.555555,1170
1993-03-15,KAI,25.277779,945
1993-03-16,KAI,25.0,1350
1993-03-17,KAI,25.0,15075
1993-03-18,KAI,24.722221,5670
1993-03-19,KAI,25.0,70020
1993-03-22,KAI,24.722221,19755
1993-03-23,KAI,24.166668,7380
1993-03-24,KAI,24.444445,10350
1993-03-25,KAI,24.444445,6840
1993-03-26,KAI,24.444445,9585
1993-03-29,KAI,24.166668,5175
1993-03-30,KAI,25.0,15480
1993-03-31,KAI,24.722221,19260
1993-04-01,KAI,24.722221,11745
1993-04-02,KAI,24.722221,5760
1993-04-05,KAI,24.722221,10350
1993-04-06,KAI,24.444445,2475
1993-04-07,KAI,24.444445,2565
1993-04-08,KAI,24.444445,6750
1993-04-12,KAI,23.888889,3555
1993-04-13,KAI,23.611111,540
1993-04-14,KAI,24.166668,3645
1993-04-15,KAI,24.166668,2745
1993-04-16,KAI,23.888889,855
1993-04-19,KAI,23.888889,4860
1993-04-20,KAI,23.611111,5850
1993-04-21,KAI,23.333332,450
1993-04-22,KAI,23.333332,135
1993-04-23,KAI,23.611111,135
1993-04-26,KAI,23.055555,2070
1993-04-27,KAI,23.055555,5355
1993-04-28,KAI,23.055555,45
1993-04-29,KAI,23.055555,540
1993-04-30,KAI,23.888889,3780
1993-05-03,KAI,23.611111,5940
1993-05-04,KAI,23.333332,1845
1993-05-05,KAI,23.611111,4275
1993-05-06,KAI,23.055555,855
1993-05-07,KAI,23.055555,0
1993-05-10,KAI,23.333332,855
1993-05-11,KAI,23.055555,360
1993-05-12,KAI,22.777779,450
1993-05-13,KAI,22.777779,540
1993-05-14,KAI,22.777779,0
1993-05-17,KAI,22.777779,270
1993-05-18,KAI,22.5,4455
1993-05-19,KAI,22.5,135
1993-05-20,KAI,22.222221,135
1993-05-21,KAI,22.5,270
1993-05-24,KAI,22.222221,4140
1993-05-25,KAI,21.388889,17865
1993-05-26,KAI,20.555555,13950
1993-05-27,KAI,20.833332,4545
1993-05-28,KAI,20.555555,17370
1993-06-01,KAI,19.722221,3555
1993-06-02,KAI,20.555555,32265
1993-06-03,KAI,20.555555,14175
1993-06-04,KAI,20.833332,5265
1993-06-07,KAI,20.833332,675
1993-06-08,KAI,20.555555,1170
1993-06-09,KAI,20.833332,2250
1993-06-10,KAI,20.555555,945
1993-06-11,KAI,20.833332,8370
1993-06-14,KAI,20.833332,3150
1993-06-15,KAI,20.833332,5355
1993-06-16,KAI,21.111111,450
1993-06-17,KAI,21.111111,675
1993-06-18,KAI,20.833332,270
1993-06-21,KAI,20.555555,5850
1993-06-22,KAI,20.833332,2880
1993-06-23,KAI,20.555555,2340
1993-06-24,KAI,20.555555,675
1993-06-25,KAI,20.833332,270
1993-06-28,KAI,21.388889,11745
1993-06-29,KAI,20.833332,2340
1993-06-30,KAI,21.111111,9765
1993-07-01,KAI,20.277779,22095
1993-07-02,KAI,19.722221,1035
1993-07-06,KAI,19.444445,15165
1993-07-07,KAI,19.722221,14175
1993-07-08,KAI,22.222221,23580
1993-07-09,KAI,23.333332,10755
1993-07-12,KAI,23.333332,9585
1993-07-13,KAI,23.333332,360
1993-07-14,KAI,23.055555,1350
1993-07-15,KAI,22.777779,675
1993-07-16,KAI,22.777779,2880
1993-07-19,KAI,23.055555,540
1993-07-20,KAI,22.777779,4455
1993-07-21,KAI,22.777779,450
1993-07-22,KAI,22.777779,135
1993-07-23,KAI,22.5,3645
1993-07-26,KAI,22.5,360
1993-07-27,KAI,23.055555,1665
1993-07-28,KAI,22.5,7155
1993-07-29,KAI,23.055555,2475
1993-07-30,KAI,23.055555,1575
1993-08-02,KAI,23.611111,6570
1993-08-03,KAI,23.055555,2880
1993-08-04,KAI,23.055555,270
1993-08-05,KAI,23.333332,1260
1993-08-06,KAI,23.611111,8865
1993-08-09,KAI,25.0,22185
1993-08-10,KAI,25.277779,20655
1993-08-11,KAI,26.111111,5445
1993-08-12,KAI,25.833332,1575
1993-08-13,KAI,25.833332,5670
1993-08-16,KAI,25.555555,15975
1993-08-17,KAI,25.555555,360
1993-08-18,KAI,25.833332,675
1993-08-19,KAI,27.5,24975
1993-08-20,KAI,28.055555,32400
1993-08-23,KAI,28.888889,45495
1993-08-24,KAI,31.111111,13950
1993-08-25,KAI,30.555555,24570
1993-08-26,KAI,30.0,17370
1993-08-27,KAI,30.277779,12870
1993-08-30,KAI,30.0,2475
1993-08-31,KAI,29.722221,3780
1993-09-01,KAI,30.0,2655
1993-09-02,KAI,30.277779,7155
1993-09-03,KAI,30.277779,4365
1993-09-07,KAI,30.0,40680
1993-09-08,KAI,29.722221,2070
1993-09-09,KAI,29.444445,45
1993-09-10,KAI,28.888889,1575
1993-09-13,KAI,28.888889,4680
1993-09-14,KAI,28.888889,41805
1993-09-15,KAI,29.444445,2340
1993-09-16,KAI,29.444445,1440
1993-09-17,KAI,29.444445,3375
1993-09-20,KAI,30.555555,1665
1993-09-21,KAI,30.277779,2970
1993-09-22,KAI,31.388889,16560
1993-09-23,KAI,31.388889,5175
1993-09-24,KAI,31.944445,10080
1993-09-27,KAI,31.111111,9585
1993-09-28,KAI,31.111111,540
1993-09-29,KAI,31.388889,4455
1993-09-30,KAI,33.333332,9945
1993-10-01,KAI,32.777779,1845
1993-10-04,KAI,32.777779,6840
1993-10-05,KAI,32.777779,855
1993-10-06,KAI,32.777779,45
1993-10-07,KAI,32.222221,1665
1993-10-08,KAI,31.666668,42210
1993-10-11,KAI,32.5,3060
1993-10-12,KAI,31.944445,270
1993-10-13,KAI,31.666668,1035
1993-10-14,KAI,31.666668,2160
1993-10-15,KAI,31.388889,4860
1993-10-18,KAI,30.833332,1575
1993-10-19,KAI,30.833332,45
1993-10-20,KAI,31.111111,2160
1993-10-21,KAI,30.833332,1575
1993-10-22,KAI,30.833332,12060
1993-10-25,KAI,31.111111,2160
1993-10-26,KAI,31.388889,765
1993-10-27,KAI,31.388889,1755
1993-10-28,KAI,31.944445,4050
1993-10-29,KAI,31.666668,2565
1993-11-01,KAI,31.111111,12555
1993-11-02,KAI,31.111111,1575
1993-11-03,KAI,31.111111,12960
1993-11-04,KAI,30.555555,3150
1993-11-05,KAI,30.277779,4860
1993-11-08,KAI,31.111111,1845
1993-11-09,KAI,31.111111,6750
1993-11-10,KAI,31.388889,11745
1993-11-11,KAI,31.388889,2745
1993-11-12,KAI,31.388889,1260
1993-11-15,KAI,31.111111,1350
1993-11-16,KAI,31.388889,1170
1993-11-17,KAI,30.833332,7965
1993-11-18,KAI,30.833332,855
1993-11-19,KAI,30.833332,5940
1993-11-22,KAI,30.277779,2475
1993-11-23,KAI,30.277779,2340
1993-11-24,KAI,30.555555,2340
1993-11-26,KAI,30.833332,855
1993-11-29,KAI,30.555555,14265
1993-11-30,KAI,30.833332,270
1993-12-01,KAI,30.833332,2070
1993-12-02,KAI,30.555555,1575
1993-12-03,KAI,30.555555,6975
1993-12-06,KAI,30.555555,1665
1993-12-07,KAI,30.555555,4140
1993-12-08,KAI,31.388889,14355
1993-12-09,KAI,31.111111,9270
1993-12-10,KAI,31.388889,4275
1993-12-13,KAI,31.666668,3375
1993-12-14,KAI,31.388889,7785
1993-12-15,KAI,31.388889,6165
1993-12-16,KAI,31.388889,0
1993-12-17,KAI,31.666668,6570
1993-12-20,KAI,31.666668,2565
1993-12-21,KAI,31.944445,4680
1993-12-22,KAI,32.222221,945
1993-12-23,KAI,32.222221,11475
1993-12-27,KAI,32.222221,135
1993-12-28,KAI,34.722221,12060
1993-12-29,KAI,34.722221,15075
1993-12-30,KAI,35.0,5040
1993-12-31,KAI,35.277779,6075
1994-01-03,KAI,35.0,450
1994-01-04,KAI,34.722221,1575
1994-01-05,KAI,35.277779,7155
1994-01-06,KAI,35.0,945
1994-01-07,KAI,35.0,270
1994-01-10,KAI,35.0,2160
1994-01-11,KAI,35.277779,4950
1994-01-12,KAI,34.722221,4050
1994-01-13,KAI,35.0,945
1994-01-14,KAI,35.0,45
1994-01-17,KAI,35.0,0
1994-01-18,KAI,35.277779,1440
1994-01-19,KAI,35.277779,45
1994-01-20,KAI,35.0,540
1994-01-21,KAI,35.277779,675
1994-01-24,KAI,35.0,5670
1994-01-25,KAI,34.722221,2475
1994-01-26,KAI,35.0,4365
1994-01-27,KAI,35.0,0
1994-01-28,KAI,35.277779,3150
1994-01-31,KAI,35.833332,5940
1994-02-01,KAI,35.277779,2970
1994-02-02,KAI,34.722221,2340
1994-02-03,KAI,34.444443,4455
1994-02-04,KAI,34.722221,7650
1994-02-07,KAI,34.166668,2565
1994-02-08,KAI,34.166668,135
1994-02-09,KAI,34.166668,135
1994-02-10,KAI,34.166668,4275
1994-02-11,KAI,34.722221,1440
1994-02-14,KAI,34.444443,3060
1994-02-15,KAI,33.888889,1845
1994-02-16,KAI,33.888889,5355
1994-02-17,KAI,34.444443,135
1994-02-18,KAI,33.888889,6570
1994-02-22,KAI,33.611111,2475
1994-02-23,KAI,34.166668,1845
1994-02-24,KAI,33.888889,855
1994-02-25,KAI,33.611111,675
1994-02-28,KAI,33.888889,135
1994-03-01,KAI,33.333332,675
1994-03-02,KAI,33.055557,945
1994-03-03,KAI,32.5,1575
1994-03-04,KAI,32.777779,1575
1994-03-07,KAI,32.777779,45
1994-03-08,KAI,32.5,135
1994-03-09,KAI,31.944445,2070
1994-03-10,KAI,31.666668,855
1994-03-11,KAI,32.222221,3555
1994-03-14,KAI,32.222221,135
1994-03-15,KAI,31.944445,54720
1994-03-16,KAI,32.222221,135
1994-03-17,KAI,32.222221,1575
1994-03-18,KAI,32.5,1440
1994-03-21,KAI,32.222221,855
1994-03-22,KAI,32.222221,0
1994-03-23,KAI,32.5,2250
1994-03-24,KAI,31.944445,45
1994-03-25,KAI,32.5,1845
1994-03-28,KAI,31.944445,135
1994-03-29,KAI,31.666668,1170
1994-03-30,KAI,31.388889,765
1994-03-31,KAI,32.222221,9360
1994-04-04,KAI,31.944445,1845
1994-04-05,KAI,32.222221,3960
1994-04-06,KAI,32.222221,945
1994-04-07,KAI,32.222221,0
1994-04-08,KAI,32.222221,0
1994-04-11,KAI,33.888889,18765
1994-04-12,KAI,34.166668,30375
1994-04-13,KAI,34.166668,3780
1994-04-14,KAI,33.888889,540
1994-04-15,KAI,33.888889,360
1994-04-18,KAI,33.611111,1170
1994-04-19,KAI,33.055557,2250
1994-04-20,KAI,33.333332,12870
1994-04-21,KAI,32.777779,1170
1994-04-22,KAI,32.777779,45
1994-04-25,KAI,32.5,675
1994-04-26,KAI,32.5,45
1994-04-28,KAI,33.333332,945
1994-04-29,KAI,33.333332,540
1994-05-02,KAI,33.333332,1755
1994-05-03,KAI,33.333332,855
1994-05-04,KAI,33.333332,1035
1994-05-05,KAI,32.777779,1170
1994-05-06,KAI,32.5,945
1994-05-09,KAI,32.5,135
1994-05-10,KAI,32.222221,1845
1994-05-11,KAI,31.666668,36405
1994-05-12,KAI,31.666668,135
1994-05-13,KAI,31.944445,450
1994-05-16,KAI,31.666668,135
1994-05-17,KAI,31.944445,675
1994-05-18,KAI,31.666668,540
1994-05-19,KAI,31.666668,2475
1994-05-20,KAI,31.388889,1575
1994-05-23,KAI,31.388889,0
1994-05-24,KAI,31.944445,945
1994-05-25,KAI,31.666668,540
1994-05-26,KAI,31.944445,1260
1994-05-27,KAI,32.5,1440
1994-05-31,KAI,32.777779,1440
1994-06-01,KAI,32.5,10260
1994-06-02,KAI,32.5,45
1994-06-03,KAI,32.777779,270
1994-06-06,KAI,33.055557,20385
1994-06-07,KAI,32.777779,855
1994-06-08,KAI,33.055557,765
1994-06-09,KAI,32.777779,450
1994-06-10,KAI,32.5,45
1994-06-13,KAI,32.5,675
1994-06-14,KAI,32.5,45
1994-06-15,KAI,32.222221,1035
1994-06-16,KAI,32.5,3060
1994-06-17,KAI,32.5,360
1994-06-20,KAI,31.944445,2160
1994-06-21,KAI,32.222221,4365
1994-06-22,KAI,32.5,2250
1994-06-23,KAI,32.5,1260
1994-06-24,KAI,31.944445,90945
1994-06-27,KAI,31.666668,1035
1994-06-28,KAI,31.111111,1035
1994-06-29,KAI,31.111111,45
1994-06-30,KAI,31.944445,5040
1994-07-01,KAI,31.111111,1755
1994-07-05,KAI,31.111111,675
1994-07-06,KAI,30.555555,855
1994-07-07,KAI,30.833332,1845
1994-07-08,KAI,30.833332,3555
1994-07-11,KAI,30.833332,0
1994-07-12,KAI,30.833332,135
1994-07-13,KAI,31.111111,945
1994-07-14,KAI,31.111111,0
