ds,symbol,close,volume
1999-10-26,KINS,4.84,2600
1999-10-27,KINS,4.84,0
1999-10-28,KINS,4.84,2200
1999-10-29,KINS,4.84,0
1999-11-01,KINS,4.84,0
1999-11-02,KINS,4.84,0
1999-11-03,KINS,4.84,0
1999-11-04,KINS,4.84,0
1999-11-05,KINS,4.375,3000
1999-11-08,KINS,4.06,2000
1999-11-09,KINS,3.75,2000
1999-11-10,KINS,3.75,0
1999-11-11,KINS,3.75,0
1999-11-12,KINS,4.06,2000
1999-11-15,KINS,4.685,400
1999-11-16,KINS,5.0,2520
1999-11-17,KINS,5.0,480
1999-11-18,KINS,5.05,1800
1999-11-19,KINS,4.06,20
1999-11-22,KINS,4.06,0
1999-11-23,KINS,4.06,0
1999-11-24,KINS,4.06,0
1999-11-26,KINS,5.05,2340
1999-11-29,KINS,5.31,820
1999-11-30,KINS,5.31,0
1999-12-01,KINS,5.625,600
1999-12-02,KINS,5.625,80
1999-12-03,KINS,5.625,400
1999-12-06,KINS,5.625,0
1999-12-07,KINS,5.625,20
1999-12-08,KINS,5.625,0
1999-12-09,KINS,5.625,0
1999-12-10,KINS,5.625,0
1999-12-13,KINS,5.31,220
1999-12-14,KINS,4.53,1600
1999-12-15,KINS,4.53,0
1999-12-16,KINS,4.53,0
1999-12-17,KINS,4.53,60
1999-12-20,KINS,4.53,1000
1999-12-21,KINS,4.84,3100
1999-12-22,KINS,4.53,420
1999-12-23,KINS,4.53,0
1999-12-27,KINS,4.84,260
1999-12-28,KINS,4.53,700
1999-12-29,KINS,4.375,1640
1999-12-30,KINS,4.685,2940
1999-12-31,KINS,4.685,800
2000-01-03,KINS,4.685,0
2000-01-04,KINS,4.685,0
2000-01-05,KINS,4.685,0
2000-01-06,KINS,4.685,0
2000-01-07,KINS,4.84,1000
2000-01-10,KINS,4.84,600
2000-01-11,KINS,4.685,420
2000-01-12,KINS,4.685,0
2000-01-13,KINS,5.0,200
2000-01-14,KINS,5.0,0
2000-01-18,KINS,4.685,40
2000-01-19,KINS,4.84,600
2000-01-20,KINS,4.84,0
2000-01-21,KINS,4.84,3400
2000-01-24,KINS,4.84,880
2000-01-25,KINS,4.84,0
2000-01-26,KINS,4.84,1500
2000-01-27,KINS,4.84,20
2000-01-28,KINS,4.84,0
2000-01-31,KINS,4.84,1600
2000-02-01,KINS,4.685,140
2000-02-02,KINS,4.685,0
2000-02-03,KINS,5.155,6380
2000-02-04,KINS,5.155,1600
2000-02-07,KINS,5.0,500
2000-02-08,KINS,5.0,800
2000-02-09,KINS,4.84,60
2000-02-10,KINS,4.685,1020
2000-02-11,KINS,4.84,20
2000-02-14,KINS,4.685,4500
2000-02-15,KINS,4.685,0
2000-02-16,KINS,4.53,60
2000-02-17,KINS,4.53,0
2000-02-18,KINS,4.53,1500
2000-02-22,KINS,4.53,0
2000-02-23,KINS,4.53,0
2000-02-24,KINS,4.53,0
2000-02-25,KINS,4.53,0
2000-02-28,KINS,4.53,0
2000-02-29,KINS,4.53,380
2000-03-01,KINS,4.53,0
2000-03-02,KINS,4.53,800
2000-03-03,KINS,4.53,100
2000-03-06,KINS,4.53,80
2000-03-07,KINS,5.0,200
2000-03-08,KINS,5.155,200
2000-03-09,KINS,5.155,0
2000-03-10,KINS,5.155,0
2000-03-13,KINS,4.53,100
2000-03-14,KINS,3.905,1100
2000-03-15,KINS,4.685,500
2000-03-16,KINS,4.375,720
2000-03-17,KINS,4.685,4000
2000-03-20,KINS,4.84,500
2000-03-21,KINS,4.84,0
2000-03-22,KINS,4.685,240
2000-03-23,KINS,4.685,0
2000-03-24,KINS,4.685,0
2000-03-27,KINS,4.685,400
2000-03-28,KINS,4.685,0
2000-03-29,KINS,4.685,0
2000-03-30,KINS,4.06,1220
2000-03-31,KINS,4.06,0
2000-04-03,KINS,4.06,320
2000-04-04,KINS,4.06,1400
2000-04-05,KINS,4.06,0
2000-04-06,KINS,4.06,0
2000-04-07,KINS,4.06,0
2000-04-10,KINS,4.06,0
2000-04-11,KINS,4.06,0
2000-04-12,KINS,4.06,0
2000-04-13,KINS,4.06,0
2000-04-14,KINS,4.06,0
2000-04-17,KINS,4.06,0
2000-04-18,KINS,4.06,0
2000-04-19,KINS,2.81,40
2000-04-20,KINS,2.81,0
2000-04-24,KINS,2.81,0
2000-04-25,KINS,2.81,0
2000-04-26,KINS,2.81,0
2000-04-27,KINS,2.81,0
2000-04-28,KINS,3.125,20
2000-05-01,KINS,3.125,0
2000-05-02,KINS,3.125,0
2000-05-03,KINS,3.125,0
2000-05-04,KINS,3.125,100
2000-05-05,KINS,3.125,0
2000-05-08,KINS,3.125,0
2000-05-09,KINS,3.125,0
2000-05-10,KINS,2.965,2860
2000-05-11,KINS,2.55,1200
2000-05-12,KINS,2.965,200
2000-05-15,KINS,2.965,0
2000-05-16,KINS,2.965,20
2000-05-17,KINS,2.965,0
2000-05-18,KINS,2.965,0
2000-05-19,KINS,2.965,0
2000-05-22,KINS,2.965,0
2000-05-23,KINS,2.965,0
2000-05-24,KINS,2.55,20
2000-05-25,KINS,2.55,20
2000-05-26,KINS,2.55,60
2000-05-30,KINS,2.55,0
2000-05-31,KINS,3.125,600
2000-06-01,KINS,3.125,2100
2000-06-02,KINS,2.03,37600
2000-06-05,KINS,1.875,1620
2000-06-06,KINS,2.03,4200
2000-06-07,KINS,2.03,1900
2000-06-08,KINS,2.185,220
2000-06-09,KINS,2.03,200
2000-06-12,KINS,2.03,20
2000-06-13,KINS,2.03,0
2000-06-14,KINS,2.03,380
2000-06-15,KINS,2.185,4040
2000-06-16,KINS,2.03,100
2000-06-19,KINS,2.03,0
2000-06-20,KINS,2.03,0
2000-06-21,KINS,2.5,2000
