ds,symbol,close,volume
2018-11-13,KNTK,91.0,1390
2018-11-14,KNTK,83.099998,5620
2018-11-15,KNTK,88.199997,55290
2018-11-16,KNTK,86.800003,11320
2018-11-19,KNTK,82.5,2290
2018-11-20,KNTK,78.400002,8790
2018-11-21,KNTK,77.0,24000
2018-11-23,KNTK,78.400002,140
2018-11-26,KNTK,80.0,4000
2018-11-27,KNTK,77.5,19690
2018-11-28,KNTK,76.900002,12650
2018-11-29,KNTK,76.400002,11350
2018-11-30,KNTK,76.400002,36350
2018-12-03,KNTK,78.5,2090
2018-12-04,KNTK,77.199997,2280
2018-12-06,KNTK,77.5,30960
2018-12-07,KNTK,78.400002,231040
2018-12-10,KNTK,83.199997,34920
2018-12-11,KNTK,91.599998,19990
2018-12-12,KNTK,97.0,25840
2018-12-13,KNTK,94.5,29330
2018-12-14,KNTK,87.300003,39240
2018-12-17,KNTK,90.599998,30620
2018-12-18,KNTK,87.0,19850
2018-12-19,KNTK,84.699997,54950
2018-12-20,KNTK,77.900002,45730
2018-12-21,KNTK,76.300003,24000
2018-12-24,KNTK,77.400002,11810
2018-12-26,KNTK,80.699997,33170
2018-12-27,KNTK,76.300003,25430
2018-12-28,KNTK,77.5,22550
2018-12-31,KNTK,77.300003,44290
2019-01-02,KNTK,76.599998,11570
2019-01-03,KNTK,74.199997,24580
2019-01-04,KNTK,81.099998,25220
2019-01-07,KNTK,81.800003,18870
2019-01-08,KNTK,82.5,27610
2019-01-09,KNTK,88.0,28810
2019-01-10,KNTK,88.599998,22890
2019-01-11,KNTK,84.699997,12340
2019-01-14,KNTK,83.300003,28340
2019-01-15,KNTK,86.199997,13380
2019-01-16,KNTK,85.699997,14920
2019-01-17,KNTK,86.900002,14840
2019-01-18,KNTK,85.699997,12880
2019-01-22,KNTK,82.800003,21630
2019-01-23,KNTK,77.699997,15080
2019-01-24,KNTK,81.0,14670
2019-01-25,KNTK,81.0,10840
2019-01-28,KNTK,81.199997,20260
2019-01-29,KNTK,83.300003,4200
2019-01-30,KNTK,81.199997,15470
2019-01-31,KNTK,81.0,39420
2019-02-01,KNTK,84.0,36650
2019-02-04,KNTK,84.900002,10850
2019-02-05,KNTK,83.400002,30960
2019-02-06,KNTK,82.599998,14530
2019-02-07,KNTK,81.400002,7310
2019-02-08,KNTK,79.400002,6590
2019-02-11,KNTK,79.0,10120
2019-02-12,KNTK,79.900002,8430
2019-02-13,KNTK,79.900002,24050
2019-02-14,KNTK,78.699997,18490
2019-02-15,KNTK,81.400002,29290
2019-02-19,KNTK,81.300003,33720
2019-02-20,KNTK,81.800003,15440
2019-02-21,KNTK,81.099998,8460
2019-02-22,KNTK,81.599998,8850
2019-02-25,KNTK,81.699997,6550
2019-02-26,KNTK,81.699997,7700
2019-02-27,KNTK,80.300003,27980
2019-02-28,KNTK,61.200001,153270
2019-03-01,KNTK,55.700001,139850
2019-03-04,KNTK,55.5,95210
2019-03-05,KNTK,55.200001,52870
2019-03-06,KNTK,56.0,46310
2019-03-07,KNTK,55.900002,28670
2019-03-08,KNTK,55.0,158210
2019-03-11,KNTK,56.400002,129230
2019-03-12,KNTK,61.900002,85060
2019-03-13,KNTK,61.700001,105920
2019-03-14,KNTK,63.200001,64820
2019-03-15,KNTK,64.400002,261640
2019-03-18,KNTK,61.799999,53060
2019-03-19,KNTK,62.400002,64800
2019-03-20,KNTK,61.299999,56080
2019-03-21,KNTK,62.900002,55050
2019-03-22,KNTK,62.0,27950
2019-03-25,KNTK,60.299999,32180
2019-03-26,KNTK,60.400002,39470
2019-03-27,KNTK,61.200001,38840
2019-03-28,KNTK,60.0,26040
2019-03-29,KNTK,59.0,25400
2019-04-01,KNTK,59.900002,46510
2019-04-02,KNTK,60.099998,22820
2019-04-03,KNTK,60.099998,72140
2019-04-04,KNTK,60.0,28310
2019-04-05,KNTK,60.200001,32510
2019-04-08,KNTK,59.5,35680
2019-04-09,KNTK,58.799999,151770
2019-04-10,KNTK,58.099998,37970
2019-04-11,KNTK,57.900002,137780
