ds,symbol,close,volume
1994-10-25,KNX,1.901235,16416928
1994-10-26,KNX,1.975309,2237119
1994-10-27,KNX,1.975309,738872
1994-10-28,KNX,1.99177,1054013
1994-10-31,KNX,1.909465,1235503
1994-11-01,KNX,1.925926,309066
1994-11-02,KNX,1.942387,107831
1994-11-03,KNX,1.909465,184528
1994-11-04,KNX,1.909465,88088
1994-11-07,KNX,1.909465,18225
1994-11-08,KNX,1.925926,291600
1994-11-09,KNX,1.958848,343238
1994-11-10,KNX,1.925926,27338
1994-11-11,KNX,1.958848,170100
1994-11-14,KNX,1.942387,167063
1994-11-15,KNX,1.925926,74419
1994-11-16,KNX,1.925926,78216
1994-11-17,KNX,1.893004,334884
1994-11-18,KNX,1.82716,481444
1994-11-21,KNX,1.876543,869484
1994-11-22,KNX,1.835391,754059
1994-11-23,KNX,1.8107,287044
1994-11-25,KNX,1.8107,26578
1994-11-28,KNX,1.794239,189084
1994-11-29,KNX,1.82716,40247
1994-11-30,KNX,1.82716,69863
1994-12-01,KNX,1.802469,28097
1994-12-02,KNX,1.794239,47841
1994-12-05,KNX,1.794239,649266
1994-12-06,KNX,1.794239,84291
1994-12-07,KNX,1.8107,28097
1994-12-08,KNX,1.761317,564975
1994-12-09,KNX,1.843621,160228
1994-12-12,KNX,1.876543,130613
1994-12-13,KNX,1.843621,127575
1994-12-14,KNX,1.876543,39488
1994-12-15,KNX,1.843621,12150
1994-12-16,KNX,1.82716,549788
1994-12-19,KNX,1.876543,296156
1994-12-20,KNX,1.876543,32653
1994-12-21,KNX,1.82716,15947
1994-12-22,KNX,1.893004,103275
1994-12-23,KNX,1.876543,157191
1994-12-27,KNX,1.876543,18984
1994-12-28,KNX,1.876543,41766
1994-12-29,KNX,1.876543,0
1994-12-30,KNX,1.876543,5316
1995-01-03,KNX,1.893004,15947
1995-01-04,KNX,1.860082,4556
1995-01-05,KNX,1.893004,25819
1995-01-06,KNX,2.057613,807216
1995-01-09,KNX,2.024691,202753
1995-01-10,KNX,1.975309,17466
1995-01-11,KNX,2.0,290841
1995-01-12,KNX,1.975309,101756
1995-01-13,KNX,1.99177,378169
1995-01-16,KNX,2.024691,52397
1995-01-17,KNX,2.041152,53916
1995-01-18,KNX,2.041152,15947
1995-01-19,KNX,2.041152,8353
1995-01-20,KNX,2.041152,16706
1995-01-23,KNX,2.00823,26578
1995-01-24,KNX,2.00823,141244
1995-01-25,KNX,2.024691,698625
1995-01-26,KNX,2.00823,107072
1995-01-27,KNX,2.00823,31894
1995-01-30,KNX,1.876543,409303
1995-01-31,KNX,1.958848,221738
1995-02-01,KNX,1.958848,8353
1995-02-02,KNX,1.942387,68344
1995-02-03,KNX,1.942387,404747
1995-02-06,KNX,1.909465,1519
1995-02-07,KNX,1.958848,820125
1995-02-08,KNX,2.041152,570291
1995-02-09,KNX,1.958848,189844
1995-02-10,KNX,1.99177,44803
1995-02-13,KNX,1.99177,610538
1995-02-14,KNX,1.99177,18225
1995-02-15,KNX,1.99177,34172
1995-02-16,KNX,1.99177,3038
1995-02-17,KNX,1.99177,495872
1995-02-21,KNX,1.99177,514856
1995-02-22,KNX,1.975309,489038
1995-02-23,KNX,1.975309,96441
1995-02-24,KNX,1.99177,13669
1995-02-27,KNX,1.975309,105553
1995-02-28,KNX,1.958848,9113
1995-03-01,KNX,1.958848,299953
1995-03-02,KNX,1.942387,354628
1995-03-03,KNX,1.925926,28856
1995-03-06,KNX,1.860082,197438
1995-03-07,KNX,1.82716,194400
1995-03-08,KNX,1.777778,162506
1995-03-09,KNX,1.761317,148078
1995-03-10,KNX,1.761317,53156
1995-03-13,KNX,1.777778,84291
1995-03-14,KNX,1.794239,9872
1995-03-15,KNX,1.794239,10631
1995-03-16,KNX,1.794239,74419
1995-03-17,KNX,1.761317,72900
1995-03-20,KNX,1.744856,41766
1995-03-21,KNX,1.777778,12909
1995-03-22,KNX,1.777778,3038
1995-03-23,KNX,1.695473,293878
1995-03-24,KNX,1.596708,1501284
1995-03-27,KNX,1.596708,120741
1995-03-28,KNX,1.646091,74419
1995-03-29,KNX,1.646091,104034
1995-03-30,KNX,1.613169,195159
1995-03-31,KNX,1.547325,72900
1995-04-03,KNX,1.596708,37209
1995-04-04,KNX,1.646091,12150
1995-04-05,KNX,1.646091,416897
1995-04-06,KNX,1.8107,764691
1995-04-07,KNX,1.761317,44044
1995-04-10,KNX,1.744856,3797
1995-04-11,KNX,1.744856,22781
1995-04-12,KNX,1.761317,31894
1995-04-13,KNX,1.687243,223256
1995-04-17,KNX,1.744856,36450
1995-04-18,KNX,1.711934,838350
1995-04-19,KNX,1.711934,25059
1995-04-20,KNX,1.728395,46322
1995-04-21,KNX,1.711934,9872
1995-04-24,KNX,1.728395,142763
1995-04-25,KNX,1.769547,8353
1995-04-26,KNX,1.794239,118463
1995-04-27,KNX,1.794239,12150
1995-04-28,KNX,1.794239,4556
1995-05-01,KNX,1.794239,0
1995-05-02,KNX,1.777778,5316
1995-05-03,KNX,1.728395,3038
1995-05-04,KNX,1.744856,24300
1995-05-05,KNX,1.777778,132131
1995-05-08,KNX,1.761317,8353
1995-05-09,KNX,1.777778,243759
1995-05-10,KNX,1.728395,2278
1995-05-11,KNX,1.728395,44044
1995-05-12,KNX,1.728395,2674519
1995-05-15,KNX,1.711934,53156
1995-05-16,KNX,1.711934,112388
1995-05-17,KNX,1.662551,45563
1995-05-18,KNX,1.695473,70622
1995-05-19,KNX,1.662551,5316
1995-05-22,KNX,1.662551,309825
1995-05-23,KNX,1.662551,25059
1995-05-24,KNX,1.679012,19744
1995-05-25,KNX,1.662551,5316
1995-05-26,KNX,1.662551,133650
1995-05-30,KNX,1.646091,1942481
1995-05-31,KNX,1.654321,59231
1995-06-01,KNX,1.744856,107072
1995-06-02,KNX,1.711934,1519
1995-06-05,KNX,1.744856,50119
1995-06-06,KNX,1.646091,407025
1995-06-07,KNX,1.613169,61509
1995-06-08,KNX,1.580247,106313
1995-06-09,KNX,1.563786,29616
1995-06-12,KNX,1.580247,3797
1995-06-13,KNX,1.530864,4556
1995-06-14,KNX,1.555556,1519
1995-06-15,KNX,1.580247,94163
1995-06-16,KNX,1.530864,30375
1995-06-19,KNX,1.596708,126056
1995-06-20,KNX,1.679012,164784
1995-06-21,KNX,1.662551,15188
1995-06-22,KNX,1.711934,41006
1995-06-23,KNX,1.744856,25059
1995-06-26,KNX,1.744856,75178
1995-06-27,KNX,1.777778,4556
1995-06-28,KNX,1.711934,3038
1995-06-29,KNX,1.777778,1519
1995-06-30,KNX,1.777778,6075
1995-07-03,KNX,1.777778,759
1995-07-05,KNX,1.777778,10631
1995-07-06,KNX,1.843621,86569
1995-07-07,KNX,1.876543,66066
1995-07-10,KNX,1.909465,35691
1995-07-11,KNX,1.876543,3797
1995-07-12,KNX,1.876543,0
1995-07-13,KNX,1.975309,195159
1995-07-14,KNX,1.909465,109350
1995-07-17,KNX,1.909465,2278
1995-07-18,KNX,1.909465,44044
1995-07-19,KNX,1.909465,3797
1995-07-20,KNX,1.893004,15947
1995-07-21,KNX,1.909465,154153
1995-07-24,KNX,1.925926,1519
1995-07-25,KNX,1.893004,6834
1995-07-26,KNX,1.942387,1519
1995-07-27,KNX,1.958848,56194
1995-07-28,KNX,1.99177,15188
1995-07-31,KNX,1.99177,20503
1995-08-01,KNX,2.00823,2278
1995-08-02,KNX,2.041152,8353
