ds,symbol,close,volume
1992-04-15,KOPN,2.5,502000
1992-04-16,KOPN,2.6875,13600
1992-04-20,KOPN,2.625,41200
1992-04-21,KOPN,2.5625,182400
1992-04-22,KOPN,2.5625,48000
1992-04-23,KOPN,2.4375,136000
1992-04-24,KOPN,2.5625,138000
1992-04-27,KOPN,2.5625,400
1992-04-28,KOPN,2.4375,40000
1992-04-29,KOPN,2.46875,16800
1992-04-30,KOPN,2.5625,6800
1992-05-01,KOPN,2.5,120400
1992-05-04,KOPN,2.5625,241200
1992-05-05,KOPN,2.59375,4800
1992-05-06,KOPN,2.59375,320400
1992-05-07,KOPN,2.59375,0
1992-05-08,KOPN,2.625,10400
1992-05-11,KOPN,2.5,82800
1992-05-12,KOPN,2.53125,18000
1992-05-13,KOPN,2.53125,285600
1992-05-14,KOPN,2.5,1600
1992-05-15,KOPN,2.4375,27200
1992-05-18,KOPN,2.4375,0
1992-05-19,KOPN,2.4375,0
1992-05-20,KOPN,2.4375,0
1992-05-21,KOPN,2.5,23600
1992-05-22,KOPN,2.625,24000
1992-05-26,KOPN,2.5,37200
1992-05-27,KOPN,2.5625,39600
1992-05-28,KOPN,2.5625,43600
1992-05-29,KOPN,2.4375,84000
1992-06-01,KOPN,2.4375,220000
1992-06-02,KOPN,2.5625,400
1992-06-03,KOPN,2.5625,0
1992-06-04,KOPN,2.5625,0
1992-06-05,KOPN,2.5625,4400
1992-06-08,KOPN,2.5625,400
1992-06-09,KOPN,2.5625,2000
1992-06-10,KOPN,2.5625,4800
1992-06-11,KOPN,2.5,196400
1992-06-12,KOPN,2.53125,200000
1992-06-15,KOPN,2.5,176000
1992-06-16,KOPN,2.625,800
1992-06-17,KOPN,2.4375,4000
1992-06-18,KOPN,2.5625,7200
1992-06-19,KOPN,2.5625,2400
1992-06-22,KOPN,2.5625,0
1992-06-23,KOPN,2.5625,0
1992-06-24,KOPN,2.5625,0
1992-06-25,KOPN,2.375,12000
1992-06-26,KOPN,2.375,2000
1992-06-29,KOPN,2.5625,1600
1992-06-30,KOPN,2.375,40000
1992-07-01,KOPN,2.375,40400
1992-07-02,KOPN,2.5625,1600
1992-07-06,KOPN,2.375,20000
1992-07-07,KOPN,2.5625,400
1992-07-08,KOPN,2.375,36800
1992-07-09,KOPN,2.375,0
1992-07-10,KOPN,2.375,0
1992-07-13,KOPN,2.5,22000
1992-07-14,KOPN,2.5,496000
1992-07-15,KOPN,2.53125,1200
1992-07-16,KOPN,2.53125,0
1992-07-17,KOPN,2.375,40000
1992-07-20,KOPN,2.5625,1600
1992-07-21,KOPN,2.46875,16000
1992-07-22,KOPN,2.5625,1200
1992-07-23,KOPN,2.46875,17600
1992-07-24,KOPN,2.5625,16400
1992-07-27,KOPN,2.5625,0
1992-07-28,KOPN,2.5625,19200
1992-07-29,KOPN,2.5,16000
1992-07-30,KOPN,2.5,0
1992-07-31,KOPN,2.5625,800
1992-08-03,KOPN,2.5625,3600
1992-08-04,KOPN,2.5625,0
1992-08-05,KOPN,2.375,34400
1992-08-06,KOPN,2.34375,47200
1992-08-07,KOPN,2.3125,20000
1992-08-10,KOPN,2.3125,0
1992-08-11,KOPN,2.3125,0
1992-08-12,KOPN,2.4375,13600
1992-08-13,KOPN,2.3125,6000
1992-08-14,KOPN,2.375,40400
1992-08-17,KOPN,2.375,0
1992-08-18,KOPN,2.4375,400
1992-08-19,KOPN,2.3125,4400
1992-08-20,KOPN,2.375,30800
1992-08-21,KOPN,2.375,94400
1992-08-24,KOPN,2.375,800
1992-08-25,KOPN,2.375,8000
1992-08-26,KOPN,2.375,0
1992-08-27,KOPN,2.25,10000
1992-08-28,KOPN,2.25,0
1992-08-31,KOPN,2.25,9600
1992-09-01,KOPN,2.28125,6000
1992-09-02,KOPN,2.28125,0
1992-09-03,KOPN,2.1875,8000
1992-09-04,KOPN,2.375,44000
1992-09-08,KOPN,2.3125,8400
1992-09-09,KOPN,2.3125,0
1992-09-10,KOPN,2.375,62000
1992-09-11,KOPN,2.375,22800
1992-09-14,KOPN,2.375,0
1992-09-15,KOPN,2.375,0
1992-09-16,KOPN,2.375,4000
1992-09-17,KOPN,2.375,139200
1992-09-18,KOPN,2.375,22000
1992-09-21,KOPN,2.25,2000
1992-09-22,KOPN,2.375,8800
1992-09-23,KOPN,2.375,15600
1992-09-24,KOPN,2.1875,400
1992-09-25,KOPN,2.1875,0
1992-09-28,KOPN,2.375,2400
1992-09-29,KOPN,2.375,400
1992-09-30,KOPN,2.1875,8000
