ds,symbol,close,volume
2020-08-21,KYMR,33.26,3875166
2020-08-24,KYMR,28.44,576093
2020-08-25,KYMR,31.25,416435
2020-08-26,KYMR,30.28,234064
2020-08-27,KYMR,33.27,999567
2020-08-28,KYMR,33.28,290941
2020-08-31,KYMR,31.9,113650
2020-09-01,KYMR,31.16,89361
2020-09-02,KYMR,31.15,126570
2020-09-03,KYMR,30.29,128592
2020-09-04,KYMR,29.55,85045
2020-09-08,KYMR,27.28,251031
2020-09-09,KYMR,26.1,136657
2020-09-10,KYMR,29.23,215696
2020-09-11,KYMR,31.19,181019
2020-09-14,KYMR,32.78,87027
2020-09-15,KYMR,30.51,169630
2020-09-16,KYMR,29.92,139752
2020-09-17,KYMR,29.02,322851
2020-09-18,KYMR,30.64,118583
2020-09-21,KYMR,29.22,255602
2020-09-22,KYMR,29.65,96286
2020-09-23,KYMR,29.98,97806
2020-09-24,KYMR,29.91,346103
2020-09-25,KYMR,30.84,139314
2020-09-28,KYMR,30.79,159181
2020-09-29,KYMR,31.54,67082
2020-09-30,KYMR,32.31,84459
2020-10-01,KYMR,29.08,359618
2020-10-02,KYMR,29.31,100496
2020-10-05,KYMR,28.07,111135
2020-10-06,KYMR,28.92,68357
2020-10-07,KYMR,31.75,43665
2020-10-08,KYMR,33.5,140823
2020-10-09,KYMR,36.89,157267
2020-10-12,KYMR,37.25,194239
2020-10-13,KYMR,38.5,96764
2020-10-14,KYMR,36.76,122645
2020-10-15,KYMR,38.8,80309
2020-10-16,KYMR,38.38,53833
2020-10-19,KYMR,39.24,65301
2020-10-20,KYMR,38.07,34935
2020-10-21,KYMR,34.57,112487
2020-10-22,KYMR,35.01,74438
2020-10-23,KYMR,37.5,57604
2020-10-26,KYMR,36.5,92825
2020-10-27,KYMR,37.75,123364
2020-10-28,KYMR,36.07,33900
2020-10-29,KYMR,36.45,36730
2020-10-30,KYMR,35.99,50712
2020-11-02,KYMR,36.18,55872
2020-11-03,KYMR,36.84,45239
2020-11-04,KYMR,40.44,127286
2020-11-05,KYMR,43.71,111317
2020-11-06,KYMR,43.95,120304
2020-11-09,KYMR,44.8,72210
2020-11-10,KYMR,46.34,107661
2020-11-11,KYMR,46.96,108877
2020-11-12,KYMR,45.06,154880
2020-11-13,KYMR,46.13,132045
2020-11-16,KYMR,46.6,108779
2020-11-17,KYMR,51.36,97540
2020-11-18,KYMR,51.2,84538
2020-11-19,KYMR,50.12,86670
2020-11-20,KYMR,49.86,60104
2020-11-23,KYMR,47.84,82839
2020-11-24,KYMR,45.81,101989
2020-11-25,KYMR,47.2,86651
2020-11-27,KYMR,48.03,72694
2020-11-30,KYMR,46.64,248217
2020-12-01,KYMR,47.04,257190
2020-12-02,KYMR,51.9,208043
2020-12-03,KYMR,50.56,168416
2020-12-04,KYMR,53.47,74509
2020-12-07,KYMR,49.7,121464
2020-12-08,KYMR,55.88,209535
2020-12-09,KYMR,55.66,184292
2020-12-10,KYMR,60.83,132980
2020-12-11,KYMR,61.97,179201
2020-12-14,KYMR,67.13,274104
2020-12-15,KYMR,62.97,209220
2020-12-16,KYMR,63.61,171922
2020-12-17,KYMR,66.48,311513
2020-12-18,KYMR,71.51,1732250
