ds,symbol,close,volume
1996-08-02,LAMR,13.5,5576850
1996-08-05,LAMR,13.5,757200
1996-08-06,LAMR,13.416667,405300
1996-08-07,LAMR,13.75,172950
1996-08-08,LAMR,13.666667,279300
1996-08-09,LAMR,14.333333,127050
1996-08-12,LAMR,14.666667,191850
1996-08-13,LAMR,14.5,322650
1996-08-14,LAMR,15.833333,541950
1996-08-15,LAMR,17.0,552750
1996-08-16,LAMR,17.833332,516750
1996-08-19,LAMR,18.166668,385200
1996-08-20,LAMR,16.666668,676800
1996-08-21,LAMR,17.666668,250200
1996-08-22,LAMR,17.666668,198450
1996-08-23,LAMR,17.0,166800
1996-08-26,LAMR,16.083332,404100
1996-08-27,LAMR,16.666668,353850
1996-08-28,LAMR,18.833332,744300
1996-08-29,LAMR,18.833332,131700
1996-08-30,LAMR,18.666668,125850
1996-09-03,LAMR,19.333332,189750
1996-09-04,LAMR,20.166668,296550
1996-09-05,LAMR,20.166668,279150
1996-09-06,LAMR,20.0,93750
1996-09-09,LAMR,19.833332,24300
1996-09-10,LAMR,20.583332,88200
1996-09-11,LAMR,20.333332,39000
1996-09-12,LAMR,20.666668,147750
1996-09-13,LAMR,21.333332,166500
1996-09-16,LAMR,20.666668,109350
1996-09-17,LAMR,20.75,94650
1996-09-18,LAMR,20.666668,19500
1996-09-19,LAMR,22.5,157650
1996-09-20,LAMR,24.25,287400
1996-09-23,LAMR,25.25,135600
1996-09-24,LAMR,24.833332,655350
1996-09-25,LAMR,25.666668,170850
1996-09-26,LAMR,26.333332,173100
1996-09-27,LAMR,27.166668,125700
1996-09-30,LAMR,27.666668,86400
1996-10-01,LAMR,26.583332,156750
1996-10-02,LAMR,24.166668,1183650
1996-10-03,LAMR,23.666668,90900
1996-10-04,LAMR,24.75,189000
1996-10-07,LAMR,25.666668,588450
1996-10-08,LAMR,24.666668,99300
1996-10-09,LAMR,23.666668,122700
1996-10-10,LAMR,23.166668,40350
1996-10-11,LAMR,23.333332,230550
1996-10-14,LAMR,23.333332,77700
1996-10-15,LAMR,24.0,246600
1996-10-16,LAMR,24.5,585000
1996-10-17,LAMR,24.333332,15450
1996-10-18,LAMR,25.166668,68550
1996-10-21,LAMR,23.833332,101700
1996-10-22,LAMR,22.0,361050
1996-10-23,LAMR,20.833332,312000
1996-10-24,LAMR,20.166668,108600
1996-10-25,LAMR,19.833332,606900
1996-10-28,LAMR,18.333332,99000
1996-10-29,LAMR,17.666668,601050
1996-10-30,LAMR,18.583332,140850
1996-10-31,LAMR,18.333332,305550
1996-11-01,LAMR,18.333332,45450
1996-11-04,LAMR,18.041668,21000
1996-11-05,LAMR,17.333332,52650
1996-11-06,LAMR,17.5,30300
1996-11-07,LAMR,16.5,155100
1996-11-08,LAMR,17.0,103200
1996-11-11,LAMR,16.083332,202650
1996-11-12,LAMR,16.333332,90450
1996-11-13,LAMR,16.166668,315600
1996-11-14,LAMR,17.5,249300
1996-11-15,LAMR,17.0,58200
1996-11-18,LAMR,17.583332,99750
1996-11-19,LAMR,17.666668,132450
1996-11-20,LAMR,17.333332,23700
1996-11-21,LAMR,16.166668,109050
1996-11-22,LAMR,15.583333,2316900
1996-11-25,LAMR,15.583333,666300
1996-11-26,LAMR,15.5,358950
1996-11-27,LAMR,15.5,102300
1996-11-29,LAMR,15.5,34650
1996-12-02,LAMR,16.916668,218100
1996-12-03,LAMR,16.333332,157650
1996-12-04,LAMR,16.333332,169200
1996-12-05,LAMR,16.5,40650
1996-12-06,LAMR,15.833333,142350
1996-12-09,LAMR,16.833332,661500
1996-12-10,LAMR,17.666668,317700
1996-12-11,LAMR,17.25,112500
1996-12-12,LAMR,17.0,186150
1996-12-13,LAMR,17.0,124650
1996-12-16,LAMR,17.375,287400
1996-12-17,LAMR,16.833332,183000
1996-12-18,LAMR,16.666668,31350
1996-12-19,LAMR,16.666668,17100
1996-12-20,LAMR,16.666668,32550
1996-12-23,LAMR,16.416668,157200
1996-12-24,LAMR,16.333332,24600
1996-12-26,LAMR,16.0,3750
1996-12-27,LAMR,15.833333,291150
1996-12-30,LAMR,15.5,195750
1996-12-31,LAMR,16.166668,39750
1997-01-02,LAMR,16.0,56550
1997-01-03,LAMR,16.5,91950
1997-01-06,LAMR,17.0,22950
1997-01-07,LAMR,16.666668,65250
1997-01-08,LAMR,16.333332,133050
1997-01-09,LAMR,16.166668,144000
1997-01-10,LAMR,16.333332,13350
1997-01-13,LAMR,16.666668,58650
1997-01-14,LAMR,16.333332,126300
1997-01-15,LAMR,16.166668,256950
1997-01-16,LAMR,15.916667,559800
1997-01-17,LAMR,16.166668,67650
1997-01-20,LAMR,16.083332,11550
1997-01-21,LAMR,16.5,336600
1997-01-22,LAMR,16.166668,31350
1997-01-23,LAMR,16.0,31500
1997-01-24,LAMR,15.833333,103650
1997-01-27,LAMR,16.0,33150
1997-01-28,LAMR,16.75,98550
1997-01-29,LAMR,16.833332,62550
1997-01-30,LAMR,16.666668,59400
1997-01-31,LAMR,16.333332,18750
1997-02-03,LAMR,14.833333,130950
1997-02-04,LAMR,15.0,70050
1997-02-05,LAMR,15.333333,27600
1997-02-06,LAMR,15.333333,17550
1997-02-07,LAMR,16.0,285000
1997-02-10,LAMR,15.333333,126300
1997-02-11,LAMR,14.5,41550
1997-02-12,LAMR,14.666667,66150
1997-02-13,LAMR,15.5,47700
1997-02-14,LAMR,15.833333,51150
1997-02-18,LAMR,15.333333,12750
1997-02-19,LAMR,15.333333,8700
1997-02-20,LAMR,15.0,29850
1997-02-21,LAMR,13.333333,63450
1997-02-24,LAMR,13.0,68700
1997-02-25,LAMR,13.166667,84600
1997-02-26,LAMR,12.833333,108600
1997-02-27,LAMR,12.833333,278550
1997-02-28,LAMR,12.333333,542100
1997-03-03,LAMR,12.333333,233550
1997-03-04,LAMR,12.666667,121500
1997-03-05,LAMR,12.833333,264000
1997-03-06,LAMR,13.333333,122400
1997-03-07,LAMR,14.166667,79050
1997-03-10,LAMR,14.666667,78300
1997-03-11,LAMR,14.833333,24600
1997-03-12,LAMR,14.666667,22050
1997-03-13,LAMR,14.333333,4500
1997-03-14,LAMR,14.833333,24900
1997-03-17,LAMR,14.0,46350
1997-03-18,LAMR,14.416667,22350
1997-03-19,LAMR,14.25,29850
1997-03-20,LAMR,13.75,29700
1997-03-21,LAMR,13.25,19950
1997-03-24,LAMR,13.5,11400
1997-03-25,LAMR,13.166667,10500
1997-03-26,LAMR,13.666667,168150
1997-03-27,LAMR,13.25,44850
1997-03-31,LAMR,13.5,32550
1997-04-01,LAMR,13.25,51900
1997-04-02,LAMR,13.166667,24300
1997-04-03,LAMR,13.166667,26550
1997-04-04,LAMR,13.5,34650
1997-04-07,LAMR,13.166667,3900
1997-04-08,LAMR,13.166667,9600
1997-04-09,LAMR,13.666667,77850
1997-04-10,LAMR,13.666667,169650
1997-04-11,LAMR,13.333333,43800
1997-04-14,LAMR,14.0,276150
1997-04-15,LAMR,14.166667,93600
1997-04-16,LAMR,12.416667,105900
1997-04-17,LAMR,12.25,334950
1997-04-18,LAMR,11.833333,221250
1997-04-21,LAMR,10.833333,107400
1997-04-22,LAMR,11.166667,127950
1997-04-23,LAMR,11.166667,160650
1997-04-24,LAMR,11.166667,175950
1997-04-25,LAMR,12.333333,177450
1997-04-28,LAMR,12.333333,133800
1997-04-29,LAMR,12.5,136350
1997-04-30,LAMR,13.166667,82350
1997-05-01,LAMR,13.833333,137100
1997-05-02,LAMR,14.25,380700
1997-05-05,LAMR,13.833333,239550
1997-05-06,LAMR,14.833333,440400
1997-05-07,LAMR,14.916667,330600
1997-05-08,LAMR,14.666667,44550
