ds,symbol,close,volume
2005-05-05,LAZ,24.0,34923500
2005-05-06,LAZ,24.1,3338600
2005-05-09,LAZ,23.4,3981700
2005-05-10,LAZ,24.0,2693000
2005-05-11,LAZ,22.87,2972400
2005-05-12,LAZ,21.61,1604800
2005-05-13,LAZ,21.9,4238800
2005-05-16,LAZ,21.9,445400
2005-05-17,LAZ,20.9,2168200
2005-05-18,LAZ,21.4,2837200
2005-05-19,LAZ,21.7,585300
2005-05-20,LAZ,21.34,358600
2005-05-23,LAZ,20.84,1996200
2005-05-24,LAZ,20.7,811800
2005-05-25,LAZ,21.01,957400
2005-05-26,LAZ,21.9,1191300
2005-05-27,LAZ,21.78,481400
2005-05-31,LAZ,21.65,847700
2005-06-01,LAZ,24.39,478300
2005-06-02,LAZ,21.9,962200
2005-06-03,LAZ,21.65,390300
2005-06-06,LAZ,21.57,259500
2005-06-07,LAZ,21.26,207600
2005-06-08,LAZ,21.44,537000
2005-06-09,LAZ,21.45,499700
2005-06-10,LAZ,21.76,854400
2005-06-13,LAZ,22.15,864200
2005-06-14,LAZ,23.1,2746400
2005-06-15,LAZ,22.9,1183000
2005-06-16,LAZ,24.24,1661300
2005-06-17,LAZ,23.97,758800
2005-06-20,LAZ,23.67,724200
2005-06-21,LAZ,23.4,586200
2005-06-22,LAZ,23.23,681600
2005-06-23,LAZ,23.07,172400
2005-06-24,LAZ,23.33,533100
2005-06-27,LAZ,23.46,331500
2005-06-28,LAZ,23.53,213300
2005-06-29,LAZ,23.2,604600
2005-06-30,LAZ,23.25,498400
2005-07-01,LAZ,23.03,170000
2005-07-05,LAZ,22.99,259300
2005-07-06,LAZ,23.48,248100
2005-07-07,LAZ,23.2,216200
2005-07-08,LAZ,23.48,176800
2005-07-11,LAZ,23.78,185400
2005-07-12,LAZ,23.92,636900
2005-07-13,LAZ,23.78,162700
2005-07-14,LAZ,24.1,383700
2005-07-15,LAZ,23.95,488200
2005-07-18,LAZ,23.88,248700
2005-07-19,LAZ,24.25,455600
2005-07-20,LAZ,24.8,679900
2005-07-21,LAZ,24.51,268000
2005-07-22,LAZ,24.59,370600
2005-07-25,LAZ,24.31,157400
2005-07-26,LAZ,23.71,1726500
2005-07-27,LAZ,23.66,133900
2005-07-28,LAZ,23.64,98000
2005-07-29,LAZ,23.86,148500
2005-08-01,LAZ,23.98,111900
2005-08-02,LAZ,23.62,257000
2005-08-03,LAZ,23.32,428000
2005-08-04,LAZ,23.17,331000
2005-08-05,LAZ,23.0,302300
2005-08-08,LAZ,23.09,425500
2005-08-09,LAZ,23.6,307900
2005-08-10,LAZ,23.0,955100
2005-08-11,LAZ,23.1,559800
2005-08-12,LAZ,23.62,303000
2005-08-15,LAZ,24.03,479100
2005-08-16,LAZ,24.45,905900
2005-08-17,LAZ,24.28,118600
2005-08-18,LAZ,24.35,157800
2005-08-19,LAZ,24.58,99400
2005-08-22,LAZ,24.71,399100
2005-08-23,LAZ,25.1,574200
2005-08-24,LAZ,25.0,553900
2005-08-25,LAZ,25.06,563300
2005-08-26,LAZ,25.2,264200
2005-08-29,LAZ,24.71,487600
2005-08-30,LAZ,25.06,490100
2005-08-31,LAZ,25.42,372700
2005-09-01,LAZ,25.33,600700
2005-09-02,LAZ,25.46,161200
2005-09-06,LAZ,25.46,715500
2005-09-07,LAZ,25.96,478400
2005-09-08,LAZ,25.63,176900
2005-09-09,LAZ,25.26,309500
2005-09-12,LAZ,25.43,277200
2005-09-13,LAZ,25.49,334400
2005-09-14,LAZ,24.95,197500
2005-09-15,LAZ,25.25,133500
2005-09-16,LAZ,25.05,105100
2005-09-19,LAZ,24.6,349900
2005-09-20,LAZ,24.7,290100
2005-09-21,LAZ,24.01,465900
2005-09-22,LAZ,23.72,360300
2005-09-23,LAZ,23.92,507200
2005-09-26,LAZ,24.22,161800
2005-09-27,LAZ,24.44,143800
2005-09-28,LAZ,24.2,404100
2005-09-29,LAZ,24.85,223400
2005-09-30,LAZ,25.3,90200
2005-10-03,LAZ,25.35,255500
2005-10-04,LAZ,25.32,267200
2005-10-05,LAZ,25.21,169700
2005-10-06,LAZ,24.93,323000
2005-10-07,LAZ,25.03,66000
2005-10-10,LAZ,24.72,132500
2005-10-11,LAZ,24.54,176600
2005-10-12,LAZ,24.4,237500
2005-10-13,LAZ,24.55,151600
2005-10-14,LAZ,25.0,169900
2005-10-17,LAZ,24.92,35100
2005-10-18,LAZ,25.07,80700
2005-10-19,LAZ,25.26,250200
2005-10-20,LAZ,25.25,525500
2005-10-21,LAZ,24.69,359400
2005-10-24,LAZ,24.76,212400
2005-10-25,LAZ,25.03,129800
2005-10-26,LAZ,25.56,171600
2005-10-27,LAZ,25.51,158600
2005-10-28,LAZ,25.45,125500
2005-10-31,LAZ,25.85,137500
2005-11-01,LAZ,26.05,389600
2005-11-02,LAZ,26.76,345500
2005-11-03,LAZ,26.2,626700
2005-11-04,LAZ,25.85,260300
2005-11-07,LAZ,25.92,131500
2005-11-08,LAZ,25.78,138100
2005-11-09,LAZ,29.6,1921300
2005-11-10,LAZ,29.0,880100
2005-11-11,LAZ,29.55,560100
2005-11-14,LAZ,29.32,235200
2005-11-15,LAZ,29.0,498700
2005-11-16,LAZ,28.68,159800
2005-11-17,LAZ,28.77,354400
2005-11-18,LAZ,29.61,391400
2005-11-21,LAZ,30.45,250800
2005-11-22,LAZ,31.55,184400
2005-11-23,LAZ,31.7,335000
2005-11-25,LAZ,31.78,58300
2005-11-28,LAZ,30.93,171900
2005-11-29,LAZ,31.1,157900
2005-11-30,LAZ,31.3,109100
2005-12-01,LAZ,31.68,77600
2005-12-02,LAZ,31.14,116300
2005-12-05,LAZ,31.08,130200
2005-12-06,LAZ,30.93,195500
2005-12-07,LAZ,30.5,776400
2005-12-08,LAZ,30.5,288400
2005-12-09,LAZ,30.51,324000
2005-12-12,LAZ,30.6,224200
2005-12-13,LAZ,31.4,325200
2005-12-14,LAZ,31.6,97400
2005-12-15,LAZ,32.33,247900
2005-12-16,LAZ,32.1,108000
2005-12-19,LAZ,31.64,126600
2005-12-20,LAZ,31.45,79100
2005-12-21,LAZ,31.5,62100
