ds,symbol,close,volume
2020-09-18,LCID,9.89,564328
2020-09-21,LCID,9.86,762763
2020-09-22,LCID,9.88,1280789
2020-09-23,LCID,9.85,192570
2020-09-24,LCID,9.77,605537
2020-09-25,LCID,9.81,692465
2020-09-28,LCID,9.83,72303
2020-09-29,LCID,9.78,189577
2020-09-30,LCID,9.78,546245
2020-10-01,LCID,9.7599,1068527
2020-10-02,LCID,9.74,3925673
2020-10-05,LCID,9.71,3147963
2020-10-06,LCID,9.68,1902445
2020-10-07,LCID,9.71,1325422
2020-10-08,LCID,9.7166,550328
2020-10-09,LCID,9.75,2401524
2020-10-12,LCID,9.73,172260
2020-10-13,LCID,9.7,1623875
2020-10-14,LCID,9.68,2177911
2020-10-15,LCID,9.68,347983
2020-10-16,LCID,9.68,304983
2020-10-19,LCID,9.68,348739
2020-10-20,LCID,9.67,78163
2020-10-21,LCID,9.66,292303
2020-10-22,LCID,9.65,1441881
2020-10-23,LCID,9.63,2067850
2020-10-26,LCID,9.65,2394804
2020-10-27,LCID,9.65,304143
2020-10-28,LCID,9.65,1571479
2020-10-29,LCID,9.65,1652882
2020-10-30,LCID,9.63,1154338
2020-11-02,LCID,9.63,716681
2020-11-03,LCID,9.69,189840
2020-11-04,LCID,9.69,509822
2020-11-05,LCID,9.77,1534452
2020-11-06,LCID,9.72,1443973
2020-11-09,LCID,9.67,163474
2020-11-10,LCID,9.7,714714
2020-11-11,LCID,9.68,724462
2020-11-12,LCID,9.7,1501959
2020-11-13,LCID,9.69,754783
2020-11-16,LCID,9.7,151275
2020-11-17,LCID,9.71,46038
2020-11-18,LCID,9.74,301651
2020-11-19,LCID,9.72,44545
2020-11-20,LCID,9.71,995889
2020-11-23,LCID,9.75,134369
2020-11-24,LCID,9.76,51361
2020-11-25,LCID,9.76,1332376
2020-11-27,LCID,9.83,416161
2020-11-30,LCID,9.88,1623718
2020-12-01,LCID,9.88,1393800
2020-12-02,LCID,9.87,1440953
2020-12-03,LCID,9.87,513207
2020-12-04,LCID,9.88,405431
2020-12-07,LCID,9.94,2085323
