ds,symbol,close,volume
1990-01-02,LEG,3.734375,286400
1990-01-03,LEG,3.703125,216800
1990-01-04,LEG,3.703125,198400
1990-01-05,LEG,3.65625,52800
1990-01-08,LEG,3.71875,60800
1990-01-09,LEG,3.75,260800
1990-01-10,LEG,3.65625,28800
1990-01-11,LEG,3.6875,76000
1990-01-12,LEG,3.59375,110400
1990-01-15,LEG,3.578125,175200
1990-01-16,LEG,3.578125,83200
1990-01-17,LEG,3.5625,44800
1990-01-18,LEG,3.59375,217600
1990-01-19,LEG,3.65625,1114400
1990-01-22,LEG,3.65625,79200
1990-01-23,LEG,3.625,251200
1990-01-24,LEG,3.59375,156000
1990-01-25,LEG,3.59375,130400
1990-01-26,LEG,3.609375,28000
1990-01-29,LEG,3.625,89600
1990-01-30,LEG,3.625,155200
1990-01-31,LEG,3.625,84800
1990-02-01,LEG,3.71875,100000
1990-02-02,LEG,3.75,60000
1990-02-05,LEG,3.734375,120800
1990-02-06,LEG,3.703125,425600
1990-02-07,LEG,3.640625,128000
1990-02-08,LEG,3.609375,44000
1990-02-09,LEG,3.59375,148800
1990-02-12,LEG,3.5625,24800
1990-02-13,LEG,3.53125,48000
1990-02-14,LEG,3.515625,142400
1990-02-15,LEG,3.515625,392800
1990-02-16,LEG,3.5625,44000
1990-02-20,LEG,3.59375,264000
1990-02-21,LEG,3.5625,36800
1990-02-22,LEG,3.578125,308000
1990-02-23,LEG,3.59375,70400
1990-02-26,LEG,3.546875,34400
1990-02-27,LEG,3.5625,159200
1990-02-28,LEG,3.6875,108000
1990-03-01,LEG,3.65625,15200
1990-03-02,LEG,3.6875,56800
1990-03-05,LEG,3.6875,27200
1990-03-06,LEG,3.71875,94400
1990-03-07,LEG,3.734375,185600
1990-03-08,LEG,3.765625,331200
1990-03-09,LEG,3.765625,45600
1990-03-12,LEG,3.8125,44000
1990-03-13,LEG,3.8125,153600
1990-03-14,LEG,3.796875,112800
1990-03-15,LEG,3.8125,741600
1990-03-16,LEG,3.78125,30400
1990-03-19,LEG,3.8125,33600
1990-03-20,LEG,3.921875,29600
1990-03-21,LEG,3.953125,163200
1990-03-22,LEG,3.953125,52000
1990-03-23,LEG,3.953125,77600
1990-03-26,LEG,3.984375,436000
1990-03-27,LEG,4.03125,282400
1990-03-28,LEG,4.03125,28000
1990-03-29,LEG,4.0,240800
1990-03-30,LEG,4.03125,64800
1990-04-02,LEG,3.953125,79200
1990-04-03,LEG,4.0,163200
1990-04-04,LEG,4.015625,226400
1990-04-05,LEG,4.0,72000
1990-04-06,LEG,3.984375,18400
1990-04-09,LEG,3.921875,40000
1990-04-10,LEG,3.921875,110400
1990-04-11,LEG,3.9375,648800
1990-04-12,LEG,3.953125,166400
1990-04-16,LEG,3.921875,42400
1990-04-17,LEG,3.9375,38400
1990-04-18,LEG,3.875,127200
1990-04-19,LEG,3.875,36000
1990-04-20,LEG,3.859375,32800
1990-04-23,LEG,3.890625,68000
1990-04-24,LEG,3.875,800
1990-04-25,LEG,3.890625,179200
1990-04-26,LEG,3.921875,36800
1990-04-27,LEG,3.90625,65600
1990-04-30,LEG,3.921875,12800
1990-05-01,LEG,4.0,208000
1990-05-02,LEG,4.0625,132000
1990-05-03,LEG,4.140625,164000
1990-05-04,LEG,4.140625,96000
1990-05-07,LEG,4.140625,31200
1990-05-08,LEG,4.109375,548000
1990-05-09,LEG,4.09375,13600
1990-05-10,LEG,4.140625,123200
1990-05-11,LEG,4.15625,45600
1990-05-14,LEG,4.171875,244000
1990-05-15,LEG,4.140625,140800
1990-05-16,LEG,4.1875,360000
1990-05-17,LEG,4.3125,328800
1990-05-18,LEG,4.3125,151200
1990-05-21,LEG,4.296875,296800
1990-05-22,LEG,4.390625,468800
1990-05-23,LEG,4.34375,333600
1990-05-24,LEG,4.3125,208000
1990-05-25,LEG,4.25,140800
1990-05-29,LEG,4.25,50400
1990-05-30,LEG,4.28125,773600
1990-05-31,LEG,4.28125,27200
1990-06-01,LEG,4.328125,111200
1990-06-04,LEG,4.375,298400
1990-06-05,LEG,4.328125,100000
1990-06-06,LEG,4.375,213600
1990-06-07,LEG,4.5,552800
1990-06-08,LEG,4.46875,929600
1990-06-11,LEG,4.46875,90400
1990-06-12,LEG,4.5,360000
1990-06-13,LEG,4.46875,33600
1990-06-14,LEG,4.546875,732800
1990-06-15,LEG,4.71875,316800
1990-06-18,LEG,4.6875,368800
1990-06-19,LEG,4.65625,425600
1990-06-20,LEG,4.671875,361600
1990-06-21,LEG,4.6875,76800
1990-06-22,LEG,4.703125,153600
1990-06-25,LEG,4.6875,209600
1990-06-26,LEG,4.65625,578400
1990-06-27,LEG,4.625,290400
1990-06-28,LEG,4.59375,834400
1990-06-29,LEG,4.625,130400
1990-07-02,LEG,4.65625,198400
1990-07-03,LEG,4.625,199200
1990-07-05,LEG,4.53125,29600
1990-07-06,LEG,4.5,15200
1990-07-09,LEG,4.484375,157600
1990-07-10,LEG,4.46875,340000
1990-07-11,LEG,4.4375,360800
1990-07-12,LEG,4.4375,200000
1990-07-13,LEG,4.484375,148000
1990-07-16,LEG,4.546875,143200
1990-07-17,LEG,4.546875,116800
1990-07-18,LEG,4.53125,8800
1990-07-19,LEG,4.515625,108800
1990-07-20,LEG,4.484375,621600
1990-07-23,LEG,4.421875,318400
1990-07-24,LEG,4.4375,76800
1990-07-25,LEG,4.546875,650400
1990-07-26,LEG,4.515625,598400
1990-07-27,LEG,4.515625,45600
1990-07-30,LEG,4.53125,91200
1990-07-31,LEG,4.5,1510400
1990-08-01,LEG,4.5,772000
1990-08-02,LEG,4.53125,377600
1990-08-03,LEG,4.4375,157600
1990-08-06,LEG,4.34375,57600
1990-08-07,LEG,4.328125,60000
1990-08-08,LEG,4.34375,92000
1990-08-09,LEG,4.34375,170400
1990-08-10,LEG,4.265625,102400
1990-08-13,LEG,4.15625,165600
1990-08-14,LEG,4.140625,436800
1990-08-15,LEG,4.0625,576000
1990-08-16,LEG,4.0,48800
1990-08-17,LEG,3.96875,204000
1990-08-20,LEG,3.875,259200
1990-08-21,LEG,3.703125,60800
1990-08-22,LEG,3.625,104800
1990-08-23,LEG,3.296875,672800
1990-08-24,LEG,3.359375,264800
1990-08-27,LEG,3.4375,64800
1990-08-28,LEG,3.515625,34400
1990-08-29,LEG,3.625,34400
1990-08-30,LEG,3.703125,42400
1990-08-31,LEG,3.703125,95200
1990-09-04,LEG,3.6875,26400
1990-09-05,LEG,3.75,10400
1990-09-06,LEG,3.78125,43200
1990-09-07,LEG,3.6875,42400
1990-09-10,LEG,3.765625,52800
1990-09-11,LEG,3.734375,104000
1990-09-12,LEG,3.734375,153600
1990-09-13,LEG,3.734375,33600
1990-09-14,LEG,3.71875,82400
1990-09-17,LEG,3.75,176000
1990-09-18,LEG,3.71875,102400
1990-09-19,LEG,3.65625,318400
1990-09-20,LEG,3.53125,83200
1990-09-21,LEG,3.453125,565600
1990-09-24,LEG,3.375,78400
1990-09-25,LEG,3.40625,65600
1990-09-26,LEG,3.25,142400
1990-09-27,LEG,3.234375,35200
1990-09-28,LEG,3.125,285600
1990-10-01,LEG,3.140625,358400
1990-10-02,LEG,3.03125,171200
1990-10-03,LEG,2.84375,1254400
1990-10-04,LEG,2.796875,451200
1990-10-05,LEG,2.78125,70400
1990-10-08,LEG,2.71875,136000
1990-10-09,LEG,2.640625,789600
1990-10-10,LEG,2.65625,553600
1990-10-11,LEG,2.625,662400
1990-10-12,LEG,2.65625,313600
1990-10-15,LEG,2.6875,363200
1990-10-16,LEG,2.65625,271200
1990-10-17,LEG,2.65625,44800
1990-10-18,LEG,2.75,868000
1990-10-19,LEG,2.828125,147200
1990-10-22,LEG,2.796875,18400
1990-10-23,LEG,2.75,87200
1990-10-24,LEG,2.640625,344000
1990-10-25,LEG,2.75,108000
1990-10-26,LEG,2.6875,78400
1990-10-29,LEG,2.625,145600
1990-10-30,LEG,2.5625,797600
1990-10-31,LEG,2.515625,622400
1990-11-01,LEG,2.546875,55200
1990-11-02,LEG,2.609375,49600
1990-11-05,LEG,2.6875,1797600
1990-11-06,LEG,2.6875,1358400
1990-11-07,LEG,2.703125,256000
1990-11-08,LEG,2.75,175200
1990-11-09,LEG,2.8125,35200
1990-11-12,LEG,2.828125,146400
1990-11-13,LEG,2.890625,152800
1990-11-14,LEG,2.90625,98400
1990-11-15,LEG,2.90625,969600
1990-11-16,LEG,2.890625,79200
1990-11-19,LEG,2.9375,64000
1990-11-20,LEG,2.84375,97600
1990-11-21,LEG,2.828125,64800
1990-11-23,LEG,2.796875,94400
1990-11-26,LEG,2.828125,232000
1990-11-27,LEG,2.8125,30400
1990-11-28,LEG,2.71875,68800
1990-11-29,LEG,2.796875,160800
1990-11-30,LEG,2.921875,171200
1990-12-03,LEG,2.890625,156800
1990-12-04,LEG,2.90625,286400
1990-12-05,LEG,2.96875,500800
1990-12-06,LEG,3.140625,324000
1990-12-07,LEG,3.171875,466400
1990-12-10,LEG,3.171875,208800
1990-12-11,LEG,3.203125,64000
1990-12-12,LEG,3.234375,338400
1990-12-13,LEG,3.25,332800
1990-12-14,LEG,3.1875,145600
1990-12-17,LEG,3.21875,109600
1990-12-18,LEG,3.28125,188800
1990-12-19,LEG,3.3125,199200
1990-12-20,LEG,3.28125,13600
1990-12-21,LEG,3.28125,79200
1990-12-24,LEG,3.328125,37600
1990-12-26,LEG,3.3125,15200
1990-12-27,LEG,3.28125,179200
1990-12-28,LEG,3.265625,36000
1990-12-31,LEG,3.296875,51200
1991-01-02,LEG,3.296875,142400
1991-01-03,LEG,3.328125,253600
1991-01-04,LEG,3.328125,20000
1991-01-07,LEG,3.328125,108800
1991-01-08,LEG,3.328125,84000
1991-01-09,LEG,3.40625,183200
1991-01-10,LEG,3.421875,206400
1991-01-11,LEG,3.421875,760800
1991-01-14,LEG,3.34375,152800
1991-01-15,LEG,3.265625,148000
1991-01-16,LEG,3.296875,26400
1991-01-17,LEG,3.421875,120000
1991-01-18,LEG,3.40625,15200
1991-01-21,LEG,3.421875,25600
1991-01-22,LEG,3.4375,43200
1991-01-23,LEG,3.5,190400
1991-01-24,LEG,3.5,199200
1991-01-25,LEG,3.53125,130400
1991-01-28,LEG,3.609375,156800
1991-01-29,LEG,3.671875,64800
1991-01-30,LEG,3.703125,352800
1991-01-31,LEG,3.625,113600
1991-02-01,LEG,3.671875,413600
1991-02-04,LEG,3.5625,1802400
1991-02-05,LEG,3.609375,1029600
1991-02-06,LEG,3.609375,28800
1991-02-07,LEG,3.609375,335200
1991-02-08,LEG,3.625,24800
1991-02-11,LEG,3.734375,274400
1991-02-12,LEG,3.84375,314400
1991-02-13,LEG,3.734375,207200
1991-02-14,LEG,3.625,200000
1991-02-15,LEG,3.65625,216800
1991-02-19,LEG,3.640625,77600
1991-02-20,LEG,3.75,44800
1991-02-21,LEG,3.8125,344000
1991-02-22,LEG,3.796875,34400
1991-02-25,LEG,3.78125,619200
1991-02-26,LEG,3.765625,299200
1991-02-27,LEG,3.765625,79200
1991-02-28,LEG,3.78125,84800
1991-03-01,LEG,3.796875,150400
1991-03-04,LEG,3.828125,259200
1991-03-05,LEG,3.84375,100000
1991-03-06,LEG,3.921875,478400
1991-03-07,LEG,3.984375,111200
1991-03-08,LEG,4.0,352000
1991-03-11,LEG,4.046875,232800
1991-03-12,LEG,4.03125,261600
1991-03-13,LEG,4.109375,125600
1991-03-14,LEG,4.0625,127200
1991-03-15,LEG,3.953125,61600
1991-03-18,LEG,3.921875,77600
1991-03-19,LEG,3.90625,215200
1991-03-20,LEG,3.8125,56800
1991-03-21,LEG,3.75,13600
1991-03-22,LEG,3.703125,192000
1991-03-25,LEG,3.71875,28800
1991-03-26,LEG,3.75,391200
1991-03-27,LEG,3.765625,171200
1991-03-28,LEG,3.765625,306400
1991-04-01,LEG,3.75,233600
1991-04-02,LEG,3.75,1487200
1991-04-03,LEG,3.84375,456000
1991-04-04,LEG,3.8125,281600
1991-04-05,LEG,3.828125,101600
1991-04-08,LEG,3.78125,422400
1991-04-09,LEG,3.6875,25600
1991-04-10,LEG,3.65625,464000
1991-04-11,LEG,3.6875,326400
1991-04-12,LEG,3.71875,273600
1991-04-15,LEG,3.703125,31200
1991-04-16,LEG,3.734375,236000
1991-04-17,LEG,3.71875,103200
1991-04-18,LEG,3.71875,110400
1991-04-19,LEG,3.75,340000
1991-04-22,LEG,3.75,23200
1991-04-23,LEG,3.75,116800
1991-04-24,LEG,3.75,251200
1991-04-25,LEG,3.796875,67200
1991-04-26,LEG,3.828125,108000
1991-04-29,LEG,3.84375,26400
1991-04-30,LEG,3.875,173600
1991-05-01,LEG,3.9375,138400
1991-05-02,LEG,3.921875,364000
1991-05-03,LEG,3.9375,220000
1991-05-06,LEG,3.9375,6400
1991-05-07,LEG,3.984375,284800
1991-05-08,LEG,4.015625,123200
1991-05-09,LEG,4.0625,292800
1991-05-10,LEG,4.140625,108000
1991-05-13,LEG,4.125,101600
1991-05-14,LEG,4.34375,200800
1991-05-15,LEG,4.3125,78400
1991-05-16,LEG,4.25,40000
1991-05-17,LEG,4.21875,678400
1991-05-20,LEG,4.234375,31200
1991-05-21,LEG,4.234375,340800
1991-05-22,LEG,4.234375,101600
1991-05-23,LEG,4.109375,243200
1991-05-24,LEG,4.125,368800
1991-05-28,LEG,4.140625,136000
1991-05-29,LEG,4.25,317600
1991-05-30,LEG,4.28125,216800
1991-05-31,LEG,4.203125,337600
1991-06-03,LEG,4.21875,375200
1991-06-04,LEG,4.25,1233600
1991-06-05,LEG,4.25,528800
1991-06-06,LEG,4.15625,207200
1991-06-07,LEG,4.21875,388800
1991-06-10,LEG,4.234375,495200
1991-06-11,LEG,4.234375,97600
1991-06-12,LEG,4.25,238400
1991-06-13,LEG,4.265625,169600
1991-06-14,LEG,4.234375,35200
1991-06-17,LEG,4.1875,72000
1991-06-18,LEG,4.203125,4000
1991-06-19,LEG,4.1875,88000
1991-06-20,LEG,4.21875,101600
1991-06-21,LEG,4.1875,461600
1991-06-24,LEG,4.140625,60000
1991-06-25,LEG,4.09375,41600
1991-06-26,LEG,4.125,73600
1991-06-27,LEG,4.125,108800
1991-06-28,LEG,4.109375,49600
1991-07-01,LEG,4.140625,84000
1991-07-02,LEG,4.109375,54400
1991-07-03,LEG,4.09375,70400
1991-07-05,LEG,4.09375,54400
1991-07-08,LEG,4.078125,76800
1991-07-09,LEG,4.046875,92800
1991-07-10,LEG,3.9375,81600
1991-07-11,LEG,3.96875,102400
1991-07-12,LEG,4.046875,335200
1991-07-15,LEG,4.09375,57600
1991-07-16,LEG,4.078125,128000
1991-07-17,LEG,4.046875,33600
1991-07-18,LEG,4.03125,66400
1991-07-19,LEG,4.0,158400
1991-07-22,LEG,3.96875,122400
1991-07-23,LEG,3.921875,104000
1991-07-24,LEG,3.796875,207200
1991-07-25,LEG,3.796875,168800
1991-07-26,LEG,3.859375,129600
1991-07-29,LEG,3.84375,32000
1991-07-30,LEG,3.875,317600
1991-07-31,LEG,3.90625,361600
1991-08-01,LEG,3.875,195200
1991-08-02,LEG,3.875,298400
1991-08-05,LEG,3.84375,98400
1991-08-06,LEG,3.875,536800
1991-08-07,LEG,3.921875,1301600
1991-08-08,LEG,3.90625,341600
1991-08-09,LEG,3.90625,293600
1991-08-12,LEG,3.890625,315200
1991-08-13,LEG,3.890625,106400
1991-08-14,LEG,3.953125,220800
1991-08-15,LEG,4.03125,348000
1991-08-16,LEG,4.078125,84800
1991-08-19,LEG,4.0625,216000
1991-08-20,LEG,4.0625,252800
1991-08-21,LEG,4.1875,352000
1991-08-22,LEG,4.28125,257600
1991-08-23,LEG,4.25,232800
1991-08-26,LEG,4.21875,31200
1991-08-27,LEG,4.265625,302400
1991-08-28,LEG,4.265625,55200
1991-08-29,LEG,4.25,228800
1991-08-30,LEG,4.25,101600
1991-09-03,LEG,4.25,96800
1991-09-04,LEG,4.21875,88800
1991-09-05,LEG,4.21875,35200
1991-09-06,LEG,4.125,131200
1991-09-09,LEG,4.125,48800
1991-09-10,LEG,4.0,79200
1991-09-11,LEG,4.015625,162400
1991-09-12,LEG,4.015625,543200
1991-09-13,LEG,4.03125,177600
1991-09-16,LEG,3.96875,56800
1991-09-17,LEG,3.90625,92000
1991-09-18,LEG,3.875,128000
1991-09-19,LEG,3.90625,2064000
1991-09-20,LEG,3.859375,140000
1991-09-23,LEG,3.859375,884000
1991-09-24,LEG,3.90625,124000
1991-09-25,LEG,3.921875,121600
1991-09-26,LEG,3.90625,140000
1991-09-27,LEG,3.921875,176800
1991-09-30,LEG,4.0,246400
1991-10-01,LEG,4.03125,398400
