ds,symbol,close,volume
2019-12-12,LFLY,9.7,800700
2019-12-13,LFLY,9.7,1176
2019-12-16,LFLY,9.75,225333
2019-12-17,LFLY,9.72,3804
2019-12-18,LFLY,9.73,2445
2019-12-19,LFLY,9.72,272
2019-12-20,LFLY,9.75,2500
2019-12-23,LFLY,9.75,1000
2019-12-24,LFLY,9.75,0
2019-12-26,LFLY,9.75,13
2019-12-27,LFLY,9.74,21993
2019-12-30,LFLY,9.74,4
2019-12-31,LFLY,9.74,3305
2020-01-02,LFLY,9.74,19761
2020-01-03,LFLY,9.746,3900
2020-01-06,LFLY,9.77,43946
2020-01-07,LFLY,9.75,35515
2020-01-08,LFLY,9.76,2930
2020-01-09,LFLY,9.8,223669
2020-01-10,LFLY,9.8,6
2020-01-13,LFLY,9.88,6306
2020-01-14,LFLY,9.87,510
2020-01-15,LFLY,9.9,1048
2020-01-16,LFLY,9.9,11
2020-01-17,LFLY,9.9,636
2020-01-21,LFLY,9.83,5200
2020-01-22,LFLY,9.82,75241
2020-01-23,LFLY,9.84,50000
2020-01-24,LFLY,9.84,100200
2020-01-27,LFLY,9.84,6
2020-01-28,LFLY,9.84,0
2020-01-29,LFLY,9.85,508
2020-01-30,LFLY,9.85,1320
2020-01-31,LFLY,9.81,100
2020-02-03,LFLY,9.81,0
2020-02-04,LFLY,9.81,375
2020-02-05,LFLY,9.81,0
2020-02-06,LFLY,9.81,0
2020-02-07,LFLY,9.95,2796
2020-02-10,LFLY,9.95,8
2020-02-11,LFLY,9.95,0
2020-02-12,LFLY,9.95,0
2020-02-13,LFLY,9.95,2
2020-02-14,LFLY,9.91,32056
2020-02-18,LFLY,9.882,1183
2020-02-19,LFLY,9.85,706
2020-02-20,LFLY,9.85,0
2020-02-21,LFLY,9.85,12
2020-02-24,LFLY,9.85,1
2020-02-25,LFLY,9.85,638
2020-02-26,LFLY,9.85,12264
2020-02-27,LFLY,9.86,500
2020-02-28,LFLY,9.8,20500
2020-03-02,LFLY,9.8,25
2020-03-03,LFLY,9.8,10
2020-03-04,LFLY,9.9,22500
2020-03-05,LFLY,9.86,13500
2020-03-06,LFLY,9.86,0
2020-03-09,LFLY,9.82,352230
2020-03-10,LFLY,9.8,61786
2020-03-11,LFLY,9.79,1130
2020-03-12,LFLY,9.7,136151
2020-03-13,LFLY,9.65,8224
2020-03-16,LFLY,9.6,105110
2020-03-17,LFLY,9.6,26654
2020-03-18,LFLY,8.57,15795
2020-03-19,LFLY,9.51,21192
2020-03-20,LFLY,9.453,138731
2020-03-23,LFLY,9.325,360481
2020-03-24,LFLY,9.69,11611
2020-03-25,LFLY,9.65,851
2020-03-26,LFLY,9.552,763
2020-03-27,LFLY,9.7,7317
2020-03-30,LFLY,9.7,142
2020-03-31,LFLY,9.69,58004
2020-04-01,LFLY,9.553,958
2020-04-02,LFLY,9.7,444
2020-04-03,LFLY,9.6,3374
2020-04-06,LFLY,9.643,1056
2020-04-07,LFLY,9.644,408
2020-04-08,LFLY,9.6,382
2020-04-09,LFLY,9.65,2728
2020-04-13,LFLY,9.61,2285
2020-04-14,LFLY,9.68,2027
2020-04-15,LFLY,9.65,394
2020-04-16,LFLY,9.6,674
2020-04-17,LFLY,9.6,242
2020-04-20,LFLY,9.649,1039
2020-04-21,LFLY,9.649,50
2020-04-22,LFLY,9.68,401
2020-04-23,LFLY,9.654,151
2020-04-24,LFLY,9.6,80700
2020-04-27,LFLY,9.68,678
2020-04-28,LFLY,9.6,537
2020-04-29,LFLY,9.68,800723
2020-04-30,LFLY,9.68,26596
2020-05-01,LFLY,9.66,10935
2020-05-04,LFLY,9.68,916
2020-05-05,LFLY,9.68,2682
2020-05-06,LFLY,9.89,378
2020-05-07,LFLY,9.89,505
2020-05-08,LFLY,9.63,545
2020-05-11,LFLY,9.68,2408
2020-05-12,LFLY,9.68,20
2020-05-13,LFLY,9.75,3960
2020-05-14,LFLY,9.75,57
2020-05-15,LFLY,9.75,108
2020-05-18,LFLY,9.71,40971
2020-05-19,LFLY,9.65,25987
2020-05-20,LFLY,9.65,35
2020-05-21,LFLY,9.85,2250
2020-05-22,LFLY,9.85,118
2020-05-26,LFLY,9.62,342
2020-05-27,LFLY,9.75,125
2020-05-28,LFLY,9.75,4
2020-05-29,LFLY,9.76,310
2020-06-01,LFLY,9.764,157
2020-06-02,LFLY,9.764,20
2020-06-03,LFLY,9.764,10
2020-06-04,LFLY,9.7,2283
2020-06-05,LFLY,9.7,30
2020-06-08,LFLY,9.86,821
2020-06-09,LFLY,9.86,94
2020-06-10,LFLY,9.79,5599
2020-06-11,LFLY,9.776,28852
2020-06-12,LFLY,9.77,663
2020-06-15,LFLY,9.77,57
2020-06-16,LFLY,9.75,37448
2020-06-17,LFLY,9.77,9737
2020-06-18,LFLY,9.7,15386
2020-06-19,LFLY,9.75,500
2020-06-22,LFLY,9.75,559396
2020-06-23,LFLY,9.85,6851
2020-06-24,LFLY,9.8,364
2020-06-25,LFLY,9.8,178142
2020-06-26,LFLY,9.8,436
2020-06-29,LFLY,9.75,215240
