ds,symbol,close,volume
1992-11-18,LGND,45.851528,886860
1992-11-19,LGND,50.998131,206066
1992-11-20,LGND,50.530254,93108
1992-11-23,LGND,47.723019,37724
1992-11-24,LGND,44.915783,26102
1992-11-25,LGND,44.915783,22576
1992-11-27,LGND,46.787273,5717
1992-11-30,LGND,43.980038,76597
1992-12-01,LGND,42.108547,99306
1992-12-02,LGND,42.108547,27385
1992-12-03,LGND,41.172802,33636
1992-12-04,LGND,41.640675,23671
1992-12-07,LGND,41.172802,33209
1992-12-08,LGND,41.172802,47476
1992-12-09,LGND,41.172802,19129
1992-12-10,LGND,41.172802,68154
1992-12-11,LGND,41.172802,31873
1992-12-14,LGND,41.172802,2511
1992-12-15,LGND,41.172802,7160
1992-12-16,LGND,40.237057,33316
1992-12-17,LGND,40.237057,4943
1992-12-18,LGND,38.365566,30724
1992-12-21,LGND,39.301311,29388
1992-12-22,LGND,39.301311,20278
1992-12-23,LGND,39.301311,6305
1992-12-24,LGND,37.429817,347
1992-12-28,LGND,37.429817,267
1992-12-29,LGND,37.429817,2405
1992-12-30,LGND,40.237057,6412
1992-12-31,LGND,39.301311,39915
1993-01-04,LGND,45.851528,9324
1993-01-05,LGND,42.108547,21480
1993-01-06,LGND,40.237057,9297
1993-01-07,LGND,39.301311,1603
1993-01-08,LGND,39.301311,12851
1993-01-11,LGND,41.172802,3767
1993-01-12,LGND,41.172802,2191
1993-01-13,LGND,40.237057,347
1993-01-14,LGND,38.365566,5611
1993-01-15,LGND,40.237057,802
1993-01-18,LGND,40.237057,4435
1993-01-19,LGND,35.558327,16164
1993-01-20,LGND,34.154709,4462
1993-01-21,LGND,32.751091,29041
1993-01-22,LGND,35.558327,9164
1993-01-25,LGND,41.172802,62517
1993-01-26,LGND,39.769184,14053
1993-01-27,LGND,40.237057,4382
1993-01-28,LGND,40.237057,7187
1993-01-29,LGND,40.237057,1790
1993-02-01,LGND,40.237057,5130
1993-02-02,LGND,37.429817,4515
1993-02-03,LGND,40.237057,588
1993-02-04,LGND,40.237057,1790
1993-02-05,LGND,38.365566,20331
1993-02-08,LGND,36.961945,6786
1993-02-09,LGND,36.494076,1095
1993-02-10,LGND,38.365566,989
1993-02-11,LGND,38.365566,668
1993-02-12,LGND,36.494076,214
1993-02-16,LGND,33.686836,26476
1993-02-17,LGND,32.751091,57681
1993-02-18,LGND,32.751091,9992
1993-02-19,LGND,34.622581,11515
1993-02-22,LGND,37.429817,12584
1993-02-23,LGND,37.429817,10981
1993-02-24,LGND,38.365566,9378
1993-02-25,LGND,37.429817,3313
1993-02-26,LGND,38.365566,721
1993-03-01,LGND,36.494076,1630
1993-03-02,LGND,38.365566,802
1993-03-03,LGND,38.365566,2244
1993-03-04,LGND,38.365566,11194
1993-03-05,LGND,38.833439,38873
1993-03-08,LGND,41.172802,11835
1993-03-09,LGND,40.237057,4221
1993-03-10,LGND,40.237057,4248
1993-03-11,LGND,41.172802,4088
1993-03-12,LGND,40.237057,668
1993-03-15,LGND,38.833439,4462
1993-03-16,LGND,40.237057,721
1993-03-17,LGND,37.897694,882
1993-03-18,LGND,40.237057,1763
1993-03-19,LGND,38.833439,1469
1993-03-22,LGND,35.558327,6652
1993-03-23,LGND,35.558327,3927
1993-03-24,LGND,34.622581,2298
1993-03-25,LGND,36.494076,1924
1993-03-26,LGND,37.429817,4034
1993-03-29,LGND,37.429817,267
1993-03-30,LGND,34.622581,2992
1993-03-31,LGND,36.494076,1256
1993-04-01,LGND,37.897694,3206
1993-04-02,LGND,37.429817,748
1993-04-05,LGND,37.429817,1950
1993-04-06,LGND,36.494076,534
1993-04-07,LGND,37.429817,2939
1993-04-08,LGND,34.622581,2538
1993-04-12,LGND,37.429817,1656
1993-04-13,LGND,35.090454,882
1993-04-14,LGND,34.622581,83196
1993-04-15,LGND,36.026199,160
1993-04-16,LGND,36.026199,1710
1993-04-19,LGND,34.622581,1202
1993-04-20,LGND,34.622581,508
1993-04-21,LGND,34.622581,2458
1993-04-22,LGND,36.026199,908
1993-04-23,LGND,37.429817,427
1993-04-26,LGND,34.622581,668
1993-04-27,LGND,34.622581,2939
1993-04-28,LGND,34.622581,802
1993-04-29,LGND,35.558327,134
1993-04-30,LGND,36.494076,294
1993-05-03,LGND,34.622581,321
1993-05-04,LGND,34.622581,1069
1993-05-05,LGND,33.218964,7240
1993-05-06,LGND,33.686836,2111
1993-05-07,LGND,33.686836,40663
1993-05-10,LGND,35.558327,481
1993-05-11,LGND,33.686836,1550
1993-05-12,LGND,35.558327,1363
1993-05-13,LGND,34.154709,7962
1993-05-14,LGND,32.751091,1496
1993-05-17,LGND,33.686836,3446
1993-05-18,LGND,39.769184,13412
1993-05-19,LGND,40.237057,4836
1993-05-20,LGND,37.429817,401
1993-05-21,LGND,37.429817,3500
1993-05-24,LGND,37.429817,5477
1993-05-25,LGND,39.301311,2618
1993-05-26,LGND,39.301311,3153
1993-05-27,LGND,39.301311,347
