ds,symbol,close,volume
2007-12-13,LRN,24.55,4292200
2007-12-14,LRN,25.5,329300
2007-12-17,LRN,24.98,195100
2007-12-18,LRN,25.64,64000
2007-12-19,LRN,28.75,170000
2007-12-20,LRN,27.11,196200
2007-12-21,LRN,28.41,95700
2007-12-24,LRN,28.48,16900
2007-12-26,LRN,28.29,23200
2007-12-27,LRN,27.29,28600
2007-12-28,LRN,26.01,111520
2007-12-31,LRN,25.87,128700
2008-01-02,LRN,26.36,50800
2008-01-03,LRN,27.81,147997
2008-01-04,LRN,27.46,60700
2008-01-07,LRN,25.8,110900
2008-01-08,LRN,26.04,123900
2008-01-09,LRN,26.1,102100
2008-01-10,LRN,26.32,8909
2008-01-11,LRN,26.19,21250
2008-01-14,LRN,23.35,202716
2008-01-15,LRN,19.66,155133
2008-01-16,LRN,21.15,92825
2008-01-17,LRN,21.3,33900
2008-01-18,LRN,21.78,26285
2008-01-22,LRN,22.98,36364
2008-01-23,LRN,24.0,66600
2008-01-24,LRN,25.5,63628
2008-01-25,LRN,25.29,27350
2008-01-28,LRN,24.87,44100
2008-01-29,LRN,24.21,20400
2008-01-30,LRN,23.0,55000
2008-01-31,LRN,23.0,62500
2008-02-01,LRN,23.0,35000
2008-02-04,LRN,23.7,57800
2008-02-05,LRN,22.98,31600
2008-02-06,LRN,23.05,18400
2008-02-07,LRN,23.0,13200
2008-02-08,LRN,22.82,22000
2008-02-11,LRN,22.03,19700
2008-02-12,LRN,22.25,7500
2008-02-13,LRN,24.0,13700
2008-02-14,LRN,23.575,21246
2008-02-15,LRN,25.08,192100
2008-02-19,LRN,26.96,31300
2008-02-20,LRN,27.34,51580
2008-02-21,LRN,26.32,11500
2008-02-22,LRN,26.7,11200
2008-02-25,LRN,27.59,18000
2008-02-26,LRN,26.452,5900
2008-02-27,LRN,27.78,24500
2008-02-28,LRN,27.2,25976
2008-02-29,LRN,27.12,56100
2008-03-03,LRN,26.82,18200
2008-03-04,LRN,26.34,22500
2008-03-05,LRN,25.1,98489
2008-03-06,LRN,23.48,75700
2008-03-07,LRN,23.86,12156
2008-03-10,LRN,22.21,7100
2008-03-11,LRN,22.98,28400
2008-03-12,LRN,21.02,36200
2008-03-13,LRN,20.92,156504
2008-03-14,LRN,20.5,10400
2008-03-17,LRN,20.8,11386
2008-03-18,LRN,22.65,34000
2008-03-19,LRN,20.9,33500
2008-03-20,LRN,22.4,22200
2008-03-24,LRN,23.0,54080
2008-03-25,LRN,22.77,32600
2008-03-26,LRN,22.3,8300
2008-03-27,LRN,21.96,28700
2008-03-28,LRN,20.74,106600
2008-03-31,LRN,19.25,638200
2008-04-01,LRN,19.08,248760
2008-04-02,LRN,18.0,241100
2008-04-03,LRN,18.5,55592
2008-04-04,LRN,19.75,54775
2008-04-07,LRN,22.0,156200
2008-04-08,LRN,21.3,16700
2008-04-09,LRN,21.53,35447
2008-04-10,LRN,22.1,30500
2008-04-11,LRN,20.64,30700
2008-04-14,LRN,20.53,29711
2008-04-15,LRN,21.9,63930
2008-04-16,LRN,22.99,78686
2008-04-17,LRN,22.89,23721
2008-04-18,LRN,22.81,25342
2008-04-21,LRN,22.18,42307
