ds,symbol,close,volume
2019-08-13,LSPD,32.9274,429
2019-08-14,LSPD,29.76,1977
2019-08-15,LSPD,29.257,3097
2019-08-16,LSPD,29.257,3
2019-08-19,LSPD,31.5,2609
2019-08-20,LSPD,31.4875,300474
2019-08-21,LSPD,32.9415,4955
2019-08-22,LSPD,33.6998,1047
2019-08-23,LSPD,33.1914,3313
2019-08-26,LSPD,33.3852,349
2019-08-27,LSPD,32.5038,600
2019-08-28,LSPD,32.5038,307
2019-08-29,LSPD,32.9819,2585
2019-08-30,LSPD,31.6573,449
2019-09-03,LSPD,30.0,1656
2019-09-04,LSPD,30.0,115
2019-09-05,LSPD,30.1818,385
2019-09-06,LSPD,28.8974,1028
2019-09-09,LSPD,26.1183,1310
2019-09-10,LSPD,27.1965,1786
2019-09-11,LSPD,26.032,515
2019-09-12,LSPD,26.4159,360
2019-09-16,LSPD,25.2,836
2019-09-17,LSPD,25.2,1
2019-09-18,LSPD,23.4002,1895
2019-09-19,LSPD,23.55,1861
2019-09-20,LSPD,24.7139,700
2019-09-23,LSPD,24.4695,346
2019-09-24,LSPD,24.4695,25
2019-09-25,LSPD,25.6768,130
2019-09-26,LSPD,24.9328,2155
2019-09-27,LSPD,22.8808,992
2019-09-30,LSPD,22.8,1036
2019-10-01,LSPD,22.9142,790
2019-10-02,LSPD,22.9142,7
2019-10-04,LSPD,21.9592,520
2019-10-07,LSPD,22.0325,980
2019-10-09,LSPD,23.0494,2963
2019-10-11,LSPD,24.9449,200
2019-10-14,LSPD,25.0,200
2019-10-15,LSPD,25.9439,450
2019-10-16,LSPD,25.8273,100
2019-10-17,LSPD,26.9692,1430
2019-10-18,LSPD,27.2452,197
2019-10-21,LSPD,25.2637,428
2019-10-22,LSPD,25.2637,60
2019-10-24,LSPD,25.4825,1996
2019-10-25,LSPD,25.6764,275
2019-10-28,LSPD,25.67,226
2019-10-29,LSPD,25.4576,165
2019-10-30,LSPD,25.5076,31797
2019-10-31,LSPD,25.5076,7740
2019-11-01,LSPD,25.5076,50
2019-11-06,LSPD,24.2456,2012
2019-11-08,LSPD,23.6748,135
2019-11-12,LSPD,23.813,230
2019-11-13,LSPD,23.7808,218
2019-11-14,LSPD,23.8922,100
2019-11-15,LSPD,24.0,800
2019-11-18,LSPD,24.0,2
2019-11-20,LSPD,22.9337,469
2019-11-21,LSPD,22.6162,110
2019-11-22,LSPD,22.7247,212
2019-11-25,LSPD,22.6497,152
2019-11-27,LSPD,25.6163,515
2019-11-29,LSPD,25.6163,3
2019-12-02,LSPD,25.335,206
2019-12-03,LSPD,25.6681,510
2019-12-04,LSPD,25.766,427
2019-12-06,LSPD,25.1043,20553
2019-12-09,LSPD,25.614,503
2019-12-11,LSPD,25.304,1100
2019-12-12,LSPD,25.304,19
2019-12-13,LSPD,25.304,1
2019-12-16,LSPD,24.957,599
2019-12-17,LSPD,24.96,319
2019-12-18,LSPD,26.34,1532
2019-12-19,LSPD,27.0088,1100
2019-12-20,LSPD,28.5,2118
2019-12-23,LSPD,29.0121,10561
2019-12-24,LSPD,28.4517,320
2019-12-26,LSPD,28.4,200
2019-12-27,LSPD,27.975,103
2019-12-30,LSPD,27.975,545
2020-01-02,LSPD,28.1607,100
2020-01-03,LSPD,28.1607,48
2020-01-06,LSPD,28.1607,102
2020-01-07,LSPD,30.897,2686
2020-01-08,LSPD,31.6719,1173
2020-01-09,LSPD,32.5228,1655
2020-01-10,LSPD,32.445,453
2020-01-13,LSPD,32.7917,784
2020-01-14,LSPD,32.2032,1050
2020-01-15,LSPD,32.3799,203
2020-01-16,LSPD,32.23,2436
2020-01-17,LSPD,32.23,157
2020-01-21,LSPD,32.5645,981
2020-01-22,LSPD,33.156,200
2020-01-23,LSPD,34.3836,1275
2020-01-24,LSPD,33.6849,2636
2020-01-27,LSPD,33.6849,10
2020-01-28,LSPD,32.65,1906
2020-01-29,LSPD,34.4056,383
2020-01-30,LSPD,33.1599,748
2020-01-31,LSPD,31.6663,1826
2020-02-03,LSPD,32.9762,170
2020-02-04,LSPD,32.9762,325
2020-02-05,LSPD,32.99,275
2020-02-06,LSPD,28.8529,4459
2020-02-07,LSPD,26.9899,1198
2020-02-10,LSPD,28.5094,395
2020-02-11,LSPD,28.5806,1708
2020-02-12,LSPD,30.0052,4332
2020-02-13,LSPD,30.3599,1020
2020-02-14,LSPD,30.18,1685
2020-02-18,LSPD,30.18,211
2020-02-19,LSPD,28.1161,1576
2020-02-20,LSPD,27.9746,1757
2020-02-21,LSPD,28.1611,868
2020-02-24,LSPD,27.44,675
2020-02-25,LSPD,26.35,662
2020-02-26,LSPD,26.8441,344
2020-02-27,LSPD,24.6713,3095
2020-02-28,LSPD,24.6105,1136
2020-03-02,LSPD,24.747,1454
2020-03-03,LSPD,23.9755,776
2020-03-04,LSPD,22.0,311
2020-03-05,LSPD,22.0,22
2020-03-06,LSPD,22.9555,14733
2020-03-09,LSPD,20.0461,392
2020-03-10,LSPD,20.0,2509
