ds,symbol,close,volume
2000-08-04,LTRX,48.0,902600
2000-08-07,LTRX,48.75,106733
2000-08-08,LTRX,48.75,129633
2000-08-09,LTRX,48.0,125683
2000-08-10,LTRX,49.125,96017
2000-08-11,LTRX,48.0,45783
2000-08-14,LTRX,48.0,6050
2000-08-15,LTRX,48.0,26183
2000-08-16,LTRX,47.25,12917
2000-08-17,LTRX,40.5,221433
2000-08-18,LTRX,41.25,7967
2000-08-21,LTRX,46.125,11233
2000-08-22,LTRX,51.75,41583
2000-08-23,LTRX,52.5,15017
2000-08-24,LTRX,61.125,41683
2000-08-25,LTRX,60.0,15283
2000-08-28,LTRX,58.875,30267
2000-08-29,LTRX,63.75,32850
2000-08-30,LTRX,63.375,159650
2000-08-31,LTRX,61.125,42650
2000-09-01,LTRX,60.75,25567
2000-09-05,LTRX,63.0,70750
2000-09-06,LTRX,62.25,29517
2000-09-07,LTRX,64.5,37817
2000-09-08,LTRX,61.875,19733
2000-09-11,LTRX,61.5,38783
2000-09-12,LTRX,59.625,14167
2000-09-13,LTRX,60.375,8867
2000-09-14,LTRX,60.375,24267
2000-09-15,LTRX,60.0,39250
2000-09-18,LTRX,51.0,58067
2000-09-19,LTRX,49.5,7783
2000-09-20,LTRX,48.0,7583
2000-09-21,LTRX,48.0,2333
2000-09-22,LTRX,45.0,7150
2000-09-25,LTRX,46.5,1283
2000-09-26,LTRX,45.375,2283
2000-09-27,LTRX,42.0,5150
2000-09-28,LTRX,45.0,6317
2000-09-29,LTRX,57.0,12450
2000-10-02,LTRX,49.5,2917
2000-10-03,LTRX,42.375,1867
2000-10-04,LTRX,40.5,4067
2000-10-05,LTRX,51.0,7717
2000-10-06,LTRX,48.75,1617
2000-10-09,LTRX,45.75,1317
2000-10-10,LTRX,42.0,883
2000-10-11,LTRX,42.75,5633
2000-10-12,LTRX,39.0,6100
2000-10-13,LTRX,43.5,2150
2000-10-16,LTRX,47.25,5883
2000-10-17,LTRX,47.8125,1483
2000-10-18,LTRX,42.0,5867
2000-10-19,LTRX,41.25,2317
2000-10-20,LTRX,42.0,7733
2000-10-23,LTRX,40.5,29000
2000-10-24,LTRX,39.75,5283
2000-10-25,LTRX,36.0,9067
2000-10-26,LTRX,35.25,9967
2000-10-27,LTRX,33.9375,11167
2000-10-30,LTRX,28.125,39950
2000-10-31,LTRX,30.375,16317
2000-11-01,LTRX,29.0625,87983
2000-11-02,LTRX,34.5,46450
2000-11-03,LTRX,36.75,6567
2000-11-06,LTRX,34.125,9333
2000-11-07,LTRX,33.75,3833
2000-11-08,LTRX,32.625,9117
2000-11-09,LTRX,32.25,11833
2000-11-10,LTRX,30.75,2967
2000-11-13,LTRX,31.125,2933
2000-11-14,LTRX,29.25,11600
2000-11-15,LTRX,30.0,4900
2000-11-16,LTRX,33.0,7400
2000-11-17,LTRX,32.25,2617
2000-11-20,LTRX,33.0,5667
2000-11-21,LTRX,33.0,1717
2000-11-22,LTRX,32.25,4617
2000-11-24,LTRX,33.0,2167
2000-11-27,LTRX,32.25,9517
2000-11-28,LTRX,32.25,5117
2000-11-29,LTRX,32.25,21300
2000-11-30,LTRX,30.75,3000
2000-12-01,LTRX,30.75,7217
2000-12-04,LTRX,31.125,3583
2000-12-05,LTRX,30.75,14517
2000-12-06,LTRX,30.9375,142600
2000-12-07,LTRX,34.5,49267
2000-12-08,LTRX,36.75,8317
2000-12-11,LTRX,52.5,62850
2000-12-12,LTRX,48.0,12667
2000-12-13,LTRX,47.625,6667
2000-12-14,LTRX,45.75,2900
2000-12-15,LTRX,45.0,96383
2000-12-18,LTRX,45.0,3467
2000-12-19,LTRX,45.0,4517
2000-12-20,LTRX,36.0,5250
2000-12-21,LTRX,34.5,3300
2000-12-22,LTRX,36.0,8333
2000-12-26,LTRX,36.0,31233
2000-12-27,LTRX,36.0,7250
2000-12-28,LTRX,39.0,8733
2000-12-29,LTRX,38.25,2233
2001-01-02,LTRX,39.75,1517
2001-01-03,LTRX,43.875,5417
2001-01-04,LTRX,43.875,21750
2001-01-05,LTRX,43.5,2967
2001-01-08,LTRX,44.625,2450
2001-01-09,LTRX,43.875,2750
2001-01-10,LTRX,46.125,4483
2001-01-11,LTRX,49.5,16450
2001-01-12,LTRX,51.75,14350
2001-01-16,LTRX,51.75,7950
2001-01-17,LTRX,53.625,17600
2001-01-18,LTRX,55.5,6367
2001-01-19,LTRX,54.75,6800
2001-01-22,LTRX,54.0,2517
2001-01-23,LTRX,54.0,4117
