ds,symbol,close,volume
2021-06-30,LZ,37.85,12484501
2021-07-01,LZ,38.5,3200378
2021-07-02,LZ,38.94,1160498
2021-07-06,LZ,38.07,739898
2021-07-07,LZ,36.75,1200394
2021-07-08,LZ,36.92,876711
2021-07-09,LZ,36.38,234475
2021-07-12,LZ,36.53,202794
2021-07-13,LZ,37.89,172362
2021-07-14,LZ,36.97,304681
2021-07-15,LZ,36.0,414069
2021-07-16,LZ,36.45,254603
2021-07-19,LZ,35.34,167592
2021-07-20,LZ,38.18,545860
2021-07-21,LZ,38.0,230001
2021-07-22,LZ,39.07,205763
2021-07-23,LZ,37.9,436100
2021-07-26,LZ,36.0,273070
2021-07-27,LZ,35.01,309410
2021-07-28,LZ,35.39,232267
2021-07-29,LZ,36.41,211186
2021-07-30,LZ,36.78,158715
2021-08-02,LZ,37.43,349407
2021-08-03,LZ,37.56,425412
2021-08-04,LZ,38.99,224105
2021-08-05,LZ,39.0,183548
2021-08-06,LZ,39.0,269593
2021-08-09,LZ,38.96,257247
2021-08-10,LZ,39.85,562771
2021-08-11,LZ,36.34,577023
2021-08-12,LZ,35.0,536970
2021-08-13,LZ,34.84,1296270
2021-08-16,LZ,34.05,858857
2021-08-17,LZ,34.35,999644
2021-08-18,LZ,33.72,524128
2021-08-19,LZ,33.84,584527
2021-08-20,LZ,36.39,480362
2021-08-23,LZ,34.81,283047
2021-08-24,LZ,36.18,141214
2021-08-25,LZ,36.85,350918
2021-08-26,LZ,34.84,211241
2021-08-27,LZ,35.1,211073
2021-08-30,LZ,34.47,422703
2021-08-31,LZ,34.23,356347
2021-09-01,LZ,34.41,375914
2021-09-02,LZ,36.19,476419
2021-09-03,LZ,35.91,175488
2021-09-07,LZ,34.4,459007
2021-09-08,LZ,34.46,427126
2021-09-09,LZ,35.16,308838
2021-09-10,LZ,35.02,309795
2021-09-13,LZ,34.55,502588
2021-09-14,LZ,34.31,236055
2021-09-15,LZ,36.13,575953
2021-09-16,LZ,36.21,248198
2021-09-17,LZ,35.26,2569291
2021-09-20,LZ,32.75,1134931
2021-09-21,LZ,30.78,756359
2021-09-22,LZ,29.73,931960
2021-09-23,LZ,28.45,689712
2021-09-24,LZ,26.25,1316538
2021-09-27,LZ,27.25,1238828
2021-09-28,LZ,26.21,702553
2021-09-29,LZ,26.72,612285
2021-09-30,LZ,26.4,614552
2021-10-01,LZ,25.73,1609990
2021-10-04,LZ,24.23,712367
2021-10-05,LZ,24.1,522644
2021-10-06,LZ,22.83,1485444
2021-10-07,LZ,23.18,916928
2021-10-08,LZ,22.27,1204238
2021-10-11,LZ,22.56,387177
2021-10-12,LZ,22.35,332531
2021-10-13,LZ,24.07,487370
2021-10-14,LZ,25.86,1126396
2021-10-15,LZ,25.07,840895
2021-10-18,LZ,25.93,569930
2021-10-19,LZ,27.21,334084
2021-10-20,LZ,27.36,472844
2021-10-21,LZ,27.69,404055
2021-10-22,LZ,27.1,1115072
2021-10-25,LZ,26.87,821061
2021-10-26,LZ,27.4,292924
2021-10-27,LZ,27.41,602507
2021-10-28,LZ,27.7,379254
2021-10-29,LZ,28.04,386166
2021-11-01,LZ,26.87,1062611
2021-11-02,LZ,26.03,813908
2021-11-03,LZ,27.11,416029
2021-11-04,LZ,26.63,360513
2021-11-05,LZ,25.19,286924
2021-11-08,LZ,25.09,255813
2021-11-09,LZ,24.82,236450
2021-11-10,LZ,23.79,419188
2021-11-11,LZ,19.91,2289076
2021-11-12,LZ,19.73,1215466
2021-11-15,LZ,21.27,1101843
2021-11-16,LZ,20.97,480565
2021-11-17,LZ,20.84,474644
2021-11-18,LZ,19.26,830752
2021-11-19,LZ,18.75,327130
2021-11-22,LZ,18.5,372089
2021-11-23,LZ,18.2,1008443
2021-11-24,LZ,19.37,482842
2021-11-26,LZ,19.24,315091
2021-11-29,LZ,18.8,1297956
2021-11-30,LZ,18.01,1753739
2021-12-01,LZ,17.56,2725283
2021-12-02,LZ,18.54,2157657
2021-12-03,LZ,17.89,2034526
2021-12-06,LZ,17.12,1551337
2021-12-07,LZ,17.96,1005090
2021-12-08,LZ,17.98,801272
2021-12-09,LZ,16.37,2600041
2021-12-10,LZ,15.86,1364181
2021-12-13,LZ,15.76,1036037
2021-12-14,LZ,15.76,1468627
2021-12-15,LZ,16.12,1694080
2021-12-16,LZ,15.62,1328603
2021-12-17,LZ,16.42,1027399
2021-12-20,LZ,15.8,1269540
2021-12-21,LZ,16.11,1145280
2021-12-22,LZ,15.96,1553895
2021-12-23,LZ,16.14,838332
2021-12-27,LZ,16.32,607335
2021-12-28,LZ,16.78,727517
2021-12-29,LZ,16.0,1405918
2021-12-30,LZ,16.45,1811691
2021-12-31,LZ,16.07,1198130
2022-01-03,LZ,16.37,951407
2022-01-04,LZ,15.73,1015958
2022-01-05,LZ,14.88,1604360
2022-01-06,LZ,15.5,1516966
2022-01-07,LZ,14.69,1013195
2022-01-10,LZ,14.91,640904
2022-01-11,LZ,15.46,546100
2022-01-12,LZ,15.47,611306
2022-01-13,LZ,15.44,743366
2022-01-14,LZ,15.02,696621
2022-01-18,LZ,14.76,674224
2022-01-19,LZ,15.35,565655
2022-01-20,LZ,15.27,527707
2022-01-21,LZ,14.64,1021221
2022-01-24,LZ,15.19,709720
2022-01-25,LZ,15.95,980971
2022-01-26,LZ,15.53,1244305
2022-01-27,LZ,15.01,695565
2022-01-28,LZ,15.28,722961
2022-01-31,LZ,15.88,619701
2022-02-01,LZ,16.54,654480
2022-02-02,LZ,15.85,818812
2022-02-03,LZ,15.37,562140
2022-02-04,LZ,15.89,469369
2022-02-07,LZ,16.01,1093335
2022-02-08,LZ,16.09,737939
2022-02-09,LZ,16.6,859480
2022-02-10,LZ,16.8,1173289
2022-02-11,LZ,16.37,574671
2022-02-14,LZ,16.1,624435
2022-02-15,LZ,17.07,929850
2022-02-16,LZ,16.7,518843
2022-02-17,LZ,16.63,517196
2022-02-18,LZ,15.27,1072152
2022-02-22,LZ,14.98,1367760
2022-02-23,LZ,14.63,1180830
2022-02-24,LZ,14.88,1084757
2022-02-25,LZ,15.15,905285
2022-02-28,LZ,15.61,966633
2022-03-01,LZ,15.68,786990
2022-03-02,LZ,15.91,574345
2022-03-03,LZ,15.89,941410
2022-03-04,LZ,14.0,1605846
2022-03-07,LZ,13.63,2173471
2022-03-08,LZ,12.86,1644629
2022-03-09,LZ,12.72,1843028
2022-03-10,LZ,11.85,2802167
2022-03-11,LZ,12.33,6039734
2022-03-14,LZ,12.88,2655556
2022-03-15,LZ,13.36,2167136
2022-03-16,LZ,14.65,3605794
2022-03-17,LZ,14.64,2881979
2022-03-18,LZ,14.13,7345739
2022-03-21,LZ,15.06,3121611
2022-03-22,LZ,14.36,2411580
2022-03-23,LZ,14.5,690246
2022-03-24,LZ,14.31,637285
2022-03-25,LZ,14.15,801968
2022-03-28,LZ,14.02,1076673
2022-03-29,LZ,14.37,844625
2022-03-30,LZ,14.18,937514
2022-03-31,LZ,14.14,815174
2022-04-01,LZ,14.13,1050800
2022-04-04,LZ,14.55,730240
2022-04-05,LZ,14.09,598245
2022-04-06,LZ,13.43,917951
2022-04-07,LZ,13.57,874663
2022-04-08,LZ,13.34,809399
2022-04-11,LZ,13.34,1049173
2022-04-12,LZ,13.95,1033090
2022-04-13,LZ,14.98,1066402
2022-04-14,LZ,15.22,1055430
2022-04-18,LZ,14.44,1017421
2022-04-19,LZ,15.35,961343
2022-04-20,LZ,15.1,1107677
2022-04-21,LZ,14.88,730343
2022-04-22,LZ,14.29,942762
2022-04-25,LZ,14.71,865869
2022-04-26,LZ,14.05,806948
2022-04-27,LZ,14.55,639399
2022-04-28,LZ,14.95,812588
2022-04-29,LZ,14.35,547760
2022-05-02,LZ,14.74,582162
2022-05-03,LZ,14.77,583531
2022-05-04,LZ,15.45,775488
2022-05-05,LZ,15.06,912630
2022-05-06,LZ,14.05,895029
2022-05-09,LZ,13.51,1442491
2022-05-10,LZ,12.08,1784624
2022-05-11,LZ,10.91,1607996
2022-05-12,LZ,11.28,1969323
2022-05-13,LZ,11.95,1349830
2022-05-16,LZ,11.12,888733
2022-05-17,LZ,11.43,774965
2022-05-18,LZ,11.27,920924
2022-05-19,LZ,11.53,1731497
2022-05-20,LZ,11.33,1144147
2022-05-23,LZ,11.0,1647875
2022-05-24,LZ,10.46,1608601
2022-05-25,LZ,11.19,1536267
2022-05-26,LZ,11.9,1226303
2022-05-27,LZ,12.85,1231325
2022-05-31,LZ,13.1,1095124
2022-06-01,LZ,13.31,1540674
2022-06-02,LZ,14.26,1084176
2022-06-03,LZ,13.7,1095918
2022-06-06,LZ,13.92,997315
2022-06-07,LZ,13.9,899036
2022-06-08,LZ,14.0,994914
2022-06-09,LZ,13.79,1705052
2022-06-10,LZ,12.98,1598000
2022-06-13,LZ,12.63,1480679
2022-06-14,LZ,12.54,922957
2022-06-15,LZ,13.51,1159264
2022-06-16,LZ,12.74,1073761
2022-06-17,LZ,13.02,1296721
2022-06-21,LZ,12.92,967693
2022-06-22,LZ,11.74,4001781
2022-06-23,LZ,12.74,1910041
2022-06-24,LZ,12.42,11259591
2022-06-27,LZ,12.67,1559960
2022-06-28,LZ,11.73,1483253
2022-06-29,LZ,11.3,1015739
2022-06-30,LZ,10.99,1968690
2022-07-01,LZ,11.2,2449290
2022-07-05,LZ,11.25,3744754
2022-07-06,LZ,10.74,1433213
2022-07-07,LZ,11.25,2132109
2022-07-08,LZ,10.85,926672
2022-07-11,LZ,9.91,1386199
2022-07-12,LZ,9.76,1295703
2022-07-13,LZ,9.97,1991199
2022-07-14,LZ,9.85,2353503
2022-07-15,LZ,9.98,1628821
2022-07-18,LZ,9.95,906259
2022-07-19,LZ,10.37,909324
2022-07-20,LZ,10.8,785643
2022-07-21,LZ,10.64,843684
2022-07-22,LZ,10.32,557458
2022-07-25,LZ,10.25,456036
2022-07-26,LZ,9.99,412631
2022-07-27,LZ,10.28,428264
2022-07-28,LZ,10.3,2686359
2022-07-29,LZ,10.48,1134078
2022-08-01,LZ,10.17,1118667
2022-08-02,LZ,10.25,871052
2022-08-03,LZ,10.55,1238862
2022-08-04,LZ,10.27,1167154
2022-08-05,LZ,10.28,1423470
2022-08-08,LZ,10.87,918800
2022-08-09,LZ,10.42,639711
2022-08-10,LZ,11.29,591974
2022-08-11,LZ,10.99,1115243
2022-08-12,LZ,12.97,3458714
2022-08-15,LZ,12.73,1701759
2022-08-16,LZ,12.34,947783
2022-08-17,LZ,11.74,2178165
2022-08-18,LZ,11.56,1246949
2022-08-19,LZ,10.69,1045651
2022-08-22,LZ,10.64,1250730
2022-08-23,LZ,10.55,659075
2022-08-24,LZ,10.59,542587
2022-08-25,LZ,10.68,975782
2022-08-26,LZ,10.24,751571
2022-08-29,LZ,10.27,453559
2022-08-30,LZ,10.27,437016
2022-08-31,LZ,10.3,757008
2022-09-01,LZ,10.09,727112
2022-09-02,LZ,9.7,788167
2022-09-06,LZ,9.88,1269244
2022-09-07,LZ,10.55,789944
2022-09-08,LZ,11.03,712680
2022-09-09,LZ,11.48,656443
2022-09-12,LZ,11.33,676972
2022-09-13,LZ,10.61,940114
