ds,symbol,close,volume
2006-05-25,MA,4.6,395343000
2006-05-26,MA,4.493,103044000
2006-05-30,MA,4.4,49896000
2006-05-31,MA,4.494,30002000
2006-06-01,MA,4.751,62344000
2006-06-02,MA,4.699,37253000
2006-06-05,MA,4.915,37178000
2006-06-06,MA,4.83,49045000
2006-06-07,MA,4.76,24993000
2006-06-08,MA,4.772,34439000
2006-06-09,MA,4.778,13372000
2006-06-12,MA,4.695,14546000
2006-06-13,MA,4.55,16716000
2006-06-14,MA,4.512,15971000
2006-06-15,MA,4.595,16428000
2006-06-16,MA,4.502,12280000
2006-06-19,MA,4.434,11509000
2006-06-20,MA,4.402,23792000
2006-06-21,MA,4.53,18063000
2006-06-22,MA,4.66,13032000
2006-06-23,MA,4.695,11612000
2006-06-26,MA,4.75,8565000
2006-06-27,MA,4.731,9827000
2006-06-28,MA,4.696,8756000
2006-06-29,MA,4.8,14471000
2006-06-30,MA,4.8,25964000
2006-07-03,MA,4.73,7029000
2006-07-05,MA,4.76,13266000
2006-07-06,MA,4.68,8097000
2006-07-07,MA,4.612,8380000
2006-07-10,MA,4.649,4978000
2006-07-11,MA,4.635,8079000
2006-07-12,MA,4.555,7672000
2006-07-13,MA,4.472,16625000
2006-07-14,MA,4.395,9663000
2006-07-17,MA,4.399,6458000
2006-07-18,MA,4.39,12483000
2006-07-19,MA,4.528,15840000
2006-07-20,MA,4.555,8829000
2006-07-21,MA,4.528,8511000
2006-07-24,MA,4.5,5017000
2006-07-25,MA,4.608,6900000
2006-07-26,MA,4.668,10338000
2006-07-27,MA,4.652,6009000
2006-07-28,MA,4.63,4339000
2006-07-31,MA,4.587,4617000
2006-08-01,MA,4.5,7404000
2006-08-02,MA,5.002,53374000
2006-08-03,MA,4.999,21690000
2006-08-04,MA,5.005,14216000
2006-08-07,MA,5.11,6918000
2006-08-08,MA,5.257,14073000
2006-08-09,MA,5.285,15043000
2006-08-10,MA,5.356,8725000
2006-08-11,MA,5.368,9078000
2006-08-14,MA,5.423,6314000
2006-08-15,MA,5.449,8561000
2006-08-16,MA,5.427,15344000
2006-08-17,MA,5.346,10217000
2006-08-18,MA,5.345,9343000
2006-08-21,MA,5.426,12487000
2006-08-22,MA,5.523,9761000
2006-08-23,MA,5.46,10439000
2006-08-24,MA,5.565,5420000
2006-08-25,MA,5.5,8016000
2006-08-28,MA,5.502,3748000
2006-08-29,MA,5.535,3214000
2006-08-30,MA,5.525,5801000
2006-08-31,MA,5.59,7023000
2006-09-01,MA,5.655,20559000
2006-09-05,MA,5.685,4618000
2006-09-06,MA,5.888,15753000
2006-09-07,MA,6.012,26549000
2006-09-08,MA,5.975,15177000
2006-09-11,MA,6.187,17064000
2006-09-12,MA,6.21,16995000
2006-09-13,MA,6.135,12355000
2006-09-14,MA,6.279,13010000
2006-09-15,MA,6.497,19315000
2006-09-18,MA,6.512,23656000
2006-09-19,MA,6.484,17268000
2006-09-20,MA,6.655,13476000
2006-09-21,MA,6.905,29065000
2006-09-22,MA,6.593,29875000
2006-09-25,MA,6.44,35677000
2006-09-26,MA,6.6,40001000
2006-09-27,MA,6.784,19637000
2006-09-28,MA,6.865,13397000
2006-09-29,MA,7.035,20071000
2006-10-02,MA,6.996,17393000
2006-10-03,MA,6.968,16733000
2006-10-04,MA,6.962,13679000
2006-10-05,MA,7.259,25763000
2006-10-06,MA,7.515,35400000
2006-10-09,MA,7.28,37078000
2006-10-10,MA,7.191,26765000
2006-10-11,MA,6.95,35461000
2006-10-12,MA,7.041,15117000
2006-10-13,MA,7.009,11321000
2006-10-16,MA,7.13,8802000
