ds,symbol,close,volume
2013-10-10,MGNX,24.99,5361700.0
2013-10-11,MGNX,26.1,549481.0
2013-10-14,MGNX,25.38,244457.0
2013-10-15,MGNX,25.01,322357.0
2013-10-16,MGNX,25.43,97664.0
2013-10-17,MGNX,25.165,47377.0
2013-10-18,MGNX,25.41,152849.0
2013-10-21,MGNX,25.7,120486.0
2013-10-22,MGNX,27.22,107343.0
2013-10-23,MGNX,26.17,76836.0
2013-10-24,MGNX,28.0,93160.0
2013-10-25,MGNX,27.5,18403.0
2013-10-28,MGNX,27.37,16000.0
2013-10-29,MGNX,27.13,35418.0
2013-10-30,MGNX,26.85,22129.0
2013-10-31,MGNX,26.94,101455.0
2013-11-01,MGNX,27.32,25351.0
2013-11-04,MGNX,26.15,64894.0
2013-11-05,MGNX,26.23,72480.0
2013-11-06,MGNX,26.23,261627.0
2013-11-07,MGNX,26.0,56295.0
2013-11-08,MGNX,25.91,59160.0
2013-11-11,MGNX,26.535,32239.0
2013-11-12,MGNX,26.93,43301.0
2013-11-13,MGNX,28.48,40902.0
2013-11-14,MGNX,27.96,33078.0
2013-11-15,MGNX,27.11,122197.0
2013-11-18,MGNX,26.11,81075.0
2013-11-19,MGNX,23.21,96030.0
2013-11-20,MGNX,22.21,55260.0
2013-11-21,MGNX,21.82,85154.0
2013-11-22,MGNX,23.79,40600.0
2013-11-25,MGNX,24.865,35446.0
2013-11-26,MGNX,26.52,115035.0
2013-11-27,MGNX,27.25,41010.0
2013-11-29,MGNX,26.47,11212.0
2013-12-02,MGNX,25.83,37408.0
2013-12-03,MGNX,25.64,80510.0
2013-12-04,MGNX,26.0,248884.0
2013-12-05,MGNX,25.76,65015.0
2013-12-06,MGNX,26.01,29697.0
2013-12-09,MGNX,26.0,59258.0
2013-12-10,MGNX,26.01,68834.0
2013-12-11,MGNX,24.9,92129.0
2013-12-12,MGNX,24.96,61748.0
2013-12-13,MGNX,25.2,79863.0
2013-12-16,MGNX,26.15,59322.0
2013-12-17,MGNX,26.8,73223.0
2013-12-18,MGNX,27.53,93580.0
2013-12-19,MGNX,26.69,107536.0
2013-12-20,MGNX,26.85,984998.0
2013-12-23,MGNX,27.16,65832.0
2013-12-24,MGNX,27.0,24403.0
2013-12-26,MGNX,26.81,48925.0
2013-12-27,MGNX,26.77,184685.0
2013-12-30,MGNX,28.05,105531.0
2013-12-31,MGNX,27.43,171698.0
2014-01-02,MGNX,28.83,59265.0
2014-01-03,MGNX,29.48,156490.0
2014-01-06,MGNX,29.31,58143.0
2014-01-07,MGNX,31.53,114415.0
2014-01-08,MGNX,32.26,66592.0
2014-01-09,MGNX,33.92,63936.0
2014-01-10,MGNX,37.03,154352.0
2014-01-13,MGNX,37.0,203465.0
2014-01-14,MGNX,37.19,124563.0
2014-01-15,MGNX,37.07,133032.0
2014-01-16,MGNX,38.67,24191.0
2014-01-17,MGNX,40.21,55272.0
2014-01-21,MGNX,39.0,119329.0
2014-01-22,MGNX,38.06,77908.0
2014-01-23,MGNX,38.83,28618.0
2014-01-24,MGNX,39.51,72359.0
2014-01-27,MGNX,37.9,52318.0
2014-01-28,MGNX,38.55,78581.0
2014-01-29,MGNX,37.11,43846.0
2014-01-30,MGNX,38.9,29520.0
2014-01-31,MGNX,39.81,31983.0
2014-02-03,MGNX,38.35,42098.0
2014-02-04,MGNX,36.42,29492.0
2014-02-05,MGNX,35.11,36312.0
2014-02-06,MGNX,35.17,20502.0
2014-02-07,MGNX,36.99,42121.0
2014-02-10,MGNX,36.04,166782.0
2014-02-11,MGNX,37.17,55061.0
2014-02-12,MGNX,38.0,45007.0
2014-02-13,MGNX,35.29,1549655.0
2014-02-14,MGNX,33.92,324097.0
2014-02-18,MGNX,34.56,442550.0
2014-02-19,MGNX,34.94,218093.0
2014-02-20,MGNX,35.0,98638.0
2014-02-21,MGNX,35.74,445979.0
2014-02-24,MGNX,35.3,65533.0
2014-02-25,MGNX,37.14,140431.0
2014-02-26,MGNX,36.6,154825.0
2014-02-27,MGNX,37.17,95692.0
2014-02-28,MGNX,35.0,227941.0
2014-03-03,MGNX,33.37,280186.0
2014-03-04,MGNX,34.59,201698.0
2014-03-05,MGNX,34.94,271436.0
2014-03-06,MGNX,33.99,117955.0
2014-03-07,MGNX,33.22,185932.0
2014-03-10,MGNX,32.89,77525.0
2014-03-11,MGNX,33.84,100732.0
2014-03-12,MGNX,33.3,68843.0
2014-03-13,MGNX,34.11,118993.0
2014-03-14,MGNX,35.14,151068.0
2014-03-17,MGNX,36.21,191941.0
2014-03-18,MGNX,37.23,176327.0
2014-03-19,MGNX,38.04,148053.0
2014-03-20,MGNX,38.21,72728.0
2014-03-21,MGNX,35.15,205420.0
2014-03-24,MGNX,33.86,228062.0
2014-03-25,MGNX,32.35,163881.0
2014-03-26,MGNX,31.6,136989.0
2014-03-27,MGNX,31.57,142690.0
2014-03-28,MGNX,28.28,213092.0
2014-03-31,MGNX,27.83,209379.0
2014-04-01,MGNX,29.32,127853.0
2014-04-02,MGNX,29.47,68785.0
2014-04-03,MGNX,27.28,172592.0
2014-04-04,MGNX,26.06,167939.0
2014-04-07,MGNX,25.13,266640.0
2014-04-08,MGNX,23.24,1488543.0
2014-04-09,MGNX,24.17,618476.0
2014-04-10,MGNX,23.49,313507.0
2014-04-11,MGNX,20.38,662536.0
2014-04-14,MGNX,20.16,293668.0
2014-04-15,MGNX,19.58,602911.0
2014-04-16,MGNX,20.21,371924.0
2014-04-17,MGNX,20.02,239088.0
2014-04-21,MGNX,19.08,239455.0
2014-04-22,MGNX,19.21,730757.0
2014-04-23,MGNX,20.65,678091.0
2014-04-24,MGNX,20.71,312176.0
2014-04-25,MGNX,20.54,227684.0
2014-04-28,MGNX,20.87,238676.0
2014-04-29,MGNX,19.88,314554.0
2014-04-30,MGNX,19.94,146875.0
2014-05-01,MGNX,19.49,253127.0
2014-05-02,MGNX,19.43,97025.0
2014-05-05,MGNX,20.16,150947.0
2014-05-06,MGNX,19.64,83798.0
2014-05-07,MGNX,19.15,394883.0
2014-05-08,MGNX,18.45,285226.0
2014-05-09,MGNX,19.01,359770.0
2014-05-12,MGNX,20.34,185037.0
2014-05-13,MGNX,19.69,139304.0
2014-05-14,MGNX,19.94,147834.0
2014-05-15,MGNX,18.78,185121.0
2014-05-16,MGNX,19.09,104708.0
2014-05-19,MGNX,19.43,182175.0
2014-05-20,MGNX,18.63,245074.0
2014-05-21,MGNX,18.26,176477.0
2014-05-22,MGNX,18.5,215277.0
2014-05-23,MGNX,18.53,81809.0
2014-05-27,MGNX,19.21,385509.0
2014-05-28,MGNX,19.44,524485.0
2014-05-29,MGNX,20.44,2095030.0
2014-05-30,MGNX,18.66,426666.0
2014-06-02,MGNX,18.5,220997.0
2014-06-03,MGNX,18.54,167331.0
2014-06-04,MGNX,19.7,200862.0
2014-06-05,MGNX,20.15,228443.0
2014-06-06,MGNX,20.03,434968.0
2014-06-09,MGNX,21.29,512377.0
2014-06-10,MGNX,20.99,555065.0
2014-06-11,MGNX,21.44,228261.0
2014-06-12,MGNX,21.34,376073.0
2014-06-13,MGNX,21.5,226112.0
2014-06-16,MGNX,22.2,307277.0
2014-06-17,MGNX,21.81,159525.0
2014-06-18,MGNX,22.54,215215.0
2014-06-19,MGNX,22.43,266652.0
2014-06-20,MGNX,22.71,430467.0
2014-06-23,MGNX,23.09,368313.0
2014-06-24,MGNX,22.64,229881.0
2014-06-25,MGNX,23.24,164890.0
2014-06-26,MGNX,22.64,163734.0
2014-06-27,MGNX,22.24,2287925.0
2014-06-30,MGNX,21.73,214753.0
2014-07-01,MGNX,22.31,208843.0
2014-07-02,MGNX,22.23,156310.0
2014-07-03,MGNX,22.17,73731.0
2014-07-07,MGNX,21.39,136656.0
2014-07-08,MGNX,19.88,329034.0
2014-07-09,MGNX,19.72,250817.0
2014-07-10,MGNX,19.82,349965.0
2014-07-11,MGNX,20.11,219103.0
2014-07-14,MGNX,20.25,148399.0
2014-07-15,MGNX,19.37,205567.0
2014-07-16,MGNX,19.05,113913.0
2014-07-17,MGNX,18.37,339026.0
2014-07-18,MGNX,18.85,153414.0
2014-07-21,MGNX,18.85,206220.0
2014-07-22,MGNX,20.15,173935.0
2014-07-23,MGNX,22.21,461836.0
2014-07-24,MGNX,21.16,167035.0
2014-07-25,MGNX,21.09,118956.0
2014-07-28,MGNX,20.2,112232.0
2014-07-29,MGNX,21.22,248700.0
2014-07-30,MGNX,21.19,146531.0
2014-07-31,MGNX,20.3,142677.0
2014-08-01,MGNX,19.88,163419.0
2014-08-04,MGNX,19.48,137343.0
2014-08-05,MGNX,20.19,243192.0
2014-08-06,MGNX,18.55,355199.0
2014-08-07,MGNX,18.94,190737.0
2014-08-08,MGNX,19.19,176141.0
2014-08-11,MGNX,20.12,171949.0
2014-08-12,MGNX,20.52,137366.0
2014-08-13,MGNX,20.78,189442.0
2014-08-14,MGNX,20.54,199664.0
2014-08-15,MGNX,20.46,73350.0
2014-08-18,MGNX,20.91,90236.0
2014-08-19,MGNX,20.79,77866.0
2014-08-20,MGNX,20.18,108465.0
2014-08-21,MGNX,20.92,389968.0
2014-08-22,MGNX,21.98,423209.0
2014-08-25,MGNX,21.45,132442.0
2014-08-26,MGNX,22.34,177516.0
2014-08-27,MGNX,21.69,109385.0
2014-08-28,MGNX,21.05,123816.0
2014-08-29,MGNX,21.36,98340.0
2014-09-02,MGNX,20.84,183471.0
2014-09-03,MGNX,21.23,159689.0
2014-09-04,MGNX,21.29,142159.0
2014-09-05,MGNX,21.47,185279.0
2014-09-08,MGNX,22.63,182549.0
2014-09-09,MGNX,21.44,236077.0
2014-09-10,MGNX,22.08,174994.0
2014-09-11,MGNX,22.07,73171.0
2014-09-12,MGNX,21.7,130253.0
2014-09-15,MGNX,21.11,204350.0
2014-09-16,MGNX,21.34,234774.0
2014-09-17,MGNX,21.31,195479.0
2014-09-18,MGNX,21.78,212122.0
2014-09-19,MGNX,21.57,534509.0
2014-09-22,MGNX,20.45,220474.0
2014-09-23,MGNX,19.84,176615.0
2014-09-24,MGNX,20.41,164071.0
2014-09-25,MGNX,19.49,166951.0
2014-09-26,MGNX,19.47,143707.0
2014-09-29,MGNX,20.01,173296.0
2014-09-30,MGNX,20.9,334805.0
2014-10-01,MGNX,19.77,211883.0
2014-10-02,MGNX,20.25,160680.0
2014-10-03,MGNX,21.11,161701.0
2014-10-06,MGNX,20.41,110476.0
2014-10-07,MGNX,19.47,118806.0
2014-10-08,MGNX,20.5,100982.0
2014-10-09,MGNX,19.72,117123.0
2014-10-10,MGNX,18.12,308387.0
2014-10-13,MGNX,17.78,159979.0
2014-10-14,MGNX,19.18,259153.0
2014-10-15,MGNX,18.42,199783.0
2014-10-16,MGNX,18.69,179184.0
2014-10-17,MGNX,18.46,112043.0
2014-10-20,MGNX,19.0,69676.0
2014-10-21,MGNX,19.28,61061.0
2014-10-22,MGNX,19.28,58043.0
2014-10-23,MGNX,19.69,577409.0
2014-10-24,MGNX,19.16,256337.0
2014-10-27,MGNX,20.58,214032.0
2014-10-28,MGNX,21.79,206882.0
2014-10-29,MGNX,20.27,130994.0
2014-10-30,MGNX,20.67,193003.0
2014-10-31,MGNX,21.29,228491.0
2014-11-03,MGNX,21.19,101639.0
2014-11-04,MGNX,20.62,63740.0
2014-11-05,MGNX,19.88,104113.0
2014-11-06,MGNX,19.21,190727.0
2014-11-07,MGNX,19.84,168931.0
2014-11-10,MGNX,20.24,945527.0
2014-11-11,MGNX,21.15,318351.0
2014-11-12,MGNX,23.78,396366.0
2014-11-13,MGNX,24.13,356414.0
2014-11-14,MGNX,23.27,168464.0
2014-11-17,MGNX,22.97,133756.0
2014-11-18,MGNX,24.58,434406.0
2014-11-19,MGNX,23.69,104217.0
2014-11-20,MGNX,26.1,352850.0
2014-11-21,MGNX,27.21,476665.0
2014-11-24,MGNX,28.01,502905.0
2014-11-25,MGNX,27.76,236465.0
2014-11-26,MGNX,28.04,141292.0
2014-11-28,MGNX,28.26,211210.0
2014-12-01,MGNX,28.31,289870.0
2014-12-02,MGNX,28.6,197807.0
2014-12-03,MGNX,29.24,309058.0
2014-12-04,MGNX,28.6,205036.0
2014-12-05,MGNX,28.91,158215.0
