ds,symbol,close,volume
1994-02-17,MLM,24.625,4478600
1994-02-18,MLM,24.625,777900
1994-02-22,MLM,24.375,361900
1994-02-23,MLM,23.25,284500
1994-02-24,MLM,23.0,494600
1994-02-25,MLM,23.75,102000
1994-02-28,MLM,23.875,115200
1994-03-01,MLM,23.25,246600
1994-03-02,MLM,22.75,355900
1994-03-03,MLM,22.875,51500
1994-03-04,MLM,23.125,145500
1994-03-07,MLM,23.0,102200
1994-03-08,MLM,23.0,34700
1994-03-09,MLM,22.875,101100
1994-03-10,MLM,22.25,220400
1994-03-11,MLM,22.375,42100
1994-03-14,MLM,22.25,11900
1994-03-15,MLM,22.75,128500
1994-03-16,MLM,22.75,93800
1994-03-17,MLM,22.625,43700
1994-03-18,MLM,22.875,125000
1994-03-21,MLM,23.125,81100
1994-03-22,MLM,23.5,91800
1994-03-23,MLM,24.25,332700
1994-03-24,MLM,24.0,113300
1994-03-25,MLM,24.0,54700
1994-03-28,MLM,24.0,67900
1994-03-29,MLM,22.5,174400
1994-03-30,MLM,22.125,198000
1994-03-31,MLM,22.0,201000
1994-04-04,MLM,21.5,206600
1994-04-05,MLM,22.75,40500
1994-04-06,MLM,22.875,31700
1994-04-07,MLM,22.875,14500
1994-04-08,MLM,22.5,29900
1994-04-11,MLM,22.625,28900
1994-04-12,MLM,22.125,56200
1994-04-13,MLM,21.75,48100
1994-04-14,MLM,21.375,81800
1994-04-15,MLM,21.375,23400
1994-04-18,MLM,20.5,119100
1994-04-19,MLM,20.125,23100
1994-04-20,MLM,19.75,72900
1994-04-21,MLM,19.75,67100
1994-04-22,MLM,19.75,8000
1994-04-25,MLM,19.625,130900
1994-04-26,MLM,20.75,172800
1994-04-28,MLM,20.875,73900
1994-04-29,MLM,23.0,166100
1994-05-02,MLM,23.75,87800
1994-05-03,MLM,23.375,55000
1994-05-04,MLM,23.5,81500
1994-05-05,MLM,23.375,14200
1994-05-06,MLM,22.5,67900
1994-05-09,MLM,22.0,65200
1994-05-10,MLM,21.875,18000
1994-05-11,MLM,21.375,24200
1994-05-12,MLM,21.25,18400
1994-05-13,MLM,20.875,68700
1994-05-16,MLM,20.125,13800
1994-05-17,MLM,19.875,18300
1994-05-18,MLM,19.75,40900
1994-05-19,MLM,19.0,772400
1994-05-20,MLM,19.875,58400
1994-05-23,MLM,20.125,12600
1994-05-24,MLM,20.0,92000
1994-05-25,MLM,20.0,36600
1994-05-26,MLM,20.25,3700
1994-05-27,MLM,19.75,15800
1994-05-31,MLM,19.375,3000
1994-06-01,MLM,19.375,17900
1994-06-02,MLM,20.0,25300
1994-06-03,MLM,20.875,60300
1994-06-06,MLM,20.75,55400
1994-06-07,MLM,21.0,34300
1994-06-08,MLM,21.0,3600
1994-06-09,MLM,20.875,3600
1994-06-10,MLM,21.0,10600
1994-06-13,MLM,21.0,9200
1994-06-14,MLM,20.5,51500
1994-06-15,MLM,21.625,63100
1994-06-16,MLM,21.75,11600
1994-06-17,MLM,22.25,25400
1994-06-20,MLM,22.0,14400
1994-06-21,MLM,21.75,30200
1994-06-22,MLM,22.5,22600
1994-06-23,MLM,21.875,4800
1994-06-24,MLM,21.75,7800
1994-06-27,MLM,21.75,6400
1994-06-28,MLM,21.5,18000
1994-06-29,MLM,21.25,15800
1994-06-30,MLM,22.0,38000
1994-07-01,MLM,21.5,13700
1994-07-05,MLM,21.875,4800
1994-07-06,MLM,21.75,39900
1994-07-07,MLM,21.75,11100
1994-07-08,MLM,21.875,16200
1994-07-11,MLM,21.875,37700
1994-07-12,MLM,22.0,16100
1994-07-13,MLM,21.75,1200
1994-07-14,MLM,22.0,28200
1994-07-15,MLM,22.125,6000
1994-07-18,MLM,21.625,17500
1994-07-19,MLM,21.75,4600
1994-07-20,MLM,22.0,15800
1994-07-21,MLM,21.5,33100
1994-07-22,MLM,21.375,5400
1994-07-25,MLM,21.625,5600
1994-07-26,MLM,22.0,26600
1994-07-27,MLM,21.5,10800
1994-07-28,MLM,21.875,29400
1994-07-29,MLM,22.0,23600
1994-08-01,MLM,22.0,36100
1994-08-02,MLM,22.0,65500
1994-08-03,MLM,21.875,1300
1994-08-04,MLM,21.875,4500
1994-08-05,MLM,21.875,1200
1994-08-08,MLM,21.625,2700
1994-08-09,MLM,21.25,1900
1994-08-10,MLM,21.375,9400
1994-08-11,MLM,21.0,5600
1994-08-12,MLM,21.0,16300
1994-08-15,MLM,20.75,3000
1994-08-16,MLM,19.75,174700
1994-08-17,MLM,20.0,43300
1994-08-18,MLM,19.625,29200
1994-08-19,MLM,19.875,40300
1994-08-22,MLM,19.75,1200
1994-08-23,MLM,20.125,31100
1994-08-24,MLM,20.375,5500
1994-08-25,MLM,20.125,40900
1994-08-26,MLM,19.375,92900
1994-08-29,MLM,20.0,12700
1994-08-30,MLM,19.875,4100
1994-08-31,MLM,19.5,18700
1994-09-01,MLM,19.75,34600
1994-09-02,MLM,19.875,44300
1994-09-06,MLM,20.25,9100
1994-09-07,MLM,20.0,17300
1994-09-08,MLM,20.0,10900
1994-09-09,MLM,19.875,1700
1994-09-12,MLM,19.75,2900
1994-09-13,MLM,19.5,51600
1994-09-14,MLM,19.5,88500
1994-09-15,MLM,19.875,3500
1994-09-16,MLM,19.875,29000
1994-09-19,MLM,19.875,4100
1994-09-20,MLM,19.5,83300
1994-09-21,MLM,19.5,16700
1994-09-22,MLM,19.0,13200
1994-09-23,MLM,19.0,647600
1994-09-26,MLM,19.375,19700
1994-09-27,MLM,19.0,12300
1994-09-28,MLM,19.375,2500
1994-09-29,MLM,19.5,86100
1994-09-30,MLM,20.0,80500
1994-10-03,MLM,20.125,74600
1994-10-04,MLM,20.125,20000
1994-10-05,MLM,20.25,38900
1994-10-06,MLM,20.75,148300
1994-10-07,MLM,20.75,1800
1994-10-10,MLM,21.25,5600
1994-10-11,MLM,21.875,30900
1994-10-12,MLM,21.875,1100
1994-10-13,MLM,22.0,11900
1994-10-14,MLM,22.375,4900
1994-10-17,MLM,22.0,1400
1994-10-18,MLM,21.625,6700
1994-10-19,MLM,21.625,1000
1994-10-20,MLM,20.75,33300
1994-10-21,MLM,20.625,93300
1994-10-24,MLM,20.75,2100
1994-10-25,MLM,20.25,13400
1994-10-26,MLM,20.25,2300
1994-10-27,MLM,20.375,3800
1994-10-28,MLM,20.75,3700
1994-10-31,MLM,20.625,12700
1994-11-01,MLM,20.0,24300
1994-11-02,MLM,20.0,17700
1994-11-03,MLM,19.75,24700
1994-11-04,MLM,19.875,17800
1994-11-07,MLM,19.75,9100
1994-11-08,MLM,20.0,13800
1994-11-09,MLM,19.75,13300
1994-11-10,MLM,19.75,30100
1994-11-11,MLM,19.25,120800
1994-11-14,MLM,19.25,3300
1994-11-15,MLM,19.25,4400
1994-11-16,MLM,19.25,10800
1994-11-17,MLM,19.0,54200
1994-11-18,MLM,19.25,6900
1994-11-21,MLM,19.25,1300
1994-11-22,MLM,19.125,1200
1994-11-23,MLM,19.0,18700
1994-11-25,MLM,19.125,11700
1994-11-28,MLM,18.875,12300
1994-11-29,MLM,18.625,52700
1994-11-30,MLM,18.0,164200
1994-12-01,MLM,18.25,2900
1994-12-02,MLM,18.375,14000
1994-12-05,MLM,18.625,97800
1994-12-06,MLM,18.375,5100
1994-12-07,MLM,18.375,8100
1994-12-08,MLM,18.25,9200
1994-12-09,MLM,18.375,6600
1994-12-12,MLM,18.375,2200
1994-12-13,MLM,18.375,4300
1994-12-14,MLM,18.375,23200
1994-12-15,MLM,17.5,213900
1994-12-16,MLM,17.75,32400
1994-12-19,MLM,17.625,18300
1994-12-20,MLM,17.625,11300
1994-12-21,MLM,17.125,101200
1994-12-22,MLM,17.0,38900
1994-12-23,MLM,17.375,4800
1994-12-27,MLM,17.75,17100
1994-12-28,MLM,17.75,5800
1994-12-29,MLM,17.5,70900
1994-12-30,MLM,17.75,41400
1995-01-03,MLM,17.75,22100
1995-01-04,MLM,17.0,71300
1995-01-05,MLM,16.75,50500
1995-01-06,MLM,17.5,51900
1995-01-09,MLM,17.875,12800
1995-01-10,MLM,18.375,23500
1995-01-11,MLM,18.25,18700
1995-01-12,MLM,18.875,18300
1995-01-13,MLM,18.75,68000
1995-01-16,MLM,19.0,5000
1995-01-17,MLM,19.375,34400
1995-01-18,MLM,19.25,3400
1995-01-19,MLM,18.875,67200
1995-01-20,MLM,18.75,1400
1995-01-23,MLM,19.375,31800
1995-01-24,MLM,18.5,55700
1995-01-25,MLM,18.75,12300
1995-01-26,MLM,18.75,2700
1995-01-27,MLM,18.375,6600
1995-01-30,MLM,18.5,2700
1995-01-31,MLM,18.375,14400
1995-02-01,MLM,18.625,600
1995-02-02,MLM,18.5,3200
1995-02-03,MLM,18.75,700
1995-02-06,MLM,19.25,24500
1995-02-07,MLM,19.125,9000
1995-02-08,MLM,18.75,27700
1995-02-09,MLM,19.0,37500
1995-02-10,MLM,18.75,5000
1995-02-13,MLM,19.0,10100
1995-02-14,MLM,19.0,59300
1995-02-15,MLM,19.125,13400
1995-02-16,MLM,19.0,8600
1995-02-17,MLM,18.5,37200
1995-02-21,MLM,18.75,8800
1995-02-22,MLM,18.75,900
1995-02-23,MLM,18.75,900
1995-02-24,MLM,18.75,9700
1995-02-27,MLM,18.625,5000
1995-02-28,MLM,18.625,916800
1995-03-01,MLM,18.625,5300
1995-03-02,MLM,18.5,2900
