ds,symbol,close,volume
2016-11-15,MNMD,3.375,433
2016-11-16,MNMD,4.335,2900
2016-11-17,MNMD,4.335,0
2016-11-18,MNMD,4.335,0
2016-11-21,MNMD,5.205,1333
2016-11-22,MNMD,5.205,0
2016-11-23,MNMD,5.205,0
2016-11-25,MNMD,5.205,0
2016-11-28,MNMD,5.205,0
2016-11-29,MNMD,5.205,0
2016-11-30,MNMD,5.205,0
2016-12-01,MNMD,5.205,0
2016-12-02,MNMD,5.205,0
2016-12-05,MNMD,5.205,0
2016-12-06,MNMD,5.205,0
2016-12-07,MNMD,5.205,0
2016-12-08,MNMD,5.205,0
2016-12-09,MNMD,6.525,3733
2016-12-12,MNMD,6.885,933
2016-12-13,MNMD,6.885,0
2016-12-14,MNMD,6.885,0
2016-12-15,MNMD,6.99,2333
2016-12-16,MNMD,6.99,0
2016-12-19,MNMD,6.99,0
2016-12-20,MNMD,6.99,0
2016-12-21,MNMD,6.99,0
2016-12-22,MNMD,7.725,87
2016-12-23,MNMD,8.235,600
2016-12-27,MNMD,8.235,0
2016-12-28,MNMD,8.235,0
2016-12-29,MNMD,8.235,0
2016-12-30,MNMD,8.235,0
2017-01-03,MNMD,9.345,33
2017-01-04,MNMD,9.345,0
2017-01-05,MNMD,8.325,667
2017-01-06,MNMD,8.085,2667
2017-01-09,MNMD,8.76,3400
2017-01-10,MNMD,8.76,0
2017-01-11,MNMD,9.6,3733
2017-01-12,MNMD,9.6,0
2017-01-13,MNMD,9.99,3667
2017-01-17,MNMD,10.74,1900
2017-01-18,MNMD,10.305,333
2017-01-19,MNMD,10.32,333
2017-01-20,MNMD,11.115,667
2017-01-23,MNMD,11.55,853
2017-01-24,MNMD,11.25,353
2017-01-25,MNMD,10.485,333
2017-01-26,MNMD,10.965,333
2017-01-27,MNMD,10.035,367
2017-01-30,MNMD,10.05,333
2017-01-31,MNMD,10.05,0
2017-02-01,MNMD,10.845,333
2017-02-02,MNMD,11.52,1480
2017-02-03,MNMD,10.935,373
2017-02-06,MNMD,10.035,213
2017-02-07,MNMD,10.575,200
2017-02-08,MNMD,9.285,633
2017-02-09,MNMD,9.285,0
2017-02-10,MNMD,9.75,367
2017-02-13,MNMD,10.02,33
2017-02-14,MNMD,10.23,400
2017-02-15,MNMD,10.23,0
2017-02-16,MNMD,11.64,1467
2017-02-17,MNMD,11.715,567
2017-02-21,MNMD,12.885,7573
2017-02-22,MNMD,13.35,3887
2017-02-23,MNMD,13.905,5140
2017-02-24,MNMD,14.685,16607
2017-02-27,MNMD,15.51,11720
2017-02-28,MNMD,15.3,12867
2017-03-01,MNMD,15.75,6833
2017-03-02,MNMD,16.200001,9140
2017-03-03,MNMD,14.52,11080
2017-03-06,MNMD,15.375,8867
2017-03-07,MNMD,16.799999,18200
2017-03-08,MNMD,16.200001,15373
2017-03-09,MNMD,16.5,7920
2017-03-10,MNMD,16.200001,6040
2017-03-13,MNMD,16.200001,21080
2017-03-14,MNMD,15.45,11333
2017-03-15,MNMD,18.15,34613
2017-03-16,MNMD,18.0,13047
2017-03-17,MNMD,18.75,15047
2017-03-20,MNMD,18.0,18520
2017-03-21,MNMD,16.65,16127
2017-03-22,MNMD,17.67,5327
2017-03-23,MNMD,18.0,7920
2017-03-24,MNMD,16.934999,9980
2017-03-27,MNMD,16.17,6847
2017-03-28,MNMD,15.525,4793
2017-03-29,MNMD,15.3,10653
2017-03-30,MNMD,13.95,11240
2017-03-31,MNMD,12.54,13207
2017-04-03,MNMD,11.205,13080
2017-04-04,MNMD,10.95,9720
2017-04-05,MNMD,12.435,13087
2017-04-06,MNMD,12.885,10567
2017-04-07,MNMD,14.07,12893
2017-04-10,MNMD,13.2,4360
2017-04-11,MNMD,13.56,4993
2017-04-12,MNMD,12.39,3487
2017-04-13,MNMD,12.495,1513
2017-04-17,MNMD,12.195,5093
2017-04-18,MNMD,12.42,2220
2017-04-19,MNMD,12.63,2327
2017-04-20,MNMD,12.435,1787
2017-04-21,MNMD,12.3,7447
2017-04-24,MNMD,11.64,2740
2017-04-25,MNMD,11.025,4320
2017-04-26,MNMD,10.215,5893
2017-04-27,MNMD,9.75,5833
2017-04-28,MNMD,8.955,7313
2017-05-01,MNMD,8.715,10113
2017-05-02,MNMD,8.01,5587
2017-05-03,MNMD,8.505,3887
2017-05-04,MNMD,6.6,15387
2017-05-05,MNMD,7.38,6220
2017-05-08,MNMD,7.425,1633
2017-05-09,MNMD,7.245,1587
2017-05-10,MNMD,7.8,4220
2017-05-11,MNMD,7.5,2940
2017-05-12,MNMD,7.185,1633
2017-05-15,MNMD,7.86,953
2017-05-16,MNMD,8.1,4247
2017-05-17,MNMD,8.295,4213
2017-05-18,MNMD,7.965,2247
2017-05-19,MNMD,7.665,8507
2017-05-22,MNMD,7.65,313
2017-05-23,MNMD,7.245,1040
2017-05-24,MNMD,7.35,2347
2017-05-25,MNMD,7.38,833
2017-05-26,MNMD,8.4,10640
2017-05-30,MNMD,7.755,2307
2017-05-31,MNMD,7.65,1727
2017-06-01,MNMD,7.605,860
2017-06-02,MNMD,7.635,1380
2017-06-05,MNMD,7.17,2813
2017-06-06,MNMD,7.05,880
2017-06-07,MNMD,6.3,2333
2017-06-08,MNMD,6.63,4293
2017-06-09,MNMD,6.84,1400
2017-06-12,MNMD,6.36,273
2017-06-13,MNMD,6.525,8913
2017-06-14,MNMD,5.4,4733
2017-06-15,MNMD,5.85,2467
2017-06-16,MNMD,6.165,3727
2017-06-19,MNMD,6.3,2887
2017-06-20,MNMD,6.84,2760
2017-06-21,MNMD,7.11,553
2017-06-22,MNMD,7.5,1527
2017-06-23,MNMD,7.755,2073
2017-06-26,MNMD,7.38,540
2017-06-27,MNMD,7.815,593
2017-06-28,MNMD,8.25,787
2017-06-29,MNMD,7.92,1127
2017-06-30,MNMD,7.725,13
2017-07-03,MNMD,8.25,7
2017-07-05,MNMD,7.59,1513
2017-07-06,MNMD,7.5,140
2017-07-07,MNMD,8.01,3467
2017-07-10,MNMD,8.235,6320
2017-07-11,MNMD,8.4,12933
2017-07-12,MNMD,8.775,20360
2017-07-13,MNMD,9.15,35327
2017-07-14,MNMD,8.85,31593
2017-07-17,MNMD,9.165,2273
2017-07-18,MNMD,9.18,6213
2017-07-19,MNMD,9.345,9293
2017-07-20,MNMD,9.33,9327
2017-07-21,MNMD,9.45,7080
2017-07-24,MNMD,8.82,4440
2017-07-25,MNMD,8.445,5680
2017-07-26,MNMD,8.13,2413
2017-07-27,MNMD,7.95,2093
2017-07-28,MNMD,7.8,4513
2017-07-31,MNMD,7.47,3640
2017-08-01,MNMD,6.51,4033
2017-08-02,MNMD,6.15,4007
2017-08-03,MNMD,6.165,2300
2017-08-04,MNMD,6.0,2447
2017-08-07,MNMD,6.39,2013
2017-08-08,MNMD,6.45,1300
2017-08-09,MNMD,6.81,1347
2017-08-10,MNMD,6.51,3987
2017-08-11,MNMD,6.15,3860
2017-08-14,MNMD,6.0,1660
2017-08-15,MNMD,6.15,1020
2017-08-16,MNMD,5.895,2173
2017-08-17,MNMD,5.85,1147
2017-08-18,MNMD,6.03,7453
2017-08-21,MNMD,6.285,5913
2017-08-22,MNMD,5.82,4807
2017-08-23,MNMD,6.03,3280
2017-08-24,MNMD,5.445,427
2017-08-25,MNMD,5.625,2667
2017-08-28,MNMD,5.79,940
2017-08-29,MNMD,5.685,1260
2017-08-30,MNMD,5.475,1907
2017-08-31,MNMD,5.685,3047
2017-09-01,MNMD,5.565,1560
2017-09-05,MNMD,6.0,2267
2017-09-06,MNMD,6.015,1027
2017-09-07,MNMD,6.99,6007
2017-09-08,MNMD,6.825,2667
2017-09-11,MNMD,6.495,807
2017-09-12,MNMD,6.36,627
2017-09-13,MNMD,6.03,860
2017-09-14,MNMD,6.555,1227
2017-09-15,MNMD,6.105,973
2017-09-18,MNMD,6.3,5107
2017-09-19,MNMD,6.45,4473
2017-09-20,MNMD,6.03,747
2017-09-21,MNMD,5.85,1133
2017-09-22,MNMD,6.0,1607
2017-09-25,MNMD,5.835,573
2017-09-26,MNMD,5.49,1793
2017-09-27,MNMD,5.43,1667
2017-09-28,MNMD,5.43,1073
2017-09-29,MNMD,5.325,1667
2017-10-02,MNMD,5.415,1800
2017-10-03,MNMD,5.85,1960
2017-10-04,MNMD,5.43,2273
2017-10-05,MNMD,5.31,1887
2017-10-06,MNMD,5.4,1647
2017-10-09,MNMD,5.475,1280
2017-10-10,MNMD,5.205,473
2017-10-11,MNMD,5.13,1660
2017-10-12,MNMD,5.37,780
2017-10-13,MNMD,5.385,580
2017-10-16,MNMD,5.1,1307
2017-10-17,MNMD,5.16,1747
2017-10-18,MNMD,5.01,1240
2017-10-19,MNMD,5.085,267
2017-10-20,MNMD,4.815,1253
2017-10-23,MNMD,4.905,3833
2017-10-24,MNMD,4.83,887
2017-10-25,MNMD,4.845,787
2017-10-26,MNMD,4.65,1640
2017-10-27,MNMD,4.995,2033
2017-10-30,MNMD,4.41,393
2017-10-31,MNMD,4.215,2393
2017-11-01,MNMD,4.05,840
2017-11-02,MNMD,4.365,1280
2017-11-03,MNMD,4.32,240
2017-11-06,MNMD,4.335,687
2017-11-07,MNMD,6.375,5500
2017-11-08,MNMD,5.34,4253
2017-11-09,MNMD,5.325,1093
2017-11-10,MNMD,4.935,300
2017-11-13,MNMD,4.68,1433
2017-11-14,MNMD,4.515,333
2017-11-15,MNMD,4.5,1347
2017-11-16,MNMD,4.275,1087
2017-11-17,MNMD,4.44,333
2017-11-20,MNMD,4.26,1387
2017-11-21,MNMD,4.485,407
2017-11-22,MNMD,4.2,1153
2017-11-24,MNMD,4.215,153
2017-11-27,MNMD,4.5,1320
2017-11-28,MNMD,4.77,2573
2017-11-29,MNMD,4.35,4140
2017-11-30,MNMD,4.125,627
2017-12-01,MNMD,4.155,287
2017-12-04,MNMD,4.2,960
2017-12-05,MNMD,4.35,340
2017-12-06,MNMD,4.035,1200
2017-12-07,MNMD,3.9,987
2017-12-08,MNMD,3.705,1927
2017-12-11,MNMD,3.765,2440
2017-12-12,MNMD,4.485,31487
2017-12-13,MNMD,4.365,8847
2017-12-14,MNMD,4.5,19393
2017-12-15,MNMD,3.99,3000
2017-12-18,MNMD,4.65,7480
2017-12-19,MNMD,4.47,4720
2017-12-20,MNMD,4.17,3173
2017-12-21,MNMD,4.08,6447
2017-12-22,MNMD,4.35,1373
2017-12-26,MNMD,4.41,4353
2017-12-27,MNMD,4.305,2387
2017-12-28,MNMD,4.35,4487
2017-12-29,MNMD,4.455,4607
2018-01-02,MNMD,5.07,3053
2018-01-03,MNMD,5.82,12607
2018-01-04,MNMD,5.97,2747
2018-01-05,MNMD,6.0,5000
2018-01-08,MNMD,5.955,1320
2018-01-09,MNMD,5.19,2547
2018-01-10,MNMD,5.085,1540
2018-01-11,MNMD,5.07,287
2018-01-12,MNMD,4.65,1687
2018-01-16,MNMD,5.235,3287
2018-01-17,MNMD,4.56,5620
2018-01-18,MNMD,4.5,927
2018-01-19,MNMD,4.65,533
2018-01-22,MNMD,4.44,2460
2018-01-23,MNMD,4.38,5147
2018-01-24,MNMD,4.335,593
2018-01-25,MNMD,4.05,10920
2018-01-26,MNMD,4.02,6267
2018-01-29,MNMD,3.75,8753
2018-01-30,MNMD,3.525,1407
2018-01-31,MNMD,3.435,2267
2018-02-01,MNMD,3.6,1220
2018-02-02,MNMD,3.345,2707
2018-02-05,MNMD,3.03,4747
2018-02-06,MNMD,2.985,2253
2018-02-07,MNMD,2.94,1660
2018-02-08,MNMD,2.865,1013
2018-02-09,MNMD,2.85,300
2018-02-12,MNMD,3.0,1040
2018-02-13,MNMD,2.805,333
2018-02-14,MNMD,3.15,3113
2018-02-15,MNMD,2.985,1880
