ds,symbol,close,volume
1990-01-02,MOS,17.25,124600
1990-01-03,MOS,18.1875,474600
1990-01-04,MOS,17.8125,170600
1990-01-05,MOS,17.5625,101000
1990-01-08,MOS,17.5625,85200
1990-01-09,MOS,17.625,474000
1990-01-10,MOS,17.25,302000
1990-01-11,MOS,17.25,356800
1990-01-12,MOS,16.625,220800
1990-01-15,MOS,16.6875,277000
1990-01-16,MOS,16.625,398000
1990-01-17,MOS,17.0625,181000
1990-01-18,MOS,16.8125,143200
1990-01-19,MOS,17.25,288400
1990-01-22,MOS,17.1875,49400
1990-01-23,MOS,17.5,90600
1990-01-24,MOS,17.625,138600
1990-01-25,MOS,17.75,132200
1990-01-26,MOS,17.125,331200
1990-01-29,MOS,17.1875,67400
1990-01-30,MOS,17.0,415600
1990-01-31,MOS,17.0,112200
1990-02-01,MOS,16.75,414000
1990-02-02,MOS,17.1875,310600
1990-02-05,MOS,17.625,544800
1990-02-06,MOS,17.5,435200
1990-02-07,MOS,17.9375,557200
1990-02-08,MOS,18.625,949800
1990-02-09,MOS,18.8125,213000
1990-02-12,MOS,18.5,213600
1990-02-13,MOS,18.8125,291000
1990-02-14,MOS,18.8125,245800
1990-02-15,MOS,18.6875,442400
1990-02-16,MOS,18.625,304000
1990-02-20,MOS,18.5,369600
1990-02-21,MOS,18.5,229400
1990-02-22,MOS,18.625,108000
1990-02-23,MOS,18.375,183400
1990-02-26,MOS,18.5,134800
1990-02-27,MOS,18.375,237600
1990-02-28,MOS,18.25,57800
1990-03-01,MOS,18.1875,138400
1990-03-02,MOS,18.5625,207600
1990-03-05,MOS,18.5,132200
1990-03-06,MOS,18.875,135600
1990-03-07,MOS,19.125,296800
1990-03-08,MOS,19.125,238800
1990-03-09,MOS,18.8125,129800
1990-03-12,MOS,18.9375,154800
1990-03-13,MOS,18.625,104200
1990-03-14,MOS,18.6875,95200
1990-03-15,MOS,18.8125,296600
1990-03-16,MOS,18.625,54000
1990-03-19,MOS,18.4375,329000
1990-03-20,MOS,18.125,136200
1990-03-21,MOS,18.0625,621400
1990-03-22,MOS,17.4375,215400
1990-03-23,MOS,17.8125,54800
1990-03-26,MOS,18.0,222400
1990-03-27,MOS,17.9375,143800
1990-03-28,MOS,17.8125,104600
1990-03-29,MOS,17.75,266000
1990-03-30,MOS,17.375,536800
1990-04-02,MOS,17.1875,190400
1990-04-03,MOS,17.0,154600
