ds,symbol,close,volume
2016-05-24,MSBI,21.9,1775310
2016-05-25,MSBI,22.01,313335
2016-05-26,MSBI,22.08,142631
2016-05-27,MSBI,22.42,206689
2016-05-31,MSBI,22.51,187365
2016-06-01,MSBI,22.57,184495
2016-06-02,MSBI,22.92,183619
2016-06-03,MSBI,22.56,30437
2016-06-06,MSBI,22.94,46064
2016-06-07,MSBI,22.73,51566
2016-06-08,MSBI,22.52,15176
2016-06-09,MSBI,22.39,19242
2016-06-10,MSBI,22.28,13386
2016-06-13,MSBI,22.19,21302
2016-06-14,MSBI,21.87,194392
2016-06-15,MSBI,21.77,221731
2016-06-16,MSBI,21.94,32659
2016-06-17,MSBI,21.99,32864
2016-06-20,MSBI,22.14,266235
2016-06-21,MSBI,22.0,116632
2016-06-22,MSBI,21.83,55237
2016-06-23,MSBI,21.86,62749
2016-06-24,MSBI,21.52,452923
2016-06-27,MSBI,21.25,96602
2016-06-28,MSBI,21.06,82862
2016-06-29,MSBI,21.59,36440
2016-06-30,MSBI,21.69,24879
2016-07-01,MSBI,21.78,17247
2016-07-05,MSBI,21.75,69617
2016-07-06,MSBI,21.95,23883
2016-07-07,MSBI,21.94,40016
2016-07-08,MSBI,22.09,32941
2016-07-11,MSBI,22.04,32467
2016-07-12,MSBI,22.03,42946
2016-07-13,MSBI,22.03,40370
2016-07-14,MSBI,22.05,51515
2016-07-15,MSBI,22.11,25107
2016-07-18,MSBI,22.15,17753
2016-07-19,MSBI,22.34,56552
2016-07-20,MSBI,22.05,19998
2016-07-21,MSBI,22.09,25027
2016-07-22,MSBI,22.35,22985
2016-07-25,MSBI,22.13,10863
2016-07-26,MSBI,22.25,18777
2016-07-27,MSBI,22.25,12255
2016-07-28,MSBI,22.12,8899
2016-07-29,MSBI,22.76,48586
2016-08-01,MSBI,22.73,10047
2016-08-02,MSBI,22.62,27266
2016-08-03,MSBI,22.68,12472
2016-08-04,MSBI,22.46,65798
2016-08-05,MSBI,22.53,32710
2016-08-08,MSBI,22.56,16288
2016-08-09,MSBI,22.61,21919
2016-08-10,MSBI,22.46,50541
2016-08-11,MSBI,23.03,129122
2016-08-12,MSBI,22.95,17986
2016-08-15,MSBI,22.94,30989
2016-08-16,MSBI,23.22,32196
2016-08-17,MSBI,23.26,19610
2016-08-18,MSBI,23.78,29530
2016-08-19,MSBI,23.56,43330
2016-08-22,MSBI,23.91,39309
2016-08-23,MSBI,23.91,35835
2016-08-24,MSBI,23.96,42695
2016-08-25,MSBI,24.08,41342
2016-08-26,MSBI,24.29,24085
2016-08-29,MSBI,24.25,29777
2016-08-30,MSBI,24.4,34803
2016-08-31,MSBI,24.34,24830
2016-09-01,MSBI,24.46,46282
2016-09-02,MSBI,24.78,44435
2016-09-06,MSBI,24.73,53151
2016-09-07,MSBI,24.67,25269
