ds,symbol,close,volume
2020-04-09,MSGE,88.51,1900
2020-04-13,MSGE,80.25,167421
2020-04-14,MSGE,75.19,5281
2020-04-15,MSGE,76.0,807
2020-04-16,MSGE,74.6,74999
2020-04-17,MSGE,68.06,26211
2020-04-20,MSGE,65.33,783577
2020-04-21,MSGE,64.25,602220
2020-04-22,MSGE,69.2,473608
2020-04-23,MSGE,76.57,928943
2020-04-24,MSGE,79.98,1003610
2020-04-27,MSGE,81.8,907746
2020-04-28,MSGE,81.88,748824
2020-04-29,MSGE,85.25,783755
2020-04-30,MSGE,82.7,270885
2020-05-01,MSGE,79.68,200897
2020-05-04,MSGE,81.21,659292
2020-05-05,MSGE,79.76,271422
2020-05-06,MSGE,79.94,156945
2020-05-07,MSGE,78.42,355954
2020-05-08,MSGE,79.8,176114
2020-05-11,MSGE,76.6,226776
2020-05-12,MSGE,74.02,234245
2020-05-13,MSGE,73.06,188484
2020-05-14,MSGE,75.06,206756
2020-05-15,MSGE,78.49,241384
2020-05-18,MSGE,77.43,416661
2020-05-19,MSGE,77.24,137431
2020-05-20,MSGE,76.12,609566
2020-05-21,MSGE,74.5,242530
2020-05-22,MSGE,75.46,321947
2020-05-26,MSGE,74.77,304134
2020-05-27,MSGE,74.15,1026961
2020-05-28,MSGE,79.05,542063
2020-05-29,MSGE,79.23,179508
2020-06-01,MSGE,80.05,199670
2020-06-02,MSGE,77.0,384931
2020-06-03,MSGE,78.09,216475
2020-06-04,MSGE,81.0,369915
2020-06-05,MSGE,81.98,358079
2020-06-08,MSGE,81.43,176062
2020-06-09,MSGE,80.62,149045
2020-06-10,MSGE,79.38,222623
2020-06-11,MSGE,73.5,275854
2020-06-12,MSGE,74.87,136540
2020-06-15,MSGE,74.28,82413
2020-06-16,MSGE,74.04,181570
2020-06-17,MSGE,76.76,124403
2020-06-18,MSGE,78.82,130411
2020-06-19,MSGE,78.35,316940
2020-06-22,MSGE,74.58,153901
2020-06-23,MSGE,75.2,121309
2020-06-24,MSGE,73.56,113104
2020-06-25,MSGE,72.68,249562
2020-06-26,MSGE,72.53,365725
2020-06-29,MSGE,75.1,79727
2020-06-30,MSGE,75.0,77098
2020-07-01,MSGE,74.87,152461
2020-07-02,MSGE,72.85,113898
2020-07-06,MSGE,74.68,56181
2020-07-07,MSGE,73.79,95554
2020-07-08,MSGE,74.3,91123
2020-07-09,MSGE,72.15,127840
2020-07-10,MSGE,71.26,123534
