ds,symbol,close,volume
1995-12-15,MSM,12.125,7272800
1995-12-18,MSM,11.625,1239800
1995-12-19,MSM,12.1875,720000
1995-12-20,MSM,12.625,304400
1995-12-21,MSM,12.5,122600
1995-12-22,MSM,12.625,329800
1995-12-26,MSM,12.6875,58400
1995-12-27,MSM,12.75,349600
1995-12-28,MSM,13.5,238800
1995-12-29,MSM,13.75,116000
1996-01-02,MSM,13.25,217600
1996-01-03,MSM,13.125,207800
1996-01-04,MSM,12.3125,427400
1996-01-05,MSM,12.625,71600
1996-01-08,MSM,12.75,96600
1996-01-09,MSM,12.8125,122200
1996-01-10,MSM,12.5625,62400
1996-01-11,MSM,12.3125,362000
1996-01-12,MSM,12.375,72800
1996-01-15,MSM,12.5,15200
1996-01-16,MSM,12.625,65200
1996-01-17,MSM,12.5625,188400
1996-01-18,MSM,12.4375,76400
1996-01-19,MSM,12.5,80000
1996-01-22,MSM,13.0625,59200
1996-01-23,MSM,13.0,264400
1996-01-24,MSM,13.25,88000
1996-01-25,MSM,13.25,38400
1996-01-26,MSM,12.6875,95000
1996-01-29,MSM,12.8125,18600
1996-01-30,MSM,12.8125,50800
1996-01-31,MSM,12.875,10200
1996-02-01,MSM,12.9375,91200
1996-02-02,MSM,13.1875,105400
1996-02-05,MSM,13.5,40000
1996-02-06,MSM,13.625,80600
1996-02-07,MSM,13.5625,14400
1996-02-08,MSM,13.4375,38200
1996-02-09,MSM,13.875,164800
1996-02-12,MSM,13.6875,21200
1996-02-13,MSM,13.375,127200
1996-02-14,MSM,13.3125,27000
1996-02-15,MSM,13.25,20600
1996-02-16,MSM,13.0625,14800
1996-02-20,MSM,12.75,35200
1996-02-21,MSM,12.875,18200
1996-02-22,MSM,12.8125,37400
1996-02-23,MSM,13.25,89000
1996-02-26,MSM,13.25,115600
1996-02-27,MSM,13.5,160000
1996-02-28,MSM,13.8125,63600
1996-02-29,MSM,13.875,44000
1996-03-01,MSM,13.8125,58800
1996-03-04,MSM,14.0625,11400
1996-03-05,MSM,14.0625,22800
1996-03-06,MSM,14.5,35600
1996-03-07,MSM,14.6875,268800
1996-03-08,MSM,14.375,15800
1996-03-11,MSM,14.25,19200
1996-03-12,MSM,14.25,2200
1996-03-13,MSM,14.3125,137200
1996-03-14,MSM,14.75,36800
1996-03-15,MSM,14.8125,21000
1996-03-18,MSM,14.375,100200
1996-03-19,MSM,14.3125,268400
1996-03-20,MSM,14.25,1200
1996-03-21,MSM,14.1875,155000
1996-03-22,MSM,14.125,51400
1996-03-25,MSM,14.125,27000
1996-03-26,MSM,14.25,166800
1996-03-27,MSM,14.375,800
1996-03-28,MSM,14.5,15000
1996-03-29,MSM,14.4375,88200
1996-04-01,MSM,14.1875,9800
1996-04-02,MSM,14.1875,23200
1996-04-03,MSM,14.1875,29600
1996-04-04,MSM,14.1875,2200
1996-04-08,MSM,14.0625,4400
1996-04-09,MSM,14.0625,60000
1996-04-10,MSM,14.0625,9400
1996-04-11,MSM,14.25,33200
1996-04-12,MSM,14.3125,18800
1996-04-15,MSM,14.3125,2200
1996-04-16,MSM,14.4375,221400
1996-04-17,MSM,14.375,40800
1996-04-18,MSM,14.625,18000
1996-04-19,MSM,14.6875,30600
1996-04-22,MSM,15.0,51400
1996-04-23,MSM,15.0,104600
1996-04-24,MSM,16.0625,122200
1996-04-25,MSM,16.875,39400
1996-04-26,MSM,17.4375,75600
1996-04-29,MSM,17.3125,3600
1996-04-30,MSM,18.1875,12400
1996-05-01,MSM,17.6875,63400
1996-05-02,MSM,16.9375,38400
1996-05-03,MSM,16.6875,2200
1996-05-06,MSM,16.625,600
1996-05-07,MSM,15.9375,150600
1996-05-08,MSM,16.25,141400
1996-05-09,MSM,16.5,182600
1996-05-10,MSM,17.25,93000
1996-05-13,MSM,17.125,118400
1996-05-14,MSM,17.375,40200
1996-05-15,MSM,17.5,41200
1996-05-16,MSM,17.5,71200
1996-05-17,MSM,17.6875,22000
1996-05-20,MSM,17.6875,600
1996-05-21,MSM,17.75,4600
1996-05-22,MSM,17.75,32000
1996-05-23,MSM,17.75,20600
1996-05-24,MSM,17.75,52600
1996-05-28,MSM,17.5,6000
1996-05-29,MSM,17.6875,93200
1996-05-30,MSM,17.4375,12000
1996-05-31,MSM,17.4375,64200
1996-06-03,MSM,17.125,24200
1996-06-04,MSM,17.0625,22400
1996-06-05,MSM,16.8125,12000
1996-06-06,MSM,16.75,2400
1996-06-07,MSM,16.375,9400
1996-06-10,MSM,16.75,82200
1996-06-11,MSM,16.875,13000
1996-06-12,MSM,17.3125,18600
1996-06-13,MSM,18.125,134000
1996-06-14,MSM,18.25,101000
1996-06-17,MSM,17.75,17800
1996-06-18,MSM,17.625,4400
1996-06-19,MSM,17.3125,24400
1996-06-20,MSM,16.9375,12400
1996-06-21,MSM,16.75,273000
1996-06-24,MSM,16.4375,208400
1996-06-25,MSM,16.3125,10600
1996-06-26,MSM,16.0625,160400
1996-06-27,MSM,16.0,5000
1996-06-28,MSM,16.125,130200
1996-07-01,MSM,15.9375,48800
1996-07-02,MSM,15.375,280200
1996-07-03,MSM,15.125,13600
