ds,symbol,close,volume
2001-04-02,MUFG,9.49,70300
2001-04-03,MUFG,9.98,311800
2001-04-04,MUFG,10.24,336200
2001-04-05,MUFG,10.17,230000
2001-04-06,MUFG,10.04,188700
2001-04-09,MUFG,9.84,157000
2001-04-10,MUFG,9.96,158700
2001-04-11,MUFG,9.77,138700
2001-04-12,MUFG,9.97,101400
2001-04-16,MUFG,9.89,79700
2001-04-17,MUFG,9.88,56100
2001-04-18,MUFG,10.25,295400
2001-04-19,MUFG,10.15,122900
2001-04-20,MUFG,10.02,137100
2001-04-23,MUFG,9.96,98300
2001-04-24,MUFG,9.92,213000
2001-04-25,MUFG,10.23,298200
2001-04-26,MUFG,9.98,346500
2001-04-27,MUFG,10.35,327600
2001-04-30,MUFG,10.3,218400
2001-05-01,MUFG,10.89,596600
2001-05-02,MUFG,11.07,338400
2001-05-03,MUFG,11.15,278700
2001-05-04,MUFG,11.25,233600
2001-05-07,MUFG,11.24,310900
2001-05-08,MUFG,10.87,309900
2001-05-09,MUFG,10.64,226000
2001-05-10,MUFG,10.36,311000
2001-05-11,MUFG,10.4,785900
2001-05-14,MUFG,10.22,417500
2001-05-15,MUFG,10.25,176500
2001-05-16,MUFG,10.26,206400
2001-05-17,MUFG,10.26,183900
2001-05-18,MUFG,10.2,259300
2001-05-21,MUFG,10.17,198600
2001-05-22,MUFG,10.15,300100
2001-05-23,MUFG,10.08,314100
2001-05-24,MUFG,10.22,332600
2001-05-25,MUFG,9.93,357000
2001-05-29,MUFG,9.63,313600
2001-05-30,MUFG,9.22,376200
2001-05-31,MUFG,9.4,312700
2001-06-01,MUFG,9.46,261500
2001-06-04,MUFG,9.22,317200
2001-06-05,MUFG,9.4,443600
2001-06-06,MUFG,9.34,611700
2001-06-07,MUFG,9.16,549200
2001-06-08,MUFG,9.06,767000
2001-06-11,MUFG,9.04,483500
2001-06-12,MUFG,8.61,990500
2001-06-13,MUFG,8.71,406700
2001-06-14,MUFG,8.38,567000
2001-06-15,MUFG,8.32,583700
2001-06-18,MUFG,8.34,226800
2001-06-19,MUFG,8.1,522000
2001-06-20,MUFG,8.25,620500
2001-06-21,MUFG,8.93,415900
2001-06-22,MUFG,8.62,128300
2001-06-25,MUFG,8.46,151700
2001-06-26,MUFG,8.35,444500
2001-06-27,MUFG,8.63,372800
2001-06-28,MUFG,8.37,190000
2001-06-29,MUFG,8.46,207600
2001-07-02,MUFG,8.41,235600
2001-07-03,MUFG,8.46,349800
2001-07-05,MUFG,8.21,279700
2001-07-06,MUFG,7.97,306200
2001-07-09,MUFG,8.12,224700
2001-07-10,MUFG,8.18,166600
2001-07-11,MUFG,8.11,150700
2001-07-12,MUFG,8.54,144300
2001-07-13,MUFG,8.34,277900
2001-07-16,MUFG,8.22,127600
2001-07-17,MUFG,8.14,190000
2001-07-18,MUFG,7.93,200800
2001-07-19,MUFG,7.99,287900
2001-07-20,MUFG,7.95,166500
2001-07-23,MUFG,7.26,430200
2001-07-24,MUFG,7.43,200600
2001-07-25,MUFG,7.64,190200
2001-07-26,MUFG,7.98,320400
2001-07-27,MUFG,7.88,196900
2001-07-30,MUFG,7.64,91700
2001-07-31,MUFG,8.05,113400
2001-08-01,MUFG,8.03,206100
2001-08-02,MUFG,8.05,149600
2001-08-03,MUFG,8.1,143700
2001-08-06,MUFG,8.0,262600
2001-08-07,MUFG,7.89,126600
2001-08-08,MUFG,7.7,216400
2001-08-09,MUFG,7.75,222800
2001-08-10,MUFG,7.48,171300
2001-08-13,MUFG,7.59,211100
2001-08-14,MUFG,8.2,201800
2001-08-15,MUFG,8.01,152900
2001-08-16,MUFG,7.99,292100
2001-08-17,MUFG,7.7,99300
2001-08-20,MUFG,7.76,170400
2001-08-21,MUFG,8.21,211900
2001-08-22,MUFG,8.38,211300
2001-08-23,MUFG,8.29,222700
2001-08-24,MUFG,8.35,312200
2001-08-27,MUFG,8.71,227200
2001-08-28,MUFG,8.66,229700
2001-08-29,MUFG,8.37,166300
2001-08-30,MUFG,8.2,210400
2001-08-31,MUFG,8.48,112500
2001-09-04,MUFG,8.76,175300
2001-09-05,MUFG,8.62,204900
2001-09-06,MUFG,8.62,286100
2001-09-07,MUFG,8.98,337200
2001-09-10,MUFG,8.66,281200
2001-09-17,MUFG,8.53,238000
2001-09-18,MUFG,8.72,124000
2001-09-19,MUFG,8.8,340500
2001-09-20,MUFG,9.16,443200
2001-09-21,MUFG,8.8,305300
2001-09-24,MUFG,9.33,338800
2001-09-25,MUFG,8.62,400300
2001-09-26,MUFG,8.13,393200
2001-09-27,MUFG,7.95,284000
2001-09-28,MUFG,7.75,377200
2001-10-01,MUFG,8.06,131900
2001-10-02,MUFG,8.34,162500
2001-10-03,MUFG,8.28,286300
2001-10-04,MUFG,8.12,247100
2001-10-05,MUFG,7.9,181000
2001-10-08,MUFG,7.82,122800
2001-10-09,MUFG,7.65,178900
2001-10-10,MUFG,7.27,465900
2001-10-11,MUFG,7.45,291200
2001-10-12,MUFG,7.74,174800
2001-10-15,MUFG,7.7,121000
2001-10-16,MUFG,7.62,186400
2001-10-17,MUFG,7.73,136600
2001-10-18,MUFG,7.8,150300
2001-10-19,MUFG,7.88,189500
2001-10-22,MUFG,7.69,167100
2001-10-23,MUFG,7.79,187800
2001-10-24,MUFG,7.87,160000
2001-10-25,MUFG,7.87,140300
2001-10-26,MUFG,8.0,114800
2001-10-29,MUFG,7.59,159300
2001-10-30,MUFG,7.4,164100
2001-10-31,MUFG,7.49,199300
2001-11-01,MUFG,7.57,149600
2001-11-02,MUFG,7.44,162900
2001-11-05,MUFG,7.32,216300
2001-11-06,MUFG,7.13,255100
2001-11-07,MUFG,6.85,308400
2001-11-08,MUFG,7.15,237700
2001-11-09,MUFG,6.96,293200
2001-11-12,MUFG,7.05,209900
2001-11-13,MUFG,6.93,357800
2001-11-14,MUFG,6.81,318900
2001-11-15,MUFG,6.8,442400
2001-11-16,MUFG,6.92,386600
2001-11-19,MUFG,7.05,270100
2001-11-20,MUFG,6.96,364400
2001-11-21,MUFG,7.19,590000
2001-11-23,MUFG,7.41,197000
2001-11-26,MUFG,7.4,400800
2001-11-27,MUFG,7.15,322700
2001-11-28,MUFG,7.0,914100
2001-11-29,MUFG,6.88,865700
2001-11-30,MUFG,6.95,985600
2001-12-03,MUFG,6.8,792000
2001-12-04,MUFG,6.66,672600
2001-12-05,MUFG,6.82,2010300
2001-12-06,MUFG,6.6,658000
2001-12-07,MUFG,6.3,1073900
2001-12-10,MUFG,6.0,2143500
2001-12-11,MUFG,6.05,483700
2001-12-12,MUFG,6.37,847900
2001-12-13,MUFG,6.18,372400
2001-12-14,MUFG,6.2,386000
2001-12-17,MUFG,6.17,290700
2001-12-18,MUFG,6.13,632500
2001-12-19,MUFG,6.27,375100
2001-12-20,MUFG,6.36,337300
2001-12-21,MUFG,6.27,317600
2001-12-24,MUFG,6.1,216900
2001-12-26,MUFG,6.36,293900
2001-12-27,MUFG,6.11,287600
2001-12-28,MUFG,6.4,389000
2001-12-31,MUFG,6.47,261300
2002-01-02,MUFG,6.51,145000
2002-01-03,MUFG,6.76,212600
2002-01-04,MUFG,6.86,242100
2002-01-07,MUFG,6.92,322600
2002-01-08,MUFG,6.62,292200
2002-01-09,MUFG,6.36,328800
2002-01-10,MUFG,6.27,173500
2002-01-11,MUFG,6.11,210100
2002-01-14,MUFG,6.03,141700
2002-01-15,MUFG,6.1,146800
2002-01-16,MUFG,6.4,238300
2002-01-17,MUFG,6.51,294800
2002-01-18,MUFG,6.49,357500
2002-01-22,MUFG,6.11,206500
2002-01-23,MUFG,6.11,598500
2002-01-24,MUFG,6.02,133900
2002-01-25,MUFG,5.85,290600
2002-01-28,MUFG,6.05,520700
2002-01-29,MUFG,5.83,316200
2002-01-30,MUFG,5.72,423100
2002-01-31,MUFG,5.72,163800
2002-02-01,MUFG,5.69,204200
2002-02-04,MUFG,5.5,198300
2002-02-05,MUFG,5.22,253000
2002-02-06,MUFG,5.16,145700
2002-02-07,MUFG,5.85,234900
2002-02-08,MUFG,6.07,170100
2002-02-11,MUFG,6.12,279900
2002-02-12,MUFG,6.2,273300
2002-02-13,MUFG,6.29,139700
2002-02-14,MUFG,6.15,156200
2002-02-15,MUFG,6.22,124700
2002-02-19,MUFG,5.77,400000
2002-02-20,MUFG,5.84,154000
2002-02-21,MUFG,5.82,240200
2002-02-22,MUFG,5.87,220800
2002-02-25,MUFG,5.95,170500
2002-02-26,MUFG,5.8,187800
2002-02-27,MUFG,6.1,256100
2002-02-28,MUFG,6.11,197900
2002-03-01,MUFG,6.37,116400
2002-03-04,MUFG,6.75,130500
2002-03-05,MUFG,6.74,310300
2002-03-06,MUFG,7.01,352900
2002-03-07,MUFG,7.08,225100
2002-03-08,MUFG,6.95,140400
2002-03-11,MUFG,7.26,150800
2002-03-12,MUFG,7.15,275000
2002-03-13,MUFG,6.69,193100
2002-03-14,MUFG,6.72,238700
2002-03-15,MUFG,6.71,170400
2002-03-18,MUFG,6.55,104800
2002-03-19,MUFG,6.73,355200
2002-03-20,MUFG,6.46,319300
2002-03-21,MUFG,6.51,637200
2002-03-22,MUFG,6.21,559400
2002-03-25,MUFG,6.2,174500
2002-03-26,MUFG,6.14,151000
2002-03-27,MUFG,6.15,121500
2002-03-28,MUFG,6.15,128300
2002-04-01,MUFG,5.92,239400
2002-04-02,MUFG,6.01,165500
2002-04-03,MUFG,6.0,160600
2002-04-04,MUFG,6.17,298600
2002-04-05,MUFG,6.28,281000
2002-04-08,MUFG,6.32,115100
2002-04-09,MUFG,6.72,306300
2002-04-10,MUFG,7.1,764400
2002-04-11,MUFG,6.65,150400
2002-04-12,MUFG,6.53,129800
2002-04-15,MUFG,6.5,167600
2002-04-16,MUFG,6.68,151500
2002-04-17,MUFG,6.63,89100
2002-04-18,MUFG,6.7,153500
2002-04-19,MUFG,6.74,122800
2002-04-22,MUFG,6.88,141100
2002-04-23,MUFG,6.92,158800
2002-04-24,MUFG,6.81,213000
2002-04-25,MUFG,7.1,249500
2002-04-26,MUFG,7.0,125100
2002-04-29,MUFG,6.91,72100
2002-04-30,MUFG,6.96,288500
2002-05-01,MUFG,7.03,141800
2002-05-02,MUFG,7.08,144300
2002-05-03,MUFG,7.05,291800
2002-05-06,MUFG,7.07,204400
2002-05-07,MUFG,6.77,141100
2002-05-08,MUFG,6.81,136800
2002-05-09,MUFG,6.76,119700
2002-05-10,MUFG,6.86,115800
2002-05-13,MUFG,6.77,95900
2002-05-14,MUFG,6.73,127000
2002-05-15,MUFG,6.85,138300
2002-05-16,MUFG,7.03,209800
2002-05-17,MUFG,7.16,686000
2002-05-20,MUFG,7.28,578000
2002-05-21,MUFG,7.15,174700
2002-05-22,MUFG,7.61,826700
2002-05-23,MUFG,7.71,180300
2002-05-24,MUFG,7.67,108200
2002-05-28,MUFG,7.7,169200
2002-05-29,MUFG,8.05,401000
2002-05-30,MUFG,8.05,280800
2002-05-31,MUFG,7.88,338500
2002-06-03,MUFG,8.14,294600
2002-06-04,MUFG,8.2,610300
2002-06-05,MUFG,8.07,197900
2002-06-06,MUFG,7.77,287700
2002-06-07,MUFG,7.8,271700
2002-06-10,MUFG,7.6,534500
2002-06-11,MUFG,7.65,206500
2002-06-12,MUFG,7.62,765300
2002-06-13,MUFG,7.41,197700
2002-06-14,MUFG,7.24,315600
2002-06-17,MUFG,7.11,139700
2002-06-18,MUFG,6.98,129500
2002-06-19,MUFG,6.88,224900
2002-06-20,MUFG,6.9,172600
2002-06-21,MUFG,6.75,181900
2002-06-24,MUFG,6.67,260400
2002-06-25,MUFG,6.54,267200
2002-06-26,MUFG,6.42,362600
2002-06-27,MUFG,6.6,337800
2002-06-28,MUFG,6.8,116900
2002-07-01,MUFG,6.69,271100
2002-07-02,MUFG,6.69,253900
2002-07-03,MUFG,7.11,326000
2002-07-05,MUFG,7.6,228000
2002-07-08,MUFG,7.44,112300
2002-07-09,MUFG,7.5,124300
2002-07-10,MUFG,7.47,174100
2002-07-11,MUFG,7.55,276700
2002-07-12,MUFG,7.55,148300
2002-07-15,MUFG,7.29,227600
2002-07-16,MUFG,7.09,218400
2002-07-17,MUFG,7.05,200100
2002-07-18,MUFG,7.1,207700
2002-07-19,MUFG,7.05,233900
2002-07-22,MUFG,7.2,474900
2002-07-23,MUFG,7.4,616200
2002-07-24,MUFG,7.43,502100
2002-07-25,MUFG,7.1,219500
2002-07-26,MUFG,6.89,228200
2002-07-29,MUFG,6.81,139300
2002-07-30,MUFG,6.95,152200
2002-07-31,MUFG,6.75,93700
2002-08-01,MUFG,6.51,90500
2002-08-02,MUFG,6.75,99700
