ds,symbol,close,volume
1990-01-02,MYE,3.609919,7369
1990-01-03,MYE,3.609919,17961
1990-01-04,MYE,3.637061,7369
1990-01-05,MYE,3.637061,4145
1990-01-08,MYE,3.637061,4145
1990-01-09,MYE,3.637061,4145
1990-01-10,MYE,3.637061,1382
1990-01-11,MYE,3.637061,0
1990-01-12,MYE,3.555634,21185
1990-01-15,MYE,3.555634,4145
1990-01-16,MYE,3.555634,8290
1990-01-17,MYE,3.555634,4145
1990-01-18,MYE,3.555634,3224
1990-01-19,MYE,3.447065,11053
1990-01-22,MYE,3.365639,9211
1990-01-23,MYE,3.365639,5066
1990-01-24,MYE,3.365639,2303
1990-01-25,MYE,3.365639,1382
1990-01-26,MYE,3.25707,17040
1990-01-29,MYE,3.25707,0
1990-01-30,MYE,3.175643,19343
1990-01-31,MYE,3.067074,17040
1990-02-01,MYE,3.067074,7369
1990-02-02,MYE,3.067074,21185
1990-02-05,MYE,3.067074,27172
1990-02-06,MYE,3.067074,4145
1990-02-07,MYE,3.121358,104542
1990-02-08,MYE,3.148501,7369
1990-02-09,MYE,3.175643,14277
1990-02-12,MYE,3.175643,47896
1990-02-13,MYE,3.229927,9211
1990-02-14,MYE,3.175643,5987
1990-02-15,MYE,3.25707,10132
1990-02-16,MYE,3.338496,11053
1990-02-20,MYE,3.447065,48817
1990-02-21,MYE,3.447065,54804
1990-02-22,MYE,3.50135,33159
1990-02-23,MYE,3.555634,11974
1990-02-26,MYE,3.691346,23948
1990-02-27,MYE,3.637061,13356
1990-02-28,MYE,3.637061,26251
1990-03-01,MYE,3.691346,4145
1990-03-02,MYE,3.637061,4145
1990-03-05,MYE,3.609919,32238
1990-03-06,MYE,3.637061,3224
1990-03-07,MYE,3.691346,6448
1990-03-08,MYE,3.74563,17040
1990-03-09,MYE,3.799915,4145
1990-03-12,MYE,3.799915,40067
1990-03-13,MYE,3.74563,35922
1990-03-14,MYE,3.74563,2303
1990-03-15,MYE,3.74563,27172
1990-03-16,MYE,3.74563,8290
1990-03-19,MYE,3.74563,8290
1990-03-20,MYE,3.691346,58028
1990-03-21,MYE,3.637061,17040
1990-03-22,MYE,3.637061,9211
1990-03-23,MYE,3.637061,1382
1990-03-26,MYE,3.637061,1382
1990-03-27,MYE,3.637061,461
1990-03-28,MYE,3.637061,1382
1990-03-29,MYE,3.691346,1382
1990-03-30,MYE,3.691346,461
1990-04-02,MYE,3.637061,3224
1990-04-03,MYE,3.691346,5066
1990-04-04,MYE,3.74563,4145
1990-04-05,MYE,3.935626,17040
1990-04-06,MYE,3.935626,35922
1990-04-09,MYE,3.935626,5066
1990-04-10,MYE,3.908484,13356
1990-04-11,MYE,3.908484,461
1990-04-12,MYE,3.908484,461
1990-04-16,MYE,3.935626,17040
1990-04-17,MYE,3.935626,4145
1990-04-18,MYE,3.908484,7369
1990-04-19,MYE,3.827057,7369
1990-04-20,MYE,3.827057,4145
1990-04-23,MYE,3.827057,3224
