ds,symbol,close,volume
2021-07-19,NABL,16.0,1300
2021-07-20,NABL,12.5,1574127
2021-07-21,NABL,13.32,1815537
2021-07-22,NABL,12.53,1188105
2021-07-23,NABL,12.7,2256790
2021-07-26,NABL,12.39,1476809
2021-07-27,NABL,13.39,1458385
2021-07-28,NABL,13.22,607306
2021-07-29,NABL,13.47,499877
2021-07-30,NABL,13.8,732819
2021-08-02,NABL,14.28,361827
2021-08-03,NABL,14.22,296008
2021-08-04,NABL,14.06,244051
2021-08-05,NABL,14.12,247746
2021-08-06,NABL,14.55,383851
2021-08-09,NABL,13.57,163251
2021-08-10,NABL,13.52,251314
2021-08-11,NABL,13.73,165826
2021-08-12,NABL,13.51,287768
2021-08-13,NABL,13.51,275618
2021-08-16,NABL,13.58,315219
2021-08-17,NABL,13.68,158047
2021-08-18,NABL,13.31,263867
2021-08-19,NABL,13.29,379772
2021-08-20,NABL,13.26,1141339
2021-08-23,NABL,13.02,240085
2021-08-24,NABL,12.92,249169
2021-08-25,NABL,13.83,657820
2021-08-26,NABL,13.88,637354
2021-08-27,NABL,13.78,1472730
2021-08-30,NABL,13.11,522553
2021-08-31,NABL,13.53,1737594
2021-09-01,NABL,13.89,460448
2021-09-02,NABL,14.22,867028
2021-09-03,NABL,14.4,658179
2021-09-07,NABL,15.05,984518
2021-09-08,NABL,14.72,600767
2021-09-09,NABL,13.73,1395494
2021-09-10,NABL,14.4,857870
2021-09-13,NABL,13.56,962621
2021-09-14,NABL,14.3,924002
2021-09-15,NABL,13.56,1584638
2021-09-16,NABL,14.51,1757181
2021-09-17,NABL,15.52,4855165
2021-09-20,NABL,14.33,1302883
2021-09-21,NABL,14.46,2114223
2021-09-22,NABL,14.37,546581
2021-09-23,NABL,13.76,458007
2021-09-24,NABL,13.54,577079
2021-09-27,NABL,13.26,402657
2021-09-28,NABL,12.83,561938
2021-09-29,NABL,12.44,1464309
2021-09-30,NABL,12.41,265947
2021-10-01,NABL,12.78,459983
2021-10-04,NABL,12.14,492622
2021-10-05,NABL,12.66,805067
2021-10-06,NABL,13.0,465485
2021-10-07,NABL,12.89,763190
2021-10-08,NABL,12.31,350010
2021-10-11,NABL,12.54,763061
2021-10-12,NABL,12.5,687685
2021-10-13,NABL,12.5,583963
2021-10-14,NABL,12.59,696261
2021-10-15,NABL,12.97,1573980
2021-10-18,NABL,12.7,214393
2021-10-19,NABL,13.11,274779
2021-10-20,NABL,13.13,511555
2021-10-21,NABL,13.21,136126
2021-10-22,NABL,12.88,113068
2021-10-25,NABL,13.27,146755
2021-10-26,NABL,13.21,129737
2021-10-27,NABL,12.86,157676
2021-10-28,NABL,13.17,184052
2021-10-29,NABL,13.3,165450
2021-11-01,NABL,13.71,269457
2021-11-02,NABL,13.96,283347
2021-11-03,NABL,14.01,299559
2021-11-04,NABL,14.24,245241
2021-11-05,NABL,13.83,276141
2021-11-08,NABL,14.0,215168
2021-11-09,NABL,13.72,173073
2021-11-10,NABL,13.46,148565
2021-11-11,NABL,13.11,247288
2021-11-12,NABL,13.32,126723
2021-11-15,NABL,13.15,173335
2021-11-16,NABL,12.83,287808
2021-11-17,NABL,12.66,434699
2021-11-18,NABL,12.13,247446
2021-11-19,NABL,11.91,346051
2021-11-22,NABL,11.5,345744
2021-11-23,NABL,10.94,580914
2021-11-24,NABL,11.35,380716
2021-11-26,NABL,11.27,489333
2021-11-29,NABL,11.71,627550
2021-11-30,NABL,11.8,2169788
2021-12-01,NABL,10.87,640724
2021-12-02,NABL,10.71,739657
2021-12-03,NABL,11.13,925072
2021-12-06,NABL,12.06,1125161
2021-12-07,NABL,12.45,781508
2021-12-08,NABL,12.52,466012
2021-12-09,NABL,12.28,722362
2021-12-10,NABL,12.43,816237
2021-12-13,NABL,11.53,687245
2021-12-14,NABL,11.26,641736
2021-12-15,NABL,11.56,601760
2021-12-16,NABL,11.18,1125155
2021-12-17,NABL,11.41,2804555
2021-12-20,NABL,11.29,671063
2021-12-21,NABL,11.35,693435
2021-12-22,NABL,11.4,529277
2021-12-23,NABL,11.72,944595
2021-12-27,NABL,11.68,404642
2021-12-28,NABL,11.21,1037645
2021-12-29,NABL,11.04,727521
2021-12-30,NABL,11.2,481105
2021-12-31,NABL,11.1,389912
2022-01-03,NABL,11.5,712299
2022-01-04,NABL,11.18,388582
2022-01-05,NABL,10.59,540954
2022-01-06,NABL,10.45,275212
2022-01-07,NABL,10.26,360955
2022-01-10,NABL,10.43,322797
2022-01-11,NABL,10.56,244640
2022-01-12,NABL,10.49,139117
2022-01-13,NABL,10.3,154986
2022-01-14,NABL,10.16,157611
2022-01-18,NABL,10.03,237735
2022-01-19,NABL,10.16,180403
2022-01-20,NABL,10.2,216163
2022-01-21,NABL,9.98,504693
2022-01-24,NABL,10.14,632011
2022-01-25,NABL,10.03,589676
2022-01-26,NABL,10.17,334077
2022-01-27,NABL,10.27,399662
2022-01-28,NABL,10.54,257331
2022-01-31,NABL,11.16,339884
2022-02-01,NABL,11.38,930942
2022-02-02,NABL,11.14,280462
2022-02-03,NABL,10.97,196101
2022-02-04,NABL,11.29,152676
2022-02-07,NABL,11.31,255682
2022-02-08,NABL,11.45,183546
2022-02-09,NABL,11.65,123656
2022-02-10,NABL,11.55,240539
