ds,symbol,close,volume
1992-03-17,NBTB,6.091554,22654
1992-03-18,NBTB,6.218462,10047
1992-03-19,NBTB,6.218462,18517
1992-03-20,NBTB,6.218462,0
1992-03-23,NBTB,5.710832,1182
1992-03-24,NBTB,5.774286,2561
1992-03-25,NBTB,5.710832,4925
1992-03-26,NBTB,6.345369,197
1992-03-27,NBTB,6.091554,2167
1992-03-30,NBTB,6.091554,1773
1992-03-31,NBTB,6.218462,591
1992-04-01,NBTB,6.091554,788
1992-04-02,NBTB,6.091554,2364
1992-04-03,NBTB,5.710832,3349
1992-04-06,NBTB,6.218462,197
1992-04-07,NBTB,6.091554,1773
1992-04-08,NBTB,6.091554,591
1992-04-09,NBTB,6.091554,4531
1992-04-10,NBTB,6.091554,985
1992-04-13,NBTB,6.091554,4728
1992-04-14,NBTB,5.837739,4925
1992-04-15,NBTB,5.837739,1773
1992-04-16,NBTB,5.964647,13987
1992-04-20,NBTB,5.964647,788
1992-04-21,NBTB,5.964647,2167
1992-04-22,NBTB,5.964647,3546
1992-04-23,NBTB,5.710832,8077
1992-04-24,NBTB,5.710832,0
1992-04-27,NBTB,5.964647,10638
1992-04-28,NBTB,5.964647,1576
1992-04-29,NBTB,6.091554,15563
1992-04-30,NBTB,5.837739,26003
1992-05-01,NBTB,6.218462,2758
1992-05-04,NBTB,5.964647,2364
1992-05-05,NBTB,5.964647,1379
1992-05-06,NBTB,5.837739,1182
1992-05-07,NBTB,5.901193,985
1992-05-08,NBTB,5.964647,394
1992-05-11,NBTB,6.218462,3349
1992-05-12,NBTB,6.091554,20684
1992-05-13,NBTB,6.218462,1970
1992-05-14,NBTB,6.345369,1379
1992-05-15,NBTB,6.345369,0
1992-05-18,NBTB,6.345369,788
1992-05-19,NBTB,6.345369,0
1992-05-20,NBTB,6.472276,197
1992-05-21,NBTB,5.964647,197
1992-05-22,NBTB,6.091554,1773
1992-05-26,NBTB,6.091554,5122
1992-05-27,NBTB,6.599184,13790
1992-05-28,NBTB,6.218462,8077
1992-05-29,NBTB,6.218462,1182
1992-06-01,NBTB,6.852999,788
1992-06-02,NBTB,6.726091,11426
1992-06-03,NBTB,6.726091,8471
1992-06-04,NBTB,7.106813,2167
1992-06-05,NBTB,6.599184,3349
1992-06-08,NBTB,6.852999,3940
1992-06-09,NBTB,7.106813,788
1992-06-10,NBTB,6.662637,591
1992-06-11,NBTB,6.979906,7289
1992-06-12,NBTB,7.233721,1379
1992-06-15,NBTB,7.233721,0
1992-06-16,NBTB,7.487535,10638
1992-06-17,NBTB,6.852999,3940
1992-06-18,NBTB,6.852999,0
1992-06-19,NBTB,6.852999,0
1992-06-22,NBTB,6.852999,2561
1992-06-23,NBTB,6.852999,197
1992-06-24,NBTB,6.852999,1773
1992-06-25,NBTB,7.233721,1182
1992-06-26,NBTB,7.360628,1182
1992-06-29,NBTB,7.360628,0
1992-06-30,NBTB,7.360628,0
1992-07-01,NBTB,6.852999,985
1992-07-02,NBTB,6.852999,0
1992-07-06,NBTB,7.614443,2955
1992-07-07,NBTB,7.614443,1182
1992-07-08,NBTB,7.614443,0
1992-07-09,NBTB,7.106813,591
1992-07-10,NBTB,7.614443,197
1992-07-13,NBTB,7.614443,1773
1992-07-14,NBTB,7.106813,4334
1992-07-15,NBTB,7.614443,2561
1992-07-16,NBTB,7.106813,591
1992-07-17,NBTB,7.106813,788
1992-07-20,NBTB,7.424082,1182
1992-07-21,NBTB,7.106813,12214
1992-07-22,NBTB,7.106813,197
1992-07-23,NBTB,7.614443,4531
1992-07-24,NBTB,7.614443,2364
1992-07-27,NBTB,7.868258,1379
1992-07-28,NBTB,7.804804,5910
1992-07-29,NBTB,7.995165,3152
1992-07-30,NBTB,7.360628,10835
1992-07-31,NBTB,7.233721,14775
1992-08-03,NBTB,7.614443,985
1992-08-04,NBTB,7.233721,4531
1992-08-05,NBTB,7.74135,4925
1992-08-06,NBTB,7.233721,2758
1992-08-07,NBTB,7.233721,0
1992-08-10,NBTB,7.233721,985
1992-08-11,NBTB,7.233721,1379
1992-08-12,NBTB,7.74135,591
1992-08-13,NBTB,7.74135,3152
1992-08-14,NBTB,7.74135,197
1992-08-17,NBTB,7.74135,4925
1992-08-18,NBTB,7.74135,0
1992-08-19,NBTB,7.487535,1773
1992-08-20,NBTB,7.233721,2758
1992-08-21,NBTB,7.74135,788
1992-08-24,NBTB,7.233721,1379
1992-08-25,NBTB,7.74135,22457
1992-08-26,NBTB,7.74135,1182
1992-08-27,NBTB,7.360628,985
1992-08-28,NBTB,7.360628,8668
1992-08-31,NBTB,7.614443,1182
1992-09-01,NBTB,7.614443,7683
1992-09-02,NBTB,7.424082,7289
1992-09-03,NBTB,7.614443,2167
1992-09-04,NBTB,7.614443,0
1992-09-08,NBTB,7.360628,8077
1992-09-09,NBTB,7.614443,3743
1992-09-10,NBTB,7.614443,394
1992-09-11,NBTB,7.360628,591
1992-09-14,NBTB,7.614443,7486
1992-09-15,NBTB,7.360628,1773
1992-09-16,NBTB,7.74135,2167
1992-09-17,NBTB,7.74135,0
1992-09-18,NBTB,7.74135,0
1992-09-21,NBTB,7.677897,1182
1992-09-22,NBTB,7.74135,197
1992-09-23,NBTB,7.233721,394
1992-09-24,NBTB,7.360628,591
1992-09-25,NBTB,7.233721,591
1992-09-28,NBTB,7.233721,197
1992-09-29,NBTB,7.233721,197
1992-09-30,NBTB,7.233721,0
1992-10-01,NBTB,7.233721,5713
1992-10-02,NBTB,7.487535,3152
1992-10-05,NBTB,7.74135,394
1992-10-06,NBTB,7.74135,0
1992-10-07,NBTB,7.74135,0
1992-10-08,NBTB,7.233721,394
1992-10-09,NBTB,7.233721,0
1992-10-12,NBTB,7.233721,0
1992-10-13,NBTB,7.233721,591
1992-10-14,NBTB,7.233721,0
1992-10-15,NBTB,7.233721,0
1992-10-16,NBTB,7.74135,1773
1992-10-19,NBTB,7.233721,985
