ds,symbol,close,volume
1990-03-26,NE,2.9298978238,29700
1990-03-27,NE,2.9298978238,15100
1990-03-28,NE,2.9712610872,32300
1990-03-29,NE,3.0160712892,22200
1990-03-30,NE,2.9712610872,175500
1990-04-02,NE,3.18841822,328100
1990-04-03,NE,3.4883018796,714500
1990-04-04,NE,3.574475345,394000
1990-04-05,NE,3.4883018796,107800
1990-04-06,NE,3.4883018796,36400
1990-04-09,NE,3.4883018796,215100
1990-04-10,NE,3.4055753528,325100
1990-04-11,NE,3.4055753528,215300
1990-04-12,NE,3.4883018796,342500
1990-04-16,NE,3.5331120816,246900
1990-04-17,NE,3.5331120816,434900
1990-04-18,NE,3.574475345,408600
1990-04-19,NE,3.7054590124,204300
1990-04-20,NE,3.574475345,66400
1990-04-23,NE,3.5331120816,80500
1990-04-24,NE,3.574475345,75000
1990-04-25,NE,3.664095749,557600
1990-04-26,NE,3.7502692144,479300
1990-04-27,NE,3.7054590124,121700
1990-04-30,NE,3.619285547,85300
1990-05-01,NE,3.619285547,56300
1990-05-02,NE,3.664095749,282600
1990-05-03,NE,3.664095749,113900
1990-05-04,NE,3.619285547,25400
1990-05-07,NE,3.619285547,54500
1990-05-08,NE,3.664095749,22900
1990-05-09,NE,3.7054590124,591000
1990-05-10,NE,3.7502692144,87400
1990-05-11,NE,3.7916324778,966700
1990-05-14,NE,3.7916324778,283000
1990-05-15,NE,3.8329957412,1165500
1990-05-16,NE,3.8778059432,30000
1990-05-17,NE,3.9639794087,543600
1990-05-18,NE,3.9639794087,33400
1990-05-21,NE,3.9226161453,44600
1990-05-22,NE,3.9639794087,170000
1990-05-23,NE,3.9226161453,57000
1990-05-24,NE,3.9226161453,72500
1990-05-25,NE,3.8329957412,21000
1990-05-29,NE,3.9226161453,44800
1990-05-30,NE,3.8329957412,41600
1990-05-31,NE,3.9226161453,26800
1990-06-01,NE,3.8778059432,42100
1990-06-04,NE,3.9226161453,107500
1990-06-05,NE,3.8778059432,649600
1990-06-06,NE,3.8329957412,197900
1990-06-07,NE,3.8329957412,365200
1990-06-08,NE,3.7916324778,22200
1990-06-11,NE,3.7916324778,51700
1990-06-12,NE,3.7502692144,89000
1990-06-13,NE,3.8329957412,194900
1990-06-14,NE,3.7916324778,19000
1990-06-15,NE,3.7502692144,41000
1990-06-18,NE,3.7054590124,165900
1990-06-19,NE,3.619285547,95000
1990-06-20,NE,3.4469386162,160800
1990-06-21,NE,3.4469386162,51700
1990-06-22,NE,3.3159549488,138700
1990-06-25,NE,3.233228422,72300
1990-06-26,NE,3.3159549488,128600
1990-06-27,NE,3.2745916854,45300
1990-06-28,NE,3.3159549488,55400
1990-06-29,NE,3.3159549488,351900
1990-07-02,NE,3.3159549488,19000
1990-07-03,NE,3.3159549488,22000
1990-07-05,NE,3.3159549488,35200
1990-07-06,NE,3.2745916854,61300
1990-07-09,NE,3.233228422,13500
1990-07-10,NE,3.1470549566,216200
1990-07-11,NE,3.233228422,234700
1990-07-12,NE,3.233228422,35900
1990-07-13,NE,3.18841822,37100
1990-07-16,NE,3.3607651508,51300
1990-07-17,NE,3.2745916854,18300
1990-07-18,NE,3.3607651508,113900
1990-07-19,NE,3.3159549488,57200
1990-07-20,NE,3.4883018796,93100
1990-07-23,NE,3.4469386162,167500
1990-07-24,NE,3.619285547,111900
1990-07-25,NE,3.7916324778,65400
1990-07-26,NE,3.7054590124,134500
1990-07-27,NE,3.664095749,34500
1990-07-30,NE,3.5331120816,31600
1990-07-31,NE,3.619285547,145700
1990-08-01,NE,3.574475345,60600
1990-08-02,NE,3.8778059432,648000
1990-08-03,NE,3.8329957412,437900
1990-08-06,NE,3.7054590124,209100
1990-08-07,NE,3.7054590124,66100
1990-08-08,NE,3.619285547,122000
1990-08-09,NE,3.3607651508,275200
1990-08-10,NE,3.3607651508,175500
1990-08-13,NE,3.3159549488,173000
1990-08-14,NE,3.3607651508,178200
1990-08-15,NE,3.4055753528,245000
1990-08-16,NE,3.4469386162,85300
1990-08-17,NE,3.619285547,127200
1990-08-20,NE,3.664095749,311600
1990-08-21,NE,3.4883018796,157200
