ds,symbol,close,volume
2020-11-19,NGMS,21.87,2749774
2020-11-20,NGMS,20.75,401301
2020-11-23,NGMS,19.94,294358
2020-11-24,NGMS,20.1,493965
2020-11-25,NGMS,20.72,257262
2020-11-27,NGMS,21.54,261016
2020-11-30,NGMS,21.92,240738
2020-12-01,NGMS,23.42,609195
2020-12-02,NGMS,22.75,225353
2020-12-03,NGMS,21.85,268490
2020-12-04,NGMS,21.74,191001
2020-12-07,NGMS,21.59,170574
2020-12-08,NGMS,20.3,165793
2020-12-09,NGMS,20.65,143406
2020-12-10,NGMS,20.1,77924
2020-12-11,NGMS,20.2,138383
2020-12-14,NGMS,21.88,360496
2020-12-15,NGMS,22.14,328645
2020-12-16,NGMS,22.63,298393
2020-12-17,NGMS,24.23,270424
2020-12-18,NGMS,27.25,579545
2020-12-21,NGMS,29.05,420974
2020-12-22,NGMS,30.79,246005
2020-12-23,NGMS,33.5,277498
2020-12-24,NGMS,35.45,234369
2020-12-28,NGMS,35.68,206712
2020-12-29,NGMS,34.46,214049
2020-12-30,NGMS,34.98,117247
2020-12-31,NGMS,37.99,260433
2021-01-04,NGMS,34.63,175155
2021-01-05,NGMS,34.32,56312
2021-01-06,NGMS,34.91,111369
2021-01-07,NGMS,33.0,134634
2021-01-08,NGMS,31.3,195796
2021-01-11,NGMS,31.23,112889
2021-01-12,NGMS,31.33,149708
2021-01-13,NGMS,31.56,60837
2021-01-14,NGMS,32.5,175401
2021-01-15,NGMS,31.95,55939
2021-01-19,NGMS,29.82,286706
2021-01-20,NGMS,29.38,65672
2021-01-21,NGMS,29.58,76176
2021-01-22,NGMS,30.0,87006
2021-01-25,NGMS,29.52,167363
2021-01-26,NGMS,28.95,157130
2021-01-27,NGMS,27.5,96672
2021-01-28,NGMS,28.88,107028
2021-01-29,NGMS,28.93,87844
2021-02-01,NGMS,28.8,120955
2021-02-02,NGMS,27.95,76002
2021-02-03,NGMS,28.79,68835
2021-02-04,NGMS,27.95,152730
2021-02-05,NGMS,29.62,242065
2021-02-08,NGMS,28.86,92572
2021-02-09,NGMS,28.91,141493
2021-02-10,NGMS,29.06,66845
2021-02-11,NGMS,28.1,58449
