ds,symbol,close,volume
2002-10-22,NGS,4.25,32800
2002-10-23,NGS,4.1,35300
2002-10-24,NGS,4.25,18300
2002-10-25,NGS,4.11,14700
2002-10-28,NGS,4.0,21300
2002-10-29,NGS,3.89,16600
2002-10-30,NGS,3.35,29600
2002-10-31,NGS,3.95,17200
2002-11-01,NGS,3.9,11200
2002-11-04,NGS,3.75,12300
2002-11-05,NGS,4.0,16300
2002-11-06,NGS,3.99,12000
2002-11-07,NGS,3.41,17600
2002-11-08,NGS,3.42,30800
2002-11-11,NGS,3.45,4300
2002-11-12,NGS,3.44,5200
2002-11-13,NGS,3.5,18000
2002-11-14,NGS,3.55,28300
2002-11-15,NGS,3.6,4300
2002-11-18,NGS,3.79,20200
2002-11-19,NGS,3.85,4100
2002-11-20,NGS,3.99,7100
2002-11-21,NGS,3.6,10600
2002-11-22,NGS,3.75,6500
2002-11-25,NGS,3.73,5600
2002-11-26,NGS,3.65,4500
2002-11-27,NGS,3.65,4000
2002-11-29,NGS,3.75,2500
2002-12-02,NGS,3.75,0
2002-12-03,NGS,3.65,2100
2002-12-04,NGS,3.6,4700
2002-12-05,NGS,3.55,3700
2002-12-06,NGS,3.65,6000
2002-12-09,NGS,3.6,2300
2002-12-10,NGS,3.5,1500
2002-12-11,NGS,3.53,12100
2002-12-12,NGS,3.54,7100
2002-12-13,NGS,3.46,12100
2002-12-16,NGS,3.4,5600
2002-12-17,NGS,3.39,9400
2002-12-18,NGS,3.4,14300
2002-12-19,NGS,3.44,5600
2002-12-20,NGS,3.41,7800
2002-12-23,NGS,3.4,7000
2002-12-24,NGS,3.47,2200
2002-12-26,NGS,3.6,7700
2002-12-27,NGS,3.76,4800
2002-12-30,NGS,3.8,3300
2002-12-31,NGS,3.88,4500
2003-01-02,NGS,3.75,19300
2003-01-03,NGS,3.9,13500
2003-01-06,NGS,3.95,7700
2003-01-07,NGS,3.96,1300
2003-01-08,NGS,4.01,11000
2003-01-09,NGS,4.25,17900
2003-01-10,NGS,4.28,9200
2003-01-13,NGS,4.2,4800
2003-01-14,NGS,4.2,6200
2003-01-15,NGS,3.95,8300
2003-01-16,NGS,3.95,4100
2003-01-17,NGS,4.0,2100
2003-01-21,NGS,4.1,11600
2003-01-22,NGS,4.15,7800
2003-01-23,NGS,4.2,21800
2003-01-24,NGS,3.99,13300
2003-01-27,NGS,3.95,3400
2003-01-28,NGS,4.1,7200
2003-01-29,NGS,4.0,3000
2003-01-30,NGS,4.01,1600
2003-01-31,NGS,4.0,3300
2003-02-03,NGS,3.94,5400
2003-02-04,NGS,4.0,6600
2003-02-05,NGS,3.96,3500
2003-02-06,NGS,3.89,2700
2003-02-07,NGS,3.9,15100
2003-02-10,NGS,3.9,16300
2003-02-11,NGS,3.97,3500
2003-02-12,NGS,3.91,14600
2003-02-13,NGS,3.88,2900
2003-02-14,NGS,3.84,2300
2003-02-18,NGS,3.85,4400
2003-02-19,NGS,3.85,5100
2003-02-20,NGS,3.85,2200
2003-02-21,NGS,3.8,19100
2003-02-24,NGS,4.05,24200
2003-02-25,NGS,4.03,5000
2003-02-26,NGS,4.1,2700
2003-02-27,NGS,3.95,5000
