ds,symbol,close,volume
2018-09-12,NIO,6.6,66849096
2018-09-13,NIO,11.6,158346599
2018-09-14,NIO,9.9,172507859
2018-09-17,NIO,8.5,56337275
2018-09-18,NIO,7.68,41827694
2018-09-19,NIO,8.5,48306799
2018-09-20,NIO,8.78,40338122
2018-09-21,NIO,8.59,15118496
2018-09-24,NIO,7.87,16298265
2018-09-25,NIO,7.58,18911387
2018-09-26,NIO,7.5,11088563
2018-09-27,NIO,7.01,16815800
2018-09-28,NIO,6.98,21813699
2018-10-01,NIO,6.6,16429320
2018-10-02,NIO,5.93,19440358
2018-10-03,NIO,6.3,13251388
2018-10-04,NIO,6.25,11896726
2018-10-05,NIO,6.26,8379497
2018-10-08,NIO,6.04,11509064
2018-10-09,NIO,7.39,38465054
2018-10-10,NIO,7.75,74972376
2018-10-11,NIO,7.18,22580242
2018-10-12,NIO,7.46,14545639
2018-10-15,NIO,7.82,26789652
2018-10-16,NIO,8.04,17492552
2018-10-17,NIO,7.77,11709596
2018-10-18,NIO,7.5,11906066
2018-10-19,NIO,7.32,7337652
2018-10-22,NIO,7.03,12770097
2018-10-23,NIO,6.81,14901782
2018-10-24,NIO,6.17,14789864
2018-10-25,NIO,6.45,9188799
2018-10-26,NIO,6.35,9459853
2018-10-29,NIO,6.19,16028840
2018-10-30,NIO,5.95,21824105
2018-10-31,NIO,5.9,15213565
2018-11-01,NIO,6.62,24331532
2018-11-02,NIO,6.49,17989405
2018-11-05,NIO,6.68,13189566
2018-11-06,NIO,6.4,49856370
2018-11-07,NIO,6.74,23762772
2018-11-08,NIO,6.69,20511624
2018-11-09,NIO,6.77,12790299
2018-11-12,NIO,6.65,12709275
2018-11-13,NIO,6.78,15374376
2018-11-14,NIO,7.1,29586882
2018-11-15,NIO,7.34,18037462
2018-11-16,NIO,7.19,14972858
2018-11-19,NIO,7.84,49171854
2018-11-20,NIO,7.67,26923312
2018-11-21,NIO,7.71,13993878
2018-11-23,NIO,7.46,8120069
2018-11-26,NIO,7.37,12171202
2018-11-27,NIO,7.48,9085702
2018-11-28,NIO,8.12,22098554
2018-11-29,NIO,7.79,13207763
2018-11-30,NIO,7.71,10994848
2018-12-03,NIO,7.58,22336646
2018-12-04,NIO,7.08,19625325
2018-12-06,NIO,7.37,16688750
2018-12-07,NIO,6.99,11576366
2018-12-10,NIO,7.03,9980961
2018-12-11,NIO,7.08,8096108
2018-12-12,NIO,7.54,16007655
2018-12-13,NIO,7.75,14981795
2018-12-14,NIO,7.7,10774658
2018-12-17,NIO,7.03,18132889
2018-12-18,NIO,7.07,10687762
2018-12-19,NIO,6.83,9299807
2018-12-20,NIO,6.52,12080914
2018-12-21,NIO,6.07,13598768
2018-12-24,NIO,5.92,8840427
2018-12-26,NIO,6.36,9912549
2018-12-27,NIO,6.43,8533894
2018-12-28,NIO,6.47,7996524
2018-12-31,NIO,6.37,8667938
2019-01-02,NIO,6.2,8823695
2019-01-03,NIO,6.05,7563833
2019-01-04,NIO,6.36,9407084
2019-01-07,NIO,6.5,9710346
2019-01-08,NIO,6.4,9604177
2019-01-09,NIO,6.63,11490644
2019-01-10,NIO,6.66,11221716
2019-01-11,NIO,6.59,6903746
2019-01-14,NIO,6.8,19454383
2019-01-15,NIO,6.82,12637007
2019-01-16,NIO,6.71,6941634
2019-01-17,NIO,6.81,8509026
2019-01-18,NIO,6.71,9243057
2019-01-22,NIO,6.57,6379643
2019-01-23,NIO,6.55,5686163
2019-01-24,NIO,6.58,5920637
2019-01-25,NIO,6.65,6727108
2019-01-28,NIO,6.67,5111919
2019-01-29,NIO,6.94,14200597
2019-01-30,NIO,7.46,28775136
2019-01-31,NIO,7.88,21234107
2019-02-01,NIO,7.9,20788892
2019-02-04,NIO,7.85,8588876
2019-02-05,NIO,7.88,9030387
2019-02-06,NIO,8.4,33405146
2019-02-07,NIO,8.04,23078506
2019-02-08,NIO,7.67,21719396
2019-02-11,NIO,7.46,9751033
2019-02-12,NIO,7.44,13264118
2019-02-13,NIO,7.49,10868109
2019-02-14,NIO,7.48,14729284
2019-02-15,NIO,7.41,15620391
2019-02-19,NIO,7.26,9975348
2019-02-20,NIO,7.62,21495828
2019-02-21,NIO,7.64,8060438
2019-02-22,NIO,8.17,26601250
2019-02-25,NIO,9.0,52428349
2019-02-26,NIO,9.79,105947991
2019-02-27,NIO,9.85,53234455
2019-02-28,NIO,9.57,26506214
2019-03-01,NIO,10.06,32409614
2019-03-04,NIO,9.78,43753322
2019-03-05,NIO,10.16,53680923
2019-03-06,NIO,8.01,73522953
2019-03-07,NIO,7.09,52419839
2019-03-08,NIO,7.06,32042185
2019-03-11,NIO,6.59,62549607
2019-03-12,NIO,6.39,41616193
2019-03-13,NIO,6.53,41727327
2019-03-14,NIO,6.03,58983917
2019-03-15,NIO,5.71,85777555
2019-03-18,NIO,5.75,76506318
2019-03-19,NIO,5.96,54509393
2019-03-20,NIO,5.85,39054018
2019-03-21,NIO,5.84,21369141
2019-03-22,NIO,5.62,24956663
2019-03-25,NIO,5.35,38993295
2019-03-26,NIO,4.96,67206468
2019-03-27,NIO,4.98,39753592
2019-03-28,NIO,5.01,29458158
2019-03-29,NIO,5.1,23597824
2019-04-01,NIO,5.21,32405398
2019-04-02,NIO,5.39,55817921
2019-04-03,NIO,5.31,35321409
2019-04-04,NIO,5.35,31697072
2019-04-05,NIO,5.36,18093614
2019-04-08,NIO,5.3,17351602
2019-04-09,NIO,5.08,32591063
2019-04-10,NIO,5.05,25959655
2019-04-11,NIO,5.01,17642576
2019-04-12,NIO,4.99,15561575
2019-04-15,NIO,4.75,27489672
2019-04-16,NIO,4.45,46123109
2019-04-17,NIO,4.59,30546808
2019-04-18,NIO,4.79,31216505
2019-04-22,NIO,4.78,12936802
2019-04-23,NIO,4.83,15107416
2019-04-24,NIO,5.0,20451775
2019-04-25,NIO,4.9,21553379
2019-04-26,NIO,4.92,11891660
2019-04-29,NIO,4.98,15203927
2019-04-30,NIO,4.85,14435885
2019-05-01,NIO,4.68,13308377
2019-05-02,NIO,4.72,14086221
2019-05-03,NIO,5.02,25251280
2019-05-06,NIO,4.88,16144462
2019-05-07,NIO,4.84,11550695
2019-05-08,NIO,4.57,20457376
2019-05-09,NIO,4.6,15759815
2019-05-10,NIO,4.56,17148642
2019-05-13,NIO,4.33,21805273
2019-05-14,NIO,4.67,27928652
2019-05-15,NIO,4.71,14669219
2019-05-16,NIO,4.66,16198066
2019-05-17,NIO,4.42,19775969
2019-05-20,NIO,4.25,23574272
2019-05-21,NIO,4.29,23437101
2019-05-22,NIO,4.05,35461329
2019-05-23,NIO,3.93,27855721
2019-05-24,NIO,3.86,26071920
2019-05-28,NIO,4.0,114475024
2019-05-29,NIO,3.61,41691875
2019-05-30,NIO,3.24,55942443
2019-05-31,NIO,3.05,39391329
2019-06-03,NIO,2.96,51793167
2019-06-04,NIO,3.04,30925222
2019-06-05,NIO,2.83,38180237
2019-06-06,NIO,2.65,54094706
2019-06-07,NIO,2.76,31398349
2019-06-10,NIO,2.63,35989351
2019-06-11,NIO,2.61,33071193
2019-06-12,NIO,2.55,30099608
2019-06-13,NIO,2.52,21963143
2019-06-14,NIO,2.42,27065948
2019-06-17,NIO,2.46,20830918
2019-06-18,NIO,2.53,50204461
2019-06-19,NIO,2.74,43767016
2019-06-20,NIO,2.83,55697554
2019-06-21,NIO,2.64,49602416
2019-06-24,NIO,2.64,22693909
2019-06-25,NIO,2.6,16289853
2019-06-26,NIO,2.55,20679712
2019-06-27,NIO,2.6,27686669
2019-06-28,NIO,2.55,17494369
2019-07-01,NIO,2.6,19541642
2019-07-02,NIO,2.82,35318175
2019-07-03,NIO,3.13,75343526
2019-07-05,NIO,3.26,35924742
2019-07-08,NIO,3.49,40433756
2019-07-09,NIO,3.69,87407347
2019-07-10,NIO,3.68,85166215
2019-07-11,NIO,3.42,57070600
2019-07-12,NIO,3.45,39432219
2019-07-15,NIO,3.39,19833329
2019-07-16,NIO,3.3,25774917
2019-07-17,NIO,3.44,26706969
2019-07-18,NIO,3.43,17653430
2019-07-19,NIO,3.37,13784531
2019-07-22,NIO,3.38,12377050
2019-07-23,NIO,3.46,12462163
2019-07-24,NIO,3.67,38845673
2019-07-25,NIO,3.5,26513342
2019-07-26,NIO,3.51,15606395
2019-07-29,NIO,3.46,25891797
2019-07-30,NIO,3.38,14128799
2019-07-31,NIO,3.47,19917424
2019-08-01,NIO,3.28,28758904
2019-08-02,NIO,3.27,17211440
2019-08-05,NIO,2.95,38736204
2019-08-06,NIO,3.08,23456955
2019-08-07,NIO,3.09,18094444
2019-08-08,NIO,3.17,20999847
2019-08-09,NIO,3.13,10743013
2019-08-12,NIO,3.025,14220474
2019-08-13,NIO,3.15,18693112
2019-08-14,NIO,2.9,28388220
2019-08-15,NIO,2.82,15888975
2019-08-16,NIO,2.95,15992430
2019-08-19,NIO,3.0,13753743
2019-08-20,NIO,3.16,16993591
2019-08-21,NIO,3.05,21749755
2019-08-22,NIO,3.02,12477664
2019-08-23,NIO,2.92,14102391
2019-08-26,NIO,2.9,14412566
2019-08-27,NIO,2.91,20497520
2019-08-28,NIO,2.84,10550558
2019-08-29,NIO,2.85,12483053
2019-08-30,NIO,2.86,8368670
2019-09-03,NIO,2.6,27008599
2019-09-04,NIO,2.75,15376047
2019-09-05,NIO,2.95,23428198
2019-09-06,NIO,2.98,14655684
2019-09-09,NIO,3.14,17529008
2019-09-10,NIO,3.32,20976164
2019-09-11,NIO,3.27,13779843
2019-09-12,NIO,3.19,11070106
2019-09-13,NIO,3.21,8445637
2019-09-16,NIO,3.12,12488242
2019-09-17,NIO,3.18,13072514
2019-09-18,NIO,3.08,12719905
2019-09-19,NIO,3.1,8981863
2019-09-20,NIO,3.04,12118391
2019-09-23,NIO,2.72,40779250
2019-09-24,NIO,2.17,124548423
2019-09-25,NIO,2.05,39723601
2019-09-26,NIO,1.96,53261841
