ds,symbol,close,volume
2014-03-07,NLTX,11.95,2166200.0
2014-03-10,NLTX,12.45,181100.0
2014-03-11,NLTX,12.99,171500.0
2014-03-12,NLTX,14.0,186200.0
2014-03-13,NLTX,13.75,116200.0
2014-03-14,NLTX,13.49,90200.0
2014-03-17,NLTX,13.02,260700.0
2014-03-18,NLTX,12.99,128300.0
2014-03-19,NLTX,12.85,46600.0
2014-03-20,NLTX,12.78,24600.0
2014-03-21,NLTX,12.23,55600.0
2014-03-24,NLTX,12.05,55600.0
2014-03-25,NLTX,12.3,45900.0
2014-03-26,NLTX,12.93,162300.0
2014-03-27,NLTX,13.12,63700.0
2014-03-28,NLTX,12.87,25800.0
2014-03-31,NLTX,12.73,35100.0
2014-04-01,NLTX,12.38,89100.0
2014-04-02,NLTX,12.2,29700.0
2014-04-03,NLTX,11.97,74900.0
2014-04-04,NLTX,11.69,20100.0
2014-04-07,NLTX,9.9,74700.0
2014-04-08,NLTX,9.32,48000.0
2014-04-09,NLTX,9.36,54800.0
2014-04-10,NLTX,9.07,9500.0
2014-04-11,NLTX,9.07,24100.0
2014-04-14,NLTX,9.25,26600.0
2014-04-15,NLTX,9.04,16500.0
2014-04-16,NLTX,8.85,31600.0
2014-04-17,NLTX,8.72,15600.0
2014-04-21,NLTX,8.76,25100.0
2014-04-22,NLTX,9.25,29800.0
2014-04-23,NLTX,8.9,47500.0
2014-04-24,NLTX,8.9,11300.0
2014-04-25,NLTX,8.6,20600.0
2014-04-28,NLTX,8.44,48300.0
2014-04-29,NLTX,8.42,8700.0
2014-04-30,NLTX,9.13,36600.0
2014-05-01,NLTX,9.4,9500.0
2014-05-02,NLTX,9.61,40400.0
2014-05-05,NLTX,10.13,11100.0
2014-05-06,NLTX,10.56,12700.0
2014-05-07,NLTX,10.35,7500.0
2014-05-08,NLTX,10.1,8000.0
2014-05-09,NLTX,9.97,8900.0
2014-05-12,NLTX,10.0,7000.0
2014-05-13,NLTX,9.95,5100.0
2014-05-14,NLTX,9.73,5600.0
2014-05-15,NLTX,9.73,1200.0
2014-05-16,NLTX,10.23,10200.0
2014-05-19,NLTX,10.22,10800.0
2014-05-20,NLTX,10.15,5400.0
2014-05-21,NLTX,9.88,7100.0
2014-05-22,NLTX,9.15,36500.0
2014-05-23,NLTX,8.91,5500.0
2014-05-27,NLTX,8.94,34000.0
2014-05-28,NLTX,8.99,2000.0
2014-05-29,NLTX,8.99,6600.0
2014-05-30,NLTX,8.89,4200.0
2014-06-02,NLTX,9.74,9200.0
2014-06-03,NLTX,9.7,6600.0
2014-06-04,NLTX,9.59,9700.0
2014-06-05,NLTX,9.67,7600.0
2014-06-06,NLTX,9.46,9200.0
2014-06-09,NLTX,9.38,28000.0
2014-06-10,NLTX,9.41,8200.0
2014-06-11,NLTX,9.67,5600.0
2014-06-12,NLTX,9.63,22600.0
2014-06-13,NLTX,9.72,16800.0
2014-06-16,NLTX,10.19,20000.0
2014-06-17,NLTX,10.51,15300.0
2014-06-18,NLTX,10.9,20300.0
2014-06-19,NLTX,10.73,16600.0
2014-06-20,NLTX,9.11,81200.0
2014-06-23,NLTX,9.04,39900.0
2014-06-24,NLTX,9.08,10600.0
2014-06-25,NLTX,9.26,9300.0
2014-06-26,NLTX,9.2,2300.0
2014-06-27,NLTX,9.17,4900.0
2014-06-30,NLTX,9.43,4900.0
2014-07-01,NLTX,9.03,19200.0
2014-07-02,NLTX,9.0999,9200.0
2014-07-03,NLTX,9.1,9600.0
2014-07-07,NLTX,9.19,5500.0
2014-07-08,NLTX,9.1,5800.0
2014-07-09,NLTX,9.1,5600.0
2014-07-10,NLTX,8.8901,8600.0
2014-07-11,NLTX,8.89,700.0
2014-07-14,NLTX,8.89,1500.0
2014-07-15,NLTX,8.47,30900.0
2014-07-16,NLTX,8.45,11200.0
2014-07-17,NLTX,8.15,106500.0
2014-07-18,NLTX,8.3,13900.0
2014-07-21,NLTX,8.11,7400.0
2014-07-22,NLTX,8.07,29500.0
2014-07-23,NLTX,8.01,8000.0
2014-07-24,NLTX,8.0,7200.0
2014-07-25,NLTX,8.0,5400.0
2014-07-28,NLTX,7.85,7400.0
2014-07-29,NLTX,7.9,3400.0
2014-07-30,NLTX,7.76,1500.0
2014-07-31,NLTX,7.74,4000.0
2014-08-01,NLTX,7.3699,14200.0
2014-08-04,NLTX,7.739,9600.0
2014-08-05,NLTX,7.74,11600.0
2014-08-06,NLTX,7.73,5700.0
2014-08-07,NLTX,7.5,15400.0
2014-08-08,NLTX,7.4,20900.0
2014-08-11,NLTX,7.56,4200.0
2014-08-12,NLTX,7.36,13000.0
2014-08-13,NLTX,7.32,9900.0
2014-08-14,NLTX,7.33,17900.0
2014-08-15,NLTX,6.87,45400.0
2014-08-18,NLTX,6.7,22600.0
2014-08-19,NLTX,6.58,28900.0
2014-08-20,NLTX,6.55,86300.0
2014-08-21,NLTX,6.54,30400.0
2014-08-22,NLTX,6.42,44100.0
2014-08-25,NLTX,6.29,54600.0
2014-08-26,NLTX,6.48,73800.0
2014-08-27,NLTX,7.07,68300.0
2014-08-28,NLTX,7.64,76200.0
2014-08-29,NLTX,8.21,52300.0
2014-09-02,NLTX,8.25,65500.0
2014-09-03,NLTX,8.14,63200.0
