ds,symbol,close,volume
2011-05-20,NMFC,13.0,3647471.0
2011-05-23,NMFC,12.93,391822.0
2011-05-24,NMFC,13.02,192904.0
2011-05-25,NMFC,13.0,165596.0
2011-05-26,NMFC,13.15,219898.0
2011-05-27,NMFC,13.16,98804.0
2011-05-31,NMFC,13.12,328116.0
2011-06-01,NMFC,13.18,75075.0
2011-06-02,NMFC,13.18,72115.0
2011-06-03,NMFC,13.28,34958.0
2011-06-06,NMFC,13.35,47829.0
2011-06-07,NMFC,13.29,49995.0
2011-06-08,NMFC,13.32,76769.0
2011-06-09,NMFC,13.55,44300.0
2011-06-10,NMFC,13.2,422644.0
2011-06-13,NMFC,13.25,90427.0
2011-06-14,NMFC,13.16,144180.0
2011-06-15,NMFC,13.01,226482.0
2011-06-16,NMFC,13.03,48837.0
2011-06-17,NMFC,12.9,61757.0
2011-06-20,NMFC,12.72,86685.0
2011-06-21,NMFC,12.62,56840.0
2011-06-22,NMFC,12.35,169897.0
2011-06-23,NMFC,12.53,130036.0
2011-06-24,NMFC,12.59,823220.0
2011-06-27,NMFC,12.79,92418.0
2011-06-28,NMFC,12.77,151339.0
2011-06-29,NMFC,12.82,63686.0
2011-06-30,NMFC,12.7,59921.0
2011-07-01,NMFC,12.99,50567.0
2011-07-05,NMFC,13.03,22412.0
2011-07-06,NMFC,12.95,206235.0
2011-07-07,NMFC,13.11,58602.0
2011-07-08,NMFC,13.35,62453.0
2011-07-11,NMFC,13.09,52764.0
2011-07-12,NMFC,13.05,13259.0
2011-07-13,NMFC,13.21,41894.0
2011-07-14,NMFC,13.13,31455.0
2011-07-15,NMFC,13.37,43585.0
2011-07-18,NMFC,13.08,20682.0
2011-07-19,NMFC,13.04,26863.0
2011-07-20,NMFC,13.0,27873.0
2011-07-21,NMFC,13.02,41872.0
2011-07-22,NMFC,12.8,46955.0
2011-07-25,NMFC,12.59,32866.0
2011-07-26,NMFC,12.52,42108.0
2011-07-27,NMFC,12.58,43648.0
2011-07-28,NMFC,12.51,22401.0
2011-07-29,NMFC,12.21,108872.0
2011-08-01,NMFC,12.51,19877.0
2011-08-02,NMFC,12.49,29381.0
2011-08-03,NMFC,12.52,84804.0
2011-08-04,NMFC,12.1,119646.0
2011-08-05,NMFC,12.25,95430.0
2011-08-08,NMFC,11.2,77367.0
2011-08-09,NMFC,11.11,108403.0
2011-08-10,NMFC,10.77,98216.0
2011-08-11,NMFC,11.82,53255.0
2011-08-12,NMFC,11.76,46718.0
2011-08-15,NMFC,11.97,59661.0
2011-08-16,NMFC,12.69,112244.0
2011-08-17,NMFC,12.78,61696.0
2011-08-18,NMFC,11.97,69901.0
2011-08-19,NMFC,12.11,20114.0
2011-08-22,NMFC,11.61,70988.0
2011-08-23,NMFC,12.1,59739.0
2011-08-24,NMFC,12.53,43638.0
2011-08-25,NMFC,12.06,93347.0
2011-08-26,NMFC,11.93,100782.0
2011-08-29,NMFC,12.0,45872.0
2011-08-30,NMFC,12.33,30667.0
2011-08-31,NMFC,12.69,51293.0
2011-09-01,NMFC,13.0,112090.0
2011-09-02,NMFC,12.24,30971.0
2011-09-06,NMFC,12.58,36930.0
2011-09-07,NMFC,12.6,52953.0
2011-09-08,NMFC,12.58,18934.0
2011-09-09,NMFC,12.78,68852.0
2011-09-12,NMFC,12.73,23293.0
2011-09-13,NMFC,12.64,20313.0
2011-09-14,NMFC,12.73,32589.0
2011-09-15,NMFC,12.7,27316.0
2011-09-16,NMFC,12.21,72068.0
2011-09-19,NMFC,12.65,37456.0
2011-09-20,NMFC,12.75,76211.0
2011-09-21,NMFC,12.76,117217.0
