ds,symbol,close,volume
1994-03-15,NNBR,7.111111,3367800
1994-03-16,NNBR,7.222222,810450
1994-03-17,NNBR,7.222222,428175
1994-03-18,NNBR,7.111111,336375
1994-03-21,NNBR,6.888889,212625
1994-03-22,NNBR,7.0,232425
1994-03-23,NNBR,7.111111,95400
1994-03-24,NNBR,6.888889,95625
1994-03-25,NNBR,6.888889,124200
1994-03-28,NNBR,7.111111,99900
1994-03-29,NNBR,6.888889,312300
1994-03-30,NNBR,6.833333,154800
1994-03-31,NNBR,6.666667,509175
1994-04-04,NNBR,6.388889,168075
1994-04-05,NNBR,6.444444,223425
1994-04-06,NNBR,6.555556,14625
1994-04-07,NNBR,6.888889,4950
1994-04-08,NNBR,6.888889,21825
1994-04-11,NNBR,7.333333,42075
1994-04-12,NNBR,7.0,206100
1994-04-13,NNBR,7.111111,84825
1994-04-14,NNBR,7.777778,153450
1994-04-15,NNBR,7.444444,25650
1994-04-18,NNBR,7.777778,72225
1994-04-19,NNBR,7.666667,350100
1994-04-20,NNBR,7.222222,478800
1994-04-21,NNBR,7.333333,116325
1994-04-22,NNBR,7.277778,110475
1994-04-25,NNBR,7.333333,136800
1994-04-26,NNBR,7.333333,9225
1994-04-28,NNBR,7.222222,12600
1994-04-29,NNBR,7.166667,51975
1994-05-02,NNBR,7.222222,126000
1994-05-03,NNBR,7.333333,12825
1994-05-04,NNBR,7.222222,57375
1994-05-05,NNBR,7.444444,54675
1994-05-06,NNBR,7.444444,30150
1994-05-09,NNBR,7.611111,98550
1994-05-10,NNBR,7.666667,56700
1994-05-11,NNBR,7.666667,44775
1994-05-12,NNBR,7.777778,30375
1994-05-13,NNBR,7.666667,68850
1994-05-16,NNBR,7.444444,86850
1994-05-17,NNBR,7.444444,55575
1994-05-18,NNBR,7.388889,137250
1994-05-19,NNBR,7.333333,9225
1994-05-20,NNBR,7.611111,45675
1994-05-23,NNBR,7.777778,45000
1994-05-24,NNBR,7.444444,36900
1994-05-25,NNBR,7.444444,36450
1994-05-26,NNBR,7.444444,35100
1994-05-27,NNBR,7.444444,2250
1994-05-31,NNBR,7.222222,61650
1994-06-01,NNBR,7.0,10800
1994-06-02,NNBR,7.222222,13050
1994-06-03,NNBR,7.0,9900
1994-06-06,NNBR,7.666667,66825
1994-06-07,NNBR,7.444444,49050
1994-06-08,NNBR,7.444444,7650
1994-06-09,NNBR,7.666667,29925
1994-06-10,NNBR,7.666667,45225
1994-06-13,NNBR,7.666667,153900
1994-06-14,NNBR,7.611111,107775
1994-06-15,NNBR,7.666667,130050
1994-06-16,NNBR,7.666667,12375
1994-06-17,NNBR,8.0,6750
1994-06-20,NNBR,7.666667,1575
1994-06-21,NNBR,7.666667,30150
1994-06-22,NNBR,8.0,6750
1994-06-23,NNBR,7.930556,2025
1994-06-24,NNBR,7.666667,40725
1994-06-27,NNBR,7.777778,39600
