ds,symbol,close,volume
1990-01-02,NOC,8.1315,195683
1990-01-03,NOC,8.1315,146763
1990-01-04,NOC,8.075031,85445
1990-01-05,NOC,8.1315,39181
1990-01-08,NOC,8.357375,296624
1990-01-09,NOC,8.075031,46486
1990-01-10,NOC,8.018563,139015
1990-01-11,NOC,8.1315,116436
1990-01-12,NOC,7.962094,183730
1990-01-15,NOC,8.1315,77476
1990-01-16,NOC,8.187969,45379
1990-01-17,NOC,7.962094,269175
1990-01-18,NOC,8.1315,70393
1990-01-19,NOC,8.244438,175761
1990-01-22,NOC,7.849156,240841
1990-01-23,NOC,8.018563,237299
1990-01-24,NOC,7.962094,338240
1990-01-25,NOC,7.905625,171998
1990-01-26,NOC,8.1315,233536
1990-01-29,NOC,8.018563,309463
1990-01-30,NOC,8.300906,234422
1990-01-31,NOC,8.187969,102712
1990-02-01,NOC,8.075031,16159
1990-02-02,NOC,7.962094,63309
1990-02-05,NOC,7.905625,92086
1990-02-06,NOC,7.67975,448257
1990-02-07,NOC,7.905625,384947
1990-02-08,NOC,7.962094,245711
1990-02-09,NOC,8.018563,349308
1990-02-12,NOC,8.075031,372330
1990-02-13,NOC,8.075031,335584
1990-02-14,NOC,7.962094,615827
1990-02-15,NOC,7.962094,117764
1990-02-16,NOC,7.905625,199889
1990-02-20,NOC,7.67975,929275
1990-02-21,NOC,7.67975,192363
1990-02-22,NOC,7.453875,1786829
1990-02-23,NOC,7.340938,339347
1990-02-26,NOC,7.058594,624903
1990-02-27,NOC,7.115063,249917
1990-02-28,NOC,7.284469,120421
1990-03-01,NOC,7.340938,320089
1990-03-02,NOC,7.340938,338904
1990-03-05,NOC,7.340938,321638
1990-03-06,NOC,7.67975,242169
1990-03-07,NOC,7.67975,145213
1990-03-08,NOC,7.962094,177089
1990-03-09,NOC,7.736219,548312
1990-03-12,NOC,7.736219,36967
1990-03-13,NOC,7.623281,54898
1990-03-14,NOC,7.623281,241284
1990-03-15,NOC,7.67975,254566
1990-03-16,NOC,7.510344,388046
1990-03-19,NOC,7.228,174654
1990-03-20,NOC,7.171531,329607
1990-03-21,NOC,7.228,210736
1990-03-22,NOC,7.397406,67958
1990-03-23,NOC,7.171531,531046
1990-03-26,NOC,7.115063,84560
1990-03-27,NOC,6.945656,93193
1990-03-28,NOC,6.77625,123520
1990-03-29,NOC,6.719781,107582
1990-03-30,NOC,6.663313,363254
1990-04-02,NOC,6.663313,323409
1990-04-03,NOC,6.77625,1248035
1990-04-04,NOC,6.77625,991478
1990-04-05,NOC,7.058594,833204
1990-04-06,NOC,7.340938,340232
1990-04-09,NOC,7.566813,691090
1990-04-10,NOC,7.67975,346431
1990-04-11,NOC,7.736219,228666
1990-04-12,NOC,7.510344,187050
1990-04-16,NOC,7.397406,303708
1990-04-17,NOC,7.566813,124184
1990-04-18,NOC,7.566813,378307
1990-04-19,NOC,7.453875,144106
1990-04-20,NOC,7.623281,467958
1990-04-23,NOC,7.284469,847814
1990-04-24,NOC,7.058594,186608
1990-04-25,NOC,7.228,465302
1990-04-26,NOC,7.115063,192806
1990-04-27,NOC,6.889188,473492
1990-04-30,NOC,6.945656,125512
1990-05-01,NOC,7.002125,225567
1990-05-02,NOC,7.058594,121306
1990-05-03,NOC,7.340938,132153
1990-05-04,NOC,7.566813,263641
1990-05-07,NOC,7.736219,921749
1990-05-08,NOC,7.792688,371666
1990-05-09,NOC,7.905625,1196458
1990-05-10,NOC,7.849156,371223
1990-05-11,NOC,8.018563,588600
1990-05-14,NOC,7.905625,199668
1990-05-15,NOC,7.849156,227559
1990-05-16,NOC,7.905625,122856
1990-05-17,NOC,7.849156,335805
1990-05-18,NOC,8.187969,59546
1990-05-21,NOC,8.1315,400664
1990-05-22,NOC,7.962094,286884
1990-05-23,NOC,8.018563,63088
1990-05-24,NOC,8.018563,298395
1990-05-25,NOC,7.905625,128168
1990-05-29,NOC,8.187969,489873
1990-05-30,NOC,8.018563,147869
1990-05-31,NOC,8.075031,75042
1990-06-01,NOC,8.018563,102712
1990-06-04,NOC,8.018563,66408
1990-06-05,NOC,8.018563,1122524
1990-06-06,NOC,8.1315,137244
1990-06-07,NOC,8.075031,111345
1990-06-08,NOC,7.962094,200996
1990-06-11,NOC,8.075031,129275
1990-06-12,NOC,8.187969,229773
1990-06-13,NOC,8.300906,296182
1990-06-14,NOC,8.752656,248810
1990-06-15,NOC,8.526781,548312
1990-06-18,NOC,8.526781,230659
1990-06-19,NOC,8.865594,274709
1990-06-20,NOC,8.922063,528611
1990-06-21,NOC,8.922063,337797
1990-06-22,NOC,8.526781,448700
1990-06-25,NOC,8.1315,463752
1990-06-26,NOC,8.244438,201882
1990-06-27,NOC,8.357375,235307
1990-06-28,NOC,8.526781,106918
1990-06-29,NOC,8.357375,61760
1990-07-02,NOC,8.244438,264970
1990-07-03,NOC,8.357375,155396
1990-07-05,NOC,8.018563,216049
1990-07-06,NOC,8.075031,191699
1990-07-09,NOC,8.075031,64638
1990-07-10,NOC,8.075031,204095
1990-07-11,NOC,8.187969,575982
1990-07-12,NOC,8.187969,77034
1990-07-13,NOC,8.1315,319424
1990-07-16,NOC,8.244438,119757
1990-07-17,NOC,8.1315,199004
1990-07-18,NOC,8.413844,278030
1990-07-19,NOC,8.1315,145434
1990-07-20,NOC,8.075031,198783
1990-07-23,NOC,7.67975,238628
1990-07-24,NOC,7.67975,177310
1990-07-25,NOC,7.397406,282014
1990-07-26,NOC,7.002125,283564
1990-07-27,NOC,6.380969,442280
1990-07-30,NOC,6.380969,591478
1990-07-31,NOC,6.493906,178417
1990-08-01,NOC,6.437438,309242
1990-08-02,NOC,6.606844,699059
1990-08-03,NOC,6.832719,504040
1990-08-06,NOC,6.945656,896735
1990-08-07,NOC,6.945656,338462
1990-08-08,NOC,6.889188,563807
1990-08-09,NOC,6.77625,284892
1990-08-10,NOC,6.663313,121970
1990-08-13,NOC,6.663313,393359
1990-08-14,NOC,6.77625,121970
1990-08-15,NOC,6.77625,299723
1990-08-16,NOC,6.719781,168677
1990-08-17,NOC,6.832719,172662
1990-08-20,NOC,7.115063,761704
1990-08-21,NOC,7.228,494300
1990-08-22,NOC,7.453875,554953
1990-08-23,NOC,7.397406,330050
1990-08-24,NOC,7.453875,271832
1990-08-27,NOC,7.340938,257222
1990-08-28,NOC,7.284469,235086
1990-08-29,NOC,7.67975,230216
1990-08-30,NOC,7.566813,169341
1990-08-31,NOC,7.566813,222247
1990-09-04,NOC,7.67975,270061
1990-09-05,NOC,7.736219,307028
1990-09-06,NOC,7.453875,201439
1990-09-07,NOC,7.566813,108688
1990-09-10,NOC,7.566813,142557
1990-09-11,NOC,7.792688,164914
1990-09-12,NOC,7.792688,310349
1990-09-13,NOC,7.792688,481461
1990-09-14,NOC,7.566813,197676
1990-09-17,NOC,7.453875,340454
1990-09-18,NOC,7.397406,232651
1990-09-19,NOC,7.453875,196348
1990-09-20,NOC,7.284469,309463
1990-09-21,NOC,7.284469,148312
1990-09-24,NOC,7.171531,139458
1990-09-25,NOC,7.171531,203652
1990-09-26,NOC,7.115063,107582
1990-09-27,NOC,7.171531,39845
1990-09-28,NOC,7.002125,290205
1990-10-01,NOC,7.397406,131489
1990-10-02,NOC,7.510344,213171
1990-10-03,NOC,7.453875,140786
1990-10-04,NOC,7.623281,238628
1990-10-05,NOC,7.510344,356613
1990-10-08,NOC,7.623281,120421
1990-10-09,NOC,7.397406,74820
1990-10-10,NOC,7.228,409519
1990-10-11,NOC,7.171531,344438
1990-10-12,NOC,7.171531,321859
1990-10-15,NOC,6.945656,293525
1990-10-16,NOC,6.77625,594355
1990-10-17,NOC,6.832719,284228
1990-10-18,NOC,7.115063,415053
1990-10-19,NOC,7.340938,292197
1990-10-22,NOC,7.284469,444715
1990-10-23,NOC,7.171531,413503
1990-10-24,NOC,7.058594,108467
1990-10-25,NOC,7.002125,313890
1990-10-26,NOC,6.945656,250360
1990-10-29,NOC,6.832719,184615
1990-10-30,NOC,6.832719,264084
1990-10-31,NOC,6.719781,70393
1990-11-01,NOC,6.832719,861538
1990-11-02,NOC,6.77625,581516
