ds,symbol,close,volume
2021-04-22,NPCE,24.96,4141269
2021-04-23,NPCE,25.44,547773
2021-04-26,NPCE,26.2,217999
2021-04-27,NPCE,26.5,334091
2021-04-28,NPCE,25.63,180826
2021-04-29,NPCE,24.85,199159
2021-04-30,NPCE,24.16,147483
2021-05-03,NPCE,23.26,116176
2021-05-04,NPCE,21.39,330339
2021-05-05,NPCE,22.95,186089
2021-05-06,NPCE,21.01,162312
2021-05-07,NPCE,21.15,106429
2021-05-10,NPCE,19.98,218526
2021-05-11,NPCE,20.47,261864
2021-05-12,NPCE,20.12,125619
2021-05-13,NPCE,19.03,320136
2021-05-14,NPCE,20.91,233311
2021-05-17,NPCE,21.72,87455
2021-05-18,NPCE,25.11,76710
2021-05-19,NPCE,23.56,148275
2021-05-20,NPCE,22.73,172146
2021-05-21,NPCE,22.67,55766
2021-05-24,NPCE,22.0,69121
2021-05-25,NPCE,21.67,38365
2021-05-26,NPCE,21.64,23325
2021-05-27,NPCE,22.0,87584
2021-05-28,NPCE,22.93,58878
2021-06-01,NPCE,23.16,97642
2021-06-02,NPCE,22.49,58360
2021-06-03,NPCE,21.67,85803
2021-06-04,NPCE,22.66,41953
2021-06-07,NPCE,23.56,94619
2021-06-08,NPCE,24.45,89852
2021-06-09,NPCE,24.76,55606
2021-06-10,NPCE,24.96,30032
2021-06-11,NPCE,24.25,64493
2021-06-14,NPCE,24.17,82459
2021-06-15,NPCE,24.41,88381
2021-06-16,NPCE,22.7,324954
2021-06-17,NPCE,24.07,217069
2021-06-18,NPCE,23.78,400230
2021-06-21,NPCE,24.49,187238
2021-06-22,NPCE,24.8,94195
2021-06-23,NPCE,24.86,94306
2021-06-24,NPCE,24.36,84173
2021-06-25,NPCE,23.23,801459
2021-06-28,NPCE,23.15,133734
2021-06-29,NPCE,23.46,84572
2021-06-30,NPCE,23.79,74460
2021-07-01,NPCE,24.33,53152
2021-07-02,NPCE,22.99,214217
2021-07-06,NPCE,22.37,80683
2021-07-07,NPCE,22.03,37002
2021-07-08,NPCE,21.43,22573
2021-07-09,NPCE,21.5,26677
2021-07-12,NPCE,23.48,76194
2021-07-13,NPCE,25.07,90568
