ds,symbol,close,volume
1990-01-02,NSC,13.916667,803700
1990-01-03,NSC,13.458333,830700
1990-01-04,NSC,13.666667,1026600
1990-01-05,NSC,13.416667,1161000
1990-01-08,NSC,13.416667,721500
1990-01-09,NSC,13.166667,582900
1990-01-10,NSC,13.166667,811800
1990-01-11,NSC,13.125,296100
1990-01-12,NSC,12.666667,1132800
1990-01-15,NSC,12.5,782700
1990-01-16,NSC,12.791667,856200
1990-01-17,NSC,12.416667,745200
1990-01-18,NSC,12.666667,795600
1990-01-19,NSC,12.875,805200
1990-01-22,NSC,12.541667,809100
1990-01-23,NSC,12.458333,988500
1990-01-24,NSC,12.375,861000
1990-01-25,NSC,12.25,835200
1990-01-26,NSC,12.25,1068600
1990-01-29,NSC,12.125,1029000
1990-01-30,NSC,11.916667,1065300
1990-01-31,NSC,12.208333,671400
1990-02-01,NSC,12.083333,500100
1990-02-02,NSC,12.166667,564000
1990-02-05,NSC,12.208333,413700
1990-02-06,NSC,12.083333,874800
1990-02-07,NSC,12.291667,602100
1990-02-08,NSC,12.291667,417300
1990-02-09,NSC,12.5,534000
1990-02-12,NSC,12.291667,630600
1990-02-13,NSC,12.333333,587700
1990-02-14,NSC,12.375,1006800
1990-02-15,NSC,12.333333,717000
1990-02-16,NSC,12.25,790200
1990-02-20,NSC,12.083333,736500
1990-02-21,NSC,12.166667,550200
1990-02-22,NSC,12.041667,887400
1990-02-23,NSC,12.041667,630000
1990-02-26,NSC,12.125,668400
1990-02-27,NSC,12.333333,912600
1990-02-28,NSC,12.541667,786300
1990-03-01,NSC,12.75,905400
1990-03-02,NSC,12.791667,825300
1990-03-05,NSC,12.583333,625800
1990-03-06,NSC,12.583333,725100
1990-03-07,NSC,12.333333,988800
1990-03-08,NSC,12.458333,720000
1990-03-09,NSC,12.458333,465600
1990-03-12,NSC,12.583333,518700
1990-03-13,NSC,12.5,607500
1990-03-14,NSC,12.5,412200
1990-03-15,NSC,12.583333,729600
1990-03-16,NSC,12.458333,1159800
1990-03-19,NSC,12.541667,422400
1990-03-20,NSC,12.708333,568800
1990-03-21,NSC,12.625,773400
1990-03-22,NSC,12.458333,571200
1990-03-23,NSC,12.375,542400
1990-03-26,NSC,12.666667,571500
1990-03-27,NSC,13.083333,659100
1990-03-28,NSC,13.291667,1354500
1990-03-29,NSC,13.208333,934200
1990-03-30,NSC,13.208333,573300
1990-04-02,NSC,13.166667,715200
1990-04-03,NSC,13.166667,1233900
1990-04-04,NSC,13.083333,523800
1990-04-05,NSC,13.083333,367200
1990-04-06,NSC,13.041667,675000
1990-04-09,NSC,13.0,335400
1990-04-10,NSC,12.958333,517800
1990-04-11,NSC,12.958333,528000
1990-04-12,NSC,12.958333,541200
1990-04-16,NSC,13.041667,1086300
1990-04-17,NSC,12.916667,382800
1990-04-18,NSC,12.875,750000
1990-04-19,NSC,12.541667,863400
1990-04-20,NSC,12.666667,808800
1990-04-23,NSC,12.416667,880800
1990-04-24,NSC,12.5,391200
1990-04-25,NSC,12.583333,644400
1990-04-26,NSC,12.666667,822600
1990-04-27,NSC,12.666667,627300
1990-04-30,NSC,12.541667,395100
1990-05-01,NSC,12.583333,831300
1990-05-02,NSC,12.75,1765500
1990-05-03,NSC,12.833333,459300
1990-05-04,NSC,12.833333,1252800
1990-05-07,NSC,12.958333,585000
1990-05-08,NSC,12.958333,488400
1990-05-09,NSC,13.166667,360900
1990-05-10,NSC,13.208333,466200
1990-05-11,NSC,13.416667,701700
1990-05-14,NSC,13.75,1526100
1990-05-15,NSC,13.75,569700
1990-05-16,NSC,13.875,737100
1990-05-17,NSC,13.916667,1390200
1990-05-18,NSC,14.0,2364900
1990-05-21,NSC,13.875,707400
1990-05-22,NSC,13.916667,609600
1990-05-23,NSC,13.916667,561000
1990-05-24,NSC,13.916667,573300
1990-05-25,NSC,13.75,346800
1990-05-29,NSC,13.75,684300
1990-05-30,NSC,13.75,1591200
1990-05-31,NSC,13.75,638700
1990-06-01,NSC,13.833333,623700
1990-06-04,NSC,13.875,723600
1990-06-05,NSC,14.083333,1981800
1990-06-06,NSC,14.541667,1917900
1990-06-07,NSC,14.291667,1653300
1990-06-08,NSC,14.333333,1243500
1990-06-11,NSC,14.291667,435900
1990-06-12,NSC,14.416667,663000
1990-06-13,NSC,14.25,606900
1990-06-14,NSC,14.416667,356400
1990-06-15,NSC,14.25,1209000
1990-06-18,NSC,14.208333,708000
1990-06-19,NSC,14.416667,489000
1990-06-20,NSC,14.458333,639300
1990-06-21,NSC,14.75,608700
1990-06-22,NSC,14.791667,1960500
1990-06-25,NSC,14.416667,2176500
1990-06-26,NSC,14.208333,1024200
1990-06-27,NSC,14.375,1104300
1990-06-28,NSC,14.416667,746400
1990-06-29,NSC,14.291667,890100
1990-07-02,NSC,14.333333,272100
1990-07-03,NSC,14.291667,1209300
1990-07-05,NSC,14.25,891300
1990-07-06,NSC,14.291667,663000
1990-07-09,NSC,14.375,1145700
1990-07-10,NSC,14.333333,1058400
1990-07-11,NSC,14.583333,635100
1990-07-12,NSC,14.958333,711000
1990-07-13,NSC,15.041667,2336700
1990-07-16,NSC,15.166667,686100
1990-07-17,NSC,15.208333,1143300
1990-07-18,NSC,15.083333,808200
1990-07-19,NSC,15.416667,905700
1990-07-20,NSC,14.916667,2275500
1990-07-23,NSC,14.833333,1011300
1990-07-24,NSC,14.958333,625200
1990-07-25,NSC,14.958333,648900
1990-07-26,NSC,15.041667,968400
1990-07-27,NSC,14.833333,1799100
1990-07-30,NSC,14.625,858300
1990-07-31,NSC,14.541667,863400
1990-08-01,NSC,14.375,812400
1990-08-02,NSC,14.125,776700
1990-08-03,NSC,13.333333,1768500
1990-08-06,NSC,12.875,1594500
1990-08-07,NSC,12.875,1154700
1990-08-08,NSC,12.916667,1008900
1990-08-09,NSC,13.208333,851700
1990-08-10,NSC,12.958333,589200
1990-08-13,NSC,12.958333,593700
1990-08-14,NSC,13.166667,795000
1990-08-15,NSC,13.291667,840000
1990-08-16,NSC,12.916667,493800
1990-08-17,NSC,12.708333,1373700
1990-08-20,NSC,12.791667,772800
1990-08-21,NSC,12.75,824400
1990-08-22,NSC,12.375,1090800
1990-08-23,NSC,12.125,613800
1990-08-24,NSC,12.041667,1196100
1990-08-27,NSC,12.916667,1361700
1990-08-28,NSC,13.0,1317000
1990-08-29,NSC,13.208333,523500
1990-08-30,NSC,13.125,936000
1990-08-31,NSC,13.291667,331500
1990-09-04,NSC,13.291667,410700
1990-09-05,NSC,13.291667,768900
1990-09-06,NSC,13.458333,654900
1990-09-07,NSC,13.416667,451200
1990-09-10,NSC,13.416667,480000
1990-09-11,NSC,13.416667,378900
1990-09-12,NSC,13.25,1004100
1990-09-13,NSC,13.0,861900
1990-09-14,NSC,12.75,567300
1990-09-17,NSC,12.666667,753900
1990-09-18,NSC,12.916667,755400
1990-09-19,NSC,12.75,725400
1990-09-20,NSC,12.708333,694800
1990-09-21,NSC,12.75,1308000
1990-09-24,NSC,12.375,981900
1990-09-25,NSC,12.458333,699900
1990-09-26,NSC,12.458333,588000
1990-09-27,NSC,12.25,909600
1990-09-28,NSC,12.208333,685200
1990-10-01,NSC,12.666667,912900
1990-10-02,NSC,12.916667,569700
1990-10-03,NSC,12.916667,425700
1990-10-04,NSC,12.875,656100
1990-10-05,NSC,12.625,762300
1990-10-08,NSC,12.666667,399000
1990-10-09,NSC,12.5,571800
1990-10-10,NSC,12.416667,666000
1990-10-11,NSC,12.083333,1214100
1990-10-12,NSC,12.166667,1099500
1990-10-15,NSC,12.208333,802500
1990-10-16,NSC,11.958333,958800
1990-10-17,NSC,12.083333,408900
1990-10-18,NSC,12.375,633000
1990-10-19,NSC,12.666667,1010100
1990-10-22,NSC,12.833333,391200
1990-10-23,NSC,12.833333,424800
1990-10-24,NSC,12.583333,467400
1990-10-25,NSC,12.25,354900
