ds,symbol,close,volume
1993-05-13,NTZ,39.375,1093800
1993-05-14,NTZ,40.0,148040
1993-05-17,NTZ,40.0,110640
1993-05-18,NTZ,40.0,47920
1993-05-19,NTZ,38.75,22040
1993-05-20,NTZ,40.0,40520
1993-05-21,NTZ,40.0,77680
1993-05-24,NTZ,40.0,17880
1993-05-25,NTZ,40.3125,11280
1993-05-26,NTZ,40.3125,66920
1993-05-27,NTZ,41.25,39440
1993-05-28,NTZ,42.1875,27440
1993-06-01,NTZ,42.8125,33280
1993-06-02,NTZ,44.375,19680
1993-06-03,NTZ,44.375,34680
1993-06-04,NTZ,45.3125,36800
1993-06-07,NTZ,46.5625,90920
1993-06-08,NTZ,46.25,21400
1993-06-09,NTZ,44.375,33240
1993-06-10,NTZ,44.6875,21480
1993-06-11,NTZ,45.0,6600
1993-06-14,NTZ,45.0,21600
1993-06-15,NTZ,45.3125,73920
1993-06-16,NTZ,45.9375,27320
1993-06-17,NTZ,46.25,20680
1993-06-18,NTZ,46.5625,30080
1993-06-21,NTZ,47.5,15520
1993-06-22,NTZ,46.5625,19160
1993-06-23,NTZ,45.3125,38800
1993-06-24,NTZ,44.375,23440
1993-06-25,NTZ,45.0,13800
1993-06-28,NTZ,44.0625,15200
1993-06-29,NTZ,42.8125,13520
1993-06-30,NTZ,43.125,36960
1993-07-01,NTZ,43.125,7360
1993-07-02,NTZ,43.125,29000
1993-07-06,NTZ,43.75,5680
1993-07-07,NTZ,44.0625,43760
1993-07-08,NTZ,44.0625,13760
1993-07-09,NTZ,43.4375,5000
1993-07-12,NTZ,40.9375,3800
1993-07-13,NTZ,41.875,10120
1993-07-14,NTZ,41.5625,52800
1993-07-15,NTZ,42.5,43080
1993-07-16,NTZ,41.875,4400
1993-07-19,NTZ,41.5625,440
1993-07-20,NTZ,40.0,69560
1993-07-21,NTZ,40.625,3560
1993-07-22,NTZ,40.0,16760
1993-07-23,NTZ,40.0,1440
1993-07-26,NTZ,39.6875,22960
1993-07-27,NTZ,40.0,21280
1993-07-28,NTZ,38.75,6440
1993-07-29,NTZ,38.75,3640
1993-07-30,NTZ,38.75,107440
1993-08-02,NTZ,39.0625,15200
1993-08-03,NTZ,38.75,1360
1993-08-04,NTZ,36.5625,38440
1993-08-05,NTZ,36.25,119720
1993-08-06,NTZ,37.5,95160
1993-08-09,NTZ,37.8125,9560
1993-08-10,NTZ,38.4375,42080
1993-08-11,NTZ,37.8125,32760
1993-08-12,NTZ,38.125,39400
1993-08-13,NTZ,38.4375,400
1993-08-16,NTZ,38.125,40
1993-08-17,NTZ,38.75,27160
1993-08-18,NTZ,38.75,24880
1993-08-19,NTZ,43.75,32440
1993-08-20,NTZ,41.875,10040
1993-08-23,NTZ,40.3125,18920
1993-08-24,NTZ,40.9375,3680
1993-08-25,NTZ,40.9375,21800
1993-08-26,NTZ,41.5625,4560
1993-08-27,NTZ,41.875,20280
1993-08-30,NTZ,42.1875,3000
1993-08-31,NTZ,43.125,680
1993-09-01,NTZ,43.4375,12640
1993-09-02,NTZ,42.8125,9280
1993-09-03,NTZ,44.375,15880
1993-09-07,NTZ,44.0625,16000
1993-09-08,NTZ,44.375,20280
1993-09-09,NTZ,44.375,45760
1993-09-10,NTZ,44.375,1360
1993-09-13,NTZ,45.0,7160
1993-09-14,NTZ,44.6875,3520
1993-09-15,NTZ,43.75,7320
1993-09-16,NTZ,43.75,4560
1993-09-17,NTZ,43.4375,3880
1993-09-20,NTZ,43.75,240
1993-09-21,NTZ,43.75,4920
1993-09-22,NTZ,44.0625,200
1993-09-23,NTZ,45.3125,2080
1993-09-24,NTZ,44.6875,3000
1993-09-27,NTZ,46.25,3040
1993-09-28,NTZ,46.5625,1080
1993-09-29,NTZ,45.625,18400
1993-09-30,NTZ,45.625,520
1993-10-01,NTZ,51.875,20800
1993-10-04,NTZ,52.5,7840
1993-10-05,NTZ,50.625,6320
