ds,symbol,close,volume
2013-09-30,NVEE,7.7,100.0
2013-10-01,NVEE,7.7,500.0
2013-10-02,NVEE,7.7,0.0
2013-10-03,NVEE,7.85,200.0
2013-10-04,NVEE,7.85,200.0
2013-10-07,NVEE,7.85,0.0
2013-10-08,NVEE,7.85,0.0
2013-10-09,NVEE,7.0,4800.0
2013-10-10,NVEE,7.0,0.0
2013-10-11,NVEE,8.79,200.0
2013-10-14,NVEE,9.0,1011.0
2013-10-15,NVEE,9.03,461.0
2013-10-16,NVEE,9.0,100.0
2013-10-17,NVEE,8.78,51000.0
2013-10-18,NVEE,8.5501,1109.0
2013-10-21,NVEE,8.5501,0.0
2013-10-22,NVEE,8.5,900.0
2013-10-23,NVEE,8.6825,230.0
2013-10-24,NVEE,8.5075,700.0
2013-10-25,NVEE,8.5,1100.0
2013-10-28,NVEE,8.5,3000.0
2013-10-29,NVEE,8.5,2282.0
2013-10-30,NVEE,8.5,200.0
2013-10-31,NVEE,8.68,100.0
2013-11-01,NVEE,8.68,0.0
2013-11-04,NVEE,8.49,5300.0
2013-11-05,NVEE,8.45,2300.0
2013-11-06,NVEE,8.5,3030.0
2013-11-07,NVEE,8.5,4350.0
2013-11-08,NVEE,8.5,922.0
2013-11-11,NVEE,8.49,1923.0
2013-11-12,NVEE,8.52,3200.0
2013-11-13,NVEE,8.4574,2600.0
2013-11-14,NVEE,8.42,3600.0
2013-11-15,NVEE,8.425,2050.0
2013-11-18,NVEE,8.28,3900.0
2013-11-19,NVEE,8.3,1400.0
2013-11-20,NVEE,8.47,1100.0
2013-11-21,NVEE,8.32,500.0
2013-11-22,NVEE,8.32,0.0
2013-11-25,NVEE,8.26,850.0
2013-11-26,NVEE,8.15,762.0
2013-11-27,NVEE,8.15,5500.0
2013-11-29,NVEE,8.099,1390.0
2013-12-02,NVEE,8.1,1500.0
2013-12-03,NVEE,8.05,300.0
2013-12-04,NVEE,8.1,100.0
2013-12-05,NVEE,8.1,0.0
2013-12-06,NVEE,8.1,0.0
2013-12-09,NVEE,8.13,3467.0
2013-12-10,NVEE,8.1299,400.0
2013-12-11,NVEE,8.1299,0.0
2013-12-12,NVEE,8.13,600.0
2013-12-13,NVEE,8.11,2100.0
2013-12-16,NVEE,8.15,100.0
2013-12-17,NVEE,8.11,999.0
2013-12-18,NVEE,8.11,1100.0
