ds,symbol,close,volume
1990-01-02,NVO,0.4975,320000
1990-01-03,NVO,0.495,330000
1990-01-04,NVO,0.505,6130000
1990-01-05,NVO,0.50375,2330000
1990-01-08,NVO,0.5125,2080000
1990-01-09,NVO,0.51625,1150000
1990-01-10,NVO,0.515,4520000
1990-01-11,NVO,0.515,3350000
1990-01-12,NVO,0.51,2040000
1990-01-15,NVO,0.51,1500000
1990-01-16,NVO,0.5075,1160000
1990-01-17,NVO,0.505,30000
1990-01-18,NVO,0.4975,1250000
1990-01-19,NVO,0.4975,560000
1990-01-22,NVO,0.485,910000
1990-01-23,NVO,0.495,4090000
1990-01-24,NVO,0.485,330000
1990-01-25,NVO,0.49,1730000
1990-01-26,NVO,0.48625,190000
1990-01-29,NVO,0.48875,2800000
1990-01-30,NVO,0.4925,5390000
1990-01-31,NVO,0.4975,4860000
1990-02-01,NVO,0.5025,420000
1990-02-02,NVO,0.50625,1810000
1990-02-05,NVO,0.52625,11420000
1990-02-06,NVO,0.525,1350000
1990-02-07,NVO,0.525,2230000
1990-02-08,NVO,0.515,1680000
1990-02-09,NVO,0.51125,250000
1990-02-12,NVO,0.51,1350000
1990-02-13,NVO,0.5025,1870000
1990-02-14,NVO,0.5125,1990000
1990-02-15,NVO,0.50875,240000
1990-02-16,NVO,0.50625,1430000
1990-02-20,NVO,0.4925,450000
1990-02-21,NVO,0.49,1650000
1990-02-22,NVO,0.49375,1570000
1990-02-23,NVO,0.48625,470000
1990-02-26,NVO,0.4875,550000
1990-02-27,NVO,0.4975,1400000
1990-02-28,NVO,0.49625,1630000
1990-03-01,NVO,0.49,60000
1990-03-02,NVO,0.48875,630000
1990-03-05,NVO,0.5,1420000
1990-03-06,NVO,0.51,1000000
1990-03-07,NVO,0.5175,1750000
1990-03-08,NVO,0.515,50000
1990-03-09,NVO,0.51375,500000
1990-03-12,NVO,0.5025,160000
1990-03-13,NVO,0.4975,120000
1990-03-14,NVO,0.48625,1020000
1990-03-15,NVO,0.485,1880000
1990-03-16,NVO,0.48375,750000
1990-03-19,NVO,0.47875,1270000
1990-03-20,NVO,0.4675,3530000
1990-03-21,NVO,0.4625,100000
1990-03-22,NVO,0.46375,920000
1990-03-23,NVO,0.47,1050000
1990-03-26,NVO,0.4725,110000
1990-03-27,NVO,0.4725,20000
1990-03-28,NVO,0.475,390000
1990-03-29,NVO,0.47625,500000
1990-03-30,NVO,0.48,750000
1990-04-02,NVO,0.4725,3520000
1990-04-03,NVO,0.4725,1370000
1990-04-04,NVO,0.47,3500000
1990-04-05,NVO,0.46625,90000
1990-04-06,NVO,0.465,140000
1990-04-09,NVO,0.46375,2850000
1990-04-10,NVO,0.4625,2210000
1990-04-11,NVO,0.455,1070000
1990-04-12,NVO,0.455,1290000
1990-04-16,NVO,0.455,810000
1990-04-17,NVO,0.45625,1620000
1990-04-18,NVO,0.45,140000
1990-04-19,NVO,0.4475,1070000
1990-04-20,NVO,0.45,5450000
1990-04-23,NVO,0.44625,670000
1990-04-24,NVO,0.44125,140000
1990-04-25,NVO,0.44625,350000
1990-04-26,NVO,0.445,490000
1990-04-27,NVO,0.4425,20000
1990-04-30,NVO,0.4425,440000
1990-05-01,NVO,0.4425,10000
1990-05-02,NVO,0.445,520000
1990-05-03,NVO,0.445,660000
1990-05-04,NVO,0.4475,220000
1990-05-07,NVO,0.44875,290000
1990-05-08,NVO,0.44875,0
1990-05-09,NVO,0.45125,330000
1990-05-10,NVO,0.44625,80000
1990-05-11,NVO,0.4475,1650000
1990-05-14,NVO,0.45125,1910000
1990-05-15,NVO,0.46,1180000
1990-05-16,NVO,0.45625,200000
1990-05-17,NVO,0.4575,1660000
1990-05-18,NVO,0.455,1170000
1990-05-21,NVO,0.45625,620000
1990-05-22,NVO,0.4525,390000
1990-05-23,NVO,0.45375,3190000
1990-05-24,NVO,0.45625,360000
1990-05-25,NVO,0.4575,900000
1990-05-29,NVO,0.45875,500000
1990-05-30,NVO,0.46375,3050000
1990-05-31,NVO,0.47125,360000
1990-06-01,NVO,0.4725,2740000
1990-06-04,NVO,0.4775,430000
1990-06-05,NVO,0.47625,10000
1990-06-06,NVO,0.47625,1550000
1990-06-07,NVO,0.48,2810000
1990-06-08,NVO,0.485,550000
1990-06-11,NVO,0.49125,760000
1990-06-12,NVO,0.49125,730000
1990-06-13,NVO,0.4975,3360000
1990-06-14,NVO,0.49875,530000
1990-06-15,NVO,0.4975,200000
1990-06-18,NVO,0.495,270000
1990-06-19,NVO,0.49625,1610000
1990-06-20,NVO,0.49375,10000
1990-06-21,NVO,0.49,110000
1990-06-22,NVO,0.4875,850000
1990-06-25,NVO,0.4925,650000
1990-06-26,NVO,0.495,810000
1990-06-27,NVO,0.4975,4510000
1990-06-28,NVO,0.495,210000
1990-06-29,NVO,0.495,140000
1990-07-02,NVO,0.4975,140000
1990-07-03,NVO,0.50875,3940000
1990-07-05,NVO,0.505,2530000
1990-07-06,NVO,0.50125,180000
1990-07-09,NVO,0.5025,1990000
1990-07-10,NVO,0.50625,1600000
1990-07-11,NVO,0.50625,490000
1990-07-12,NVO,0.51125,8270000
1990-07-13,NVO,0.51625,4910000
1990-07-16,NVO,0.52375,2190000
1990-07-17,NVO,0.5325,7940000
1990-07-18,NVO,0.535,3430000
1990-07-19,NVO,0.5425,4220000
1990-07-20,NVO,0.5425,1670000
1990-07-23,NVO,0.535,1260000
1990-07-24,NVO,0.54,1810000
1990-07-25,NVO,0.5425,1010000
1990-07-26,NVO,0.54125,50000
1990-07-27,NVO,0.54,760000
1990-07-30,NVO,0.54125,2150000
1990-07-31,NVO,0.54125,4480000
1990-08-01,NVO,0.53875,2970000
1990-08-02,NVO,0.5375,1020000
1990-08-03,NVO,0.5225,640000
1990-08-06,NVO,0.515,400000
1990-08-07,NVO,0.5125,2880000
1990-08-08,NVO,0.50375,190000
1990-08-09,NVO,0.505,250000
1990-08-10,NVO,0.5025,270000
1990-08-13,NVO,0.505,1540000
1990-08-14,NVO,0.515,2370000
1990-08-15,NVO,0.54625,5270000
1990-08-16,NVO,0.53875,7180000
1990-08-17,NVO,0.53375,1250000
1990-08-20,NVO,0.52375,710000
1990-08-21,NVO,0.51,1870000
1990-08-22,NVO,0.51625,1290000
1990-08-23,NVO,0.5075,830000
1990-08-24,NVO,0.515,760000
