ds,symbol,close,volume
2007-12-28,NWE,15.7768344907,133000
2007-12-31,NWE,15.7928950619,211900
2008-01-02,NWE,15.5412794457,166400
2008-01-03,NWE,15.2736032582,252900
2008-01-04,NWE,15.2307750682,294300
2008-01-07,NWE,15.5466329694,389400
2008-01-08,NWE,15.3592596382,188900
2008-01-09,NWE,15.5626935407,182300
2008-01-10,NWE,15.6911781107,250000
2008-01-11,NWE,15.4609765894,217600
2008-01-14,NWE,15.4074413519,317800
2008-01-15,NWE,15.3646131619,1042100
2008-01-16,NWE,15.4716836369,235100
2008-01-17,NWE,15.3967343044,208000
2008-01-18,NWE,15.2040074494,506700
2008-01-22,NWE,14.6900691695,397200
2008-01-23,NWE,14.936331262,448800
2008-01-24,NWE,14.9416847857,600700
2008-01-25,NWE,14.9042101195,334000
2008-01-28,NWE,15.1825933545,342700
2008-01-29,NWE,15.1558257357,211100
2008-01-30,NWE,15.171886307,147600
2008-01-31,NWE,15.4716836369,220300
2008-02-01,NWE,15.5252188744,200400
2008-02-04,NWE,15.6965316344,167400
2008-02-05,NWE,15.3592596382,189300
2008-02-06,NWE,15.5091583032,195600
2008-02-07,NWE,15.5680470644,229900
2008-02-08,NWE,15.5198653507,163900
2008-02-11,NWE,15.129058117,259700
2008-02-12,NWE,15.021987642,301500
2008-02-13,NWE,14.936331262,198900
2008-02-14,NWE,14.679362122,268600
2008-02-15,NWE,14.743604407,163100
2008-02-19,NWE,14.7328973595,147900
2008-02-20,NWE,14.829260787,108700
2008-02-21,NWE,14.6847156457,215500
2008-02-22,NWE,14.8239072632,182500
2008-02-25,NWE,14.8346143107,135600
2008-02-26,NWE,14.7275438357,168700
2008-02-27,NWE,14.293908412,436700
2008-02-28,NWE,14.079767462,361100
2008-02-29,NWE,13.8067377508,316000
2008-03-03,NWE,13.5604756583,272500
2008-03-04,NWE,13.7317884183,167600
2008-03-05,NWE,13.7050207995,199600
2008-03-06,NWE,13.6461320383,300900
2008-03-07,NWE,13.6782531808,178900
2008-03-10,NWE,13.4908798495,184100
2008-03-11,NWE,13.6461320383,250300
2008-03-12,NWE,13.5711827058,292800
2008-03-13,NWE,13.7610273879,236200
2008-03-14,NWE,13.5386379031,225800
2008-03-17,NWE,13.1426761375,421400
2008-03-18,NWE,13.3813380236,378100
2008-03-19,NWE,13.1372520037,207900
2008-03-20,NWE,13.1589485388,625800
2008-03-24,NWE,13.299976017,211500
2008-03-25,NWE,13.3813380236,253800
2008-03-26,NWE,13.348793221,278400
2008-03-27,NWE,13.4518517627,155800
2008-03-28,NWE,13.2457346792,284100
2008-03-31,NWE,13.2186140104,378500
2008-04-01,NWE,13.5766068395,226100
2008-04-02,NWE,13.8912065985,257400
2008-04-03,NWE,13.8912065985,202700
2008-04-04,NWE,13.782723923,193800
2008-04-07,NWE,13.9888410065,203900
2008-04-08,NWE,13.95087207,212700
2008-04-09,NWE,13.9291755349,238000
2008-04-10,NWE,13.9725686051,205000
2008-04-11,NWE,13.9129031336,194400
2008-04-14,NWE,13.7989963243,114400
2008-04-15,NWE,14.0376582104,97700
2008-04-16,NWE,14.1244443508,223400
2008-04-17,NWE,14.0430823442,126800
2008-04-18,NWE,14.0593547455,234100
2008-04-21,NWE,13.8423893945,146500
2008-04-22,NWE,13.6416964448,270200
2008-04-23,NWE,13.8261169932,95100
2008-04-24,NWE,13.9129031336,134800
2008-04-25,NWE,13.733906719,155100
2008-04-28,NWE,13.7556032541,296000
2008-04-29,NWE,13.614575776,79400
2008-04-30,NWE,13.4627000303,247000
2008-05-01,NWE,24.8,334937
2008-05-02,NWE,24.69,331761
2008-05-05,NWE,24.9,592711
2008-05-06,NWE,24.96,271300
2008-05-07,NWE,24.82,295551
2008-05-08,NWE,24.67,155358
2008-05-09,NWE,23.78,2488037
2008-05-12,NWE,24.09,225806
2008-05-13,NWE,24.71,285073
2008-05-14,NWE,24.65,508592
2008-05-15,NWE,24.44,117351
2008-05-16,NWE,24.14,255580
2008-05-19,NWE,24.44,205976
2008-05-20,NWE,25.08,382993
2008-05-21,NWE,25.25,153162
2008-05-22,NWE,25.56,211694
2008-05-23,NWE,26.03,412462
2008-05-27,NWE,25.95,261318
2008-05-28,NWE,26.05,200867
2008-05-29,NWE,26.47,197691
2008-05-30,NWE,26.51,249392
2008-06-02,NWE,26.42,140706
2008-06-03,NWE,26.15,175038
2008-06-04,NWE,26.4,133759
2008-06-05,NWE,26.49,138278
2008-06-06,NWE,26.0,109176
2008-06-09,NWE,26.25,151430
2008-06-10,NWE,26.72,226697
2008-06-11,NWE,26.4,148546
2008-06-12,NWE,26.47,119335
2008-06-13,NWE,26.65,126930
2008-06-16,NWE,26.64,118819
2008-06-17,NWE,26.55,111110
2008-06-18,NWE,26.51,97065
2008-06-19,NWE,26.5,116622
2008-06-20,NWE,26.3,247590
2008-06-23,NWE,26.47,133056
2008-06-24,NWE,25.86,159528
2008-06-25,NWE,26.1,177274
2008-06-26,NWE,25.74,140803
2008-06-27,NWE,25.26,249945
2008-06-30,NWE,25.42,298755
2008-07-01,NWE,25.47,338256
2008-07-02,NWE,25.11,143845
2008-07-03,NWE,24.65,84239
2008-07-07,NWE,24.24,162239
2008-07-08,NWE,24.73,170296
2008-07-09,NWE,25.11,178764
2008-07-10,NWE,25.0,189510
2008-07-11,NWE,25.0,270955
2008-07-14,NWE,24.89,96986
2008-07-15,NWE,24.42,216878
2008-07-16,NWE,24.36,206138
2008-07-17,NWE,24.5,178361
2008-07-18,NWE,24.47,101482
2008-07-21,NWE,24.8,454254
2008-07-22,NWE,24.89,231628
2008-07-23,NWE,24.74,186536
2008-07-24,NWE,24.48,212444
2008-07-25,NWE,24.36,211527
2008-07-28,NWE,23.86,179578
2008-07-29,NWE,24.12,232880
2008-07-30,NWE,24.25,284713
2008-07-31,NWE,24.77,331412
2008-08-01,NWE,24.37,193272
2008-08-04,NWE,24.15,385110
2008-08-05,NWE,24.1,912733
2008-08-06,NWE,24.02,348454
2008-08-07,NWE,23.74,268605
2008-08-08,NWE,24.05,237792
2008-08-11,NWE,24.39,547639
2008-08-12,NWE,24.29,268058
2008-08-13,NWE,24.52,420249
2008-08-14,NWE,24.8,345969
2008-08-15,NWE,25.44,606017
2008-08-18,NWE,25.51,236864
2008-08-19,NWE,25.33,387785
2008-08-20,NWE,25.19,171229
2008-08-21,NWE,25.0,248704
2008-08-22,NWE,25.15,120371
2008-08-25,NWE,25.08,190116
2008-08-26,NWE,25.28,273272
2008-08-27,NWE,25.77,266630
2008-08-28,NWE,26.14,243781
2008-08-29,NWE,26.3,164571
2008-09-02,NWE,26.17,193463
2008-09-03,NWE,26.0,239204
2008-09-04,NWE,25.64,310122
2008-09-05,NWE,25.36,283059
2008-09-08,NWE,25.92,288747
2008-09-09,NWE,25.51,331494
2008-09-10,NWE,25.57,418574
2008-09-11,NWE,25.75,1516607
2008-09-12,NWE,26.14,213400
2008-09-15,NWE,25.54,158079
2008-09-16,NWE,25.81,509499
2008-09-17,NWE,24.61,897000
2008-09-18,NWE,25.46,630616
2008-09-19,NWE,26.22,648491
2008-09-22,NWE,26.08,252008
2008-09-23,NWE,26.15,208007
2008-09-24,NWE,26.0,130829
2008-09-25,NWE,26.15,335308
2008-09-26,NWE,26.04,549662
2008-09-29,NWE,24.8,501961
2008-09-30,NWE,25.13,330114
2008-10-01,NWE,25.49,257008
2008-10-02,NWE,24.81,196845
2008-10-03,NWE,24.57,298550
2008-10-06,NWE,23.61,484682
2008-10-07,NWE,22.08,293320
2008-10-08,NWE,20.36,688095
2008-10-09,NWE,18.26,555066
2008-10-10,NWE,18.71,962460
2008-10-13,NWE,20.29,607855
2008-10-14,NWE,20.03,493874
2008-10-15,NWE,19.16,286802
2008-10-16,NWE,20.65,492342
2008-10-17,NWE,20.08,244626
2008-10-20,NWE,21.65,228368
2008-10-21,NWE,20.63,237838
2008-10-22,NWE,18.62,738648
2008-10-23,NWE,18.62,622635
2008-10-24,NWE,17.79,373818
2008-10-27,NWE,17.24,378087
2008-10-28,NWE,18.43,444378
2008-10-29,NWE,17.86,463302
2008-10-30,NWE,18.42,659868
2008-10-31,NWE,19.54,991214
2008-11-03,NWE,20.18,815436
2008-11-04,NWE,19.59,481211
2008-11-05,NWE,19.57,290013
2008-11-06,NWE,19.5,269730
2008-11-07,NWE,20.11,169226
2008-11-10,NWE,19.38,229061
2008-11-11,NWE,19.37,208116
2008-11-12,NWE,18.62,156334
2008-11-13,NWE,20.05,340876
2008-11-14,NWE,19.41,254922
2008-11-17,NWE,19.73,300205
2008-11-18,NWE,19.99,474516
2008-11-19,NWE,19.75,501319
2008-11-20,NWE,18.03,382132
2008-11-21,NWE,18.32,740229
2008-11-24,NWE,19.24,434838
2008-11-25,NWE,19.34,366864
2008-11-26,NWE,20.06,411205
2008-11-28,NWE,20.66,163914
2008-12-01,NWE,19.85,514731
2008-12-02,NWE,20.11,523307
2008-12-03,NWE,20.62,342692
2008-12-04,NWE,20.24,415506
2008-12-05,NWE,20.62,372535
2008-12-08,NWE,20.95,638172
2008-12-09,NWE,20.78,558151
2008-12-10,NWE,21.13,482609
2008-12-11,NWE,20.57,345349
2008-12-12,NWE,21.27,501649
2008-12-15,NWE,20.62,461719
2008-12-16,NWE,21.83,423994
2008-12-17,NWE,21.62,320476
2008-12-18,NWE,22.11,506726
2008-12-19,NWE,22.15,750958
2008-12-22,NWE,22.35,292429
2008-12-23,NWE,21.72,309811
2008-12-24,NWE,21.59,113975
2008-12-26,NWE,22.33,207387
2008-12-29,NWE,22.23,157975
2008-12-30,NWE,22.87,164604
2008-12-31,NWE,23.47,396465
2009-01-02,NWE,23.48,279523
2009-01-05,NWE,23.63,247489
2009-01-06,NWE,23.46,235444
2009-01-07,NWE,22.96,319922
2009-01-08,NWE,22.25,547904
2009-01-09,NWE,22.02,300290
2009-01-12,NWE,22.5,226000
2009-01-13,NWE,22.56,359278
