ds,symbol,close,volume
2007-10-11,NWG,236.3977509,428
2007-10-12,NWG,236.3977509,0
2007-10-15,NWG,225.8911896,228
2007-10-16,NWG,226.9418335,195
2007-10-17,NWG,227.9924927,14
2007-10-18,NWG,90.5589222496,4090
2007-10-19,NWG,88.1249938481,3234
2007-10-22,NWG,88.5446366759,9416
2007-10-23,NWG,89.5517794627,9797
2007-10-24,NWG,90.2232079873,29392
2007-10-25,NWG,89.7196365939,55740
2007-10-26,NWG,90.9785650774,62588
2007-10-29,NWG,91.2303507741,490533
2007-10-30,NWG,89.4678508972,212212
2007-10-31,NWG,91.8178507331,47369
2007-11-01,NWG,88.7964223726,41282
2007-11-02,NWG,86.6142796678,42138
2007-11-05,NWG,83.5089227417,65347
2007-11-06,NWG,81.8303514303,56406
2007-11-07,NWG,77.9696374141,48891
2007-11-08,NWG,75.7874947093,116331
2007-11-09,NWG,71.6749949964,85512
2007-11-12,NWG,77.1303517584,139541
2007-11-13,NWG,83.1732084795,24826
2007-11-14,NWG,81.4946371681,19594
2007-11-15,NWG,77.8857088486,50984
2007-11-16,NWG,74.9482090536,45467
2007-11-19,NWG,70.7517807752,28345
2007-11-20,NWG,72.2624949554,29677
2007-11-21,NWG,71.171423603,73147
2007-11-23,NWG,74.0249948324,32340
2007-11-26,NWG,72.5982092177,70198
2007-11-27,NWG,75.0321376192,277655
2007-11-28,NWG,78.8089230698,191191
2007-11-29,NWG,78.2214231109,41282
2007-11-30,NWG,80.9071372091,37287
2007-12-03,NWG,81.4107086025,60876
2007-12-04,NWG,77.9696374141,56215
2007-12-05,NWG,80.9910657746,43279
2007-12-06,NWG,83.844637004,55645
2007-12-07,NWG,83.9285655696,36716
2007-12-10,NWG,86.1107082744,38143
2007-12-11,NWG,80.9071372091,49177
2007-12-12,NWG,80.2357086845,36526
2007-12-13,NWG,76.7107089306,37477
2007-12-14,NWG,75.1999947503,67725
2007-12-17,NWG,72.7660663488,74574
2007-12-18,NWG,73.8571377012,53076
2007-12-19,NWG,72.5142806521,37762
2007-12-20,NWG,73.1017806111,38047
2007-12-21,NWG,75.4517804471,52030
2007-12-24,NWG,76.7946374962,12460
2007-12-26,NWG,76.7107089306,29962
2007-12-27,NWG,76.1232089716,128507
2007-12-28,NWG,75.1160661848,45752
2007-12-31,NWG,75.1160661848,19214
2008-01-02,NWG,73.9410662668,44611
2008-01-03,NWG,74.6964233569,35860
2008-01-04,NWG,70.3321379473,44230
2008-01-07,NWG,70.8357093407,32531
2008-01-08,NWG,69.5767808572,70769
2008-01-09,NWG,70.0803522506,81422
2008-01-10,NWG,68.0660666769,63920
2008-01-11,NWG,68.5696380703,42518
2008-01-14,NWG,70.4999950784,43660
2008-01-15,NWG,66.6392810622,99495
2008-01-16,NWG,66.1357096688,55264
2008-01-17,NWG,64.1214240952,56976
2008-01-18,NWG,62.9464241772,50128
2008-01-22,NWG,63.8696383985,59069
2008-01-23,NWG,64.2053526607,118614
2008-01-24,NWG,67.9821381114,81327
2008-01-25,NWG,65.128566882,42233
2008-01-28,NWG,65.2964240131,63825
2008-01-29,NWG,67.8142809802,33862
2008-01-30,NWG,66.0517811033,48606
2008-01-31,NWG,66.0517811033,65727
2008-02-01,NWG,66.6392810622,37001
2008-02-04,NWG,67.5624952835,48225
2008-02-05,NWG,63.5339241362,25967
2008-02-06,NWG,62.1071385215,58593
2008-02-07,NWG,61.1839243002,35194
2008-02-08,NWG,60.5964243412,27870
2008-02-11,NWG,60.3446386445,43945
2008-02-12,NWG,61.8553528248,33482
