ds,symbol,close,volume
1992-08-07,OHI,21.0,393100
1992-08-10,OHI,21.0,12500
1992-08-11,OHI,21.0,39100
1992-08-12,OHI,21.0,15000
1992-08-13,OHI,21.0,12200
1992-08-14,OHI,21.0,8900
1992-08-17,OHI,21.0,93300
1992-08-18,OHI,21.0,14200
1992-08-19,OHI,21.0,9900
1992-08-20,OHI,21.0,36900
1992-08-21,OHI,21.0,64100
1992-08-24,OHI,19.75,80100
1992-08-25,OHI,19.5,38300
1992-08-26,OHI,18.875,65900
1992-08-27,OHI,19.5,106100
1992-08-28,OHI,19.5,26100
1992-08-31,OHI,19.375,27100
1992-09-01,OHI,19.625,26200
1992-09-02,OHI,20.0,33600
1992-09-03,OHI,20.125,17700
1992-09-04,OHI,20.0,19800
1992-09-08,OHI,19.875,25300
1992-09-09,OHI,20.25,18200
1992-09-10,OHI,20.25,26800
1992-09-11,OHI,19.75,15900
1992-09-14,OHI,20.0,29300
1992-09-15,OHI,19.75,23400
1992-09-16,OHI,19.5,16100
1992-09-17,OHI,19.25,12500
1992-09-18,OHI,19.625,23800
1992-09-21,OHI,20.0,21300
1992-09-22,OHI,20.125,30500
1992-09-23,OHI,19.5,10700
1992-09-24,OHI,19.375,12900
1992-09-25,OHI,19.5,14800
1992-09-28,OHI,19.375,2200
1992-09-29,OHI,19.25,13800
1992-09-30,OHI,19.375,9800
1992-10-01,OHI,19.375,17900
1992-10-02,OHI,19.5,13600
1992-10-05,OHI,19.0,12800
1992-10-06,OHI,19.0,25700
1992-10-07,OHI,19.125,130200
1992-10-08,OHI,19.5,9800
1992-10-09,OHI,19.375,5100
1992-10-12,OHI,19.25,4600
1992-10-13,OHI,19.375,7800
1992-10-14,OHI,19.25,11100
1992-10-15,OHI,19.375,2300
1992-10-16,OHI,19.375,13000
1992-10-19,OHI,19.5,2800
1992-10-20,OHI,19.5,17000
1992-10-21,OHI,20.0,12000
1992-10-22,OHI,19.75,7600
1992-10-23,OHI,19.75,7700
1992-10-26,OHI,19.75,4000
1992-10-27,OHI,19.875,13900
1992-10-28,OHI,19.5,53900
1992-10-29,OHI,19.5,33900
1992-10-30,OHI,19.375,4800
1992-11-02,OHI,19.25,28000
1992-11-03,OHI,19.125,95200
1992-11-04,OHI,19.5,10500
1992-11-05,OHI,19.5,14400
1992-11-06,OHI,19.25,6400
1992-11-09,OHI,19.375,3900
1992-11-10,OHI,19.625,15100
1992-11-11,OHI,20.0,15600
1992-11-12,OHI,20.0,8700
1992-11-13,OHI,20.0,27000
1992-11-16,OHI,20.25,9500
1992-11-17,OHI,20.5,49400
1992-11-18,OHI,20.625,14700
1992-11-19,OHI,20.875,19000
1992-11-20,OHI,20.75,5700
1992-11-23,OHI,20.375,8400
1992-11-24,OHI,20.75,7000
1992-11-25,OHI,20.625,9300
