ds,symbol,close,volume
2020-09-15,OM,60.68,5329905
2020-09-16,OM,60.03,712369
2020-09-17,OM,58.02,818260
2020-09-18,OM,60.01,421972
2020-09-21,OM,55.0,1137182
2020-09-22,OM,53.63,297909
2020-09-23,OM,54.35,197404
2020-09-24,OM,51.98,152930
2020-09-25,OM,51.8,265681
2020-09-28,OM,51.73,178812
2020-09-29,OM,49.75,348451
2020-09-30,OM,50.0,239472
2020-10-01,OM,45.99,275252
2020-10-02,OM,45.8,298144
2020-10-05,OM,44.65,350070
2020-10-06,OM,43.26,433466
2020-10-07,OM,42.6,206227
2020-10-08,OM,44.5,255440
2020-10-09,OM,42.51,302892
2020-10-12,OM,43.83,628914
2020-10-13,OM,45.26,252354
2020-10-14,OM,46.06,238960
2020-10-15,OM,50.02,667261
2020-10-16,OM,48.05,145700
2020-10-19,OM,47.88,178642
2020-10-20,OM,46.31,152349
2020-10-21,OM,45.25,132595
2020-10-22,OM,48.93,116719
2020-10-23,OM,49.73,122243
2020-10-26,OM,47.91,163175
2020-10-27,OM,49.06,107437
2020-10-28,OM,48.13,188953
2020-10-29,OM,48.93,165331
2020-10-30,OM,46.47,198774
2020-11-02,OM,44.87,266632
2020-11-03,OM,44.02,126768
2020-11-04,OM,44.73,160290
2020-11-05,OM,48.99,310832
2020-11-06,OM,48.67,105350
2020-11-09,OM,49.04,143297
2020-11-10,OM,46.63,144026
2020-11-11,OM,49.26,176290
2020-11-12,OM,49.21,193158
2020-11-13,OM,52.55,180881
2020-11-16,OM,60.45,446296
2020-11-17,OM,60.92,377588
2020-11-18,OM,56.46,224484
2020-11-19,OM,59.0,173421
2020-11-20,OM,61.49,174428
2020-11-23,OM,62.91,148806
2020-11-24,OM,63.75,139523
2020-11-25,OM,60.39,331974
2020-11-27,OM,63.86,108652
2020-11-30,OM,64.0,293159
2020-12-01,OM,57.72,729695
2020-12-02,OM,54.94,539189
2020-12-03,OM,52.4,1667609
2020-12-04,OM,51.7,561121
2020-12-07,OM,52.64,406698
2020-12-08,OM,52.61,255743
2020-12-09,OM,52.28,220807
2020-12-10,OM,50.75,243255
2020-12-11,OM,50.54,231363
2020-12-14,OM,51.07,332228
2020-12-15,OM,51.99,354769
2020-12-16,OM,53.24,263074
2020-12-17,OM,54.04,459262
2020-12-18,OM,53.33,2454342
2020-12-21,OM,52.43,815709
2020-12-22,OM,54.0,345895
2020-12-23,OM,54.0,336786
2020-12-24,OM,53.26,76961
2020-12-28,OM,52.79,235632
2020-12-29,OM,54.01,257752
2020-12-30,OM,59.25,509305
2020-12-31,OM,56.84,366669
2021-01-04,OM,52.59,625794
2021-01-05,OM,49.84,454243
2021-01-06,OM,50.59,189010
2021-01-07,OM,50.94,232201
2021-01-08,OM,48.76,334895
2021-01-11,OM,48.48,325427
2021-01-12,OM,47.93,162678
2021-01-13,OM,48.68,247067
2021-01-14,OM,49.28,363961
2021-01-15,OM,49.03,248134
2021-01-19,OM,50.76,304873
2021-01-20,OM,50.23,510642
2021-01-21,OM,52.11,143086
2021-01-22,OM,54.32,207376
2021-01-25,OM,54.41,144200
2021-01-26,OM,53.48,80262
2021-01-27,OM,50.54,327521
2021-01-28,OM,53.0,149203
2021-01-29,OM,51.83,151457
2021-02-01,OM,52.48,145052
2021-02-02,OM,52.58,224431
2021-02-03,OM,53.89,85009
2021-02-04,OM,54.01,161822
2021-02-05,OM,54.74,126717
2021-02-08,OM,54.03,180729
2021-02-09,OM,54.94,139518
2021-02-10,OM,55.87,185695
2021-02-11,OM,56.97,106450
2021-02-12,OM,58.66,130881
2021-02-16,OM,54.93,118686
2021-02-17,OM,53.2,126329
2021-02-18,OM,51.34,109721
2021-02-19,OM,52.96,76810
2021-02-22,OM,49.66,158054
2021-02-23,OM,48.77,198476
2021-02-24,OM,50.22,144135
2021-02-25,OM,49.57,117928
2021-02-26,OM,49.79,216466
2021-03-01,OM,51.06,177126
2021-03-02,OM,51.81,129525
2021-03-03,OM,50.48,174752
2021-03-04,OM,49.61,408966
2021-03-05,OM,47.65,453007
2021-03-08,OM,46.94,276293
2021-03-09,OM,48.44,230283
2021-03-10,OM,52.81,745025
2021-03-11,OM,55.14,448708
2021-03-12,OM,51.11,535317
2021-03-15,OM,50.01,799675
2021-03-16,OM,49.66,624218
2021-03-17,OM,48.78,696578
2021-03-18,OM,48.5,247647
2021-03-19,OM,49.12,587505
2021-03-22,OM,51.19,286479
2021-03-23,OM,52.05,185749
2021-03-24,OM,51.68,169593
2021-03-25,OM,50.86,273553
2021-03-26,OM,49.16,279594
2021-03-29,OM,49.89,299523
2021-03-30,OM,51.9,378820
2021-03-31,OM,54.39,490529
2021-04-01,OM,56.04,332418
2021-04-05,OM,56.83,276560
2021-04-06,OM,58.1,421074
2021-04-07,OM,54.06,752117
2021-04-08,OM,55.6,631139
2021-04-09,OM,58.33,5265242
2021-04-12,OM,55.61,1421289
2021-04-13,OM,54.55,535991
2021-04-14,OM,54.5,294347
2021-04-15,OM,53.77,340018
2021-04-16,OM,53.9,260886
2021-04-19,OM,53.85,277386
2021-04-20,OM,55.5,629730
2021-04-21,OM,55.1,309173
2021-04-22,OM,56.5,437281
2021-04-23,OM,56.24,488460
2021-04-26,OM,57.23,399689
2021-04-27,OM,57.73,218629
2021-04-28,OM,58.59,423289
2021-04-29,OM,58.17,319940
2021-04-30,OM,59.92,441309
2021-05-03,OM,57.83,297341
2021-05-04,OM,55.92,295695
2021-05-05,OM,55.28,512837
2021-05-06,OM,50.82,992663
2021-05-07,OM,52.19,335376
2021-05-10,OM,49.25,661202
2021-05-11,OM,47.34,710007
2021-05-12,OM,45.03,445203
2021-05-13,OM,41.49,483632
2021-05-14,OM,42.13,586751
2021-05-17,OM,43.33,438123
2021-05-18,OM,43.63,447555
2021-05-19,OM,44.93,228189
2021-05-20,OM,45.67,346575
2021-05-21,OM,45.97,394387
2021-05-24,OM,45.95,480474
2021-05-25,OM,46.93,414200
2021-05-26,OM,48.65,517046
2021-05-27,OM,48.66,967641
2021-05-28,OM,48.27,315434
2021-06-01,OM,47.78,373859
2021-06-02,OM,47.65,425343
2021-06-03,OM,45.62,388087
2021-06-04,OM,46.07,448988
2021-06-07,OM,44.84,1015295
2021-06-08,OM,44.92,453428
2021-06-09,OM,46.55,1189711
