ds,symbol,close,volume
2011-03-18,OMQS,9.1,20575.0
2011-03-21,OMQS,7.2,8860.0
2011-03-22,OMQS,7.0,920.0
2011-03-23,OMQS,6.2,2360.0
2011-03-24,OMQS,7.2,16130.0
2011-03-25,OMQS,8.0,7300.0
2011-03-28,OMQS,8.4,4060.0
2011-03-29,OMQS,7.8,11585.0
2011-03-30,OMQS,7.4,6115.0
2011-03-31,OMQS,6.2,1005.0
2011-04-01,OMQS,7.4,2110.0
2011-04-04,OMQS,6.4,1055.0
2011-04-05,OMQS,6.4,2010.0
2011-04-06,OMQS,6.4,1860.0
2011-04-07,OMQS,7.4,5010.0
2011-04-08,OMQS,6.0,6140.0
2011-04-11,OMQS,6.8,620.0
2011-04-12,OMQS,5.0,395.0
2011-04-13,OMQS,5.0,1210.0
2011-04-14,OMQS,5.0,1500.0
2011-04-15,OMQS,5.0,1305.0
2011-04-18,OMQS,4.6,790.0
2011-04-19,OMQS,3.8,1130.0
2011-04-20,OMQS,3.6,1945.0
2011-04-21,OMQS,2.8,2070.0
2011-04-25,OMQS,3.2,5310.0
2011-04-26,OMQS,2.6,1805.0
2011-04-27,OMQS,2.6,895.0
2011-04-28,OMQS,2.4,465.0
2011-04-29,OMQS,2.4,600.0
2011-05-02,OMQS,2.2,1860.0
2011-05-03,OMQS,0.8,2630.0
2011-05-04,OMQS,2.0,3650.0
2011-05-05,OMQS,2.0,1570.0
2011-05-06,OMQS,1.98,1200.0
2011-05-09,OMQS,1.2,100.0
2011-05-10,OMQS,1.98,225.0
2011-05-11,OMQS,2.0,665.0
2011-05-12,OMQS,2.0,100.0
2011-05-13,OMQS,1.7,390.0
2011-05-16,OMQS,1.4,210.0
2011-05-17,OMQS,2.0,150.0
2011-05-18,OMQS,2.0,5.0
2011-05-19,OMQS,2.0,0.0
2011-05-20,OMQS,2.0,215.0
2011-05-23,OMQS,2.0,0.0
2011-05-24,OMQS,1.4,550.0
2011-05-25,OMQS,1.4,50.0
2011-05-26,OMQS,1.4,0.0
2011-05-27,OMQS,1.4,0.0
2011-05-31,OMQS,1.4,50.0
2011-06-01,OMQS,1.4,260.0
2011-06-02,OMQS,2.0,220.0
2011-06-03,OMQS,2.0,80.0
2011-06-06,OMQS,2.0,0.0
2011-06-07,OMQS,1.4,200.0
2011-06-08,OMQS,1.4,350.0
2011-06-09,OMQS,2.0,30.0
2011-06-10,OMQS,2.0,2725.0
2011-06-13,OMQS,2.0,0.0
2011-06-14,OMQS,1.2,55.0
2011-06-15,OMQS,1.2,595.0
2011-06-16,OMQS,1.2,1550.0
2011-06-17,OMQS,1.2,0.0
2011-06-20,OMQS,1.2,55.0
2011-06-21,OMQS,1.1,100.0
2011-06-22,OMQS,1.2,370.0
2011-06-23,OMQS,1.2,400.0
2011-06-24,OMQS,1.2,0.0
2011-06-27,OMQS,1.2,0.0
2011-06-28,OMQS,1.1,55.0
2011-06-29,OMQS,1.1,760.0
2011-06-30,OMQS,1.1,220.0
2011-07-01,OMQS,1.1,50.0
2011-07-05,OMQS,1.1,100.0
2011-07-06,OMQS,0.9,2145.0
2011-07-07,OMQS,0.9,1140.0
2011-07-08,OMQS,0.9,0.0
2011-07-11,OMQS,0.9,0.0
2011-07-12,OMQS,0.9,0.0
2011-07-13,OMQS,0.9,0.0
2011-07-14,OMQS,0.9,0.0
2011-07-15,OMQS,0.9,0.0
2011-07-18,OMQS,0.6,5.0
2011-07-19,OMQS,0.7,1090.0
2011-07-20,OMQS,0.68,2815.0
2011-07-21,OMQS,0.68,45.0
2011-07-22,OMQS,0.68,50.0
2011-07-25,OMQS,0.68,0.0
2011-07-26,OMQS,0.68,0.0
2011-07-27,OMQS,0.7,300.0
2011-07-28,OMQS,0.68,10.0
2011-07-29,OMQS,0.68,0.0
2011-08-01,OMQS,0.68,250.0
2011-08-02,OMQS,0.6,15.0
2011-08-03,OMQS,0.6,35.0
2011-08-04,OMQS,0.6,0.0
2011-08-05,OMQS,0.6,0.0
2011-08-08,OMQS,0.6,0.0
2011-08-09,OMQS,0.6,0.0
2011-08-10,OMQS,0.6,0.0
2011-08-11,OMQS,0.6,0.0
2011-08-12,OMQS,0.6,150.0
2011-08-15,OMQS,0.6,0.0
2011-08-16,OMQS,0.6,0.0
2011-08-17,OMQS,0.6,0.0
2011-08-18,OMQS,0.58,290.0
2011-08-19,OMQS,0.58,0.0
2011-08-22,OMQS,0.22,25.0
2011-08-23,OMQS,0.22,0.0
2011-08-24,OMQS,0.6,110.0
2011-08-25,OMQS,0.6,500.0
2011-08-26,OMQS,0.26,5.0
2011-08-29,OMQS,0.26,60.0
2011-08-30,OMQS,0.26,55.0
2011-08-31,OMQS,0.26,0.0
2011-09-01,OMQS,0.26,0.0
2011-09-02,OMQS,0.26,0.0
2011-09-06,OMQS,0.26,0.0
2011-09-07,OMQS,0.26,160.0
2011-09-08,OMQS,0.26,0.0
2011-09-09,OMQS,0.26,0.0
2011-09-12,OMQS,0.22,55.0
2011-09-13,OMQS,0.22,0.0
2011-09-14,OMQS,0.22,0.0
2011-09-15,OMQS,0.22,0.0
2011-09-16,OMQS,0.22,0.0
2011-09-19,OMQS,0.22,0.0
2011-09-20,OMQS,0.22,0.0
2011-09-21,OMQS,0.22,0.0
2011-09-22,OMQS,0.22,0.0
2011-09-23,OMQS,0.22,0.0
2011-09-26,OMQS,0.22,300.0
2011-09-27,OMQS,0.22,0.0
2011-09-28,OMQS,0.22,0.0
2011-09-29,OMQS,0.22,0.0
2011-09-30,OMQS,0.22,0.0
2011-10-03,OMQS,0.02,500.0
2011-10-04,OMQS,0.02,0.0
2011-10-05,OMQS,0.04,10.0
2011-10-06,OMQS,0.04,0.0
2011-10-07,OMQS,0.04,0.0
2011-10-10,OMQS,0.04,390.0
2011-10-11,OMQS,0.04,0.0
2011-10-12,OMQS,0.86,2290.0
2011-10-13,OMQS,0.08,280.0
2011-10-14,OMQS,0.08,0.0
2011-10-17,OMQS,0.08,0.0
2011-10-18,OMQS,0.08,550.0
2011-10-19,OMQS,0.08,0.0
2011-10-20,OMQS,0.08,0.0
2011-10-21,OMQS,0.08,0.0
2011-10-24,OMQS,0.08,0.0
2011-10-25,OMQS,0.08,0.0
2011-10-26,OMQS,0.08,0.0
2011-10-27,OMQS,0.08,80.0
2011-10-28,OMQS,0.08,0.0
2011-10-31,OMQS,0.08,0.0
2011-11-01,OMQS,0.08,300.0
2011-11-02,OMQS,0.08,0.0
2011-11-03,OMQS,0.08,0.0
2011-11-04,OMQS,0.08,15.0
2011-11-07,OMQS,0.08,0.0
2011-11-08,OMQS,0.08,170.0
2011-11-09,OMQS,0.08,0.0
2011-11-10,OMQS,0.08,465.0
2011-11-11,OMQS,0.08,0.0
2011-11-14,OMQS,0.08,0.0
2011-11-15,OMQS,0.1,10.0
2011-11-16,OMQS,0.1,0.0
2011-11-17,OMQS,0.1,0.0
2011-11-18,OMQS,0.1,0.0
2011-11-21,OMQS,0.1,0.0
2011-11-22,OMQS,0.1,0.0
2011-11-23,OMQS,0.1,0.0
2011-11-25,OMQS,0.1,0.0
2011-11-28,OMQS,0.1,100.0
2011-11-29,OMQS,0.1,0.0
2011-11-30,OMQS,0.1,0.0
2011-12-01,OMQS,0.1,0.0
2011-12-02,OMQS,0.1,0.0
2011-12-05,OMQS,0.1,0.0
2011-12-06,OMQS,0.1,0.0
2011-12-07,OMQS,0.1,0.0
2011-12-08,OMQS,0.1,0.0
2011-12-09,OMQS,0.1,0.0
2011-12-12,OMQS,0.12,1925.0
2011-12-13,OMQS,0.12,250.0
2011-12-14,OMQS,0.12,0.0
2011-12-15,OMQS,0.12,0.0
2011-12-16,OMQS,0.12,0.0
2011-12-19,OMQS,0.12,250.0
2011-12-20,OMQS,0.12,1150.0
2011-12-21,OMQS,0.12,0.0
2011-12-22,OMQS,0.12,0.0
2011-12-23,OMQS,0.12,0.0
2011-12-27,OMQS,0.12,0.0
2011-12-28,OMQS,0.12,0.0
2011-12-29,OMQS,0.12,0.0
2011-12-30,OMQS,0.12,0.0
2012-01-03,OMQS,0.12,0.0
2012-01-04,OMQS,0.12,0.0
2012-01-05,OMQS,0.12,0.0
2012-01-06,OMQS,0.12,0.0
2012-01-09,OMQS,0.12,0.0
2012-01-10,OMQS,0.12,0.0
2012-01-11,OMQS,0.4,180.0
2012-01-12,OMQS,0.4,310.0
2012-01-13,OMQS,0.4,0.0
2012-01-17,OMQS,0.4,0.0
2012-01-18,OMQS,0.4,0.0
2012-01-19,OMQS,0.6,50.0
2012-01-20,OMQS,0.42,60.0
2012-01-23,OMQS,0.42,0.0
2012-01-24,OMQS,0.24,250.0
2012-01-25,OMQS,0.24,0.0
2012-01-26,OMQS,0.24,0.0
2012-01-27,OMQS,0.24,150.0
2012-01-30,OMQS,0.6,715.0
2012-01-31,OMQS,0.6,25.0
2012-02-01,OMQS,0.6,0.0
2012-02-02,OMQS,0.6,0.0
2012-02-03,OMQS,0.6,0.0
2012-02-06,OMQS,0.6,0.0
2012-02-07,OMQS,0.6,0.0
2012-02-08,OMQS,0.6,70.0
2012-02-09,OMQS,0.6,0.0
2012-02-10,OMQS,0.46,200.0
2012-02-13,OMQS,0.46,0.0
2012-02-14,OMQS,0.46,0.0
2012-02-15,OMQS,0.46,0.0
2012-02-16,OMQS,0.4,55.0
2012-02-17,OMQS,0.4,250.0
2012-02-21,OMQS,0.4,0.0
2012-02-22,OMQS,0.4,0.0
2012-02-23,OMQS,0.3,100.0
2012-02-24,OMQS,0.3,0.0
2012-02-27,OMQS,0.3,0.0
2012-02-28,OMQS,0.3,3955.0
2012-02-29,OMQS,0.3,825.0
2012-03-01,OMQS,0.3,0.0
2012-03-02,OMQS,0.3,0.0
2012-03-05,OMQS,0.3,0.0
2012-03-06,OMQS,0.3,0.0
2012-03-07,OMQS,0.3,0.0
2012-03-08,OMQS,0.2,4780.0
2012-03-09,OMQS,0.5,310.0
2012-03-12,OMQS,0.54,560.0
2012-03-13,OMQS,0.6,10.0
2012-03-14,OMQS,0.6,0.0
2012-03-15,OMQS,0.6,0.0
2012-03-16,OMQS,0.4,200.0
2012-03-19,OMQS,0.4,0.0
2012-03-20,OMQS,0.4,0.0
2012-03-21,OMQS,0.4,0.0
2012-03-22,OMQS,0.4,0.0
2012-03-23,OMQS,0.3,105.0
2012-03-26,OMQS,0.3,0.0
2012-03-27,OMQS,0.3,0.0
2012-03-28,OMQS,0.3,1930.0
2012-03-29,OMQS,0.3,0.0
2012-03-30,OMQS,0.3,0.0
2012-04-02,OMQS,0.3,0.0
2012-04-03,OMQS,0.1,100.0
2012-04-04,OMQS,0.28,5.0
2012-04-05,OMQS,0.28,0.0
2012-04-09,OMQS,0.28,0.0
2012-04-10,OMQS,0.28,250.0
2012-04-11,OMQS,0.28,0.0
2012-04-12,OMQS,0.28,0.0
2012-04-13,OMQS,0.28,0.0
2012-04-16,OMQS,0.28,0.0
2012-04-17,OMQS,0.28,350.0
2012-04-18,OMQS,0.28,60.0
2012-04-19,OMQS,0.28,0.0
2012-04-20,OMQS,0.28,0.0
2012-04-23,OMQS,0.28,0.0
2012-04-24,OMQS,0.28,0.0
2012-04-25,OMQS,0.28,0.0
2012-04-26,OMQS,0.28,0.0
2012-04-27,OMQS,0.28,0.0
2012-04-30,OMQS,0.28,0.0
2012-05-01,OMQS,0.28,25.0
2012-05-02,OMQS,0.28,0.0
2012-05-03,OMQS,0.28,1750.0
2012-05-04,OMQS,0.28,0.0
2012-05-07,OMQS,0.6,2000.0
2012-05-08,OMQS,0.6,0.0
2012-05-09,OMQS,0.6,0.0
2012-05-10,OMQS,0.4,100.0
2012-05-11,OMQS,0.4,25.0
2012-05-14,OMQS,0.4,325.0
2012-05-15,OMQS,0.4,0.0
2012-05-16,OMQS,0.4,50.0
2012-05-17,OMQS,0.4,0.0
2012-05-18,OMQS,0.4,5.0
2012-05-21,OMQS,0.4,0.0
2012-05-22,OMQS,0.4,250.0
2012-05-23,OMQS,0.4,0.0
2012-05-24,OMQS,0.4,0.0
2012-05-25,OMQS,0.4,0.0
2012-05-29,OMQS,0.4,0.0
2012-05-30,OMQS,0.4,10.0
2012-05-31,OMQS,0.4,0.0
2012-06-01,OMQS,0.4,0.0
2012-06-04,OMQS,0.4,0.0
2012-06-05,OMQS,0.4,0.0
2012-06-06,OMQS,0.4,0.0
2012-06-07,OMQS,0.4,0.0
2012-06-08,OMQS,0.4,0.0
2012-06-11,OMQS,0.4,0.0
2012-06-12,OMQS,0.4,0.0
2012-06-13,OMQS,0.4,0.0
2012-06-14,OMQS,0.4,0.0
2012-06-15,OMQS,0.4,775.0
2012-06-18,OMQS,0.4,250.0
2012-06-19,OMQS,0.4,0.0
2012-06-20,OMQS,0.4,0.0
2012-06-21,OMQS,0.4,0.0
2012-06-22,OMQS,0.4,0.0
2012-06-25,OMQS,0.4,0.0
2012-06-26,OMQS,0.4,0.0
2012-06-27,OMQS,0.4,0.0
2012-06-28,OMQS,0.4,0.0
2012-06-29,OMQS,0.4,0.0
2012-07-02,OMQS,0.4,0.0
2012-07-03,OMQS,0.4,0.0
