ds,symbol,close,volume
1990-01-02,ONB,11.60296,19081
1990-01-03,ONB,11.495526,14427
1990-01-04,ONB,11.60296,40722
1990-01-05,ONB,11.60296,5585
1990-01-08,ONB,11.60296,9308
1990-01-09,ONB,11.495526,1163
1990-01-10,ONB,11.388091,11170
1990-01-11,ONB,11.388091,136594
1990-01-12,ONB,11.388091,465
1990-01-15,ONB,11.388091,0
1990-01-16,ONB,11.173221,4887
1990-01-17,ONB,11.226939,21641
1990-01-18,ONB,11.173221,233
1990-01-19,ONB,11.280656,12333
1990-01-22,ONB,11.173221,23503
1990-01-23,ONB,11.280656,21641
1990-01-24,ONB,11.173221,28389
1990-01-25,ONB,11.334373,931
1990-01-26,ONB,11.226939,9308
1990-01-29,ONB,11.226939,0
1990-01-30,ONB,11.173221,8610
1990-01-31,ONB,11.388091,7679
1990-02-01,ONB,11.280656,3025
1990-02-02,ONB,11.173221,3723
1990-02-05,ONB,11.173221,3956
1990-02-06,ONB,11.388091,14893
1990-02-07,ONB,11.388091,25597
1990-02-08,ONB,11.173221,6283
1990-02-09,ONB,11.173221,4421
1990-02-12,ONB,11.173221,5119
1990-02-13,ONB,11.388091,1862
1990-02-14,ONB,11.388091,0
1990-02-15,ONB,11.388091,0
1990-02-16,ONB,11.280656,31880
1990-02-20,ONB,11.173221,698
1990-02-21,ONB,11.280656,233
1990-02-22,ONB,11.173221,1396
1990-02-23,ONB,11.173221,9075
1990-02-26,ONB,11.173221,8377
1990-02-27,ONB,11.280656,11402
1990-02-28,ONB,11.280656,6050
1990-03-01,ONB,11.173221,14427
1990-03-02,ONB,11.280656,5119
1990-03-05,ONB,11.280656,7679
1990-03-06,ONB,11.388091,233
1990-03-07,ONB,11.173221,14195
1990-03-08,ONB,11.388091,31414
1990-03-09,ONB,11.173221,3258
1990-03-12,ONB,11.388091,1396
1990-03-13,ONB,11.388091,7912
1990-03-14,ONB,11.173221,465
1990-03-15,ONB,11.388091,1163
1990-03-16,ONB,11.388091,0
1990-03-19,ONB,11.173221,36766
1990-03-20,ONB,11.173221,1862
1990-03-21,ONB,11.280656,465
1990-03-22,ONB,11.280656,1163
1990-03-23,ONB,11.173221,1629
1990-03-26,ONB,11.173221,3025
1990-03-27,ONB,11.388091,2560
1990-03-28,ONB,11.388091,3490
1990-03-29,ONB,11.388091,0
1990-03-30,ONB,11.173221,698
1990-04-02,ONB,11.280656,8610
1990-04-03,ONB,11.280656,26062
1990-04-04,ONB,11.173221,7912
1990-04-05,ONB,11.280656,465
1990-04-06,ONB,11.280656,2792
1990-04-09,ONB,11.173221,7679
1990-04-10,ONB,11.388091,1396
1990-04-11,ONB,11.173221,233
1990-04-12,ONB,11.173221,3490
1990-04-16,ONB,11.173221,3258
1990-04-17,ONB,11.280656,8144
1990-04-18,ONB,11.280656,2560
1990-04-19,ONB,11.173221,15824
1990-04-20,ONB,11.173221,42351
1990-04-23,ONB,11.173221,23503
1990-04-24,ONB,11.065786,5119
1990-04-25,ONB,11.173221,7446
1990-04-26,ONB,11.226939,36068
1990-04-27,ONB,11.065786,931
1990-04-30,ONB,11.065786,35138
1990-05-01,ONB,11.119504,16754
1990-05-02,ONB,11.119504,0
1990-05-03,ONB,11.173221,1862
1990-05-04,ONB,11.065786,188021
1990-05-07,ONB,11.065786,2792
1990-05-08,ONB,11.065786,21408
1990-05-09,ONB,11.065786,0
1990-05-10,ONB,11.065786,102388
1990-05-11,ONB,11.065786,3490
1990-05-14,ONB,11.065786,5119
1990-05-15,ONB,11.065786,6516
1990-05-16,ONB,11.119504,9541
1990-05-17,ONB,11.173221,698
1990-05-18,ONB,11.065786,465
1990-05-21,ONB,11.173221,3258
1990-05-22,ONB,11.065786,1163
1990-05-23,ONB,11.065786,15358
1990-05-24,ONB,11.280656,28157
1990-05-25,ONB,11.173221,698
1990-05-29,ONB,11.173221,3258
1990-05-30,ONB,11.065786,233
1990-05-31,ONB,11.226939,53521
1990-06-01,ONB,11.065786,2560
1990-06-04,ONB,11.173221,25830
1990-06-05,ONB,11.065786,14195
1990-06-06,ONB,11.280656,6283
1990-06-07,ONB,11.280656,0
1990-06-08,ONB,11.173221,931
1990-06-11,ONB,11.065786,3490
1990-06-12,ONB,11.065786,1163
1990-06-13,ONB,11.065786,14893
1990-06-14,ONB,11.065786,8377
1990-06-15,ONB,11.065786,0
1990-06-18,ONB,11.065786,4421
1990-06-19,ONB,10.958352,4887
1990-06-20,ONB,11.065786,5585
1990-06-21,ONB,10.958352,233
1990-06-22,ONB,10.958352,6748
1990-06-25,ONB,10.958352,0
1990-06-26,ONB,10.958352,0
1990-06-27,ONB,10.958352,1163
1990-06-28,ONB,11.065786,5352
1990-06-29,ONB,11.065786,698
1990-07-02,ONB,10.850917,1163
1990-07-03,ONB,10.850917,3258
1990-07-05,ONB,10.743482,2792
1990-07-06,ONB,10.850917,5119
1990-07-09,ONB,10.743482,233
1990-07-10,ONB,10.743482,5119
1990-07-11,ONB,10.958352,931
1990-07-12,ONB,10.743482,2560
1990-07-13,ONB,10.958352,233
1990-07-16,ONB,10.743482,233
1990-07-17,ONB,10.743482,233
1990-07-18,ONB,10.743482,36301
1990-07-19,ONB,10.743482,931
1990-07-20,ONB,10.743482,3490
1990-07-23,ONB,10.743482,4421
1990-07-24,ONB,10.743482,698
1990-07-25,ONB,10.636047,21176
1990-07-26,ONB,10.636047,6050
1990-07-27,ONB,10.636047,0
1990-07-30,ONB,10.528612,1396
1990-07-31,ONB,10.528612,3258
1990-08-01,ONB,10.528612,25830
1990-08-02,ONB,10.421177,6516
1990-08-03,ONB,10.528612,465
1990-08-06,ONB,10.421177,7446
1990-08-07,ONB,10.421177,5119
1990-08-08,ONB,10.421177,4654
1990-08-09,ONB,10.421177,0
1990-08-10,ONB,10.528612,7214
1990-08-13,ONB,10.421177,24666
1990-08-14,ONB,10.421177,2094
1990-08-15,ONB,10.421177,465
1990-08-16,ONB,10.421177,465
1990-08-17,ONB,10.421177,6516
1990-08-20,ONB,10.313743,1163
1990-08-21,ONB,10.313743,2560
1990-08-22,ONB,10.313743,1396
1990-08-23,ONB,10.313743,11868
1990-08-24,ONB,10.313743,5585
1990-08-27,ONB,10.206308,698
1990-08-28,ONB,10.206308,0
1990-08-29,ONB,10.206308,9541
1990-08-30,ONB,10.206308,233
1990-08-31,ONB,10.098873,13962
1990-09-04,ONB,10.206308,14427
1990-09-05,ONB,9.884003,931
1990-09-06,ONB,10.098873,465
1990-09-07,ONB,10.098873,2560
1990-09-10,ONB,9.884003,28389
1990-09-11,ONB,9.884003,2327
1990-09-12,ONB,9.884003,28389
1990-09-13,ONB,9.991438,7214
1990-09-14,ONB,9.991438,62596
1990-09-17,ONB,9.991438,6283
1990-09-18,ONB,9.884003,31880
1990-09-19,ONB,9.884003,5817
1990-09-20,ONB,9.991438,21176
1990-09-21,ONB,9.884003,2792
1990-09-24,ONB,9.884003,93545
1990-09-25,ONB,9.884003,48169
1990-09-26,ONB,9.884003,10471
1990-09-27,ONB,9.884003,12100
1990-09-28,ONB,9.884003,2792
1990-10-01,ONB,9.776569,8144
1990-10-02,ONB,9.776569,2560
1990-10-03,ONB,9.776569,1862
1990-10-04,ONB,9.776569,11868
1990-10-05,ONB,9.884003,20943
1990-10-08,ONB,9.884003,31182
1990-10-09,ONB,10.098873,11868
1990-10-10,ONB,10.045156,94243
1990-10-11,ONB,10.045156,0
1990-10-12,ONB,9.991438,47703
1990-10-15,ONB,9.991438,0
1990-10-16,ONB,9.991438,130079
1990-10-17,ONB,10.045156,47703
1990-10-18,ONB,9.884003,2327
1990-10-19,ONB,10.098873,16289
1990-10-22,ONB,9.991438,7214
1990-10-23,ONB,9.991438,11402
1990-10-24,ONB,9.884003,1629
1990-10-25,ONB,9.884003,3490
1990-10-26,ONB,9.991438,51427
1990-10-29,ONB,9.991438,46773
1990-10-30,ONB,9.884003,10239
1990-10-31,ONB,9.884003,0
1990-11-01,ONB,9.991438,3956
1990-11-02,ONB,9.884003,931
1990-11-05,ONB,10.045156,1396
1990-11-06,ONB,9.937721,55848
1990-11-07,ONB,9.937721,0
1990-11-08,ONB,10.045156,8377
1990-11-09,ONB,10.045156,0
1990-11-12,ONB,10.045156,71206
1990-11-13,ONB,10.045156,3490
1990-11-14,ONB,10.045156,0
1990-11-15,ONB,10.045156,4654
1990-11-16,ONB,9.884003,1862
1990-11-19,ONB,9.991438,4189
1990-11-20,ONB,9.884003,11170
1990-11-21,ONB,9.884003,37930
1990-11-23,ONB,9.991438,4421
1990-11-26,ONB,9.937721,12566
1990-11-27,ONB,9.884003,12566
1990-11-28,ONB,10.098873,3025
1990-11-29,ONB,10.098873,0
1990-11-30,ONB,10.098873,1862
1990-12-03,ONB,9.884003,11868
1990-12-04,ONB,10.098873,233
1990-12-05,ONB,9.884003,8144
1990-12-06,ONB,10.313743,26993
1990-12-07,ONB,10.098873,7679
1990-12-10,ONB,10.313743,2792
1990-12-11,ONB,10.098873,4654
1990-12-12,ONB,10.098873,465
1990-12-13,ONB,10.528612,320892
1990-12-14,ONB,10.206308,1396
1990-12-17,ONB,10.206308,30716
1990-12-18,ONB,10.098873,143343
1990-12-19,ONB,10.313743,60967
1990-12-20,ONB,10.421177,40024
1990-12-21,ONB,10.36746,18151
