ds,symbol,close,volume
1996-10-22,OPRX,50.0,0
1996-10-29,OPRX,25.0,0
1996-10-31,OPRX,62.5002,0
1996-11-05,OPRX,50.0,0
1996-11-08,OPRX,50.0,0
1997-01-09,OPRX,37.5,0
1997-02-13,OPRX,75.0,0
1997-03-04,OPRX,75.0,0
1997-03-06,OPRX,68.8002,0
1997-03-11,OPRX,56.3,0
1997-03-17,OPRX,50.0,0
1997-04-01,OPRX,75.0,0
1997-04-04,OPRX,75.0,0
1997-04-10,OPRX,75.0,0
1997-04-18,OPRX,75.0,0
1997-05-01,OPRX,75.0,0
1997-05-21,OPRX,100.0002,0
1997-06-06,OPRX,100.0002,0
1997-06-09,OPRX,100.0002,0
1997-07-22,OPRX,100.0002,0
1997-09-09,OPRX,100.0002,0
1998-01-14,OPRX,100.0002,0
1998-05-12,OPRX,12.5,0
1999-08-19,OPRX,12.5,0
1999-09-07,OPRX,212.5002,0
2000-05-16,OPRX,25.0,0
2000-10-25,OPRX,2.0,0
2001-05-17,OPRX,2.0,0
2005-05-18,OPRX,1.0,0
2005-08-08,OPRX,0.51,0
2005-08-09,OPRX,0.61,0
2005-08-10,OPRX,0.7,0
2005-08-11,OPRX,0.7,0
2005-08-12,OPRX,0.7,0
2005-08-16,OPRX,0.7,0
2005-08-17,OPRX,0.5,0
2005-08-18,OPRX,0.8,0
2005-08-19,OPRX,0.8,0
2005-08-22,OPRX,0.8,0
2005-08-23,OPRX,0.8,0
2005-08-24,OPRX,0.8,0
2005-08-25,OPRX,0.8,0
2005-08-26,OPRX,0.8,0
2005-08-31,OPRX,0.8,0
2005-09-01,OPRX,0.9,0
2005-09-02,OPRX,0.95,0
2005-09-06,OPRX,0.95,0
2005-09-07,OPRX,0.95,0
2005-09-08,OPRX,0.95,0
2005-09-09,OPRX,0.95,0
2005-09-12,OPRX,0.95,0
2005-09-13,OPRX,0.95,0
2005-09-14,OPRX,0.95,0
2005-09-15,OPRX,0.95,0
2005-09-16,OPRX,0.95,0
2005-09-21,OPRX,0.95,0
2005-09-23,OPRX,0.94,0
2005-09-26,OPRX,0.95,0
2005-09-27,OPRX,0.95,0
2005-09-29,OPRX,0.81,0
2005-10-05,OPRX,0.81,0
2005-10-12,OPRX,0.81,0
2005-10-17,OPRX,0.95,0
2005-10-18,OPRX,0.95,0
2005-10-21,OPRX,0.99,0
2005-10-25,OPRX,0.99,0
2005-10-26,OPRX,0.99,0
2005-10-27,OPRX,1.12,300
2005-10-28,OPRX,1.5,200
2005-10-31,OPRX,1.59,200
2005-11-01,OPRX,1.65,200
2005-11-02,OPRX,2.0,700
2005-11-03,OPRX,2.35,800
2005-11-04,OPRX,3.25,600
2005-11-07,OPRX,4.05,1200
2005-11-08,OPRX,2.75,1700
2005-11-09,OPRX,2.75,200
2005-11-10,OPRX,1.9,400
2005-11-11,OPRX,1.9,0
2005-11-14,OPRX,2.0,0
2005-11-15,OPRX,2.5,0
2005-11-16,OPRX,2.5,0
2005-11-17,OPRX,2.05,100
2005-11-18,OPRX,1.8,200
2005-11-21,OPRX,2.1,100
2005-11-22,OPRX,2.05,0
2005-11-23,OPRX,2.0,0
2005-11-25,OPRX,2.06,0
2005-11-28,OPRX,2.1,0
2005-11-29,OPRX,1.9,100
2005-11-30,OPRX,1.75,0
2005-12-01,OPRX,1.7,100
2005-12-02,OPRX,1.63,0
2005-12-05,OPRX,1.79,0
2005-12-06,OPRX,2.0,100
2005-12-07,OPRX,1.8,0
2005-12-08,OPRX,1.7,0
2005-12-09,OPRX,1.7,0
2005-12-12,OPRX,1.6,0
2005-12-13,OPRX,1.6,0
2005-12-14,OPRX,1.7,0
2005-12-15,OPRX,1.6,0
2005-12-19,OPRX,1.55,0
2005-12-20,OPRX,1.55,0
2005-12-21,OPRX,1.54,0
2005-12-22,OPRX,1.44,0
2005-12-23,OPRX,1.44,0
2005-12-27,OPRX,1.5,0
2005-12-28,OPRX,1.43,0
2005-12-29,OPRX,1.43,0
2005-12-30,OPRX,1.4,100
2006-01-03,OPRX,1.49,0
2006-01-04,OPRX,1.5,0
2006-01-05,OPRX,1.35,0
2006-01-06,OPRX,1.35,0
2006-01-09,OPRX,1.4,0
2006-01-10,OPRX,1.35,0
2006-01-11,OPRX,1.45,0
2006-01-12,OPRX,1.3,100
2006-01-13,OPRX,1.3,0
2006-01-17,OPRX,1.36,0
2006-01-18,OPRX,1.26,0
2006-01-19,OPRX,1.2,0
2006-01-20,OPRX,1.1,0
2006-01-23,OPRX,0.95,0
2006-01-24,OPRX,0.5,300
2006-01-25,OPRX,0.8,0
2006-01-26,OPRX,0.89,100
2006-01-27,OPRX,0.85,0
2006-01-30,OPRX,0.9,0
2006-01-31,OPRX,1.0,0
2006-02-01,OPRX,1.09,0
2006-02-02,OPRX,1.1,0
2006-02-03,OPRX,1.25,0
2006-02-06,OPRX,1.25,0
2006-02-07,OPRX,1.3,0
2006-02-08,OPRX,1.41,0
2006-02-09,OPRX,1.34,0
2006-02-10,OPRX,1.41,0
2006-02-13,OPRX,1.2,0
2006-02-14,OPRX,1.29,0
2006-02-15,OPRX,1.31,0
2006-02-16,OPRX,1.32,0
2006-02-17,OPRX,1.35,0
2006-02-21,OPRX,1.3,0
2006-02-22,OPRX,1.3,0
2006-02-23,OPRX,1.29,0
2006-02-24,OPRX,1.35,0
2006-02-27,OPRX,1.33,0
2006-02-28,OPRX,1.31,0
2006-03-01,OPRX,1.65,400
2006-03-02,OPRX,2.55,500
2006-03-03,OPRX,3.0,500
2006-03-06,OPRX,3.35,300
2006-03-07,OPRX,2.5,300
2006-03-13,OPRX,2.45,0
2006-03-14,OPRX,2.5,0
2006-03-15,OPRX,2.65,100
2006-03-16,OPRX,2.75,0
2006-03-17,OPRX,2.6,0
2006-03-20,OPRX,2.65,0
2006-03-21,OPRX,2.75,0
2006-03-22,OPRX,2.75,0
2006-03-23,OPRX,2.79,0
2006-03-24,OPRX,2.75,0
2006-03-27,OPRX,2.9,100
2006-03-28,OPRX,2.87,0
2006-03-29,OPRX,2.85,0
2006-03-30,OPRX,2.82,0
2006-03-31,OPRX,2.95,0
2006-04-03,OPRX,2.8,0
2006-04-04,OPRX,2.8,0
2006-04-05,OPRX,2.7,0
2006-04-06,OPRX,2.71,0
2006-04-07,OPRX,2.75,0
2006-04-10,OPRX,2.75,0
2006-04-11,OPRX,2.75,0
2006-04-12,OPRX,2.7,0
2006-04-17,OPRX,2.3,0
2006-04-18,OPRX,1.95,100
2006-04-19,OPRX,2.1,0
2006-04-20,OPRX,2.15,0
2006-04-21,OPRX,2.15,0
2006-04-24,OPRX,2.25,0
2006-04-25,OPRX,2.3,0
2006-04-26,OPRX,2.3,0
2006-04-27,OPRX,2.3,0
2006-04-28,OPRX,2.2,0
2006-05-01,OPRX,2.1,0
2006-05-02,OPRX,2.25,0
2006-05-03,OPRX,2.25,0
2006-05-04,OPRX,2.3,0
2006-05-05,OPRX,2.2,0
2006-05-08,OPRX,2.2,0
2006-05-09,OPRX,2.26,0
2006-05-10,OPRX,2.1,0
2006-05-17,OPRX,2.32,0
2006-05-18,OPRX,2.31,0
2006-05-19,OPRX,2.15,0
2006-05-22,OPRX,2.15,0
2006-05-23,OPRX,2.15,0
2006-05-24,OPRX,2.15,0
2006-05-25,OPRX,2.15,0
2006-05-26,OPRX,2.15,0
2006-05-30,OPRX,2.25,0
2006-06-01,OPRX,2.25,0
2006-06-02,OPRX,2.15,0
2006-06-06,OPRX,2.15,0
2006-06-07,OPRX,2.15,0
2006-06-08,OPRX,1.7,0
2006-06-09,OPRX,1.7,0
2006-06-12,OPRX,1.7,0
2006-06-13,OPRX,2.3,0
2006-06-14,OPRX,2.28,0
2006-06-15,OPRX,2.2,0
2006-06-16,OPRX,2.15,0
2006-06-19,OPRX,1.81,100
2006-06-20,OPRX,2.3,0
2006-06-21,OPRX,2.3,0
2006-06-23,OPRX,1.96,0
2006-06-26,OPRX,1.95,0
2006-06-27,OPRX,1.95,0
2006-06-29,OPRX,2.05,0
2006-06-30,OPRX,2.28,0
2006-07-03,OPRX,2.28,0
2006-07-05,OPRX,2.3,0
2006-07-06,OPRX,1.88,0
2006-07-07,OPRX,2.15,0
2006-07-10,OPRX,2.2,0
2006-07-11,OPRX,2.22,0
2006-07-12,OPRX,2.2,0
2006-07-13,OPRX,2.25,0
2006-07-14,OPRX,2.2,0
2006-07-17,OPRX,2.27,0
2006-07-18,OPRX,2.0,0
2006-07-19,OPRX,2.05,0
2006-07-21,OPRX,2.05,0
2006-07-24,OPRX,2.27,0
2006-07-25,OPRX,2.0,0
2006-07-27,OPRX,2.3,0
2006-07-28,OPRX,2.1,0
2006-07-31,OPRX,2.05,0
2006-08-01,OPRX,2.3,0
2006-08-02,OPRX,2.42,100
2006-08-03,OPRX,2.47,0
2006-08-04,OPRX,2.47,0
2006-08-07,OPRX,2.45,0
2006-08-08,OPRX,2.09,0
2006-08-09,OPRX,2.2,0
2006-08-10,OPRX,2.11,0
2006-08-11,OPRX,2.25,0
2006-08-14,OPRX,2.18,0
2006-08-15,OPRX,2.18,0
2006-08-16,OPRX,2.05,0
2006-08-17,OPRX,2.34,0
2006-08-22,OPRX,2.25,0
2006-08-23,OPRX,2.1,0
2006-08-24,OPRX,2.34,0
2006-08-25,OPRX,2.3,0
2006-08-28,OPRX,2.46,100
2006-08-29,OPRX,2.46,0
